book,cluster_id,new_vs_149_proxy,known_vs_149_reason,max_corr_to_149_registry_proxy,exact_expression_match_149,field_families,operator_families,source_lane,capacity_proxy,cost_adjusted_score,p90_replay_turnover,representative_candidate_id,representative_expression
J0_fresh,s47_cluster_014,True,,0.366275,False,"[""price""]","[""Abs"", ""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",r0_cem_led,31418563.935742,2.326107,0.209031,stockpit-cem_adaptive_grammar-8a87f4aaef59,"CSRank(Mul(ZScore(Mean(Abs($close),2)),ZScore(Mean(Abs($close),2))))"
J0_fresh,s47_cluster_015,False,signal_collision_ge_0p80,0.844667,False,"[""price"", ""size_capital""]","[""CSRank"", ""CSResidual"", ""Delta"", ""Mul"", ""Sign"", ""ZScore""]",formula_gen_v2_repair_expansion,17866053.6375,1.598481,0.357323,fgv2-repair-nonlinearize-890de4c73f,"CSRank(Mul(Sign(ZScore(CSRank(CSResidual(CSRank(Delta($final_float_market_cap,34)),CSRank(Delta($close,21)))))),Mul(ZScore(CSRank(CSResidual(CSRank(Delta($final_float_market_cap,34)),CSRank(Delta($close,21))))),ZScore(CSRank(CSResidual(CSRank(Delta($final_float_market_cap,34)),CSRank(Delta($close,21))))))))"
J0_fresh,s47_cluster_019,True,,0.493399,False,"[""flow""]","[""CSRank"", ""Neg"", ""Std""]",r0_cem_led,1449800.01,0.581477,0.183666,stockpit-cem_adaptive_grammar-605c9ed6a1b0,"Neg(CSRank(Std($volume,8)))"
J0_fresh,s47_cluster_020,True,,0.683148,False,"[""size_capital""]","[""CSRank"", ""Std""]",agnostic_freeform_ast,132688872.64,0.114218,0.241217,agnostic-freeform-877fc62eb389,"CSRank(Std($final_total_market_cap,8))"
J0_fresh,s47_cluster_026,True,,0.791662,False,"[""flow""]","[""CSRank"", ""Mean""]",ast_failure_aware_repair,90645992.81875,1.193926,0.057486,phase3repair-failure_detail-duplicate_escape-b7d2c812122b,"CSRank(Mean($amount,34))"
J0_fresh,s48_cluster_002,True,,0.37654,False,"[""price""]","[""CSRank"", ""Delta"", ""Neg""]",r0_cem_led,12433422.905078,0.198765,0.395548,stockpit-cem_adaptive_grammar-248a065697a9,"Neg(CSRank(Delta($close,5)))"
J0_fresh,s48_cluster_003,False,signal_collision_ge_0p80,0.889001,False,"[""flow""]","[""CSRank"", ""CSResidual"", ""Neg"", ""Std""]",r0_cem_led,11826138.031836,4.244284,0.293238,stockpit-cem_adaptive_grammar-3b02c95c596e,"Neg(CSRank(CSResidual(CSRank(Std($volume,5)),CSRank(Std($amount,8)))))"
J0_fresh,s48_cluster_004,True,,0.103628,False,"[""flow""]","[""CSRank"", ""CSResidual"", ""Delta"", ""Mul"", ""Sign"", ""Std""]",formula_gen_v2_repair_expansion,14510313.490381,1.385013,0.728938,fgv2-repair-add_confirmation-5d599bcabd,"CSRank(Mul(CSRank(CSResidual(CSRank(Std($amount,21)),CSRank(Std($volume,5)))),Sign(Delta($amount,1))))"
J0_fresh,s48_cluster_005,False,exact_expression_match,0.730671,True,"[""price""]","[""CSRank"", ""Mean"", ""Sub""]",ast_failure_aware_repair,12613944.82666,-0.062897,0.28165,phase3repair-failure_detail-operator_sanitize-c2ce36b76747,"CSRank(Sub(Mean($close,8),Mean($close,5)))"
J0_fresh,s48_cluster_006,True,,0.711935,False,"[""flow"", ""price""]","[""CSRank"", ""Mean"", ""Mul"", ""Sign"", ""Std"", ""ZScore""]",agnostic_freeform_ast,20723887.289746,4.221407,0.094871,agnostic-freeform-f33ea665e532,"CSRank(Mul(Sign(Std($turnover_rate,8)),Mul(CSRank(Mean($turnover_rate,5)),ZScore(Mean($close,13)))))"
J0_fresh,s48_cluster_007,True,,0.241132,False,"[""price"", ""size_capital""]","[""CSRank"", ""Mul"", ""Sign"", ""Std"", ""ZScore""]",formula_gen_v2_repair_expansion,66173875.644141,2.183766,0.186745,fgv2-repair-nonlinearize-8be3714366,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5))))),ZScore(CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5))))))))"
J0_fresh,s48_cluster_008,True,,0.693453,False,"[""flow"", ""price""]","[""Abs"", ""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",r0_cem_led,69497058.628125,2.384678,0.051814,stockpit-cem_adaptive_grammar-4fde4ef92cac,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($amount),21))))"
J0_fresh,s48_cluster_009,False,signal_collision_ge_0p80,0.852157,False,"[""flow"", ""price""]","[""Abs"", ""CSRank"", ""CSResidual"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",formula_gen_v2_repair_expansion,27879441.132812,2.631787,0.166805,fgv2-repair-add_state_gate-51bc0c89d2,"CSRank(Mul(CSRank(CSResidual(CSRank(Mean($close,1)),CSRank(Mean($volume,34)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
J0_fresh,s48_cluster_012,True,,0.660897,False,"[""flow"", ""price""]","[""CSRank"", ""CSResidual""]",r0_cem_led,68388063.011719,1.541816,0.258736,stockpit-cem_adaptive_grammar-af51db617e08,"CSRank(CSResidual(CSRank($close),CSRank($volume)))"
J0_fresh,s48_cluster_013,True,,0.419347,False,"[""flow"", ""price""]","[""CSRank"", ""Corr"", ""Delay"", ""Delta"", ""Mul"", ""Neg""]",formula_gen_v2_repair_expansion,8580502.0875,1.897575,0.634958,fgv2-repair-temporalize-88bb932ed4,"CSRank(Mul(Neg(CSRank(Delta($close,5))),Corr(Delta($amount,1),Delay(Delta($amount,1),1),10)))"
J0_fresh,s48_cluster_014,True,,0.397299,False,"[""price""]","[""CSRank"", ""Mom"", ""Mul"", ""Sign""]",agnostic_freeform_ast,27029405.531299,0.471825,0.433105,agnostic-freeform-2c3fbc683e11,"CSRank(Mul(Sign(Mom($open,8)),Mul(CSRank($open),Sign(Mom($high,3)))))"
J0_fresh,s48_cluster_016,True,,0.761958,False,"[""flow"", ""price"", ""size_capital""]","[""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""Sign"", ""Std"", ""ZScore""]",agnostic_freeform_ast,24800276.012305,1.584791,0.400709,agnostic-freeform-8812d7739f3f,"CSRank(Mul(CSRank(Delta($final_float_market_cap,3)),Mul(ZScore(Mean($low,3)),Sign(Std($volume,5)))))"
J0_fresh,s48_cluster_019,True,,0.744328,False,"[""flow""]","[""CSRank"", ""CSResidual"", ""Mul"", ""Sign"", ""Std"", ""ZScore""]",formula_gen_v2_repair_expansion,16700970.508423,2.734388,0.274717,fgv2-repair-nonlinearize-8c3d65bc3f,"CSRank(Mul(Sign(ZScore(CSRank(CSResidual(CSRank(Std($amount,21)),CSRank(Std($volume,5)))))),Mul(ZScore(CSRank(CSResidual(CSRank(Std($amount,21)),CSRank(Std($volume,5))))),ZScore(CSRank(CSResidual(CSRank(Std($amount,21)),CSRank(Std($volume,5))))))))"
J0_fresh,s48_cluster_022,True,,0.713111,False,"[""flow""]","[""CSRank"", ""Mean""]",ast_failure_aware_repair,90645992.81875,1.193926,0.057486,phase3repair-failure_detail-duplicate_escape-c361b14882f3,"CSRank(Mean($amount,34))"
J0_fresh,s49_cluster_002,False,signal_collision_ge_0p80,0.999137,False,"[""price""]","[""CSRank"", ""Mean""]",ast_failure_aware_repair,31470522.032617,3.631751,0.17395,phase3repair-failure_detail-duplicate_escape-3eeef96196ea,"CSRank(Mean($open,8))"
J0_fresh,s49_cluster_005,True,,0.725805,False,"[""flow"", ""price""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",formula_gen_v2_repair_expansion,35105354.828125,3.568546,0.227858,fgv2-repair-add_state_gate-0685fb9878,"CSRank(Mul(CSRank(Mul(ZScore($amount),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))"
J0_fresh,s49_cluster_006,True,,0.766094,False,"[""price""]","[""Add"", ""CSRank"", ""Delta"", ""Mean"", ""ZScore""]",agnostic_freeform_ast,26318688.784766,1.91803,0.183601,agnostic-freeform-7d251c8b2fa6,"CSRank(Add(ZScore(Mean($close,21)),ZScore(Delta($vwap,34))))"
J0_fresh,s49_cluster_007,True,,0.481107,False,"[""price"", ""size_capital""]","[""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",r0_cem_led,119191295.125,2.293998,0.025655,stockpit-cem_adaptive_grammar-7bfc629d9b9f,"CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Mean($close,34))))"
J0_fresh,s49_cluster_008,True,,0.623762,False,"[""price""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""Neg"", ""ZScore""]",formula_gen_v2_repair_expansion,25480245.859375,3.080926,0.098279,fgv2-repair-add_state_gate-7a09229418,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))"
J0_fresh,s49_cluster_010,False,exact_expression_match,0.137993,True,"[""price""]","[""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",ast_failure_aware_repair,20962576.769531,0.097907,0.205956,phase3repair-failure_detail-duplicate_escape-6a69c0324828,"CSRank(Mul(ZScore(Mean($open,8)),ZScore(Delta($vwap,11))))"
J0_fresh,s49_cluster_014,True,,0.398228,False,"[""price"", ""size_capital""]","[""Abs"", ""CSRank"", ""Corr"", ""Delta"", ""Mean"", ""Mul"", ""Std"", ""ZScore""]",agnostic_freeform_ast,22604314.826074,0.805622,0.276328,agnostic-freeform-d95efcafe39f,"CSRank(Mul(ZScore($low),Corr(Std($final_total_market_cap,2),Mean(Abs(Delta($open,1)),34),21)))"
J0_fresh,s49_cluster_015,True,,0.680659,False,"[""price""]","[""CSRank"", ""Delta"", ""ZScore""]",agnostic_freeform_ast,19862985.192187,0.875706,0.170228,agnostic-freeform-be77ec0ce243,"CSRank(ZScore(Delta($high,34)))"
J0_fresh,s50_cluster_002,True,,0.013452,False,"[""price""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mom"", ""Mul"", ""Sign"", ""ZScore""]",agnostic_freeform_ast,23085495.5625,16.47198,0.390044,agnostic-freeform-d8d81c076e68,"CSRank(Mul(ZScore(Mean(Abs(Delta($close,1)),34)),Mul(CSRank(Mom($high,3)),Sign($high))))"
J0_fresh,s50_cluster_003,False,signal_collision_ge_0p80,0.89444,False,"[""price""]","[""CSRank"", ""Std""]",r0_cem_led,22952094.072168,4.186631,0.082567,stockpit-cem_adaptive_grammar-1cbda2aca086,"CSRank(Std($close,21))"
J0_fresh,s50_cluster_004,False,exact_expression_match,0.19423,True,"[""flow""]","[""CSRank"", ""Mean"", ""Sub""]",ast_failure_aware_repair,33457176.0,1.128197,0.440585,phase3repair-failure_detail-operator_sanitize-6c53e2eb0cfa,"CSRank(Sub(Mean($amount,6),Mean($amount,3)))"
J0_fresh,s50_cluster_005,True,,0.784251,False,"[""flow"", ""price"", ""size_capital""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",formula_gen_v2_repair_expansion,49459578.09375,3.742877,0.065529,fgv2-repair-add_state_gate-6523db44e6,"CSRank(Mul(CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Mean($final_float_market_cap,8)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
J0_fresh,s50_cluster_006,True,,0.411485,False,"[""flow"", ""price""]","[""CSRank"", ""Mul"", ""Sign"", ""ZScore""]",formula_gen_v2_repair_expansion,64781224.645313,2.795691,0.221826,fgv2-repair-nonlinearize-f7e4dc60a5,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore($close),ZScore($amount))))),Mul(ZScore(CSRank(Mul(ZScore($close),ZScore($amount)))),ZScore(CSRank(Mul(ZScore($close),ZScore($amount)))))))"
J0_fresh,s50_cluster_009,False,signal_collision_ge_0p80,1.0,False,"[""flow"", ""size_capital""]","[""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",r0_cem_led,168534374.00625,0.288509,0.042509,stockpit-cem_adaptive_grammar-cb641f1155ec,"CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Mean($final_float_market_cap,8))))"
J0_fresh,s50_cluster_010,False,exact_expression_match,0.843539,True,"[""price""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",formula_gen_v2_repair_expansion,25480245.859375,2.514624,0.143073,fgv2-repair-add_state_gate-68d2626882,"CSRank(Mul(CSRank($close),ZScore(Mean(Abs(Delta($close,1)),20))))"
J0_fresh,s50_cluster_012,True,,0.460003,False,"[""price"", ""size_capital""]","[""CSRank"", ""Corr"", ""Mean"", ""Mul"", ""ZScore""]",agnostic_freeform_ast,27151687.80498,0.589841,0.339703,agnostic-freeform-ce84573f7597,"CSRank(Mul(ZScore($close),Corr(Mean($final_total_market_cap,3),Mean($open,8),5)))"
J0_fresh,s50_cluster_017,False,signal_collision_ge_0p80,0.813787,False,"[""size_capital""]","[""CSRank"", ""Mul"", ""Sign"", ""Std"", ""ZScore""]",agnostic_freeform_ast,136871773.12,0.34374,0.160131,agnostic-freeform-bebe5eecd27f,"CSRank(Mul(Sign(ZScore(Std($final_total_market_cap,13))),Mul(ZScore(Std($final_total_market_cap,13)),ZScore(Std($final_total_market_cap,13)))))"
J0_fresh,s50_cluster_028,True,,0.472135,False,"[""flow""]","[""Abs"", ""CSRank"", ""CSResidual"", ""Mean"", ""Neg""]",r0_cem_led,3715423.213184,0.75369,0.258833,stockpit-cem_adaptive_grammar-8aa93e9acf70,"Neg(CSRank(CSResidual(CSRank(Mean(Abs($amount),5)),CSRank(Mean(Abs($amount),21)))))"
J0_fresh,s50_cluster_029,True,,0.489564,False,"[""flow""]","[""Abs"", ""CSRank"", ""Mean"", ""Mul"", ""Neg"", ""ZScore""]",r0_cem_led,20568047.34375,0.417656,0.17093,stockpit-cem_adaptive_grammar-56aac8ea63d5,"Neg(CSRank(Mul(ZScore(Mean(Abs($amount),2)),ZScore(Mean(Abs($volume),8)))))"
J2_fresh,s47_cluster_002,False,signal_collision_ge_0p80,0.815404,False,"[""flow"", ""price""]","[""CSRank"", ""Mul"", ""Sign""]",agnostic_freeform_ast,59230204.139648,2.234978,0.202809,agnostic-freeform-661bf0512b87,"CSRank(Mul(CSRank($amount),Mul(Sign($high),CSRank($high))))"
J2_fresh,s47_cluster_003,True,,0.736928,False,"[""price""]","[""CSRank"", ""Mean""]",r0_cem_led,32814617.294922,4.30643,0.032797,stockpit-cem_adaptive_grammar-7291def7e7cd,"CSRank(Mean($close,34))"
J2_fresh,s47_cluster_005,False,signal_collision_ge_0p80,0.805202,False,"[""price""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""Sign"", ""Std"", ""ZScore""]",agnostic_freeform_ast,25906560.293555,3.481296,0.189713,agnostic-freeform-22b7d5012645,"CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))"
J2_fresh,s47_cluster_006,True,,0.385674,False,"[""flow"", ""price""]","[""CSRank"", ""Mean"", ""Mul"", ""Sign"", ""ZScore""]",formula_gen_v2_repair_expansion,66581701.945312,7.468191,0.151724,fgv2-repair-nonlinearize-214b37a1d2,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))"
J2_fresh,s47_cluster_008,True,,0.271894,False,"[""flow"", ""price""]","[""CSRank"", ""Mean"", ""Mom"", ""Mul"", ""ZScore""]",agnostic_freeform_ast,22834461.499219,0.356809,0.262866,agnostic-freeform-24a5b281f6ad,"CSRank(Mul(ZScore(Mean($low,8)),Mul(CSRank(Mean($volume,3)),ZScore(Mom($open,13)))))"
J2_fresh,s47_cluster_010,True,,0.731141,False,"[""price"", ""size_capital""]","[""Abs"", ""CSRank"", ""CSResidual"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",formula_gen_v2_repair_expansion,25474608.0,2.325293,0.163771,fgv2-repair-add_state_gate-3e9f3719af,"CSRank(Mul(CSRank(CSResidual(CSRank(Delta($final_float_market_cap,34)),CSRank(Delta($close,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
J2_fresh,s47_cluster_012,True,,0.686416,False,"[""flow"", ""price"", ""size_capital""]","[""CSRank"", ""Mul"", ""Std"", ""ZScore""]",agnostic_freeform_ast,32417481.550781,2.932785,0.157326,agnostic-freeform-760af8442693,"CSRank(Mul(CSRank(Std($volume,5)),Mul(CSRank(Std($final_total_market_cap,34)),ZScore(Std($high,8)))))"
J2_fresh,s47_cluster_013,True,,0.714463,False,"[""price"", ""size_capital""]","[""Abs"", ""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",r0_cem_led,115067321.087109,2.493115,0.033048,stockpit-cem_adaptive_grammar-b7038a21e31f,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($final_float_market_cap),2))))"
J2_fresh,s47_cluster_014,True,,0.366275,False,"[""price""]","[""Abs"", ""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",r0_cem_led,31418563.935742,2.326107,0.209031,stockpit-cem_adaptive_grammar-8a87f4aaef59,"CSRank(Mul(ZScore(Mean(Abs($close),2)),ZScore(Mean(Abs($close),2))))"
J2_fresh,s47_cluster_019,True,,0.493399,False,"[""flow""]","[""CSRank"", ""Neg"", ""Std""]",r0_cem_led,1449800.01,0.581477,0.183666,stockpit-cem_adaptive_grammar-605c9ed6a1b0,"Neg(CSRank(Std($volume,8)))"
J2_fresh,s47_cluster_020,True,,0.683148,False,"[""size_capital""]","[""CSRank"", ""Std""]",agnostic_freeform_ast,132688872.64,0.114218,0.241217,agnostic-freeform-877fc62eb389,"CSRank(Std($final_total_market_cap,8))"
J2_fresh,s47_cluster_026,True,,0.791662,False,"[""flow""]","[""CSRank"", ""Mean""]",ast_failure_aware_repair,90645992.81875,1.193926,0.057486,phase3repair-failure_detail-duplicate_escape-b7d2c812122b,"CSRank(Mean($amount,34))"
J2_fresh,s48_cluster_006,True,,0.711935,False,"[""flow"", ""price""]","[""CSRank"", ""Mean"", ""Mul"", ""Sign"", ""Std"", ""ZScore""]",agnostic_freeform_ast,20723887.289746,4.221407,0.094871,agnostic-freeform-f33ea665e532,"CSRank(Mul(Sign(Std($turnover_rate,8)),Mul(CSRank(Mean($turnover_rate,5)),ZScore(Mean($close,13)))))"
J2_fresh,s48_cluster_007,True,,0.241132,False,"[""price"", ""size_capital""]","[""CSRank"", ""Mul"", ""Sign"", ""Std"", ""ZScore""]",formula_gen_v2_repair_expansion,66173875.644141,2.183766,0.186745,fgv2-repair-nonlinearize-8be3714366,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5))))),ZScore(CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5))))))))"
J2_fresh,s48_cluster_008,True,,0.693453,False,"[""flow"", ""price""]","[""Abs"", ""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",r0_cem_led,69497058.628125,2.384678,0.051814,stockpit-cem_adaptive_grammar-4fde4ef92cac,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($amount),21))))"
J2_fresh,s48_cluster_009,False,signal_collision_ge_0p80,0.852157,False,"[""flow"", ""price""]","[""Abs"", ""CSRank"", ""CSResidual"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",formula_gen_v2_repair_expansion,27879441.132812,2.631787,0.166805,fgv2-repair-add_state_gate-51bc0c89d2,"CSRank(Mul(CSRank(CSResidual(CSRank(Mean($close,1)),CSRank(Mean($volume,34)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
J2_fresh,s48_cluster_012,True,,0.660897,False,"[""flow"", ""price""]","[""CSRank"", ""CSResidual""]",r0_cem_led,68388063.011719,1.541816,0.258736,stockpit-cem_adaptive_grammar-af51db617e08,"CSRank(CSResidual(CSRank($close),CSRank($volume)))"
J2_fresh,s48_cluster_022,True,,0.713111,False,"[""flow""]","[""CSRank"", ""Mean""]",ast_failure_aware_repair,90645992.81875,1.193926,0.057486,phase3repair-failure_detail-duplicate_escape-c361b14882f3,"CSRank(Mean($amount,34))"
J2_fresh,s49_cluster_002,False,signal_collision_ge_0p80,0.999137,False,"[""price""]","[""CSRank"", ""Mean""]",ast_failure_aware_repair,31470522.032617,3.631751,0.17395,phase3repair-failure_detail-duplicate_escape-3eeef96196ea,"CSRank(Mean($open,8))"
J2_fresh,s49_cluster_005,True,,0.725805,False,"[""flow"", ""price""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",formula_gen_v2_repair_expansion,35105354.828125,3.568546,0.227858,fgv2-repair-add_state_gate-0685fb9878,"CSRank(Mul(CSRank(Mul(ZScore($amount),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))"
J2_fresh,s49_cluster_006,True,,0.766094,False,"[""price""]","[""Add"", ""CSRank"", ""Delta"", ""Mean"", ""ZScore""]",agnostic_freeform_ast,26318688.784766,1.91803,0.183601,agnostic-freeform-7d251c8b2fa6,"CSRank(Add(ZScore(Mean($close,21)),ZScore(Delta($vwap,34))))"
J2_fresh,s49_cluster_007,True,,0.481107,False,"[""price"", ""size_capital""]","[""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",r0_cem_led,119191295.125,2.293998,0.025655,stockpit-cem_adaptive_grammar-7bfc629d9b9f,"CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Mean($close,34))))"
J2_fresh,s49_cluster_008,True,,0.623762,False,"[""price""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""Neg"", ""ZScore""]",formula_gen_v2_repair_expansion,25480245.859375,3.080926,0.098279,fgv2-repair-add_state_gate-7a09229418,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))"
J2_fresh,s49_cluster_010,False,exact_expression_match,0.137993,True,"[""price""]","[""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",ast_failure_aware_repair,20962576.769531,0.097907,0.205956,phase3repair-failure_detail-duplicate_escape-6a69c0324828,"CSRank(Mul(ZScore(Mean($open,8)),ZScore(Delta($vwap,11))))"
J2_fresh,s49_cluster_015,True,,0.680659,False,"[""price""]","[""CSRank"", ""Delta"", ""ZScore""]",agnostic_freeform_ast,19862985.192187,0.875706,0.170228,agnostic-freeform-be77ec0ce243,"CSRank(ZScore(Delta($high,34)))"
J2_fresh,s50_cluster_003,False,signal_collision_ge_0p80,0.89444,False,"[""price""]","[""CSRank"", ""Std""]",r0_cem_led,22952094.072168,4.186631,0.082567,stockpit-cem_adaptive_grammar-1cbda2aca086,"CSRank(Std($close,21))"
J2_fresh,s50_cluster_005,True,,0.784251,False,"[""flow"", ""price"", ""size_capital""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",formula_gen_v2_repair_expansion,49459578.09375,3.742877,0.065529,fgv2-repair-add_state_gate-6523db44e6,"CSRank(Mul(CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Mean($final_float_market_cap,8)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
