selection_index,candidate_id,source_lane,source_generator,status,field_count,fields,missing_fields,expression
10,phase3aa_event_0215_cn_integrated_v2_quality_x_rzrq_flow_00215,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_ps_research_to_income|ctx_rzrq_rqjmg,,"CSRank(Mul(ZScore($ctx_fund_ps_research_to_income),ZScore($ctx_rzrq_rqjmg)))"
11,phase3aa_event_0154_cn_integrated_v2_quality_x_rzrq_flow_00154,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_cf_operate_cash_to_netprofit|ctx_rzrq_rqjmg,,"CSRank(Mul(ZScore($ctx_fund_cf_operate_cash_to_netprofit),ZScore($ctx_rzrq_rqjmg)))"
12,phase3aa_event_0136_cn_integrated_v2_quality_x_minute_pressure_00136,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_cf_operate_cash_to_netprofit|m1_amount_day,,"CSRank(Mul(ZScore($ctx_fund_cf_operate_cash_to_netprofit),ZScore($m1_amount_day)))"
13,phase3aa_event_0214_cn_integrated_v2_quality_x_minute_pressure_00214,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_ps_research_to_income|m1_first5_amount,,"CSRank(Mul(ZScore($ctx_fund_ps_research_to_income),ZScore($m1_first5_amount)))"
14,phase3aa_event_0157_cn_integrated_v2_quality_x_rzrq_flow_00157,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_cf_operate_cash_to_netprofit|ctx_rzrq_rqjmg5d,,"CSRank(Mul(ZScore($ctx_fund_cf_operate_cash_to_netprofit),ZScore($ctx_rzrq_rqjmg5d)))"
15,phase3aa_event_0198_cn_integrated_v2_quality_x_minute_pressure_00198,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_ps_research_to_income|m1_first15_amount,,"CSRank(Mul(ZScore($ctx_fund_ps_research_to_income),ZScore($m1_first15_amount)))"
16,phase3aa_event_0142_cn_integrated_v2_quality_x_minute_pressure_00142,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_cf_operate_cash_to_netprofit|m1_first15_vol,,"CSRank(Mul(ZScore($ctx_fund_cf_operate_cash_to_netprofit),ZScore($m1_first15_vol)))"
17,phase3aa_event_0137_cn_integrated_v2_quality_x_minute_pressure_00137,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_cf_operate_cash_to_netprofit|m1_first15_amount,,"CSRank(Mul(ZScore($ctx_fund_cf_operate_cash_to_netprofit),ZScore($m1_first15_amount)))"
18,phase3aa_event_0155_cn_integrated_v2_quality_x_rzrq_flow_00155,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_cf_operate_cash_to_netprofit|ctx_rzrq_rqjmg10d,,"CSRank(Mul(ZScore($ctx_fund_cf_operate_cash_to_netprofit),ZScore($ctx_rzrq_rqjmg10d)))"
19,phase3aa_event_0245_cn_integrated_v2_quality_direct_control_00245,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,1,ctx_fund_bs_cash_to_assets,,CSRank($ctx_fund_bs_cash_to_assets)
