registry_cluster_id,row_kind,representative_index,candidate_id,has_representative_expression,has_source_candidate,has_aggregate_row,aggregate_global_cluster_id,aggregate_cluster_member_count,collides_with_registry_cluster_ids,match_failure_reason,representative_expression
cluster_066,representative,53,agnostic-freeform-095cbcaba18c,True,True,True,cluster_317,1,,ok,"CSRank(Mul(ZScore(Mean(Abs(Delta($open,1)),8)),Corr(Mom($close,8),Mom($close,21),13)))"
cluster_067,representative,54,agnostic-freeform-035ba54fd1dc,True,True,True,cluster_318,1,,ok,"CSRank(Mul(Sign(Mom($high,34)),Mul(Sign(Delta($open,13)),CSRank(Mean(Abs(Delta($final_total_market_cap,1)),34)))))"
cluster_070,representative,55,stockpit-cem_adaptive_grammar-9197fae0359d,True,True,True,cluster_319,1,,ok,"Neg(CSRank(Mul(ZScore(Delta($close,21)),ZScore(Delta($final_float_market_cap,5)))))"
cluster_073,representative,56,stockpit-cem_adaptive_grammar-bbfcaca9c0ca,True,True,True,cluster_320,1,,ok,"Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($final_float_market_cap,21)))))"
cluster_074,representative,57,agnostic-freeform-cf3b72fdf6f9,True,True,True,cluster_127,1,,ok,"CSRank(Add(Sign(Mom($turnover_rate,5)),CSRank(Mean($open,5))))"
cluster_075,representative,58,agnostic-freeform-662deda710d5,True,True,True,cluster_178,1,,ok,"CSRank(Add(ZScore(Delta($vwap,34)),Sign($volume)))"
cluster_076,representative,59,stockpit-ast_evolutionary_mutation-f3d6dd7469d6,True,True,True,cluster_166,1,,ok,"CSRank(ZScore(Div(Sub($open,Mean($vwap,21)),Mean(Abs($ret),2))))"
cluster_078,representative,60,agnostic-freeform-77e1f014fb70,True,True,True,cluster_321,1,,ok,"CSRank(Mul(ZScore(Delta($low,34)),Corr(Std($final_float_market_cap,2),Delta($volume,5),8)))"
cluster_079,representative,61,stockpit-cem_adaptive_grammar-439734a6f5c9,True,True,True,cluster_089,1,,ok,"Neg(CSRank(Std($volume,21)))"
cluster_082,representative,62,stockpit-cem_adaptive_grammar-6ffcc94d62e7,True,True,True,cluster_147,1,,ok,"Neg(CSRank(Mul(ZScore(Mean(Abs($volume),2)),ZScore(Mean(Abs($amount),2)))))"
cluster_084,representative,63,stockpit-cem_adaptive_grammar-cee9baa11efb,True,True,True,cluster_322,1,,ok,"Neg(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($volume,5)))))"
cluster_085,representative,64,stockpit-cem_adaptive_grammar-c4e03ce60567,True,True,True,cluster_164,1,,ok,"CSRank(Mul(ZScore(Mean(Abs($volume),8)),ZScore(Mean(Abs($close),8))))"
cluster_088,representative,65,stockpit-cem_adaptive_grammar-2e04305ea5ae,True,True,True,cluster_197,1,,ok,"Neg(CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Mean($final_float_market_cap,21)))))"
cluster_089,representative,66,stockpit-cem_adaptive_grammar-f7a1573f8aff,True,True,True,cluster_323,1,,ok,"Neg(CSRank(CSResidual(CSRank(Delta($close,5)),CSRank(Delta($final_float_market_cap,5)))))"
cluster_090,representative,67,stockpit-cem_adaptive_grammar-78fc796821aa,True,True,True,cluster_072,2,"cluster_043,cluster_090",recluster_collision_group,"Neg(CSRank(CSResidual(CSRank($final_float_market_cap),CSRank($close))))"
cluster_094,representative,68,stockpit-cem_adaptive_grammar-a9507bc750f6,True,True,True,cluster_324,1,,ok,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,2)))))"
cluster_095,representative,69,stockpit-cem_adaptive_grammar-e26646ccab93,True,True,True,cluster_325,1,,ok,"CSRank(Mul(ZScore(Std($close,2)),ZScore(Std($final_float_market_cap,2))))"
cluster_096,representative,70,stockpit-cem_adaptive_grammar-36177a8ef475,True,True,True,cluster_326,1,,ok,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($amount,21)))))"
cluster_097,representative,71,stockpit-cem_adaptive_grammar-148b02b5da4b,True,True,True,cluster_137,2,"cluster_027,cluster_097",recluster_collision_group,"CSRank(Mul(ZScore(Std($final_float_market_cap,2)),ZScore(Std($close,34))))"
cluster_098,representative,72,stockpit-cem_adaptive_grammar-99867d1154a3,True,True,True,cluster_046,1,,ok,"Neg(CSRank(CSResidual(CSRank(Delta($volume,8)),CSRank(Delta($close,8)))))"
cluster_099,representative,73,stockpit-cem_adaptive_grammar-c3ee64b8f00b,True,True,True,cluster_057,1,,ok,"CSRank(CSResidual(CSRank(Delta($close,8)),CSRank(Delta($amount,8))))"
cluster_100,representative,74,stockpit-cem_adaptive_grammar-dbe4aed04209,True,True,True,cluster_327,1,,ok,"CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,8))))"
cluster_101,representative,75,stockpit-cem_adaptive_grammar-a80b77d5fc5f,True,True,True,cluster_328,1,,ok,"Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($final_float_market_cap,2)))))"
cluster_102,representative,76,stockpit-cem_adaptive_grammar-ae4bfdae0522,True,True,True,cluster_329,1,,ok,"CSRank(Mul(ZScore(Delta($close,34)),ZScore(Delta($close,34))))"
cluster_103,representative,77,stockpit-cem_adaptive_grammar-e776378a5a65,True,True,True,cluster_330,1,,ok,"CSRank(Mul(ZScore(Delta($final_float_market_cap,34)),ZScore(Delta($close,21))))"
cluster_104,representative,78,phase3repair-direct_quota_rejected-duplicate_escape-9a04fa99a7ca,True,True,True,cluster_331,1,,ok,"CSRank(Mul(ZScore(Mean($close,34)),ZScore(Delta($close,17))))"
cluster_105,representative,79,stockpit-ast_evolutionary_mutation-9cc9fb9d45f6,True,True,True,cluster_332,1,,ok,"CSRank(CSResidual(CSRank(Neg(CSRank(Mean(Abs($ret),13)))),CSRank(Neg(CSRank(Mean(Abs($ret),21))))))"
cluster_106,representative,80,stockpit-ast_evolutionary_mutation-fc0abf958798,True,True,True,cluster_333,1,,ok,"CSRank(Mul(ZScore(Neg(CSRank(Mean(Abs($ret),2)))),ZScore(CSRank(Mean(Abs($ret),8)))))"
cluster_107,representative,81,stockpit-ast_evolutionary_mutation-36a13a40253b,True,True,True,cluster_334,1,,ok,"CSRank(CSResidual(CSRank(CSRank(Mom($close,21))),CSRank(Neg(CSRank(Mom($close,13))))))"
cluster_108,representative,82,phase3repair-failure_detail-operator_sanitize-1a6d0fab97f5,True,True,True,cluster_335,1,,ok,"CSRank(Sub(Mean($close,17),Mean($close,34)))"
cluster_109,representative,83,stockpit-ast_evolutionary_mutation-951d371f3fce,True,True,True,cluster_106,1,,ok,"CSRank(CSResidual(CSRank(CSRank(Mom($close,13))),CSRank(Neg(CSRank(Mom($close,3))))))"
cluster_110,representative,84,stockpit-cem_adaptive_grammar-f27f68dd4c12,True,True,True,cluster_336,1,,ok,"Neg(CSRank(Mul(ZScore(Std($volume,34)),ZScore(Std($final_float_market_cap,8)))))"
cluster_111,representative,85,stockpit-cem_adaptive_grammar-e7143aa623d9,True,True,True,cluster_337,1,,ok,"Neg(CSRank(Mul(ZScore(Std($volume,2)),ZScore(Std($amount,34)))))"
cluster_112,representative,86,agnostic-freeform-b941522c10ee,True,True,True,cluster_338,1,,ok,"CSRank(Mul(ZScore($open),Corr($close,Mom($final_float_market_cap,13),5)))"
cluster_113,representative,87,agnostic-freeform-48c8ab0de23a,True,True,True,cluster_339,1,,ok,"CSRank(Mul(ZScore(Mean(Abs(Delta($amount,1)),8)),Mul(ZScore($open),CSRank($high))))"
cluster_114,representative,88,fgv2-repair-add_state_gate-6c729348bc,True,True,True,cluster_340,1,,ok,"CSRank(Mul(CSRank(Mul(ZScore(Delta($close,21)),ZScore(Delta($final_float_market_cap,1)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
cluster_115,representative,89,fgv2-ablation-S-5531bb1349,True,True,True,cluster_341,1,,ok,"CSRank(Sub(ZScore(Mean($amount,20)),ZScore(Mean($amount,2))))"
cluster_116,representative,90,agnostic-freeform-3ce087915437,True,True,True,cluster_342,1,,ok,"CSRank(Mul(ZScore(Mean($amount,13)),Mul(CSRank(Std($open,3)),ZScore(Mean(Abs(Delta($vwap,1)),8)))))"
cluster_117,representative,91,agnostic-freeform-114cb2a7ea61,True,True,True,cluster_068,2,"cluster_057,cluster_117",recluster_collision_group,"CSRank(Sub(ZScore($vwap),ZScore($turnover_rate)))"
cluster_118,representative,92,stockpit-cem_adaptive_grammar-31bdfaa36118,True,True,True,cluster_343,1,,ok,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,1)))))"
cluster_119,representative,93,agnostic-freeform-f3b5e61d82f0,True,True,True,cluster_344,1,,ok,"CSRank(Sub(ZScore(Mean($close,21)),CSRank(Std($low,2))))"
cluster_120,representative,94,agnostic-freeform-d61baa56e266,True,True,True,cluster_345,1,,ok,"CSRank(Mul(ZScore(Std($turnover_rate,8)),Mul(ZScore(Mean($low,34)),ZScore(Delta($high,21)))))"
cluster_121,representative,95,agnostic-freeform-16ee6691243c,True,True,True,cluster_346,1,,ok,"CSRank(Sub(ZScore(Std($final_total_market_cap,13)),ZScore(Mean(Abs(Delta($final_total_market_cap,1)),2))))"
cluster_122,representative,96,fgv2-repair-add_state_gate-509d9a3e22,True,True,True,cluster_347,1,,ok,"CSRank(Mul(CSRank(Mul(ZScore(Delta($close,21)),ZScore(Delta($amount,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
cluster_123,representative,97,agnostic-freeform-3bb7cb758ab5,True,True,True,cluster_348,1,,ok,"CSRank(Mul(ZScore(Std($high,34)),Mul(CSRank(Delta($close,21)),CSRank(Mean(Abs(Delta($vwap,1)),8)))))"
cluster_124,representative,98,agnostic-freeform-8cd241bc3ac9,True,True,True,cluster_349,1,,ok,"CSRank(CSResidual(ZScore(Std($close,5)),ZScore(Delta($vwap,2))))"
cluster_125,representative,99,agnostic-freeform-00dade142126,True,True,True,cluster_350,1,,ok,"CSRank(Mul(ZScore($open),Mul(Sign(Mean($volume,8)),Sign(Delta($vwap,5)))))"
cluster_126,representative,100,fgv2-signal_state-358397896597,True,True,True,cluster_351,1,,ok,"CSRank(ZScore(Mul(ZScore(Mean(Abs(Delta($turnover_rate,1)),10)),ZScore(Mean(Abs(Delta($close,1)),20)))))"
cluster_127,representative,101,stockpit-cem_adaptive_grammar-403c9200612d,True,True,True,cluster_352,1,,ok,"CSRank(Mul(ZScore(Delta($final_float_market_cap,21)),ZScore(Delta($close,21))))"
cluster_128,representative,102,agnostic-freeform-30bca815e518,True,True,True,cluster_353,1,,ok,"CSRank(Mul(ZScore($final_float_market_cap),Mul(CSRank($turnover_rate),CSRank($vwap))))"
cluster_129,representative,103,agnostic-freeform-cdc9fe6628e3,True,True,True,cluster_354,1,,ok,"CSRank(Mul(CSRank($final_float_market_cap),Mul(CSRank(Mean($final_total_market_cap,5)),ZScore(Std($vwap,2)))))"
cluster_130,representative,104,stockpit-cem_adaptive_grammar-dcaf318c9ffa,True,True,True,cluster_355,1,,ok,"Neg(CSRank(Mul(ZScore(Delta($final_float_market_cap,21)),ZScore(Delta($close,5)))))"
cluster_131,representative,105,fgv2-signal_confirm-1f5a2b95febe,True,True,True,cluster_356,1,,ok,"CSRank(ZScore(Mul(ZScore(Mean(Delta($vwap,1),20)),Mean(Mul(Sign(Delta($close,1)),Sign(Delta($volume,1))),20))))"
cluster_132,representative,106,agnostic-freeform-ff42148e081c,True,True,True,cluster_357,1,,ok,"CSRank(Mul(ZScore(Mean($close,5)),ZScore(Mean(Abs(Delta($turnover_rate,1)),2))))"
cluster_133,representative,107,agnostic-freeform-7259caa46e95,True,True,True,cluster_183,1,,ok,"CSRank(Mul(Sign(Delta($close,13)),Mul(Sign(Mean($vwap,13)),ZScore(Mean($high,21)))))"
cluster_134,representative,108,agnostic-freeform-aaf090faa76a,True,True,True,cluster_358,1,,ok,"CSRank(Sub(Sign(Mom($amount,5)),ZScore(Delta($turnover_rate,13))))"
cluster_135,representative,109,stockpit-cem_adaptive_grammar-f441729186b0,True,True,True,cluster_082,1,,ok,"CSRank(CSResidual(CSRank(Delta($amount,21)),CSRank(Delta($final_float_market_cap,5))))"
cluster_136,representative,110,stockpit-cem_adaptive_grammar-54dd3bc3ad51,True,True,True,cluster_048,1,,ok,"CSRank(CSResidual(CSRank(Std($final_float_market_cap,5)),CSRank(Std($volume,21))))"
cluster_137,representative,111,stockpit-cem_adaptive_grammar-df822c33075b,True,True,True,cluster_179,1,,ok,"Neg(CSRank(CSResidual(CSRank(Mean(Abs($volume),5)),CSRank(Mean(Abs($volume),21)))))"
cluster_138,representative,112,stockpit-cem_adaptive_grammar-207a79bd26c1,True,True,True,cluster_123,1,,ok,"CSRank(CSResidual(CSRank(Delta($final_float_market_cap,21)),CSRank(Delta($close,1))))"
cluster_139,representative,113,stockpit-ast_evolutionary_mutation-cc3203844d33,True,True,True,cluster_359,1,,ok,"CSRank(Mul(ZScore(Neg(CSRank($close))),ZScore(Neg(CSRank(Mean(Abs($ret),8))))))"
cluster_140,representative,114,agnostic-freeform-b641fde5349b,True,True,True,cluster_360,1,,ok,"CSRank(Mul(ZScore(Delta($vwap,34)),ZScore(Mean($vwap,13))))"
cluster_141,representative,115,agnostic-freeform-58915c2d9b95,True,True,True,cluster_361,1,,ok,"CSRank(Sub(CSRank(Mean(Abs(Delta($vwap,1)),8)),Sign(Delta($low,13))))"
cluster_142,representative,116,agnostic-freeform-884772ec77bf,True,True,True,cluster_304,2,"cluster_038,cluster_142",recluster_collision_group,"CSRank(Sub(ZScore($low),CSRank(Mom($low,5))))"
cluster_143,representative,117,fgv2-repair-temporalize-9d260902e5,True,True,True,cluster_362,1,,ok,"CSRank(Mul(Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($close,21))))),Corr(Delta($amount,1),Delay(Delta($amount,1),1),10)))"
cluster_144,representative,118,agnostic-freeform-dbf0e6db88ce,True,True,True,cluster_363,1,,ok,"CSRank(CSResidual(ZScore(Std($high,8)),CSRank($amount)))"
cluster_145,representative,119,agnostic-freeform-46d76839db90,True,True,True,cluster_364,1,,ok,"CSRank(CSResidual(ZScore(Mean(Abs(Delta($open,1)),8)),CSRank(Mean(Abs(Delta($high,1)),2))))"
cluster_146,representative,120,agnostic-freeform-9bdfcc8746f5,True,True,True,cluster_365,1,,ok,"CSRank(Mul(ZScore($vwap),Corr(Mean(Abs(Delta($vwap,1)),3),Delay(Mom($final_float_market_cap,34),1),21)))"
cluster_147,representative,121,agnostic-freeform-6abc920e9dee,True,True,True,cluster_366,1,,ok,"CSRank(Mul(ZScore(Mean($high,2)),Corr(Mean($vwap,3),Delta($amount,13),13)))"
cluster_148,representative,122,agnostic-freeform-4a6b536078b7,True,True,True,cluster_367,1,,ok,"CSRank(Add(ZScore(Std($vwap,34)),Sign(Mom($low,2))))"
cluster_149,representative,123,stockpit-ast_evolutionary_mutation-9f67fb9ef676,True,True,True,cluster_368,1,,ok,"CSRank(Mul(ZScore(Neg(CSRank(Mean(Abs($ret),3)))),ZScore(Neg(CSRank($close)))))"
cluster_150,representative,124,fgv2-signal_confirm_state-24bfb77a8efc,True,True,True,cluster_369,1,,ok,"CSRank(Mul(ZScore(Mom($close,60)),Mul(Mean(Mul(Sign(Delta($vwap,1)),Sign(Delta($turnover_rate,1))),20),ZScore(Mean(Abs(Delta($close,1)),60)))))"
cluster_151,representative,125,agnostic-freeform-edd9470c49cd,True,True,True,cluster_370,1,,ok,"CSRank(Mul(ZScore(Delta($open,8)),Mul(ZScore(Mean($final_total_market_cap,21)),CSRank($high))))"
cluster_152,representative,126,agnostic-freeform-1c846e0cc402,True,True,True,cluster_371,1,,ok,"CSRank(Mul(CSRank(Mean($low,5)),Corr(Mean(Abs(Delta($vwap,1)),8),Delay(Std($high,8),1),8)))"
cluster_153,representative,127,agnostic-freeform-73911f0bee3e,True,True,True,cluster_372,1,,ok,"CSRank(Mul(CSRank(Mom($turnover_rate,3)),Mul(ZScore(Delta($vwap,34)),ZScore(Mean(Abs(Delta($close,1)),5)))))"
cluster_154,representative,128,agnostic-freeform-0cb0d1322816,True,True,True,cluster_373,1,,ok,"CSRank(Mul(ZScore(Delta($high,21)),Mul(CSRank(Mean($close,34)),CSRank(Mean($vwap,8)))))"
declared_missing_001,declared_missing_placeholder,,,False,False,False,,0,,declared_count_exceeds_representative_rows,
declared_missing_002,declared_missing_placeholder,,,False,False,False,,0,,declared_count_exceeds_representative_rows,
