candidate_field,dataset,source_field,candidate_role,transform,pit_rule,priority
evt_zls_fd_close_rolling_5d,uplimit_stocks,fd_close,minute_event_or_tplus1,rolling_5d,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_fd_max,uplimit_stocks,fd_max,minute_event_or_tplus1,raw_numeric,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_fd_max_cross_sectional_rank,uplimit_stocks,fd_max,minute_event_or_tplus1,cross_sectional_rank,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_fd_max_zscore,uplimit_stocks,fd_max,minute_event_or_tplus1,zscore,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_fd_max_rolling_3d,uplimit_stocks,fd_max,minute_event_or_tplus1,rolling_3d,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_fd_max_rolling_5d,uplimit_stocks,fd_max,minute_event_or_tplus1,rolling_5d,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_market_c,uplimit_stocks,market_c,minute_event_or_tplus1,raw_numeric,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_market_c_cross_sectional_rank,uplimit_stocks,market_c,minute_event_or_tplus1,cross_sectional_rank,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_market_c_zscore,uplimit_stocks,market_c,minute_event_or_tplus1,zscore,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_market_c_rolling_3d,uplimit_stocks,market_c,minute_event_or_tplus1,rolling_3d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_market_c_rolling_5d,uplimit_stocks,market_c,minute_event_or_tplus1,rolling_5d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_market_c_c,uplimit_stocks,market_c_c,minute_event_or_tplus1,raw_numeric,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_market_c_c_cross_sectional_rank,uplimit_stocks,market_c_c,minute_event_or_tplus1,cross_sectional_rank,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_market_c_c_zscore,uplimit_stocks,market_c_c,minute_event_or_tplus1,zscore,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_market_c_c_rolling_3d,uplimit_stocks,market_c_c,minute_event_or_tplus1,rolling_3d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_market_c_c_rolling_5d,uplimit_stocks,market_c_c,minute_event_or_tplus1,rolling_5d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_plate_code_diagnostic,uplimit_stocks,plate_code,diagnostic_context,diagnostic_parse_or_expand_before_selector,event_row_available_after_up_limit_time_or_T_plus_1_daily,diagnostic
evt_zls_up_limit_desc_diagnostic,uplimit_stocks,up_limit_desc,diagnostic_context,diagnostic_parse_or_expand_before_selector,event_row_available_after_up_limit_time_or_T_plus_1_daily,diagnostic
evt_zls_up_limit_keep_times,uplimit_stocks,up_limit_keep_times,minute_event_or_tplus1,raw_numeric,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_up_limit_keep_times_cross_sectional_rank,uplimit_stocks,up_limit_keep_times,minute_event_or_tplus1,cross_sectional_rank,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_up_limit_keep_times_zscore,uplimit_stocks,up_limit_keep_times,minute_event_or_tplus1,zscore,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_up_limit_keep_times_rolling_3d,uplimit_stocks,up_limit_keep_times,minute_event_or_tplus1,rolling_3d,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_up_limit_keep_times_rolling_5d,uplimit_stocks,up_limit_keep_times,minute_event_or_tplus1,rolling_5d,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_up_limit_time,uplimit_stocks,up_limit_time,minute_event_cutoff_key,parse HH:MM event time; usable only when event_time <= decision_time,timestamped_intraday_event_after_up_limit_time,high
evt_zls_up_limit_type,uplimit_stocks,up_limit_type,minute_event_or_tplus1,raw_numeric,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_up_limit_type_cross_sectional_rank,uplimit_stocks,up_limit_type,minute_event_or_tplus1,cross_sectional_rank,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_up_limit_type_zscore,uplimit_stocks,up_limit_type,minute_event_or_tplus1,zscore,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_up_limit_type_rolling_3d,uplimit_stocks,up_limit_type,minute_event_or_tplus1,rolling_3d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_up_limit_type_rolling_5d,uplimit_stocks,up_limit_type,minute_event_or_tplus1,rolling_5d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
ctx_zls_lb_2_num_lag1,open_sentiment_data,lb_2_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,high
ctx_zls_lb_2_num_lag1_cross_sectional_rank,open_sentiment_data,lb_2_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,high
ctx_zls_lb_2_num_lag1_zscore,open_sentiment_data,lb_2_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,high
ctx_zls_lb_2_num_lag1_rolling_3d,open_sentiment_data,lb_2_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,high
ctx_zls_lb_2_num_lag1_rolling_5d,open_sentiment_data,lb_2_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,high
ctx_zls_gt5_num_lag1,open_sentiment_data,gt5_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,medium
ctx_zls_gt5_num_lag1_cross_sectional_rank,open_sentiment_data,gt5_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,medium
ctx_zls_gt5_num_lag1_zscore,open_sentiment_data,gt5_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,medium
ctx_zls_gt5_num_lag1_rolling_3d,open_sentiment_data,gt5_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,medium
ctx_zls_gt5_num_lag1_rolling_5d,open_sentiment_data,gt5_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,medium
ctx_zls_max_lb_num_lag1,open_sentiment_data,max_lb_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,high
ctx_zls_max_lb_num_lag1_cross_sectional_rank,open_sentiment_data,max_lb_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,high
ctx_zls_max_lb_num_lag1_zscore,open_sentiment_data,max_lb_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,high
ctx_zls_max_lb_num_lag1_rolling_3d,open_sentiment_data,max_lb_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,high
ctx_zls_max_lb_num_lag1_rolling_5d,open_sentiment_data,max_lb_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,high
ctx_zls_downlimit_num_lag1,open_sentiment_data,downlimit_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,high
ctx_zls_downlimit_num_lag1_cross_sectional_rank,open_sentiment_data,downlimit_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,high
ctx_zls_downlimit_num_lag1_zscore,open_sentiment_data,downlimit_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,high
ctx_zls_downlimit_num_lag1_rolling_3d,open_sentiment_data,downlimit_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,high
ctx_zls_downlimit_num_lag1_rolling_5d,open_sentiment_data,downlimit_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,high
ctx_zls_second_lb_num_lag1,open_sentiment_data,second_lb_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,medium
ctx_zls_second_lb_num_lag1_cross_sectional_rank,open_sentiment_data,second_lb_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,medium
ctx_zls_second_lb_num_lag1_zscore,open_sentiment_data,second_lb_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,medium
ctx_zls_second_lb_num_lag1_rolling_3d,open_sentiment_data,second_lb_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,medium
ctx_zls_second_lb_num_lag1_rolling_5d,open_sentiment_data,second_lb_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,medium
ctx_zls_lb_3_num_lag1,open_sentiment_data,lb_3_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,high
ctx_zls_lb_3_num_lag1_cross_sectional_rank,open_sentiment_data,lb_3_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,high
ctx_zls_lb_3_num_lag1_zscore,open_sentiment_data,lb_3_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,high
ctx_zls_lb_3_num_lag1_rolling_3d,open_sentiment_data,lb_3_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,high
ctx_zls_lb_3_num_lag1_rolling_5d,open_sentiment_data,lb_3_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,high
ctx_zls_damian_num_lag1,open_sentiment_data,damian_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,medium
ctx_zls_damian_num_lag1_cross_sectional_rank,open_sentiment_data,damian_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,medium
ctx_zls_damian_num_lag1_zscore,open_sentiment_data,damian_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,medium
ctx_zls_damian_num_lag1_rolling_3d,open_sentiment_data,damian_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,medium
ctx_zls_damian_num_lag1_rolling_5d,open_sentiment_data,damian_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,medium
ctx_zls_tiandi_num_lag1,open_sentiment_data,tiandi_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,medium
ctx_zls_tiandi_num_lag1_cross_sectional_rank,open_sentiment_data,tiandi_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,medium
ctx_zls_tiandi_num_lag1_zscore,open_sentiment_data,tiandi_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,medium
ctx_zls_tiandi_num_lag1_rolling_3d,open_sentiment_data,tiandi_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,medium
ctx_zls_tiandi_num_lag1_rolling_5d,open_sentiment_data,tiandi_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,medium
ctx_zls_mian_num_lag1,open_sentiment_data,mian_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,medium
ctx_zls_mian_num_lag1_cross_sectional_rank,open_sentiment_data,mian_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,medium
ctx_zls_mian_num_lag1_zscore,open_sentiment_data,mian_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,medium
ctx_zls_mian_num_lag1_rolling_3d,open_sentiment_data,mian_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,medium
ctx_zls_mian_num_lag1_rolling_5d,open_sentiment_data,mian_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,medium
ctx_zls_ditian_num_lag1,open_sentiment_data,ditian_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,medium
ctx_zls_ditian_num_lag1_cross_sectional_rank,open_sentiment_data,ditian_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,medium
ctx_zls_ditian_num_lag1_zscore,open_sentiment_data,ditian_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,medium
ctx_zls_ditian_num_lag1_rolling_3d,open_sentiment_data,ditian_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,medium
ctx_zls_ditian_num_lag1_rolling_5d,open_sentiment_data,ditian_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,medium
ctx_zls_fb_num_lag1,open_sentiment_data,fb_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,medium
ctx_zls_fb_num_lag1_cross_sectional_rank,open_sentiment_data,fb_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,medium
ctx_zls_fb_num_lag1_zscore,open_sentiment_data,fb_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,medium
ctx_zls_fb_num_lag1_rolling_3d,open_sentiment_data,fb_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,medium
ctx_zls_fb_num_lag1_rolling_5d,open_sentiment_data,fb_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,medium
ctx_zls_bigleg_num_lag1,open_sentiment_data,bigleg_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,medium
ctx_zls_bigleg_num_lag1_cross_sectional_rank,open_sentiment_data,bigleg_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,medium
ctx_zls_bigleg_num_lag1_zscore,open_sentiment_data,bigleg_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,medium
ctx_zls_bigleg_num_lag1_rolling_3d,open_sentiment_data,bigleg_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,medium
ctx_zls_bigleg_num_lag1_rolling_5d,open_sentiment_data,bigleg_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,medium
ctx_zls_max_lb_stocks_diagnostic,open_sentiment_data,max_lb_stocks,diagnostic_context,diagnostic_parse_or_expand_before_selector,T_plus_1_lagged_daily_context,diagnostic
ctx_zls_uplimit_n_num_lag1,open_sentiment_data,uplimit_n_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,medium
ctx_zls_uplimit_n_num_lag1_cross_sectional_rank,open_sentiment_data,uplimit_n_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,medium
ctx_zls_uplimit_n_num_lag1_zscore,open_sentiment_data,uplimit_n_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,medium
ctx_zls_uplimit_n_num_lag1_rolling_3d,open_sentiment_data,uplimit_n_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,medium
ctx_zls_uplimit_n_num_lag1_rolling_5d,open_sentiment_data,uplimit_n_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,medium
ctx_zls_lt5_num_lag1,open_sentiment_data,lt5_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,medium
ctx_zls_lt5_num_lag1_cross_sectional_rank,open_sentiment_data,lt5_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,medium
ctx_zls_lt5_num_lag1_zscore,open_sentiment_data,lt5_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,medium
ctx_zls_lt5_num_lag1_rolling_3d,open_sentiment_data,lt5_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,medium
ctx_zls_lt5_num_lag1_rolling_5d,open_sentiment_data,lt5_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,medium
ctx_zls_lb_h_num_lag1,open_sentiment_data,lb_h_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,high
ctx_zls_lb_h_num_lag1_cross_sectional_rank,open_sentiment_data,lb_h_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,high
ctx_zls_lb_h_num_lag1_zscore,open_sentiment_data,lb_h_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,high
ctx_zls_lb_h_num_lag1_rolling_3d,open_sentiment_data,lb_h_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,high
ctx_zls_lb_h_num_lag1_rolling_5d,open_sentiment_data,lb_h_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,high
ctx_zls_uplimit_num_lag1,open_sentiment_data,uplimit_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,high
ctx_zls_uplimit_num_lag1_cross_sectional_rank,open_sentiment_data,uplimit_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,high
ctx_zls_uplimit_num_lag1_zscore,open_sentiment_data,uplimit_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,high
ctx_zls_uplimit_num_lag1_rolling_3d,open_sentiment_data,uplimit_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,high
ctx_zls_uplimit_num_lag1_rolling_5d,open_sentiment_data,uplimit_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,high
ctx_zls_up_num_lag1,open_sentiment_data,up_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,medium
ctx_zls_up_num_lag1_cross_sectional_rank,open_sentiment_data,up_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,medium
ctx_zls_up_num_lag1_zscore,open_sentiment_data,up_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,medium
ctx_zls_up_num_lag1_rolling_3d,open_sentiment_data,up_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,medium
ctx_zls_up_num_lag1_rolling_5d,open_sentiment_data,up_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,medium
ctx_zls_zb_num_lag1,open_sentiment_data,zb_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,high
ctx_zls_zb_num_lag1_cross_sectional_rank,open_sentiment_data,zb_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,high
ctx_zls_zb_num_lag1_zscore,open_sentiment_data,zb_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,high
ctx_zls_zb_num_lag1_rolling_3d,open_sentiment_data,zb_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,high
ctx_zls_zb_num_lag1_rolling_5d,open_sentiment_data,zb_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,high
ctx_zls_down_num_lag1,open_sentiment_data,down_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,medium
ctx_zls_down_num_lag1_cross_sectional_rank,open_sentiment_data,down_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,medium
ctx_zls_down_num_lag1_zscore,open_sentiment_data,down_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,medium
ctx_zls_down_num_lag1_rolling_3d,open_sentiment_data,down_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,medium
ctx_zls_down_num_lag1_rolling_5d,open_sentiment_data,down_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,medium
ctx_zls_ttag_diagnostic,sentiment_hot_day,ttag,diagnostic_context,diagnostic_parse_or_expand_before_selector,T_plus_1_lagged_daily_context,diagnostic
ctx_zls_df_num_lag1,sentiment_hot_day,df_num,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,high
ctx_zls_df_num_lag1_cross_sectional_rank,sentiment_hot_day,df_num,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,high
ctx_zls_df_num_lag1_zscore,sentiment_hot_day,df_num,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,high
ctx_zls_df_num_lag1_rolling_3d,sentiment_hot_day,df_num,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,high
ctx_zls_df_num_lag1_rolling_5d,sentiment_hot_day,df_num,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,high
ctx_zls_lbgd_lag1,sentiment_hot_day,lbgd,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,high
ctx_zls_lbgd_lag1_cross_sectional_rank,sentiment_hot_day,lbgd,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,high
ctx_zls_lbgd_lag1_zscore,sentiment_hot_day,lbgd,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,high
ctx_zls_lbgd_lag1_rolling_3d,sentiment_hot_day,lbgd,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,high
ctx_zls_lbgd_lag1_rolling_5d,sentiment_hot_day,lbgd,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,high
ctx_zls_strong_lag1,sentiment_hot_day,strong,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,high
ctx_zls_strong_lag1_cross_sectional_rank,sentiment_hot_day,strong,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,high
ctx_zls_strong_lag1_zscore,sentiment_hot_day,strong,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,high
ctx_zls_strong_lag1_rolling_3d,sentiment_hot_day,strong,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,high
ctx_zls_strong_lag1_rolling_5d,sentiment_hot_day,strong,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,high
ctx_zls_ztjs_lag1,sentiment_hot_day,ztjs,lagged_daily_context,raw_numeric,T_plus_1_lagged_daily_context,high
ctx_zls_ztjs_lag1_cross_sectional_rank,sentiment_hot_day,ztjs,lagged_daily_context,cross_sectional_rank,T_plus_1_lagged_daily_context,high
ctx_zls_ztjs_lag1_zscore,sentiment_hot_day,ztjs,lagged_daily_context,zscore,T_plus_1_lagged_daily_context,high
ctx_zls_ztjs_lag1_rolling_3d,sentiment_hot_day,ztjs,lagged_daily_context,rolling_3d,T_plus_1_lagged_daily_context,high
ctx_zls_ztjs_lag1_rolling_5d,sentiment_hot_day,ztjs,lagged_daily_context,rolling_5d,T_plus_1_lagged_daily_context,high
ctx_zls_circulation_value_lag1,ths_hot_top,circulation_value,lagged_daily_stock_context,raw_numeric,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_circulation_value_lag1_cross_sectional_rank,ths_hot_top,circulation_value,lagged_daily_stock_context,cross_sectional_rank,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_circulation_value_lag1_zscore,ths_hot_top,circulation_value,lagged_daily_stock_context,zscore,T_plus_1_lagged_daily_stock_context,medium
