"shard","candidate_id","expression","family","sortino","ret","rank_ic","amount","turnover","float_mcap_b","passes_smoke","promoted","expr"
"supervisor-shard_12_of_16","stockpit-ff-d4704fec1fa2","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),8)))))","rx_beam_open_gap_x_vol_curve","4.903483","0.001409","0.024442","991334581.840656","0.066491","22.000281","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),8)))))"
"supervisor-shard_11_of_16","stockpit-ff-047ab7a36e67","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),52)))))","rx_beam_open_gap_x_vol_curve","4.897013","0.00122","0.022712","1012503725.61398","0.066555","21.81137","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),52)))))"
"supervisor-shard_10_of_16","stockpit-ff-7b23a66725d5","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),39)))))","rx_beam_open_gap_x_vol_curve","4.896292","0.001149","0.023346","1022884064.26356","0.068205","21.098222","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),39)))))"
"supervisor-shard_11_of_16","stockpit-ff-c850c77343b1","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),5)))))","rx_beam_open_gap_x_vol_curve","4.797339","0.001511","0.023152","997444535.687994","0.065822","21.832065","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),5)))))"
"supervisor-shard_10_of_16","stockpit-ff-f2bc33e15000","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),47)))))","rx_beam_open_gap_x_vol_curve","4.774833","0.000867","0.024472","1019200488.50627","0.067602","21.380966","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),47)))))"
"supervisor-shard_08_of_16","stockpit-ff-257c0a194f23","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),27)))))","rx_beam_open_gap_x_vol_curve","4.771984","0.001223","0.02344","1030001544.31001","0.067499","21.489072","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),27)))))"
"supervisor-shard_10_of_16","stockpit-ff-bf6bd2010aff","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),40)))))","rx_beam_open_gap_x_vol_curve","4.752537","0.001166","0.023403","1030898893.52209","0.068249","21.276064","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),40)))))"
"supervisor-shard_08_of_16","stockpit-ff-3baf93cdf8d8","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),20)))))","rx_beam_open_gap_x_vol_curve","4.647851","0.001085","0.023506","1012457976.07119","0.066962","21.408556","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),20)))))"
"supervisor-shard_11_of_16","stockpit-ff-730f3d351b6d","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),51)))))","rx_beam_open_gap_x_vol_curve","4.570447","0.001016","0.022038","1007966902.52618","0.066874","21.697405","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),51)))))"
"supervisor-shard_05_of_16","stockpit-ff-35cd7805b3b2","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),52)))))","rx_beam_open_gap_x_vol_curve","4.468315","0.001304","0.022648","1008980590.9476","0.064405","22.493336","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),52)))))"
"supervisor-shard_08_of_16","stockpit-ff-3e1f1e027570","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),25)))))","rx_beam_open_gap_x_vol_curve","4.374465","0.001262","0.023433","1024524979.43568","0.067215","21.618983","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),25)))))"
"supervisor-shard_05_of_16","stockpit-ff-90acab2add89","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),51)))))","rx_beam_open_gap_x_vol_curve","4.362901","0.001159","0.021928","1005941179.82026","0.064795","22.292314","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),51)))))"
"supervisor-shard_12_of_16","stockpit-ff-d518988f299d","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),7)))))","rx_beam_open_gap_x_vol_curve","3.988411","0.001442","0.024432","998334865.993399","0.066433","22.365913","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),7)))))"
"supervisor-shard_06_of_16","stockpit-ff-5d1af8bea39c","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),82)))))","rx_beam_open_gap_x_vol_curve","3.959928","-0.000358","0.019783","981881086.740679","0.062349","24.221156","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),82)))))"
"supervisor-shard_12_of_16","stockpit-ff-1691baa23482","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),9)))))","rx_beam_open_gap_x_vol_curve","3.876889","0.001066","0.024012","1009657098.01516","0.066196","22.412695","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),9)))))"
"supervisor-shard_08_of_16","stockpit-ff-a4b813369ac2","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),24)))))","rx_beam_open_gap_x_vol_curve","3.825382","0.00126","0.023409","1017742363.7751","0.067179","21.335831","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),24)))))"
"supervisor-shard_06_of_16","stockpit-ff-f28400797a14","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),62)))))","rx_beam_open_gap_x_vol_curve","3.741195","0.001071","0.025821","983072535.012063","0.063654","22.389809","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),62)))))"
"supervisor-shard_13_of_16","stockpit-ff-82f75bc5798d","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),20)))))","rx_beam_open_gap_x_vol_curve","3.704514","0.001123","0.023725","1027397108.88817","0.068147","22.066156","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),20)))))"
"supervisor-shard_06_of_16","stockpit-ff-5c782e0c7f09","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),58)))))","rx_beam_open_gap_x_vol_curve","3.441617","0.000672","0.023745","991160771.290009","0.063835","22.341725","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),58)))))"
"supervisor-shard_05_of_16","stockpit-ff-6dd9c76f0eef","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),41)))))","rx_beam_open_gap_x_vol_curve","3.268864","0.0012","0.023832","1020463477.70674","0.065913","22.17179","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),41)))))"
"supervisor-shard_13_of_16","stockpit-ff-3e446af29903","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),19)))))","rx_beam_open_gap_x_vol_curve","3.17588","0.001107","0.023789","1030634300.71115","0.068185","22.042142","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),19)))))"
"supervisor-shard_14_of_16","stockpit-ff-6d67254e9124","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,17)))))","rx_beam_momentum_x_turnover_curve","3.03013","0.002413","0.009451","783836331.744535","0.052951","21.051222","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,17)))))"
"supervisor-shard_14_of_16","stockpit-ff-6b068c3b3878","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,15)))))","rx_beam_momentum_x_turnover_curve","2.942117","0.002313","0.009389","786372694.35568","0.053063","21.399777","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,15)))))"
"supervisor-shard_14_of_16","stockpit-ff-ce417ff83c63","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,18)))))","rx_beam_momentum_x_turnover_curve","2.823651","0.002555","0.009239","791264672.344471","0.052914","21.024653","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,18)))))"
"supervisor-shard_13_of_16","stockpit-ff-e8aa13fb48e5","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),18)))))","rx_beam_open_gap_x_vol_curve","2.678591","0.001088","0.023853","1019288965.20739","0.068077","21.582845","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),18)))))"
"supervisor-shard_14_of_16","stockpit-ff-227a63b35b30","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,16)))))","rx_beam_momentum_x_turnover_curve","2.634622","0.002264","0.0094","781806417.258495","0.052872","21.082494","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,16)))))"
"supervisor-shard_14_of_16","stockpit-ff-79745d9a511e","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,22)))))","rx_beam_momentum_x_turnover_curve","2.600633","0.002792","0.00847","796695266.719497","0.053274","21.080357","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,22)))))"
"supervisor-shard_14_of_16","stockpit-ff-fe818fc39822","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,19)))))","rx_beam_momentum_x_turnover_curve","2.542168","0.002583","0.009094","784849704.129324","0.052695","21.205855","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,19)))))"
"supervisor-shard_13_of_16","stockpit-ff-c80f24b4e0c8","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),17)))))","rx_beam_open_gap_x_vol_curve","2.4546","0.000901","0.023756","1011959497.14867","0.067708","21.845436","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),17)))))"
"supervisor-shard_14_of_16","stockpit-ff-af1bff5bd958","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,20)))))","rx_beam_momentum_x_turnover_curve","2.34887","0.002566","0.008936","783628138.06728","0.053063","20.764837","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,20)))))"
"supervisor-shard_14_of_16","stockpit-ff-80b9269eb81c","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,14)))))","rx_beam_momentum_x_turnover_curve","2.260144","0.002136","0.009371","780408514.506057","0.053154","21.92664","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,14)))))"
"supervisor-shard_13_of_16","stockpit-ff-2c69255dfb1b","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,11)))))","rx_beam_momentum_x_turnover_curve","2.258082","0.001986","0.008859","785246414.910739","0.052493","22.360626","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,11)))))"
"supervisor-shard_14_of_16","stockpit-ff-f0fcb7cc0cb4","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,21)))))","rx_beam_momentum_x_turnover_curve","2.217923","0.002592","0.008747","794482729.668969","0.053498","21.205751","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,21)))))"
"supervisor-shard_14_of_16","stockpit-ff-35d584599565","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,23)))))","rx_beam_momentum_x_turnover_curve","2.131512","0.002594","0.008409","803395670.45998","0.053693","21.092485","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,23)))))"
"supervisor-shard_14_of_16","stockpit-ff-17d6ca8be89b","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,24)))))","rx_beam_momentum_x_turnover_curve","2.083646","0.002584","0.008371","805787856.521347","0.054299","21.02186","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,24)))))"
"supervisor-shard_14_of_16","stockpit-ff-aa7cd5dc5380","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,12)))))","rx_beam_momentum_x_turnover_curve","2.040665","0.001993","0.008954","770801536.546403","0.052583","21.730365","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,12)))))"
"supervisor-shard_14_of_16","stockpit-ff-413e024d5193","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,27)))))","rx_beam_momentum_x_turnover_curve","1.989091","0.002282","0.008323","813142835.106384","0.054613","20.585907","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,27)))))"
"supervisor-shard_15_of_16","stockpit-ff-163ced8322d3","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,41)))))","rx_beam_momentum_x_turnover_curve","1.983431","0.002407","0.008223","848780531.768576","0.056735","19.869284","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,41)))))"
"supervisor-shard_14_of_16","stockpit-ff-b776c06756f1","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,26)))))","rx_beam_momentum_x_turnover_curve","1.969439","0.002214","0.008354","808073172.167616","0.054332","20.510996","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,26)))))"
"supervisor-shard_15_of_16","stockpit-ff-67379820c4c3","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($volume,1),Mean($volume,39)))))","rx_beam_momentum_x_volume_curve","1.956304","0.002364","0.008266","839448757.238265","0.056933","20.681752","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($volume,1),Mean($volume,39)))))"
"supervisor-shard_15_of_16","stockpit-ff-4c43412f98a2","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,40)))))","rx_beam_momentum_x_turnover_curve","1.921164","0.002406","0.008313","840623161.463635","0.056588","20.633585","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,40)))))"
"supervisor-shard_15_of_16","stockpit-ff-df93dae7f0a4","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($volume,1),Mean($volume,40)))))","rx_beam_momentum_x_volume_curve","1.917608","0.002371","0.008259","851315039.330696","0.056944","20.919456","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($volume,1),Mean($volume,40)))))"
"supervisor-shard_15_of_16","stockpit-ff-374246e6ad26","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,29)))))","rx_beam_momentum_x_turnover_curve","1.915203","0.002133","0.008334","812603730.234611","0.055368","20.572801","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,29)))))"
"supervisor-shard_14_of_16","stockpit-ff-1ca9964a837b","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,25)))))","rx_beam_momentum_x_turnover_curve","1.886569","0.002437","0.008424","803611432.164139","0.054208","20.812265","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,25)))))"
"supervisor-shard_15_of_16","stockpit-ff-47fec9d43e31","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($volume,1),Mean($volume,41)))))","rx_beam_momentum_x_volume_curve","1.831801","0.002241","0.008178","857230868.677033","0.057069","20.463168","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($volume,1),Mean($volume,41)))))"
"supervisor-shard_15_of_16","stockpit-ff-3cdda23ca2c0","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,39)))))","rx_beam_momentum_x_turnover_curve","1.81506","0.002346","0.008319","836586942.98439","0.056598","20.598049","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,39)))))"
"supervisor-shard_14_of_16","stockpit-ff-ef473356a138","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,13)))))","rx_beam_momentum_x_turnover_curve","1.809368","0.00195","0.009072","777757022.063409","0.05278","21.984541","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,13)))))"
"supervisor-shard_15_of_16","stockpit-ff-d9d6746a999d","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($volume,1),Mean($volume,37)))))","rx_beam_momentum_x_volume_curve","1.790228","0.002238","0.00819","847719579.118157","0.057141","20.04473","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($volume,1),Mean($volume,37)))))"
"supervisor-shard_13_of_16","stockpit-ff-df8a00c0b5b3","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,9)))))","rx_beam_momentum_x_turnover_curve","1.782507","0.001974","0.00887","776617223.957541","0.052403","22.1969","False","False","CSRank(CSResidual(CSRank(Mom($close,2)),CSRank(Div(Mean($turnover_rate,1),Mean($turnover_rate,9)))))"
"supervisor-shard_05_of_16","stockpit-ff-5580da3c14bc","Neg(CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),41))))","rx_vol_curve_inverted_rank","1.671","0.002027","0.018351","283125763.316892","0.024476","21.265559","False","False","Neg(CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),41))))"
