field,field_family,coverage_ratio,usable_rows,usable_dates,unique_values,lag_days,window,train_2025h2_days,train_2025h2_mean_ic,train_2025h2_median_ic,train_2025h2_ic_positive_rate,scan_stage,oos_2026_days,oos_2026_mean_ic,oos_2026_median_ic,oos_2026_ic_positive_rate,oos_2026_r3_on_days,oos_2026_r3_on_mean_ic,oos_2026_r3_on_median_ic,oos_2026_r3_on_ic_positive_rate,oos_2026_r3_off_days,oos_2026_r3_off_mean_ic,oos_2026_r3_off_median_ic,oos_2026_r3_off_ic_positive_rate,preferred_direction,decision,fast_score,train_2025h2_mean_spread,train_2025h2_median_turnover,train_2025h2_p90_turnover,train_2025h2_ls_ann,train_2025h2_ls_sortino,train_2025h2_ls_maxdd,train_2025h2_ls_top3_share,train_2025h2_ls_net10_ann,train_2025h2_ls_net10_sortino,train_2025h2_ls_net10_maxdd,oos_2026_mean_spread,oos_2026_median_turnover,oos_2026_p90_turnover,oos_2026_ls_ann,oos_2026_ls_sortino,oos_2026_ls_maxdd,oos_2026_ls_top3_share,oos_2026_ls_net10_ann,oos_2026_ls_net10_sortino,oos_2026_ls_net10_maxdd,oos_2026_r3_on_mean_spread,oos_2026_r3_on_median_turnover,oos_2026_r3_on_p90_turnover,oos_2026_r3_on_ls_ann,oos_2026_r3_on_ls_sortino,oos_2026_r3_on_ls_maxdd,oos_2026_r3_on_ls_top3_share,oos_2026_r3_on_ls_net10_ann,oos_2026_r3_on_ls_net10_sortino,oos_2026_r3_on_ls_net10_maxdd,oos_2026_r3_off_mean_spread,oos_2026_r3_off_median_turnover,oos_2026_r3_off_p90_turnover,oos_2026_r3_off_ls_ann,oos_2026_r3_off_ls_sortino,oos_2026_r3_off_ls_maxdd,oos_2026_r3_off_ls_top3_share,oos_2026_r3_off_ls_net10_ann,oos_2026_r3_off_ls_net10_sortino,oos_2026_r3_off_ls_net10_maxdd
low,price_state,0.980757,879958,160,21065,1,oos_2026_r3_on,99,-0.014778,-0.001234,0.484848,fast_ic,61,-0.022478,-0.062157,0.42623,22,0.008582,-0.034702,0.409091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low,price_state,0.980757,879958,160,21065,1,oos_2026_r3_off,99,-0.014778,-0.001234,0.484848,fast_ic,61,-0.022478,-0.062157,0.42623,22,0.008582,-0.034702,0.409091,39,-0.039998,-0.074853,0.435897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close,price_state,0.980757,879958,160,22826,1,train_2025h2,99,-0.015574,-0.003688,0.494949,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close,price_state,0.980757,879958,160,22826,1,oos_2026,99,-0.015574,-0.003688,0.494949,fast_ic,61,-0.023291,-0.063173,0.42623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close,price_state,0.980757,879958,160,22826,1,oos_2026_r3_on,99,-0.015574,-0.003688,0.494949,fast_ic,61,-0.023291,-0.063173,0.42623,22,0.007645,-0.035676,0.409091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close,price_state,0.980757,879958,160,22826,1,oos_2026_r3_off,99,-0.015574,-0.003688,0.494949,fast_ic,61,-0.023291,-0.063173,0.42623,22,0.007645,-0.035676,0.409091,39,-0.040742,-0.075648,0.435897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amount,daily_flow_liquidity,0.980757,879958,160,863536,1,train_2025h2,99,-0.029753,-0.012373,0.464646,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amount,daily_flow_liquidity,0.980757,879958,160,863536,1,oos_2026,99,-0.029753,-0.012373,0.464646,fast_ic,61,-0.046901,-0.078646,0.42623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amount,daily_flow_liquidity,0.980757,879958,160,863536,1,oos_2026_r3_on,99,-0.029753,-0.012373,0.464646,fast_ic,61,-0.046901,-0.078646,0.42623,22,-0.050852,-0.084457,0.409091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amount,daily_flow_liquidity,0.980757,879958,160,863536,1,oos_2026_r3_off,99,-0.029753,-0.012373,0.464646,fast_ic,61,-0.046901,-0.078646,0.42623,22,-0.050852,-0.084457,0.409091,39,-0.044672,-0.077455,0.435897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volume,daily_flow_liquidity,0.980757,879958,160,820364,1,train_2025h2,99,-0.012539,-0.012249,0.434343,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volume,daily_flow_liquidity,0.980757,879958,160,820364,1,oos_2026,99,-0.012539,-0.012249,0.434343,fast_ic,61,-0.025048,-0.027806,0.393443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volume,daily_flow_liquidity,0.980757,879958,160,820364,1,oos_2026_r3_on,99,-0.012539,-0.012249,0.434343,fast_ic,61,-0.025048,-0.027806,0.393443,22,-0.050348,-0.054375,0.272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volume,daily_flow_liquidity,0.980757,879958,160,820364,1,oos_2026_r3_off,99,-0.012539,-0.012249,0.434343,fast_ic,61,-0.025048,-0.027806,0.393443,22,-0.050348,-0.054375,0.272727,39,-0.010776,-0.007669,0.461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overnight,price_state,0.980757,879958,160,225321,0,train_2025h2,99,0.001948,-0.002254,0.494949,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overnight,price_state,0.980757,879958,160,225321,0,oos_2026,99,0.001948,-0.002254,0.494949,fast_ic,61,0.009248,0.011547,0.540984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overnight,price_state,0.980757,879958,160,225321,0,oos_2026_r3_on,99,0.001948,-0.002254,0.494949,fast_ic,61,0.009248,0.011547,0.540984,22,0.032888,0.070637,0.636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overnight,price_state,0.980757,879958,160,225321,0,oos_2026_r3_off,99,0.001948,-0.002254,0.494949,fast_ic,61,0.009248,0.011547,0.540984,22,0.032888,0.070637,0.636364,39,-0.004087,-0.004478,0.487179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_share,capacity_size,0.970312,870586,160,9353,1,train_2025h2,99,0.024334,0.034651,0.59596,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_share,capacity_size,0.970312,870586,160,9353,1,oos_2026,99,0.024334,0.034651,0.59596,fast_ic,61,0.005828,-7.1e-05,0.491803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_share,capacity_size,0.970312,870586,160,9353,1,oos_2026_r3_on,99,0.024334,0.034651,0.59596,fast_ic,61,0.005828,-7.1e-05,0.491803,22,-0.01015,0.015061,0.545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_share,capacity_size,0.970312,870586,160,9353,1,oos_2026_r3_off,99,0.024334,0.034651,0.59596,fast_ic,61,0.005828,-7.1e-05,0.491803,22,-0.01015,0.015061,0.545455,39,0.014841,-0.003293,0.461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_share,capacity_size,0.970312,870586,160,8309,1,train_2025h2,99,0.023211,0.030133,0.626263,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_share,capacity_size,0.970312,870586,160,8309,1,oos_2026,99,0.023211,0.030133,0.626263,fast_ic,61,0.004373,-0.006546,0.491803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_share,capacity_size,0.970312,870586,160,8309,1,oos_2026_r3_on,99,0.023211,0.030133,0.626263,fast_ic,61,0.004373,-0.006546,0.491803,22,-0.01283,0.001318,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_share,capacity_size,0.970312,870586,160,8309,1,oos_2026_r3_off,99,0.023211,0.030133,0.626263,fast_ic,61,0.004373,-0.006546,0.491803,22,-0.01283,0.001318,0.5,39,0.014078,-0.010899,0.487179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after_float_share_10k,capacity_size,0.970312,870586,160,9353,1,train_2025h2,99,0.024334,0.034651,0.59596,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after_float_share_10k,capacity_size,0.970312,870586,160,9353,1,oos_2026,99,0.024334,0.034651,0.59596,fast_ic,61,0.005828,-7.1e-05,0.491803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after_float_share_10k,capacity_size,0.970312,870586,160,9353,1,oos_2026_r3_on,99,0.024334,0.034651,0.59596,fast_ic,61,0.005828,-7.1e-05,0.491803,22,-0.01015,0.015061,0.545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after_float_share_10k,capacity_size,0.970312,870586,160,9353,1,oos_2026_r3_off,99,0.024334,0.034651,0.59596,fast_ic,61,0.005828,-7.1e-05,0.491803,22,-0.01015,0.015061,0.545455,39,0.014841,-0.003293,0.461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after_total_share_10k,capacity_size,0.970312,870586,160,8309,1,train_2025h2,99,0.023211,0.030133,0.626263,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after_total_share_10k,capacity_size,0.970312,870586,160,8309,1,oos_2026,99,0.023211,0.030133,0.626263,fast_ic,61,0.004373,-0.006546,0.491803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after_total_share_10k,capacity_size,0.970312,870586,160,8309,1,oos_2026_r3_on,99,0.023211,0.030133,0.626263,fast_ic,61,0.004373,-0.006546,0.491803,22,-0.01283,0.001318,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after_total_share_10k,capacity_size,0.970312,870586,160,8309,1,oos_2026_r3_off,99,0.023211,0.030133,0.626263,fast_ic,61,0.004373,-0.006546,0.491803,22,-0.01283,0.001318,0.5,39,0.014078,-0.010899,0.487179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market_cap,capacity_size,0.970312,870586,160,686061,1,train_2025h2,99,0.01133,0.011222,0.515152,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market_cap,capacity_size,0.970312,870586,160,686061,1,oos_2026,99,0.01133,0.011222,0.515152,fast_ic,61,-0.018776,-0.025745,0.459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market_cap,capacity_size,0.970312,870586,160,686061,1,oos_2026_r3_on,99,0.01133,0.011222,0.515152,fast_ic,61,-0.018776,-0.025745,0.459016,22,-0.010441,-0.04635,0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market_cap,capacity_size,0.970312,870586,160,686061,1,oos_2026_r3_off,99,0.01133,0.011222,0.515152,fast_ic,61,-0.018776,-0.025745,0.459016,22,-0.010441,-0.04635,0.454545,39,-0.023478,-0.017408,0.461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_market_cap,capacity_size,0.970312,870586,160,700392,1,train_2025h2,99,0.015779,0.002109,0.515152,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_market_cap,capacity_size,0.970312,870586,160,700392,1,oos_2026,99,0.015779,0.002109,0.515152,fast_ic,61,-0.013895,-0.022286,0.491803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_market_cap,capacity_size,0.970312,870586,160,700392,1,oos_2026_r3_on,99,0.015779,0.002109,0.515152,fast_ic,61,-0.013895,-0.022286,0.491803,22,-0.006355,-0.029216,0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_market_cap,capacity_size,0.970312,870586,160,700392,1,oos_2026_r3_off,99,0.015779,0.002109,0.515152,fast_ic,61,-0.013895,-0.022286,0.491803,22,-0.006355,-0.029216,0.454545,39,-0.018148,0.000798,0.512821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market_cap_billion,capacity_size,0.970312,870586,160,685913,1,train_2025h2,99,0.01133,0.011222,0.515152,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market_cap_billion,capacity_size,0.970312,870586,160,685913,1,oos_2026,99,0.01133,0.011222,0.515152,fast_ic,61,-0.018776,-0.025745,0.459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market_cap_billion,capacity_size,0.970312,870586,160,685913,1,oos_2026_r3_on,99,0.01133,0.011222,0.515152,fast_ic,61,-0.018776,-0.025745,0.459016,22,-0.010441,-0.04635,0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market_cap_billion,capacity_size,0.970312,870586,160,685913,1,oos_2026_r3_off,99,0.01133,0.011222,0.515152,fast_ic,61,-0.018776,-0.025745,0.459016,22,-0.010441,-0.04635,0.454545,39,-0.023478,-0.017408,0.461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_market_cap_billion,capacity_size,0.970312,870586,160,700353,1,train_2025h2,99,0.015779,0.002109,0.515152,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_market_cap_billion,capacity_size,0.970312,870586,160,700353,1,oos_2026,99,0.015779,0.002109,0.515152,fast_ic,61,-0.013895,-0.022286,0.491803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_market_cap_billion,capacity_size,0.970312,870586,160,700353,1,oos_2026_r3_on,99,0.015779,0.002109,0.515152,fast_ic,61,-0.013895,-0.022286,0.491803,22,-0.006355,-0.029216,0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_market_cap_billion,capacity_size,0.970312,870586,160,700353,1,oos_2026_r3_off,99,0.015779,0.002109,0.515152,fast_ic,61,-0.013895,-0.022286,0.491803,22,-0.006355,-0.029216,0.454545,39,-0.018148,0.000798,0.512821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdxgp_total_mv_10k_cny,other_numeric,0.980743,879945,160,681041,1,train_2025h2,99,0.01337,0.003177,0.505051,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdxgp_total_mv_10k_cny,other_numeric,0.980743,879945,160,681041,1,oos_2026,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdxgp_total_mv_10k_cny,other_numeric,0.980743,879945,160,681041,1,oos_2026_r3_on,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,22,-0.009702,-0.043676,0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdxgp_total_mv_10k_cny,other_numeric,0.980743,879945,160,681041,1,oos_2026_r3_off,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,22,-0.009702,-0.043676,0.454545,39,-0.0236,-0.017459,0.461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdxgp_total_market_cap,capacity_size,0.980743,879945,160,681041,1,train_2025h2,99,0.01337,0.003177,0.505051,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdxgp_total_market_cap,capacity_size,0.980743,879945,160,681041,1,oos_2026,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdxgp_total_market_cap,capacity_size,0.980743,879945,160,681041,1,oos_2026_r3_on,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,22,-0.009702,-0.043676,0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdxgp_total_market_cap,capacity_size,0.980743,879945,160,681041,1,oos_2026_r3_off,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,22,-0.009702,-0.043676,0.454545,39,-0.0236,-0.017459,0.461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdxgp_total_market_cap_billion,capacity_size,0.980743,879945,160,681041,1,train_2025h2,99,0.01337,0.003177,0.505051,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdxgp_total_market_cap_billion,capacity_size,0.980743,879945,160,681041,1,oos_2026,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdxgp_total_market_cap_billion,capacity_size,0.980743,879945,160,681041,1,oos_2026_r3_on,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,22,-0.009702,-0.043676,0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdxgp_total_market_cap_billion,capacity_size,0.980743,879945,160,681041,1,oos_2026_r3_off,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,22,-0.009702,-0.043676,0.454545,39,-0.0236,-0.017459,0.461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_total_market_cap,capacity_size,0.980743,879945,160,681041,1,train_2025h2,99,0.01337,0.003177,0.505051,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_total_market_cap,capacity_size,0.980743,879945,160,681041,1,oos_2026,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_total_market_cap,capacity_size,0.980743,879945,160,681041,1,oos_2026_r3_on,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,22,-0.009702,-0.043676,0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_total_market_cap,capacity_size,0.980743,879945,160,681041,1,oos_2026_r3_off,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,22,-0.009702,-0.043676,0.454545,39,-0.0236,-0.017459,0.461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_total_market_cap_billion,capacity_size,0.980743,879945,160,681041,1,train_2025h2,99,0.01337,0.003177,0.505051,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_total_market_cap_billion,capacity_size,0.980743,879945,160,681041,1,oos_2026,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_total_market_cap_billion,capacity_size,0.980743,879945,160,681041,1,oos_2026_r3_on,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,22,-0.009702,-0.043676,0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_total_market_cap_billion,capacity_size,0.980743,879945,160,681041,1,oos_2026_r3_off,99,0.01337,0.003177,0.505051,fast_ic,61,-0.018588,-0.027174,0.459016,22,-0.009702,-0.043676,0.454545,39,-0.0236,-0.017459,0.461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_float_market_cap,capacity_size,0.970312,870586,160,700392,1,train_2025h2,99,0.015779,0.002109,0.515152,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_float_market_cap,capacity_size,0.970312,870586,160,700392,1,oos_2026,99,0.015779,0.002109,0.515152,fast_ic,61,-0.013895,-0.022286,0.491803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_float_market_cap,capacity_size,0.970312,870586,160,700392,1,oos_2026_r3_on,99,0.015779,0.002109,0.515152,fast_ic,61,-0.013895,-0.022286,0.491803,22,-0.006355,-0.029216,0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_float_market_cap,capacity_size,0.970312,870586,160,700392,1,oos_2026_r3_off,99,0.015779,0.002109,0.515152,fast_ic,61,-0.013895,-0.022286,0.491803,22,-0.006355,-0.029216,0.454545,39,-0.018148,0.000798,0.512821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_float_market_cap_billion,capacity_size,0.970312,870586,160,700353,1,train_2025h2,99,0.015779,0.002109,0.515152,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_float_market_cap_billion,capacity_size,0.970312,870586,160,700353,1,oos_2026,99,0.015779,0.002109,0.515152,fast_ic,61,-0.013895,-0.022286,0.491803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_float_market_cap_billion,capacity_size,0.970312,870586,160,700353,1,oos_2026_r3_on,99,0.015779,0.002109,0.515152,fast_ic,61,-0.013895,-0.022286,0.491803,22,-0.006355,-0.029216,0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
