field,field_family,group,group_days,group_mean_ic,group_median_ic,group_ic_positive_rate,group_mean_spread,group_median_turnover,group_p90_turnover,group_ls_ann,group_ls_sortino,group_ls_maxdd,group_ls_top3_share,group_ls_net10_ann,group_ls_net10_sortino,group_ls_net10_maxdd
ctx_rzrq_rzmre10d,rzrq_flow_leverage,liquidity_bucket:liquidity_high,160,0.002417,0.010675,0.53125,0.001743,0.33871,0.408333,0.551001,1.911123,-0.23867983,0.112205,0.423508,1.535933,-0.24801719
ctx_rzrq_rzmre10d,rzrq_flow_leverage,liquidity_bucket:liquidity_low,160,0.010081,0.003145,0.51875,-0.000482,0.375,0.470915,-0.114481,-0.895314,-0.19368565,0.119297,-0.195659,-1.609901,-0.22972304
ctx_rzrq_rzmre10d,rzrq_flow_leverage,liquidity_bucket:liquidity_mid,160,-0.000734,-0.00497,0.48125,0.001612,0.5625,0.66,0.50081,3.186015,-0.14093301,0.116958,0.304914,2.077368,-0.1570345
ctx_rzrq_rzche10d,rzrq_flow_leverage,size_bucket:size_high,160,-0.021119,-0.007405,0.48125,0.001518,0.071429,0.1,0.465626,1.716156,-0.218004,0.114292,0.438678,1.631597,-0.22078721
ctx_rzrq_rzche10d,rzrq_flow_leverage,size_bucket:size_low,160,-0.02894,-0.031878,0.45,-0.000553,0.119048,0.190476,-0.130144,-0.693643,-0.29799387,0.109006,-0.15747,-0.850281,-0.30336867
ctx_rzrq_rzche10d,rzrq_flow_leverage,size_bucket:size_mid,160,-0.046812,-0.040501,0.40625,-0.0007,0.136364,0.181818,-0.161697,-0.875638,-0.27132629,0.10285,-0.190141,-1.046363,-0.27721886
ctx_rzrq_rzche10d,rzrq_flow_leverage,liquidity_bucket:liquidity_high,160,0.005933,0.010192,0.53125,0.002021,0.328125,0.387097,0.663149,2.216239,-0.20695129,0.111042,0.530956,1.852919,-0.21788234
ctx_rzrq_rzche10d,rzrq_flow_leverage,liquidity_bucket:liquidity_low,160,0.009563,0.007309,0.51875,0.000436,0.352941,0.441176,0.115977,0.977537,-0.12937086,0.117388,0.018736,0.16535,-0.14899799
ctx_rzrq_rzche10d,rzrq_flow_leverage,liquidity_bucket:liquidity_mid,160,0.000897,-0.002446,0.4875,0.00156,0.5625,0.666667,0.481114,2.673927,-0.1356631,0.129828,0.285087,1.706098,-0.15114089
ctx_rzrq_rzche10d_nonminute,rzrq_flow_leverage,size_bucket:size_high,160,-0.021119,-0.007405,0.48125,0.001518,0.071429,0.1,0.465626,1.716156,-0.218004,0.114292,0.438678,1.631597,-0.22078721
ctx_rzrq_rzche10d_nonminute,rzrq_flow_leverage,size_bucket:size_low,160,-0.02894,-0.031878,0.45,-0.000553,0.119048,0.190476,-0.130144,-0.693643,-0.29799387,0.109006,-0.15747,-0.850281,-0.30336867
ctx_rzrq_rzche10d_nonminute,rzrq_flow_leverage,size_bucket:size_mid,160,-0.046812,-0.040501,0.40625,-0.0007,0.136364,0.181818,-0.161697,-0.875638,-0.27132629,0.10285,-0.190141,-1.046363,-0.27721886
ctx_rzrq_rzche10d_nonminute,rzrq_flow_leverage,liquidity_bucket:liquidity_high,160,0.005933,0.010192,0.53125,0.002021,0.328125,0.387097,0.663149,2.216239,-0.20695129,0.111042,0.530956,1.852919,-0.21788234
ctx_rzrq_rzche10d_nonminute,rzrq_flow_leverage,liquidity_bucket:liquidity_low,160,0.009563,0.007309,0.51875,0.000436,0.352941,0.441176,0.115977,0.977537,-0.12937086,0.117388,0.018736,0.16535,-0.14899799
ctx_rzrq_rzche10d_nonminute,rzrq_flow_leverage,liquidity_bucket:liquidity_mid,160,0.000897,-0.002446,0.4875,0.00156,0.5625,0.666667,0.481114,2.673927,-0.1356631,0.129828,0.285087,1.706098,-0.15114089
streak_gap_to_market_high,other_numeric,size_bucket:size_high,160,0.015764,0.014033,0.575,-0.000629,0.405405,0.472973,-0.146552,-0.998661,-0.26118495,0.161031,-0.226933,-1.588285,-0.27048578
streak_gap_to_market_high,other_numeric,size_bucket:size_low,160,0.026433,0.023471,0.675,0.001121,0.256757,0.391892,0.326124,2.366876,-0.12637021,0.15045,0.237026,1.775538,-0.13269982
streak_gap_to_market_high,other_numeric,size_bucket:size_mid,160,0.032108,0.031674,0.75,0.003242,0.432432,0.486486,1.260614,8.105398,-0.09095017,0.154978,1.038157,6.962682,-0.09544525
streak_gap_to_market_high,other_numeric,liquidity_bucket:liquidity_high,160,0.037503,0.024157,0.71875,0.001797,0.554054,0.672902,0.5722,3.154843,-0.12697273,0.157045,0.365907,2.15255,-0.13380235
streak_gap_to_market_high,other_numeric,liquidity_bucket:liquidity_low,160,-0.008657,-0.002065,0.24375,-0.001418,0.175676,0.273293,-0.300721,-3.693058,-0.17539882,0.308994,-0.333166,-4.141592,-0.1846215
streak_gap_to_market_high,other_numeric,liquidity_bucket:liquidity_mid,160,0.00239,-0.001539,0.26875,-0.001515,0.460526,0.594595,-0.317629,-3.092547,-0.22341961,0.342796,-0.393459,-4.049641,-0.24593439
high_board_rank,other_numeric,size_bucket:size_high,160,0.016059,0.012875,0.56875,-0.000537,0.405405,0.472973,-0.126615,-0.842456,-0.25325945,0.159155,-0.208798,-1.435502,-0.26261596
high_board_rank,other_numeric,size_bucket:size_low,160,0.025504,0.02278,0.6625,0.000708,0.256757,0.391892,0.195187,1.486247,-0.12945587,0.159195,0.114869,0.902414,-0.13575245
high_board_rank,other_numeric,size_bucket:size_mid,160,0.031534,0.031523,0.74375,0.003163,0.432432,0.472973,1.216425,7.706155,-0.09872866,0.153906,0.998773,6.640152,-0.10487204
high_board_rank,other_numeric,liquidity_bucket:liquidity_high,160,0.037435,0.024168,0.725,0.001788,0.554054,0.676316,0.56856,3.109422,-0.12697273,0.157085,0.362802,2.115894,-0.13380235
high_board_rank,other_numeric,liquidity_bucket:liquidity_low,160,-0.012982,-0.006341,0.16875,-0.001858,0.175676,0.263158,-0.374164,-4.78266,-0.18848144,0.347236,-0.403846,-5.21539,-0.19774833
high_board_rank,other_numeric,liquidity_bucket:liquidity_mid,160,0.00259,-0.003585,0.26875,-0.001615,0.460526,0.594595,-0.334571,-3.305321,-0.22662492,0.347736,-0.408657,-4.268312,-0.24877386
m1_day_high,minute_range_price_state,size_bucket:size_high,160,-0.014597,-0.001105,0.49375,0.000496,0.027778,0.054054,0.13309,0.684892,-0.23480756,0.091999,0.121417,0.627259,-0.23911725
m1_day_high,minute_range_price_state,size_bucket:size_low,160,-0.027994,-0.047575,0.44375,0.000171,0.048387,0.078629,0.044079,0.268649,-0.23791488,0.082682,0.028307,0.173488,-0.24092391
m1_day_high,minute_range_price_state,size_bucket:size_mid,160,-0.022305,-0.031329,0.43125,0.000946,0.055556,0.094595,0.26903,1.083323,-0.2002282,0.106481,0.247838,1.004722,-0.20182714
m1_day_high,minute_range_price_state,liquidity_bucket:liquidity_high,160,-0.002206,-0.001044,0.49375,0.000266,0.148649,0.189189,0.069221,0.353463,-0.28477064,0.095226,0.02897,0.150537,-0.29891464
m1_day_high,minute_range_price_state,liquidity_bucket:liquidity_low,160,-0.015244,-0.040847,0.425,0.001033,0.256757,0.363882,0.297283,2.37925,-0.15036834,0.102812,0.212898,1.749608,-0.16081051
m1_day_high,minute_range_price_state,liquidity_bucket:liquidity_mid,160,-0.024701,-0.027258,0.45625,-0.000281,0.297297,0.375,-0.068371,-0.460521,-0.21656665,0.114031,-0.13529,-0.933932,-0.23471145
m1_first30_high,minute_range_price_state,size_bucket:size_high,160,-0.014282,-0.002049,0.49375,0.00059,0.027778,0.054054,0.160178,0.831802,-0.22999716,0.095346,0.148026,0.771941,-0.23296764
m1_first30_high,minute_range_price_state,size_bucket:size_low,160,-0.027444,-0.046782,0.44375,9.3e-05,0.048387,0.078125,0.023603,0.146336,-0.24100253,0.085388,0.008149,0.050781,-0.2441686
m1_first30_high,minute_range_price_state,size_bucket:size_mid,160,-0.02179,-0.030982,0.43125,0.000992,0.055556,0.094595,0.283729,1.150482,-0.21105886,0.107334,0.262424,1.071352,-0.21271409
m1_first30_high,minute_range_price_state,liquidity_bucket:liquidity_high,160,-0.001535,-9e-06,0.5,0.000298,0.152778,0.197368,0.078109,0.393595,-0.2879158,0.099317,0.037074,0.188869,-0.30225289
m1_first30_high,minute_range_price_state,liquidity_bucket:liquidity_low,160,-0.015104,-0.040377,0.425,0.001106,0.256757,0.366892,0.321199,2.531764,-0.1520817,0.101911,0.234928,1.905304,-0.16252943
m1_first30_high,minute_range_price_state,liquidity_bucket:liquidity_mid,160,-0.024432,-0.027225,0.45625,-0.000207,0.291667,0.378378,-0.050803,-0.338951,-0.22344531,0.113873,-0.119527,-0.817863,-0.23166917
m1_first15_high,minute_range_price_state,size_bucket:size_high,160,-0.014252,-0.002235,0.49375,0.000533,0.040541,0.067568,0.143618,0.742749,-0.23126882,0.095792,0.131493,0.682911,-0.23422451
m1_first15_high,minute_range_price_state,size_bucket:size_low,160,-0.027278,-0.046836,0.44375,0.000137,0.048387,0.078125,0.035018,0.214714,-0.24267642,0.088679,0.019827,0.122181,-0.24574155
m1_first15_high,minute_range_price_state,size_bucket:size_mid,160,-0.021663,-0.030716,0.43125,0.000951,0.055556,0.085586,0.270779,1.110445,-0.21227291,0.107622,0.249879,1.031629,-0.21390366
m1_first15_high,minute_range_price_state,liquidity_bucket:liquidity_high,160,-0.001388,0.00012,0.5,0.000247,0.152778,0.197368,0.064249,0.327239,-0.28888694,0.098501,0.02365,0.121704,-0.30321778
m1_first15_high,minute_range_price_state,liquidity_bucket:liquidity_low,160,-0.01506,-0.040268,0.425,0.001086,0.256757,0.366892,0.314572,2.472313,-0.15187458,0.10193,0.228491,1.853472,-0.16231161
m1_first15_high,minute_range_price_state,liquidity_bucket:liquidity_mid,160,-0.024379,-0.027216,0.45625,-0.000149,0.291667,0.378378,-0.036952,-0.244953,-0.22203971,0.112753,-0.106676,-0.72524,-0.23072772
m1_first15_high_minute,minute_range_price_state,size_bucket:size_high,160,-0.014252,-0.002235,0.49375,0.000533,0.040541,0.067568,0.143618,0.742749,-0.23126882,0.095792,0.131493,0.682911,-0.23422451
m1_first15_high_minute,minute_range_price_state,size_bucket:size_low,160,-0.027278,-0.046836,0.44375,0.000137,0.048387,0.078125,0.035018,0.214714,-0.24267642,0.088679,0.019827,0.122181,-0.24574155
m1_first15_high_minute,minute_range_price_state,size_bucket:size_mid,160,-0.021663,-0.030716,0.43125,0.000951,0.055556,0.085586,0.270779,1.110445,-0.21227291,0.107622,0.249879,1.031629,-0.21390366
m1_first15_high_minute,minute_range_price_state,liquidity_bucket:liquidity_high,160,-0.001388,0.00012,0.5,0.000247,0.152778,0.197368,0.064249,0.327239,-0.28888694,0.098501,0.02365,0.121704,-0.30321778
m1_first15_high_minute,minute_range_price_state,liquidity_bucket:liquidity_low,160,-0.01506,-0.040268,0.425,0.001086,0.256757,0.366892,0.314572,2.472313,-0.15187458,0.10193,0.228491,1.853472,-0.16231161
m1_first15_high_minute,minute_range_price_state,liquidity_bucket:liquidity_mid,160,-0.024379,-0.027216,0.45625,-0.000149,0.291667,0.378378,-0.036952,-0.244953,-0.22203971,0.112753,-0.106676,-0.72524,-0.23072772
m1_first5_high,minute_range_price_state,size_bucket:size_high,160,-0.014172,-0.003111,0.49375,0.000534,0.040541,0.054054,0.143924,0.743458,-0.23032806,0.096202,0.13194,0.684496,-0.23318435
m1_first5_high,minute_range_price_state,size_bucket:size_low,160,-0.027072,-0.046511,0.44375,0.000107,0.048387,0.078125,0.027235,0.17151,-0.24250875,0.088246,0.011946,0.075596,-0.24573875
m1_first5_high,minute_range_price_state,size_bucket:size_mid,160,-0.021509,-0.030873,0.43125,0.000958,0.055556,0.083333,0.272934,1.107575,-0.21390902,0.106382,0.251919,1.029262,-0.21552557
m1_first5_high,minute_range_price_state,liquidity_bucket:liquidity_high,160,-0.0012,0.000866,0.5,0.000279,0.148649,0.198435,0.072883,0.371018,-0.28592613,0.099411,0.031694,0.161912,-0.3003796
m1_first5_high,minute_range_price_state,liquidity_bucket:liquidity_low,160,-0.015046,-0.040325,0.425,0.001086,0.256757,0.366892,0.314585,2.462256,-0.15301493,0.102822,0.228863,1.848789,-0.16341342
m1_first5_high,minute_range_price_state,liquidity_bucket:liquidity_mid,160,-0.024308,-0.026625,0.45625,-0.000237,0.291667,0.378378,-0.057906,-0.389444,-0.22310577,0.113733,-0.126116,-0.878518,-0.23634741
open,price_state,size_bucket:size_high,161,-0.012775,-0.000163,0.496894,0.000896,0.027027,0.054054,0.253201,1.260493,-0.20520772,0.090708,0.24323,1.215721,-0.20801604
open,price_state,size_bucket:size_low,161,-0.029772,-0.040199,0.416149,3.5e-05,0.040541,0.067568,0.008952,0.060575,-0.23472514,0.089591,-0.00238,-0.016192,-0.23695518
open,price_state,size_bucket:size_mid,161,-0.020385,-0.029844,0.440994,0.000947,0.054054,0.081081,0.269536,1.083786,-0.21937673,0.105503,0.251073,1.017261,-0.22105602
open,price_state,liquidity_bucket:liquidity_high,161,-0.000585,-0.001096,0.490683,0.000699,0.148649,0.197902,0.192607,0.91992,-0.23663425,0.095754,0.148636,0.723769,-0.24593911
open,price_state,liquidity_bucket:liquidity_low,161,-0.018405,-0.04148,0.42236,0.001143,0.256757,0.351351,0.333478,2.647365,-0.15335854,0.101073,0.249503,2.023403,-0.16359196
open,price_state,liquidity_bucket:liquidity_mid,161,-0.025392,-0.024418,0.447205,-9.3e-05,0.289474,0.378378,-0.023066,-0.158133,-0.21948357,0.112541,-0.092601,-0.658097,-0.23602881
m1_first30_vwap,minute_vwap_pressure,size_bucket:size_high,160,-0.013863,-0.001739,0.5,0.000757,0.027778,0.054054,0.210205,1.061423,-0.22143072,0.091902,0.198067,1.00392,-0.22428898
m1_first30_vwap,minute_vwap_pressure,size_bucket:size_low,160,-0.026871,-0.046486,0.44375,0.000129,0.048387,0.078125,0.032959,0.205417,-0.24285366,0.085894,0.017887,0.112027,-0.24590708
m1_first30_vwap,minute_vwap_pressure,size_bucket:size_mid,160,-0.021149,-0.030503,0.43125,0.001008,0.055556,0.083333,0.289122,1.173184,-0.20642099,0.108349,0.268339,1.095985,-0.20804188
m1_first30_vwap,minute_vwap_pressure,liquidity_bucket:liquidity_high,160,-0.000731,0.000945,0.5,0.000504,0.148649,0.197368,0.135487,0.680727,-0.25621619,0.0979,0.092516,0.47329,-0.27108642
m1_first30_vwap,minute_vwap_pressure,liquidity_bucket:liquidity_low,160,-0.014968,-0.040135,0.425,0.001113,0.256757,0.360227,0.323707,2.529948,-0.15277418,0.103679,0.237827,1.90787,-0.16313405
m1_first30_vwap,minute_vwap_pressure,liquidity_bucket:liquidity_mid,160,-0.024152,-0.027072,0.45625,-0.000216,0.297297,0.378378,-0.052985,-0.354153,-0.22948606,0.112543,-0.121325,-0.839792,-0.23642255
