declared_cluster_id,representative_candidate_id,representative_expression,vector_cluster_id,status,merge_group_id,vector_cluster_representative_declared_cluster_id,collides_with_declared_cluster_ids,reason,source_row_kind
cluster_019,agnostic-freeform-8a790476d420,"CSRank(Mul(CSRank(Mean(Abs(Delta($high,1)),13)),Mul(ZScore(Mean(Abs(Delta($vwap,1)),13)),Sign($final_total_market_cap))))",cluster_041,vector_matchable,,cluster_019,,ok,representative
cluster_020,agnostic-freeform-af217408a657,"CSRank(Sub(ZScore(Mean($open,34)),ZScore(Delta($vwap,8))))",cluster_295,vector_matchable,,cluster_020,,ok,representative
cluster_021,stockpit-cem_adaptive_grammar-ede245c42114,"CSRank(CSResidual(CSRank(Mean(Abs($amount),21)),CSRank(Mean(Abs($volume),5))))",cluster_017,merged_into_existing_vector_cluster,cluster_017,cluster_001,"cluster_001,cluster_021,cluster_062",recluster_collision_natural_merge,representative
cluster_022,agnostic-freeform-ffd5a0b62454,"CSRank(CSResidual(ZScore(Std($low,13)),ZScore(Mom($low,13))))",cluster_296,vector_matchable,,cluster_022,,ok,representative
cluster_023,agnostic-freeform-7d3e40644ec1,"CSRank(CSResidual(ZScore(Mean(Abs(Delta($low,1)),3)),CSRank(Std($final_float_market_cap,2))))",cluster_297,vector_matchable,,cluster_023,,ok,representative
cluster_024,agnostic-freeform-29d735fb8c0b,"CSRank(Mul(Sign(Mean($turnover_rate,8)),Mul(CSRank($high),ZScore(Mean($high,8)))))",cluster_029,vector_matchable,,cluster_024,,ok,representative
cluster_025,stockpit-cem_adaptive_grammar-3fb747673b2a,"Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($close,21)))))",cluster_298,vector_matchable,,cluster_025,,ok,representative
cluster_027,stockpit-cem_adaptive_grammar-a830f48ceb25,"CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,21))))",cluster_137,vector_matchable,cluster_137,cluster_027,"cluster_027,cluster_097",recluster_collision_group,representative
cluster_028,agnostic-freeform-33a9f64d7a4f,"CSRank(Add(ZScore(Mean($vwap,5)),Sign(Mom($low,34))))",cluster_299,vector_matchable,,cluster_028,,ok,representative
cluster_030,fgv2-repair-add_state_gate-4e1937f9f9,"CSRank(Mul(CSRank(Std($final_float_market_cap,21)),ZScore(Mean(Abs(Delta($close,1)),20))))",cluster_007,merged_into_existing_vector_cluster,cluster_007,cluster_011,"cluster_011,cluster_030",recluster_collision_natural_merge,representative
cluster_031,agnostic-freeform-ca14e40fcc83,"CSRank(Mul(ZScore(Mean(Abs(Delta($final_float_market_cap,1)),5)),Mul(ZScore(Mean($final_total_market_cap,34)),ZScore($high))))",cluster_300,vector_matchable,,cluster_031,,ok,representative
cluster_032,stockpit-cem_adaptive_grammar-3f0460244fb6,"CSRank(CSResidual(CSRank(Delta($final_float_market_cap,5)),CSRank(Delta($amount,5))))",cluster_301,vector_matchable,,cluster_032,,ok,representative
cluster_033,stockpit-cem_adaptive_grammar-8b93b582ec12,"CSRank(Mul(ZScore($final_float_market_cap),ZScore($close)))",cluster_153,vector_matchable,,cluster_033,,ok,representative
cluster_034,agnostic-freeform-65dea0aca41f,"CSRank(Mul(ZScore(Mean($low,2)),Corr(Std($open,21),Delay(Mean($high,21),1),5)))",cluster_302,vector_matchable,,cluster_034,,ok,representative
cluster_035,stockpit-cem_adaptive_grammar-0f900d973b4b,"CSRank(Mul(ZScore(Std($close,5)),ZScore(Std($final_float_market_cap,5))))",cluster_219,vector_matchable,,cluster_035,,ok,representative
cluster_036,stockpit-cem_adaptive_grammar-85d6db4e0c47,"CSRank(Mul(ZScore(Std($close,21)),ZScore(Std($amount,21))))",cluster_303,vector_matchable,,cluster_036,,ok,representative
cluster_038,agnostic-freeform-d8bd7f2e111e,"CSRank(CSResidual(ZScore($vwap),CSRank(Delta($low,5))))",cluster_304,vector_matchable,cluster_304,cluster_038,"cluster_038,cluster_142",recluster_collision_group,representative
cluster_039,agnostic-freeform-9e503df15f34,"CSRank(Add(ZScore(Mean($high,5)),Sign(Mom($close,2))))",cluster_305,vector_matchable,,cluster_039,,ok,representative
cluster_040,agnostic-freeform-3e10fa20a8b6,"CSRank(Mul(CSRank(Delta($high,3)),Mul(ZScore(Mom($final_float_market_cap,13)),ZScore($vwap))))",cluster_306,vector_matchable,,cluster_040,,ok,representative
cluster_043,agnostic-freeform-dae05e7aac88,"CSRank(CSResidual(CSRank(Std($final_total_market_cap,21)),ZScore(Std($volume,2))))",cluster_072,vector_matchable,cluster_072,cluster_043,"cluster_043,cluster_090",recluster_collision_group,representative
cluster_044,agnostic-freeform-3d8494bee390,"CSRank(Mul(ZScore(Std($close,2)),CSRank(Std($amount,21))))",cluster_307,vector_matchable,,cluster_044,,ok,representative
cluster_045,fgv2-repair-add_confirmation-235975547a,"CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),Sign(Delta($amount,1))))",cluster_308,vector_matchable,,cluster_045,,ok,representative
cluster_046,agnostic-freeform-9f37d3134442,"CSRank(Add(ZScore(Mean($close,3)),CSRank(Mom($final_total_market_cap,5))))",cluster_032,vector_matchable,,cluster_046,,ok,representative
cluster_047,stockpit-cem_adaptive_grammar-ff3c8e5ec7d4,"CSRank(Mul(ZScore(Mean($close,21)),ZScore(Mean($close,21))))",cluster_144,vector_matchable,,cluster_047,,ok,representative
cluster_048,agnostic-freeform-907e27620b0f,"CSRank(Mul(CSRank(Std($open,34)),Corr($high,Mean($final_float_market_cap,8),21)))",cluster_309,vector_matchable,,cluster_048,,ok,representative
cluster_050,fgv2-repair-add_state_gate-fabcc2b993,"CSRank(Mul(CSRank(Mean(Abs($close),21)),ZScore(Mean(Abs(Delta($close,1)),20))))",cluster_018,vector_matchable,,cluster_050,,ok,representative
cluster_051,agnostic-freeform-fc9a5323fa49,"CSRank(Mul(ZScore(Std($low,5)),Mul(CSRank(Std($low,3)),Sign(Std($high,2)))))",cluster_310,vector_matchable,,cluster_051,,ok,representative
cluster_053,agnostic-freeform-3e2a5f436bcc,"CSRank(Mul(ZScore($turnover_rate),Mul(Sign(Std($final_float_market_cap,8)),ZScore(Mean($open,5)))))",cluster_311,vector_matchable,,cluster_053,,ok,representative
cluster_054,stockpit-cem_adaptive_grammar-9f3d1b47cd40,"CSRank(Mul(ZScore(Std($close,21)),ZScore(Std($close,5))))",cluster_136,vector_matchable,,cluster_054,,ok,representative
cluster_055,agnostic-freeform-16120276d90f,"CSRank(Add(CSRank($close),CSRank(Delta($close,13))))",cluster_312,vector_matchable,,cluster_055,,ok,representative
cluster_056,phase3repair-failure_detail-duplicate_escape-6a69c0324828,"CSRank(Mul(ZScore(Mean($open,8)),ZScore(Delta($vwap,11))))",cluster_096,vector_matchable,,cluster_056,,ok,representative
cluster_057,stockpit-cem_adaptive_grammar-be1b4f1de471,"Neg(CSRank(CSResidual(CSRank(Std($volume,5)),CSRank(Std($final_float_market_cap,21)))))",cluster_068,vector_matchable,cluster_068,cluster_057,"cluster_057,cluster_117",recluster_collision_group,representative
cluster_059,stockpit-cem_adaptive_grammar-1f40eb616bbd,"Neg(CSRank(Mul(ZScore(Delta($final_float_market_cap,5)),ZScore(Delta($final_float_market_cap,21)))))",cluster_313,vector_matchable,,cluster_059,,ok,representative
cluster_060,agnostic-freeform-a1758f15f7ea,"CSRank(Mul(ZScore(Delta($open,8)),Mul(ZScore(Mean(Abs(Delta($high,1)),3)),ZScore(Mean($vwap,3)))))",cluster_314,vector_matchable,,cluster_060,,ok,representative
cluster_062,agnostic-freeform-bf153db404b9,"CSRank(Mul(Sign(Mean($final_float_market_cap,34)),Mul(CSRank($vwap),CSRank($final_total_market_cap))))",cluster_017,merged_into_existing_vector_cluster,cluster_017,cluster_001,"cluster_001,cluster_021,cluster_062",recluster_collision_natural_merge,representative
cluster_063,phase3repair-failure_detail-duplicate_escape-d66d7015485e,"CSRank(Mul(ZScore(Mean($close,5)),ZScore(Delta($close,8))))",cluster_121,vector_matchable,,cluster_063,,ok,representative
cluster_064,stockpit-cem_adaptive_grammar-378242fdbe92,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,21)))))",cluster_315,vector_matchable,,cluster_064,,ok,representative
cluster_065,agnostic-freeform-f78bdb206872,"CSRank(Sub(CSRank(Mean(Abs(Delta($final_total_market_cap,1)),8)),ZScore($volume)))",cluster_316,vector_matchable,,cluster_065,,ok,representative
cluster_066,agnostic-freeform-095cbcaba18c,"CSRank(Mul(ZScore(Mean(Abs(Delta($open,1)),8)),Corr(Mom($close,8),Mom($close,21),13)))",cluster_317,vector_matchable,,cluster_066,,ok,representative
cluster_067,agnostic-freeform-035ba54fd1dc,"CSRank(Mul(Sign(Mom($high,34)),Mul(Sign(Delta($open,13)),CSRank(Mean(Abs(Delta($final_total_market_cap,1)),34)))))",cluster_318,vector_matchable,,cluster_067,,ok,representative
cluster_070,stockpit-cem_adaptive_grammar-9197fae0359d,"Neg(CSRank(Mul(ZScore(Delta($close,21)),ZScore(Delta($final_float_market_cap,5)))))",cluster_319,vector_matchable,,cluster_070,,ok,representative
cluster_073,stockpit-cem_adaptive_grammar-bbfcaca9c0ca,"Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($final_float_market_cap,21)))))",cluster_320,vector_matchable,,cluster_073,,ok,representative
cluster_074,agnostic-freeform-cf3b72fdf6f9,"CSRank(Add(Sign(Mom($turnover_rate,5)),CSRank(Mean($open,5))))",cluster_127,vector_matchable,,cluster_074,,ok,representative
cluster_075,agnostic-freeform-662deda710d5,"CSRank(Add(ZScore(Delta($vwap,34)),Sign($volume)))",cluster_178,vector_matchable,,cluster_075,,ok,representative
cluster_076,stockpit-ast_evolutionary_mutation-f3d6dd7469d6,"CSRank(ZScore(Div(Sub($open,Mean($vwap,21)),Mean(Abs($ret),2))))",cluster_166,vector_matchable,,cluster_076,,ok,representative
cluster_078,agnostic-freeform-77e1f014fb70,"CSRank(Mul(ZScore(Delta($low,34)),Corr(Std($final_float_market_cap,2),Delta($volume,5),8)))",cluster_321,vector_matchable,,cluster_078,,ok,representative
cluster_079,stockpit-cem_adaptive_grammar-439734a6f5c9,"Neg(CSRank(Std($volume,21)))",cluster_089,vector_matchable,,cluster_079,,ok,representative
cluster_082,stockpit-cem_adaptive_grammar-6ffcc94d62e7,"Neg(CSRank(Mul(ZScore(Mean(Abs($volume),2)),ZScore(Mean(Abs($amount),2)))))",cluster_147,vector_matchable,,cluster_082,,ok,representative
cluster_084,stockpit-cem_adaptive_grammar-cee9baa11efb,"Neg(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($volume,5)))))",cluster_322,vector_matchable,,cluster_084,,ok,representative
cluster_085,stockpit-cem_adaptive_grammar-c4e03ce60567,"CSRank(Mul(ZScore(Mean(Abs($volume),8)),ZScore(Mean(Abs($close),8))))",cluster_164,vector_matchable,,cluster_085,,ok,representative
cluster_088,stockpit-cem_adaptive_grammar-2e04305ea5ae,"Neg(CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Mean($final_float_market_cap,21)))))",cluster_197,vector_matchable,,cluster_088,,ok,representative
cluster_089,stockpit-cem_adaptive_grammar-f7a1573f8aff,"Neg(CSRank(CSResidual(CSRank(Delta($close,5)),CSRank(Delta($final_float_market_cap,5)))))",cluster_323,vector_matchable,,cluster_089,,ok,representative
cluster_090,stockpit-cem_adaptive_grammar-78fc796821aa,"Neg(CSRank(CSResidual(CSRank($final_float_market_cap),CSRank($close))))",cluster_072,merged_into_existing_vector_cluster,cluster_072,cluster_043,"cluster_043,cluster_090",recluster_collision_natural_merge,representative
cluster_094,stockpit-cem_adaptive_grammar-a9507bc750f6,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,2)))))",cluster_324,vector_matchable,,cluster_094,,ok,representative
cluster_095,stockpit-cem_adaptive_grammar-e26646ccab93,"CSRank(Mul(ZScore(Std($close,2)),ZScore(Std($final_float_market_cap,2))))",cluster_325,vector_matchable,,cluster_095,,ok,representative
cluster_096,stockpit-cem_adaptive_grammar-36177a8ef475,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($amount,21)))))",cluster_326,vector_matchable,,cluster_096,,ok,representative
cluster_097,stockpit-cem_adaptive_grammar-148b02b5da4b,"CSRank(Mul(ZScore(Std($final_float_market_cap,2)),ZScore(Std($close,34))))",cluster_137,merged_into_existing_vector_cluster,cluster_137,cluster_027,"cluster_027,cluster_097",recluster_collision_natural_merge,representative
cluster_098,stockpit-cem_adaptive_grammar-99867d1154a3,"Neg(CSRank(CSResidual(CSRank(Delta($volume,8)),CSRank(Delta($close,8)))))",cluster_046,vector_matchable,,cluster_098,,ok,representative
cluster_099,stockpit-cem_adaptive_grammar-c3ee64b8f00b,"CSRank(CSResidual(CSRank(Delta($close,8)),CSRank(Delta($amount,8))))",cluster_057,vector_matchable,,cluster_099,,ok,representative
cluster_100,stockpit-cem_adaptive_grammar-dbe4aed04209,"CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,8))))",cluster_327,vector_matchable,,cluster_100,,ok,representative
cluster_101,stockpit-cem_adaptive_grammar-a80b77d5fc5f,"Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($final_float_market_cap,2)))))",cluster_328,vector_matchable,,cluster_101,,ok,representative
cluster_102,stockpit-cem_adaptive_grammar-ae4bfdae0522,"CSRank(Mul(ZScore(Delta($close,34)),ZScore(Delta($close,34))))",cluster_329,vector_matchable,,cluster_102,,ok,representative
cluster_103,stockpit-cem_adaptive_grammar-e776378a5a65,"CSRank(Mul(ZScore(Delta($final_float_market_cap,34)),ZScore(Delta($close,21))))",cluster_330,vector_matchable,,cluster_103,,ok,representative
cluster_104,phase3repair-direct_quota_rejected-duplicate_escape-9a04fa99a7ca,"CSRank(Mul(ZScore(Mean($close,34)),ZScore(Delta($close,17))))",cluster_331,vector_matchable,,cluster_104,,ok,representative
cluster_105,stockpit-ast_evolutionary_mutation-9cc9fb9d45f6,"CSRank(CSResidual(CSRank(Neg(CSRank(Mean(Abs($ret),13)))),CSRank(Neg(CSRank(Mean(Abs($ret),21))))))",cluster_332,vector_matchable,,cluster_105,,ok,representative
cluster_106,stockpit-ast_evolutionary_mutation-fc0abf958798,"CSRank(Mul(ZScore(Neg(CSRank(Mean(Abs($ret),2)))),ZScore(CSRank(Mean(Abs($ret),8)))))",cluster_333,vector_matchable,,cluster_106,,ok,representative
cluster_107,stockpit-ast_evolutionary_mutation-36a13a40253b,"CSRank(CSResidual(CSRank(CSRank(Mom($close,21))),CSRank(Neg(CSRank(Mom($close,13))))))",cluster_334,vector_matchable,,cluster_107,,ok,representative
cluster_108,phase3repair-failure_detail-operator_sanitize-1a6d0fab97f5,"CSRank(Sub(Mean($close,17),Mean($close,34)))",cluster_335,vector_matchable,,cluster_108,,ok,representative
cluster_109,stockpit-ast_evolutionary_mutation-951d371f3fce,"CSRank(CSResidual(CSRank(CSRank(Mom($close,13))),CSRank(Neg(CSRank(Mom($close,3))))))",cluster_106,vector_matchable,,cluster_109,,ok,representative
cluster_110,stockpit-cem_adaptive_grammar-f27f68dd4c12,"Neg(CSRank(Mul(ZScore(Std($volume,34)),ZScore(Std($final_float_market_cap,8)))))",cluster_336,vector_matchable,,cluster_110,,ok,representative
cluster_111,stockpit-cem_adaptive_grammar-e7143aa623d9,"Neg(CSRank(Mul(ZScore(Std($volume,2)),ZScore(Std($amount,34)))))",cluster_337,vector_matchable,,cluster_111,,ok,representative
cluster_112,agnostic-freeform-b941522c10ee,"CSRank(Mul(ZScore($open),Corr($close,Mom($final_float_market_cap,13),5)))",cluster_338,vector_matchable,,cluster_112,,ok,representative
cluster_113,agnostic-freeform-48c8ab0de23a,"CSRank(Mul(ZScore(Mean(Abs(Delta($amount,1)),8)),Mul(ZScore($open),CSRank($high))))",cluster_339,vector_matchable,,cluster_113,,ok,representative
cluster_114,fgv2-repair-add_state_gate-6c729348bc,"CSRank(Mul(CSRank(Mul(ZScore(Delta($close,21)),ZScore(Delta($final_float_market_cap,1)))),ZScore(Mean(Abs(Delta($close,1)),20))))",cluster_340,vector_matchable,,cluster_114,,ok,representative
cluster_115,fgv2-ablation-S-5531bb1349,"CSRank(Sub(ZScore(Mean($amount,20)),ZScore(Mean($amount,2))))",cluster_341,vector_matchable,,cluster_115,,ok,representative
cluster_116,agnostic-freeform-3ce087915437,"CSRank(Mul(ZScore(Mean($amount,13)),Mul(CSRank(Std($open,3)),ZScore(Mean(Abs(Delta($vwap,1)),8)))))",cluster_342,vector_matchable,,cluster_116,,ok,representative
cluster_117,agnostic-freeform-114cb2a7ea61,"CSRank(Sub(ZScore($vwap),ZScore($turnover_rate)))",cluster_068,merged_into_existing_vector_cluster,cluster_068,cluster_057,"cluster_057,cluster_117",recluster_collision_natural_merge,representative
cluster_118,stockpit-cem_adaptive_grammar-31bdfaa36118,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,1)))))",cluster_343,vector_matchable,,cluster_118,,ok,representative
cluster_119,agnostic-freeform-f3b5e61d82f0,"CSRank(Sub(ZScore(Mean($close,21)),CSRank(Std($low,2))))",cluster_344,vector_matchable,,cluster_119,,ok,representative
cluster_120,agnostic-freeform-d61baa56e266,"CSRank(Mul(ZScore(Std($turnover_rate,8)),Mul(ZScore(Mean($low,34)),ZScore(Delta($high,21)))))",cluster_345,vector_matchable,,cluster_120,,ok,representative
cluster_121,agnostic-freeform-16ee6691243c,"CSRank(Sub(ZScore(Std($final_total_market_cap,13)),ZScore(Mean(Abs(Delta($final_total_market_cap,1)),2))))",cluster_346,vector_matchable,,cluster_121,,ok,representative
cluster_122,fgv2-repair-add_state_gate-509d9a3e22,"CSRank(Mul(CSRank(Mul(ZScore(Delta($close,21)),ZScore(Delta($amount,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))",cluster_347,vector_matchable,,cluster_122,,ok,representative
cluster_123,agnostic-freeform-3bb7cb758ab5,"CSRank(Mul(ZScore(Std($high,34)),Mul(CSRank(Delta($close,21)),CSRank(Mean(Abs(Delta($vwap,1)),8)))))",cluster_348,vector_matchable,,cluster_123,,ok,representative
cluster_124,agnostic-freeform-8cd241bc3ac9,"CSRank(CSResidual(ZScore(Std($close,5)),ZScore(Delta($vwap,2))))",cluster_349,vector_matchable,,cluster_124,,ok,representative
cluster_125,agnostic-freeform-00dade142126,"CSRank(Mul(ZScore($open),Mul(Sign(Mean($volume,8)),Sign(Delta($vwap,5)))))",cluster_350,vector_matchable,,cluster_125,,ok,representative
cluster_126,fgv2-signal_state-358397896597,"CSRank(ZScore(Mul(ZScore(Mean(Abs(Delta($turnover_rate,1)),10)),ZScore(Mean(Abs(Delta($close,1)),20)))))",cluster_351,vector_matchable,,cluster_126,,ok,representative
cluster_127,stockpit-cem_adaptive_grammar-403c9200612d,"CSRank(Mul(ZScore(Delta($final_float_market_cap,21)),ZScore(Delta($close,21))))",cluster_352,vector_matchable,,cluster_127,,ok,representative
cluster_128,agnostic-freeform-30bca815e518,"CSRank(Mul(ZScore($final_float_market_cap),Mul(CSRank($turnover_rate),CSRank($vwap))))",cluster_353,vector_matchable,,cluster_128,,ok,representative
cluster_129,agnostic-freeform-cdc9fe6628e3,"CSRank(Mul(CSRank($final_float_market_cap),Mul(CSRank(Mean($final_total_market_cap,5)),ZScore(Std($vwap,2)))))",cluster_354,vector_matchable,,cluster_129,,ok,representative
cluster_130,stockpit-cem_adaptive_grammar-dcaf318c9ffa,"Neg(CSRank(Mul(ZScore(Delta($final_float_market_cap,21)),ZScore(Delta($close,5)))))",cluster_355,vector_matchable,,cluster_130,,ok,representative
cluster_131,fgv2-signal_confirm-1f5a2b95febe,"CSRank(ZScore(Mul(ZScore(Mean(Delta($vwap,1),20)),Mean(Mul(Sign(Delta($close,1)),Sign(Delta($volume,1))),20))))",cluster_356,vector_matchable,,cluster_131,,ok,representative
cluster_132,agnostic-freeform-ff42148e081c,"CSRank(Mul(ZScore(Mean($close,5)),ZScore(Mean(Abs(Delta($turnover_rate,1)),2))))",cluster_357,vector_matchable,,cluster_132,,ok,representative
cluster_133,agnostic-freeform-7259caa46e95,"CSRank(Mul(Sign(Delta($close,13)),Mul(Sign(Mean($vwap,13)),ZScore(Mean($high,21)))))",cluster_183,vector_matchable,,cluster_133,,ok,representative
cluster_134,agnostic-freeform-aaf090faa76a,"CSRank(Sub(Sign(Mom($amount,5)),ZScore(Delta($turnover_rate,13))))",cluster_358,vector_matchable,,cluster_134,,ok,representative
cluster_135,stockpit-cem_adaptive_grammar-f441729186b0,"CSRank(CSResidual(CSRank(Delta($amount,21)),CSRank(Delta($final_float_market_cap,5))))",cluster_082,vector_matchable,,cluster_135,,ok,representative
cluster_136,stockpit-cem_adaptive_grammar-54dd3bc3ad51,"CSRank(CSResidual(CSRank(Std($final_float_market_cap,5)),CSRank(Std($volume,21))))",cluster_048,vector_matchable,,cluster_136,,ok,representative
cluster_137,stockpit-cem_adaptive_grammar-df822c33075b,"Neg(CSRank(CSResidual(CSRank(Mean(Abs($volume),5)),CSRank(Mean(Abs($volume),21)))))",cluster_179,vector_matchable,,cluster_137,,ok,representative
cluster_138,stockpit-cem_adaptive_grammar-207a79bd26c1,"CSRank(CSResidual(CSRank(Delta($final_float_market_cap,21)),CSRank(Delta($close,1))))",cluster_123,vector_matchable,,cluster_138,,ok,representative
cluster_139,stockpit-ast_evolutionary_mutation-cc3203844d33,"CSRank(Mul(ZScore(Neg(CSRank($close))),ZScore(Neg(CSRank(Mean(Abs($ret),8))))))",cluster_359,vector_matchable,,cluster_139,,ok,representative
cluster_140,agnostic-freeform-b641fde5349b,"CSRank(Mul(ZScore(Delta($vwap,34)),ZScore(Mean($vwap,13))))",cluster_360,vector_matchable,,cluster_140,,ok,representative
cluster_141,agnostic-freeform-58915c2d9b95,"CSRank(Sub(CSRank(Mean(Abs(Delta($vwap,1)),8)),Sign(Delta($low,13))))",cluster_361,vector_matchable,,cluster_141,,ok,representative
cluster_142,agnostic-freeform-884772ec77bf,"CSRank(Sub(ZScore($low),CSRank(Mom($low,5))))",cluster_304,merged_into_existing_vector_cluster,cluster_304,cluster_038,"cluster_038,cluster_142",recluster_collision_natural_merge,representative
cluster_143,fgv2-repair-temporalize-9d260902e5,"CSRank(Mul(Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($close,21))))),Corr(Delta($amount,1),Delay(Delta($amount,1),1),10)))",cluster_362,vector_matchable,,cluster_143,,ok,representative
cluster_144,agnostic-freeform-dbf0e6db88ce,"CSRank(CSResidual(ZScore(Std($high,8)),CSRank($amount)))",cluster_363,vector_matchable,,cluster_144,,ok,representative
cluster_145,agnostic-freeform-46d76839db90,"CSRank(CSResidual(ZScore(Mean(Abs(Delta($open,1)),8)),CSRank(Mean(Abs(Delta($high,1)),2))))",cluster_364,vector_matchable,,cluster_145,,ok,representative
cluster_146,agnostic-freeform-9bdfcc8746f5,"CSRank(Mul(ZScore($vwap),Corr(Mean(Abs(Delta($vwap,1)),3),Delay(Mom($final_float_market_cap,34),1),21)))",cluster_365,vector_matchable,,cluster_146,,ok,representative
cluster_147,agnostic-freeform-6abc920e9dee,"CSRank(Mul(ZScore(Mean($high,2)),Corr(Mean($vwap,3),Delta($amount,13),13)))",cluster_366,vector_matchable,,cluster_147,,ok,representative
cluster_148,agnostic-freeform-4a6b536078b7,"CSRank(Add(ZScore(Std($vwap,34)),Sign(Mom($low,2))))",cluster_367,vector_matchable,,cluster_148,,ok,representative
cluster_149,stockpit-ast_evolutionary_mutation-9f67fb9ef676,"CSRank(Mul(ZScore(Neg(CSRank(Mean(Abs($ret),3)))),ZScore(Neg(CSRank($close)))))",cluster_368,vector_matchable,,cluster_149,,ok,representative
cluster_150,fgv2-signal_confirm_state-24bfb77a8efc,"CSRank(Mul(ZScore(Mom($close,60)),Mul(Mean(Mul(Sign(Delta($vwap,1)),Sign(Delta($turnover_rate,1))),20),ZScore(Mean(Abs(Delta($close,1)),60)))))",cluster_369,vector_matchable,,cluster_150,,ok,representative
