window,group_col,group,gate_off_days,missed_positive_days,missed_positive_sum,gate_off_total_return_sum,gate_off_mean_return,share_of_all_missed_positive_sum
recent_oos_2026,limit_density_bucket,limit_density_mid,4,1,0.00772875,-0.00890296,-0.00222574,0.034482
recent_oos_2026,breadth_bucket,breadth_mid,11,6,0.08762965,0.03449319,0.00313574,0.390962
recent_oos_2026,breadth_bucket,breadth_high,16,6,0.08320019,-0.0605179,-0.00378237,0.3712
recent_oos_2026,breadth_bucket,breadth_low,13,5,0.05330847,-0.04524582,-0.00348045,0.237837
recent_2025h2_2026,pit_regime_label,limit_density_high,124,64,0.78247789,-0.00600643,-4.844e-05,1.0
recent_2025h2_2026,trend_bucket,trend_high,57,34,0.41148787,0.07943228,0.00139355,0.525878
recent_2025h2_2026,trend_bucket,trend_mid,39,16,0.20008304,-0.06072266,-0.00155699,0.255704
recent_2025h2_2026,trend_bucket,trend_low,28,14,0.17090698,-0.02471605,-0.00088272,0.218418
recent_2025h2_2026,volatility_bucket,volatility_low,43,26,0.28515352,0.11698856,0.00272066,0.364424
recent_2025h2_2026,volatility_bucket,volatility_high,34,18,0.25403725,0.06048842,0.00177907,0.324657
recent_2025h2_2026,volatility_bucket,volatility_mid,47,20,0.24328712,-0.18348341,-0.0039039,0.310919
recent_2025h2_2026,liquidity_bucket,liquidity_high,58,34,0.46937819,0.14269922,0.00246033,0.599861
recent_2025h2_2026,liquidity_bucket,liquidity_mid,66,30,0.3130997,-0.14870565,-0.00225312,0.400139
recent_2025h2_2026,limit_density_bucket,limit_density_high,62,34,0.4599032,0.04910646,0.00079204,0.587752
recent_2025h2_2026,limit_density_bucket,limit_density_low,30,14,0.18543975,0.00967557,0.00032252,0.23699
recent_2025h2_2026,limit_density_bucket,limit_density_mid,32,16,0.13713494,-0.06478846,-0.00202464,0.175257
recent_2025h2_2026,breadth_bucket,breadth_low,37,26,0.28240969,0.10467651,0.00282909,0.360917
recent_2025h2_2026,breadth_bucket,breadth_mid,42,20,0.27305372,-0.01890892,-0.00045021,0.34896
recent_2025h2_2026,breadth_bucket,breadth_high,45,18,0.22701448,-0.09177402,-0.00203942,0.290123
