window,date,book_return,worst_cluster,worst_cluster_contribution,liquidity_ratio_lag1,limit_density_lag1,trend_bucket,volatility_bucket,liquidity_bucket,limit_density_bucket,pit_regime_label
historical_2020_2024,2021-12-13,-0.02222087,cluster_002,-0.00697363,0.973748,0.01654,trend_mid,volatility_low,liquidity_low,limit_density_mid,limit_density_high
historical_2020_2024,2022-03-01,-0.02210097,cluster_005,-0.00628854,0.880734,0.018015,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2021-04-08,-0.02201517,cluster_005,-0.00562958,0.732112,0.020446,trend_high,volatility_low,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2020-05-18,-0.02199984,cluster_005,-0.00599486,0.788107,0.017342,trend_mid,volatility_mid,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2023-12-28,-0.02199111,cluster_009,-0.00527553,0.92781,0.026492,trend_low,volatility_low,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2022-02-08,-0.02175515,cluster_005,-0.00445293,0.956679,0.024847,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2023-07-18,-0.02141081,cluster_001,-0.00517711,0.922557,0.011374,trend_low,volatility_low,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2024-06-21,-0.02108532,cluster_005,-0.00459251,0.888891,0.01077,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2022-01-26,-0.02057632,cluster_002,-0.00538783,0.963047,0.023066,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2024-12-25,-0.020157,cluster_005,-0.00556873,0.804212,0.02773,trend_mid,volatility_high,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2021-11-11,-0.02003761,cluster_009,-0.00606934,0.866685,0.019397,trend_mid,volatility_mid,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2021-03-17,-0.01976767,cluster_002,-0.00421914,0.956915,0.016066,trend_high,volatility_high,liquidity_low,limit_density_mid,limit_density_high
historical_2020_2024,2022-05-24,-0.01975178,cluster_001,-0.00601598,0.917724,0.02275,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2021-12-03,-0.01942592,cluster_002,-0.00576573,0.913439,0.018772,trend_high,volatility_low,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2020-09-04,-0.01927794,cluster_005,-0.00624285,0.89071,0.017292,trend_low,volatility_mid,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2022-08-17,-0.01922895,cluster_001,-0.00529837,0.895357,0.01787,trend_mid,volatility_high,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2024-08-29,-0.01909184,cluster_001,-0.00529405,0.853159,0.011495,trend_low,volatility_mid,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2022-05-05,-0.01895337,cluster_002,-0.00456474,0.938853,0.094896,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2022-01-11,-0.01861841,cluster_009,-0.00453848,0.975443,0.022881,trend_mid,volatility_mid,liquidity_low,limit_density_high,limit_density_high
train_2025h2,2025-12-11,-0.02543481,cluster_001,-0.00561291,0.809247,0.014179,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
train_2025h2,2025-11-12,-0.02443345,cluster_002,-0.006231,0.874803,0.015484,trend_mid,volatility_mid,liquidity_low,limit_density_mid,limit_density_high
train_2025h2,2025-12-17,-0.01820969,cluster_005,-0.00524404,0.820162,0.015274,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
train_2025h2,2025-12-16,-0.01779579,cluster_005,-0.00429692,0.819225,0.015008,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
train_2025h2,2025-11-07,-0.01762023,cluster_002,-0.00467095,0.928502,0.015459,trend_mid,volatility_mid,liquidity_low,limit_density_mid,limit_density_high
train_2025h2,2025-11-05,-0.01330139,cluster_001,-0.0035529,0.96828,0.015962,trend_mid,volatility_mid,liquidity_low,limit_density_mid,limit_density_high
train_2025h2,2025-11-28,-0.01212043,cluster_005,-0.00273837,0.833008,0.019148,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
train_2025h2,2025-11-19,-0.01177118,cluster_002,-0.0034203,0.864994,0.01818,trend_mid,volatility_low,liquidity_low,limit_density_high,limit_density_high
train_2025h2,2025-11-06,-0.01127183,cluster_005,-0.00303497,0.95248,0.015125,trend_mid,volatility_mid,liquidity_low,limit_density_low,limit_density_high
train_2025h2,2025-12-29,-0.01078376,cluster_006,-0.00312316,0.884433,0.01759,trend_mid,volatility_low,liquidity_low,limit_density_high,limit_density_high
train_2025h2,2025-12-12,-0.01007204,cluster_005,-0.00310233,0.805279,0.014646,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
train_2025h2,2025-11-27,-0.00782615,cluster_009,-0.00225063,0.845659,0.018611,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
train_2025h2,2025-11-18,-0.00670294,cluster_001,-0.00232475,0.864036,0.017712,trend_high,volatility_low,liquidity_low,limit_density_high,limit_density_high
train_2025h2,2025-12-09,-0.00355754,cluster_002,-0.00201163,0.808844,0.013878,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
train_2025h2,2025-12-01,-0.00348614,cluster_009,-0.00109531,0.819099,0.017254,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
train_2025h2,2025-12-31,-0.00340322,cluster_006,-0.00210689,0.909455,0.017878,trend_low,volatility_low,liquidity_low,limit_density_high,limit_density_high
train_2025h2,2025-12-23,-0.0030292,cluster_005,-0.00117317,0.844562,0.016065,trend_mid,volatility_low,liquidity_low,limit_density_mid,limit_density_high
train_2025h2,2025-12-24,-0.00216525,cluster_005,-0.00127278,0.849515,0.016298,trend_low,volatility_low,liquidity_low,limit_density_mid,limit_density_high
train_2025h2,2025-11-25,-0.00097963,cluster_004,-0.0011548,0.857621,0.018307,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
recent_oos_2026,2026-03-13,-0.02658464,cluster_001,-0.00678148,0.964432,0.014582,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_oos_2026,2026-03-27,-0.02466424,cluster_009,-0.00602421,0.94623,0.018952,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
recent_oos_2026,2026-03-31,-0.01576915,cluster_009,-0.00455233,0.910371,0.016938,trend_low,volatility_high,liquidity_low,limit_density_mid,limit_density_high
recent_oos_2026,2026-04-21,-0.01491292,cluster_001,-0.00347859,0.891743,0.016828,trend_high,volatility_high,liquidity_low,limit_density_mid,limit_density_high
recent_oos_2026,2026-01-06,-0.0136466,cluster_006,-0.003702,0.957456,0.019734,trend_high,volatility_low,liquidity_low,limit_density_high,limit_density_high
recent_oos_2026,2026-03-11,-0.0076795,cluster_002,-0.00273466,0.978692,0.016712,trend_mid,volatility_high,liquidity_low,limit_density_mid,limit_density_high
recent_oos_2026,2026-04-02,-0.00598447,cluster_006,-0.00236034,0.877915,0.015081,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_oos_2026,2026-03-24,-0.00516962,cluster_009,-0.00196569,0.97282,0.015774,trend_low,volatility_high,liquidity_low,limit_density_mid,limit_density_high
recent_oos_2026,2026-03-20,-0.00477534,cluster_002,-0.00226657,0.965535,0.012627,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_oos_2026,2026-04-24,-0.00397304,cluster_001,-0.00186347,0.916544,0.01633,trend_mid,volatility_high,liquidity_low,limit_density_mid,limit_density_high
recent_oos_2026,2026-04-13,-0.00259208,cluster_004,-0.0015887,0.843103,0.021018,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
recent_oos_2026,2026-04-16,-0.00232171,cluster_006,-0.00149936,0.857707,0.014285,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_oos_2026,2026-04-27,-0.0021719,cluster_002,-0.00213477,0.932752,0.016827,trend_high,volatility_high,liquidity_low,limit_density_mid,limit_density_high
recent_2025h2_2026,2026-03-13,-0.02658464,cluster_001,-0.00678148,0.964432,0.014582,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_2025h2_2026,2025-12-11,-0.02543481,cluster_001,-0.00561291,0.809247,0.014179,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_2025h2_2026,2026-03-27,-0.02466424,cluster_009,-0.00602421,0.94623,0.018952,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
recent_2025h2_2026,2025-11-12,-0.02443345,cluster_002,-0.006231,0.874803,0.015484,trend_mid,volatility_mid,liquidity_low,limit_density_mid,limit_density_high
recent_2025h2_2026,2025-12-17,-0.01820969,cluster_005,-0.00524404,0.820162,0.015274,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_2025h2_2026,2025-12-16,-0.01779579,cluster_005,-0.00429692,0.819225,0.015008,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_2025h2_2026,2025-11-07,-0.01762023,cluster_002,-0.00467095,0.928502,0.015459,trend_mid,volatility_mid,liquidity_low,limit_density_mid,limit_density_high
recent_2025h2_2026,2026-03-31,-0.01576915,cluster_009,-0.00455233,0.910371,0.016938,trend_low,volatility_high,liquidity_low,limit_density_mid,limit_density_high
recent_2025h2_2026,2026-04-21,-0.01491292,cluster_001,-0.00347859,0.891743,0.016828,trend_high,volatility_high,liquidity_low,limit_density_mid,limit_density_high
recent_2025h2_2026,2026-01-06,-0.0136466,cluster_006,-0.003702,0.957456,0.019734,trend_high,volatility_low,liquidity_low,limit_density_high,limit_density_high
recent_2025h2_2026,2025-11-05,-0.01330139,cluster_001,-0.0035529,0.96828,0.015962,trend_mid,volatility_mid,liquidity_low,limit_density_mid,limit_density_high
recent_2025h2_2026,2025-11-28,-0.01212043,cluster_005,-0.00273837,0.833008,0.019148,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
recent_2025h2_2026,2025-11-19,-0.01177118,cluster_002,-0.0034203,0.864994,0.01818,trend_mid,volatility_low,liquidity_low,limit_density_high,limit_density_high
recent_2025h2_2026,2025-11-06,-0.01127183,cluster_005,-0.00303497,0.95248,0.015125,trend_mid,volatility_mid,liquidity_low,limit_density_low,limit_density_high
recent_2025h2_2026,2025-12-29,-0.01078376,cluster_006,-0.00312316,0.884433,0.01759,trend_mid,volatility_low,liquidity_low,limit_density_high,limit_density_high
recent_2025h2_2026,2025-12-12,-0.01007204,cluster_005,-0.00310233,0.805279,0.014646,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_2025h2_2026,2025-11-27,-0.00782615,cluster_009,-0.00225063,0.845659,0.018611,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
recent_2025h2_2026,2026-03-11,-0.0076795,cluster_002,-0.00273466,0.978692,0.016712,trend_mid,volatility_high,liquidity_low,limit_density_mid,limit_density_high
recent_2025h2_2026,2025-11-18,-0.00670294,cluster_001,-0.00232475,0.864036,0.017712,trend_high,volatility_low,liquidity_low,limit_density_high,limit_density_high
recent_2025h2_2026,2026-04-02,-0.00598447,cluster_006,-0.00236034,0.877915,0.015081,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_2025h2_2026,2026-03-24,-0.00516962,cluster_009,-0.00196569,0.97282,0.015774,trend_low,volatility_high,liquidity_low,limit_density_mid,limit_density_high
recent_2025h2_2026,2026-03-20,-0.00477534,cluster_002,-0.00226657,0.965535,0.012627,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_2025h2_2026,2026-04-24,-0.00397304,cluster_001,-0.00186347,0.916544,0.01633,trend_mid,volatility_high,liquidity_low,limit_density_mid,limit_density_high
recent_2025h2_2026,2025-12-09,-0.00355754,cluster_002,-0.00201163,0.808844,0.013878,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_2025h2_2026,2025-12-01,-0.00348614,cluster_009,-0.00109531,0.819099,0.017254,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
recent_2025h2_2026,2025-12-31,-0.00340322,cluster_006,-0.00210689,0.909455,0.017878,trend_low,volatility_low,liquidity_low,limit_density_high,limit_density_high
recent_2025h2_2026,2025-12-23,-0.0030292,cluster_005,-0.00117317,0.844562,0.016065,trend_mid,volatility_low,liquidity_low,limit_density_mid,limit_density_high
recent_2025h2_2026,2026-04-13,-0.00259208,cluster_004,-0.0015887,0.843103,0.021018,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
recent_2025h2_2026,2026-04-16,-0.00232171,cluster_006,-0.00149936,0.857707,0.014285,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
recent_2025h2_2026,2026-04-27,-0.0021719,cluster_002,-0.00213477,0.932752,0.016827,trend_high,volatility_high,liquidity_low,limit_density_mid,limit_density_high
recent_2025h2_2026,2025-12-24,-0.00216525,cluster_005,-0.00127278,0.849515,0.016298,trend_low,volatility_low,liquidity_low,limit_density_mid,limit_density_high
recent_2025h2_2026,2025-11-25,-0.00097963,cluster_004,-0.0011548,0.857621,0.018307,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
