phase3bj_rank_unique_expression,phase3bk_reason,expression_hash,candidate_ids,horizon_min,shard_count,row_count,memory_hit_any,fresh_eligible_any,factor_lane,fields,directional_robust_score,ic_mean_median,ic_direction_share,spread_mean_mean,spread_direction_share,expression
11,fresh_non_memory_directional_consistent_phase3bj_surrogate,43951ae38eb949ad97dfbfbd,phase3bj_large_1min_009660,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first30_vwap,0.05052052393,-0.05052052393,1,-0.00018816186,1,"CSRank(Sub(ZScore(Mul(ZScore(Delta($amount,10)),Neg(ZScore(Delta($close,10))))),ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001)))))"
12,fresh_non_memory_directional_consistent_phase3bj_surrogate,649af80b00c02de3b638a301,phase3bj_large_1min_001503,30,16,16,False,True,micro_volatility,close,0.05034624126,-0.05034624126,1,-0.0001343760538,1,"CSRank(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001)))"
13,fresh_non_memory_directional_consistent_phase3bj_surrogate,f156adfdbc48eaa7af5ab5be,phase3bj_large_1min_008060,30,16,16,False,True,pure_fresh_cross,amount|close|vwap,0.05032903826,0.05032903826,1,0.0001885468575,1,"CSRank(Sub(ZScore(Mul(ZScore(Delta($amount,2)),Neg(ZScore(Delta($vwap,2))))),ZScore(Div(Std($close,8),Add(Abs(Mean($close,8)),0.000001)))))"
14,fresh_non_memory_directional_consistent_phase3bj_surrogate,92acdb8b7f19230340a8be12,phase3bj_large_1min_001505,30,16,16,False,True,micro_volatility,close,0.05030483919,-0.05030483919,1,-7.266519453e-05,0.8125,"CSRank(Div(Std($close,15),Add(Abs(Mean($close,15)),0.000001)))"
15,fresh_non_memory_directional_consistent_phase3bj_surrogate,dcead36821ac992909bac85a,phase3bj_large_1min_013275,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first15_vwap,0.05029446589,0.05029446589,1,0.000201997675,1,"CSRank(Div(ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Mul(ZScore(Delta($amount,15)),Neg(ZScore(Delta($close,15)))))),0.000001)))"
16,fresh_non_memory_directional_consistent_phase3bj_surrogate,bd04fa439f3652d10cc82b37,phase3bj_large_1min_001507,30,16,16,False,True,micro_volatility,close,0.04998343915,-0.04998343915,1,-7.189623748e-05,0.875,"CSRank(Div(Std($close,20),Add(Abs(Mean($close,20)),0.000001)))"
17,fresh_non_memory_directional_consistent_phase3bj_surrogate,4d1d968dc74d65cd67bc3a4a,phase3bj_large_1min_001456,5,16,16,False,True,opening_vwap_residual,close|m1_first5_vwap,0.0499265093,0.0499265093,1,0.0002109402279,1,"CSRank(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001)))"
18,fresh_non_memory_directional_consistent_phase3bj_surrogate,db90568548e7ab35c26411b8,phase3bj_large_1min_001501,30,16,16,False,True,micro_volatility,close,0.04979816607,-0.04979816607,1,-0.0001917780947,1,"CSRank(Div(Std($close,8),Add(Abs(Mean($close,8)),0.000001)))"
19,fresh_non_memory_directional_consistent_phase3bj_surrogate,6444d701fa47319ef99c20ec,phase3bj_large_1min_010543,30,16,16,False,True,pure_fresh_cross,amount|close|m1_first30_vol,0.0495702615,-0.0495702615,1,-0.0002489416956,1,"CSRank(Div(ZScore(Div(Std($close,5),Add(Abs(Mean($close,5)),0.000001))),Add(Abs(ZScore(Div($m1_first30_vol,Add(Abs(Mean($amount,30)),0.000001)))),0.000001)))"
20,fresh_non_memory_directional_consistent_phase3bj_surrogate,5a4e2603e0113f083882780d,phase3bj_large_1min_010344,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first30_vwap,0.04956625276,0.04956625276,1,0.0001861956735,1,"CSRank(Add(ZScore(Sub(ZScore(Delta($amount,30)),ZScore(Delta($close,30)))),ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001)))))"
21,fresh_non_memory_directional_consistent_phase3bj_surrogate,5ac561890765b85ccf67eaca,phase3bj_large_1min_001499,30,16,16,False,True,micro_volatility,close,0.04935308433,-0.04935308433,1,-0.0002354046064,1,"CSRank(Div(Std($close,5),Add(Abs(Mean($close,5)),0.000001)))"
22,fresh_non_memory_directional_consistent_phase3bj_surrogate,3fb85c54c04073c7922aba26,phase3bj_large_1min_010053,5,16,16,False,True,pure_fresh_cross,close|m1_first15_vwap|volume,0.0492938596,0.0492938596,1,0.0001987829154,1,"CSRank(Add(ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001))),ZScore(Sub(ZScore(Delta($volume,5)),ZScore(Delta($close,5))))))"
23,fresh_non_memory_directional_consistent_phase3bj_surrogate,54d5116b132d0395bf616bed,phase3bj_large_1min_007053,30,16,16,False,True,pure_fresh_cross,close|volume|vwap,0.04919694778,0.04919694778,1,0.0001851113669,1,"CSRank(Sub(ZScore(Div(Delta($volume,3),Add(Abs(Add(Std($vwap,3),0.000001)),0.000001))),ZScore(Div(Std($close,8),Add(Abs(Mean($close,8)),0.000001)))))"
24,fresh_non_memory_directional_consistent_phase3bj_surrogate,d27084f73bde2504ac0f76f4,phase3bj_large_1min_006998,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first5_vwap,0.04914965379,0.04914965379,1,0.0002111231988,1,"CSRank(Add(ZScore(Mul(ZScore(Delta($amount,15)),Neg(ZScore(Delta($close,15))))),ZScore(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001)))))"
25,fresh_non_memory_directional_consistent_phase3bj_surrogate,521205d42fa5a1a7de287fb2,phase3bj_large_1min_010657,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first30_vwap,0.04907682302,0.04907682302,1,0.0002039633209,1,"CSRank(Add(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),ZScore(Delta($amount,8))))"
26,fresh_non_memory_directional_consistent_phase3bj_surrogate,7823133ed4a275799b37e455,phase3bj_large_1min_012332,30,16,16,False,True,pure_fresh_cross,amount|close|vwap,0.04906928026,0.04906928026,1,0.0001044980423,1,"CSRank(Sub(ZScore(Mul(ZScore(Delta($amount,15)),Neg(ZScore(Delta($vwap,15))))),ZScore(Div(Std($close,15),Add(Abs(Mean($close,15)),0.000001)))))"
27,fresh_non_memory_directional_consistent_phase3bj_surrogate,55720415ff4e329b55100260,phase3bj_large_1min_001509,30,16,16,False,True,micro_volatility,close,0.04893672683,-0.04893672683,1,-5.012837134e-05,0.8125,"CSRank(Div(Std($close,30),Add(Abs(Mean($close,30)),0.000001)))"
28,fresh_non_memory_directional_consistent_phase3bj_surrogate,083493078d5c5c665bf39113,phase3bj_large_1min_010472,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first30_vwap|m1_first5_amount,0.04871852571,0.04871852571,1,0.0001970957795,1,"CSRank(Sub(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),ZScore(Sub(ZScore($m1_first5_amount),ZScore(Mean($amount,30))))))"
29,fresh_non_memory_directional_consistent_phase3bj_surrogate,8546ce960e1665f2453ea15d,phase3bj_large_1min_012222,5,16,16,False,True,pure_fresh_cross,close|m1_first30_vwap|volume,0.04858568532,0.04858568532,1,0.0001560791132,1,"CSRank(Div(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Sub(ZScore(Mean($volume,5)),ZScore(Mean($volume,45))))),0.000001)))"
30,fresh_non_memory_directional_consistent_phase3bj_surrogate,b7f88f62ccc3d0301dbc86cd,phase3bj_large_1min_006366,30,16,16,False,True,pure_fresh_cross,amount|close,0.04856091291,0.04856091291,1,0.0001974399047,1,"CSRank(Sub(ZScore(Mul(ZScore(Delta($amount,30)),Neg(ZScore(Delta($close,30))))),ZScore(Div(Std($close,8),Add(Abs(Mean($close,8)),0.000001)))))"
31,fresh_non_memory_directional_consistent_phase3bj_surrogate,60ee4dd67606a55997e87a49,phase3bj_large_1min_009923,30,16,16,False,True,pure_fresh_cross,close|volume|vwap,0.04848303817,-0.04848303817,1,-0.000205868045,1,"CSRank(Div(ZScore(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001))),Add(Abs(ZScore(Div(Delta($volume,5),Add(Abs(Add(Std($vwap,5),0.000001)),0.000001)))),0.000001)))"
32,fresh_non_memory_directional_consistent_phase3bj_surrogate,801b15138c021e481c6dca47,phase3bj_large_1min_012843,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first15_vwap,0.04847748258,0.04847748258,1,0.0002088540707,1,"CSRank(Add(ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001))),ZScore(Sub(ZScore(Mean($amount,1)),ZScore(Mean($amount,30))))))"
33,fresh_non_memory_directional_consistent_phase3bj_surrogate,f80fa77fb11d489041f7e9d6,phase3bj_large_1min_011262,1,16,16,False,True,pure_fresh_cross,close|m1_first30_vwap|m1_first5_vwap|vwap,0.04813408105,0.04813408105,1,0.0001784567589,1,"CSRank(Div(ZScore(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Sub($m1_first30_vwap,$vwap),Add(Abs($vwap),0.000001)))),0.000001)))"
34,fresh_non_memory_directional_consistent_phase3bj_surrogate,79d3068fbb4e304eb5fbee48,phase3bj_large_1min_012338,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first30_vwap,0.04786376439,0.04786376439,1,0.0001758273572,1,"CSRank(Div(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Delta($amount,8),Add(Abs(Mean($amount,45)),0.000001)))),0.000001)))"
35,fresh_non_memory_directional_consistent_phase3bj_surrogate,e6e4bf658dfbc6d0107eea72,phase3bj_large_1min_009871,30,16,16,False,True,pure_fresh_cross,amount|close,0.04778397869,-0.04778397869,1,-0.0001352829078,1,"CSRank(Div(ZScore(Div(Std($close,20),Add(Abs(Mean($close,20)),0.000001))),Add(Abs(ZScore(Div(Delta($amount,5),Add(Abs(Add(Std($close,5),0.000001)),0.000001)))),0.000001)))"
36,fresh_non_memory_directional_consistent_phase3bj_surrogate,3305abde18536e10bc127cee,phase3bj_large_1min_010824,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first5_vwap,0.04776994182,0.04776994182,1,0.0002065347788,1,"CSRank(Div(ZScore(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Mean($amount,8),Add(Abs(Add(Std($close,8),0.000001)),0.000001)))),0.000001)))"
37,fresh_non_memory_directional_consistent_phase3bj_surrogate,6988b8be922794ac01efabc2,phase3bj_large_1min_011100,5,16,16,False,True,pure_fresh_cross,close|m1_first30_vwap|volume,0.04757771041,0.04757771041,1,0.0002127932188,1,"CSRank(Add(ZScore(Sub(ZScore(Mean($volume,1)),ZScore(Mean($volume,10)))),ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001)))))"
38,fresh_non_memory_directional_consistent_phase3bj_surrogate,f0f51f093aa9aa122b0ce7af,phase3bj_large_1min_011968,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first30_vwap,0.04747621182,0.04747621182,1,0.0001752591789,1,"CSRank(Add(ZScore(Sub(ZScore(Mean($amount,8)),ZScore(Mean($amount,60)))),ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001)))))"
39,fresh_non_memory_directional_consistent_phase3bj_surrogate,77543a3f147c46d52b16717c,phase3bj_large_1min_010788,30,16,16,False,True,pure_fresh_cross,close|volume,0.04745729077,-0.04745729077,1,-0.0001936940992,1,"CSRank(Add(ZScore(Div(Delta($volume,5),Add(Abs(Add(Std($close,5),0.000001)),0.000001))),ZScore(Div(Std($close,5),Add(Abs(Mean($close,5)),0.000001)))))"
40,fresh_non_memory_directional_consistent_phase3bj_surrogate,3a890ef1aa2d3421ed3dd39a,phase3bj_large_1min_013239,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first15_vwap|vwap,0.04737739208,0.04737739208,1,0.0001950997395,1,"CSRank(Div(ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Delta($amount,5),Add(Abs(Add(Std($vwap,5),0.000001)),0.000001)))),0.000001)))"
41,fresh_non_memory_directional_consistent_phase3bj_surrogate,379a3b678612c3ae9782ef01,phase3bj_large_1min_010090,30,16,16,False,True,pure_fresh_cross,amount|close,0.04721651209,-0.04721651209,1,-0.0001074938497,1,"CSRank(Add(ZScore(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001))),ZScore(Div(Mean($amount,3),Add(Abs(Add(Std($close,3),0.000001)),0.000001)))))"
42,fresh_non_memory_directional_consistent_phase3bj_surrogate,7882e6310ee21b4be9529c8e,phase3bj_large_1min_007506,30,16,16,False,True,pure_fresh_cross,amount|close|m1_first5_amount,0.04720404007,-0.04720404007,1,-0.0001025179692,1,"CSRank(Add(ZScore(Div(Std($close,8),Add(Abs(Mean($close,8)),0.000001))),ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,30)),0.000001)))))"
43,fresh_non_memory_directional_consistent_phase3bj_surrogate,2518d8f8464fd75b242f401f,phase3bj_large_1min_007177,5,16,16,False,True,pure_fresh_cross,close|m1_first5_vwap,0.04720308299,0.04720308299,1,0.0001862449761,1,"CSRank(Div(ZScore(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Std($close,30),Add(Abs(Mean($close,30)),0.000001)))),0.000001)))"
44,fresh_non_memory_directional_consistent_phase3bj_surrogate,608bf624d3ce46ea95471750,phase3bj_large_1min_011154,30,16,16,False,True,pure_fresh_cross,close|volume,0.04716337645,0.04716337645,1,0.0002910443278,1,"CSRank(Sub(ZScore(Sub(ZScore(Delta($volume,5)),ZScore(Delta($close,5)))),ZScore(Div(Std($close,5),Add(Abs(Mean($close,5)),0.000001)))))"
45,fresh_non_memory_directional_consistent_phase3bj_surrogate,2f508e943776ece057995ed8,phase3bj_large_1min_006697,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first30_vwap,0.04704126212,0.04704126212,1,0.000177905479,1,"CSRank(Div(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Delta($amount,10),Add(Abs(Mean($amount,60)),0.000001)))),0.000001)))"
46,fresh_non_memory_directional_consistent_phase3bj_surrogate,042b4e642cce432b76f3c4e4,phase3bj_large_1min_007189,30,16,16,False,True,pure_fresh_cross,amount|close|vwap,0.04666270287,-0.04666270287,1,-4.447154372e-05,0.75,"CSRank(Div(ZScore(Div(Std($close,20),Add(Abs(Mean($close,20)),0.000001))),Add(Abs(ZScore(Mul(ZScore(Delta($amount,5)),Neg(ZScore(Delta($vwap,5)))))),0.000001)))"
47,fresh_non_memory_directional_consistent_phase3bj_surrogate,c157ec9fc42f6f52fd001aa7,phase3bj_large_1min_007600,30,16,16,False,True,pure_fresh_cross,close|volume|vwap,0.04664590347,-0.04664590347,1,-0.0001740550119,1,"CSRank(Sub(ZScore(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001))),ZScore(Sub(ZScore(Delta($volume,5)),ZScore(Delta($vwap,5))))))"
48,fresh_non_memory_directional_consistent_phase3bj_surrogate,a68148d0f0377572c06b492e,phase3bj_large_1min_008925,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first30_vwap,0.04644686601,0.04644686601,1,0.0001955740389,1,"CSRank(Add(ZScore(Div(Delta($amount,30),Add(Abs(Add(Std($close,30),0.000001)),0.000001))),ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001)))))"
49,fresh_non_memory_directional_consistent_phase3bj_surrogate,9a5956f75914202ae22afcf2,phase3bj_large_1min_011855,30,16,16,False,True,pure_fresh_cross,amount|close|m1_first15_vol,0.04640984024,-0.04640984024,1,-7.854126643e-05,1,"CSRank(Div(ZScore(Div(Std($close,30),Add(Abs(Mean($close,30)),0.000001))),Add(Abs(ZScore(Div($m1_first15_vol,Add(Abs(Mean($amount,30)),0.000001)))),0.000001)))"
50,fresh_non_memory_directional_consistent_phase3bj_surrogate,ccbc5f94d7d602a0e776981b,phase3bj_large_1min_001364,5,16,16,False,True,price_flow_divergence,amount|close,0.04626728824,0.04626728824,1,0.000240163086,1,"CSRank(Sub(ZScore(Delta($amount,2)),ZScore(Delta($close,2))))"
51,fresh_non_memory_directional_consistent_phase3bj_surrogate,d4515d772acecb37595a0a72,phase3bj_large_1min_008485,5,16,16,False,True,pure_fresh_cross,close|m1_first30_vwap|volume,0.04594212105,0.04594212105,1,0.0001752167106,1,"CSRank(Sub(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),ZScore(Mul(ZScore(Delta($volume,5)),Neg(ZScore(Delta($close,5)))))))"
52,fresh_non_memory_directional_consistent_phase3bj_surrogate,4cf69104924b101401bfbc89,phase3bj_large_1min_009505,5,16,16,False,True,pure_fresh_cross,close|m1_first30_vwap|volume|vwap,0.0457006242,0.0457006242,1,0.0001731947636,1,"CSRank(Sub(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),ZScore(Mul(ZScore(Delta($volume,10)),Neg(ZScore(Delta($vwap,10)))))))"
53,fresh_non_memory_directional_consistent_phase3bj_surrogate,58296da3e1e9a3896356dce0,phase3bj_large_1min_007981,30,16,16,False,True,pure_fresh_cross,amount|close,0.04567110084,-0.04567110084,1,-8.575983534e-05,1,"CSRank(Div(ZScore(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001))),Add(Abs(ZScore(Sub(ZScore(Mean($amount,2)),ZScore(Mean($amount,60))))),0.000001)))"
54,fresh_non_memory_directional_consistent_phase3bj_surrogate,08ea6b4e66516be1cb6879c0,phase3bj_large_1min_001497,30,16,16,False,True,micro_volatility,close,0.0454105026,-0.0454105026,1,-0.0002774398145,1,"CSRank(Div(Std($close,3),Add(Abs(Mean($close,3)),0.000001)))"
55,fresh_non_memory_directional_consistent_phase3bj_surrogate,c42ce58cb99ffa4e96782fb2,phase3bj_large_1min_006416,5,16,16,False,True,pure_fresh_cross,close|m1_first30_vwap|volume,0.04529213292,0.04529213292,1,0.0001721861102,1,"CSRank(Sub(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),ZScore(Div(Delta($volume,10),Add(Abs(Add(Std($close,10),0.000001)),0.000001)))))"
56,fresh_non_memory_directional_consistent_phase3bj_surrogate,6c8d17fd5fc599eeecf138a5,phase3bj_large_1min_007983,30,16,16,False,True,pure_fresh_cross,amount|close,0.04522564452,-0.04522564452,1,-4.152575653e-05,0.8125,"CSRank(Div(ZScore(Div(Std($close,15),Add(Abs(Mean($close,15)),0.000001))),Add(Abs(ZScore(Delta($amount,20))),0.000001)))"
57,fresh_non_memory_directional_consistent_phase3bj_surrogate,78641a8de4ed3ea4fa166fa6,phase3bj_large_1min_007582,30,16,16,False,True,pure_fresh_cross,close|volume,0.0450903713,-0.0450903713,1,-0.0002075180652,1,"CSRank(Add(ZScore(Div(Delta($volume,8),Add(Abs(Add(Std($close,8),0.000001)),0.000001))),ZScore(Div(Std($close,5),Add(Abs(Mean($close,5)),0.000001)))))"
58,fresh_non_memory_directional_consistent_phase3bj_surrogate,27e11194642bfa16d4321d31,phase3bj_large_1min_010798,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first5_vwap,0.04483946668,0.04483946668,1,0.0001704885872,1,"CSRank(Div(ZScore(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Mean($amount,3),Add(Abs(Mean($amount,45)),0.000001)))),0.000001)))"
59,fresh_non_memory_directional_consistent_phase3bj_surrogate,90cc67b986d52c9d3281f361,phase3bj_large_1min_007076,30,16,16,False,True,pure_fresh_cross,amount|close,0.04474755612,-0.04474755612,1,-0.0001022768335,1,"CSRank(Div(ZScore(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001))),Add(Abs(ZScore(Delta($amount,2))),0.000001)))"
60,fresh_non_memory_directional_consistent_phase3bj_surrogate,6e714c75a26c85a48fee345c,phase3bj_large_1min_012230,30,16,16,False,True,pure_fresh_cross,close|volume,0.04448381493,-0.04448381493,1,-0.0001919521249,1,"CSRank(Div(ZScore(Div(Std($close,8),Add(Abs(Mean($close,8)),0.000001))),Add(Abs(ZScore(Div(Delta($volume,15),Add(Abs(Add(Std($close,15),0.000001)),0.000001)))),0.000001)))"
61,fresh_non_memory_directional_consistent_phase3bj_surrogate,3b63c05f44de73d8bc831b83,phase3bj_large_1min_010744,5,16,16,False,True,pure_fresh_cross,close|m1_first30_vwap|volume,0.04440935752,0.04440935752,1,0.0001646521019,1,"CSRank(Add(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),ZScore(Sub(ZScore(Mean($volume,5)),ZScore(Mean($volume,45))))))"
62,fresh_non_memory_directional_consistent_phase3bj_surrogate,f8c64fb2f6e561418546367b,phase3bj_large_1min_011891,30,16,16,False,True,pure_fresh_cross,amount|close,0.04437727808,-0.04437727808,1,-0.0001861359144,1,"CSRank(Div(ZScore(Div(Std($close,3),Add(Abs(Mean($close,3)),0.000001))),Add(Abs(ZScore(Sub(ZScore(Mean($amount,2)),ZScore(Mean($amount,60))))),0.000001)))"
63,fresh_non_memory_directional_consistent_phase3bj_surrogate,fbafe43b46bd441391895230,phase3bj_large_1min_009896,5,16,16,False,True,pure_fresh_cross,close|m1_first5_vwap|volume,0.04427234625,0.04427234625,1,0.0001519185177,1,"CSRank(Div(ZScore(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Sub(ZScore(Mean($volume,8)),ZScore(Mean($volume,45))))),0.000001)))"
64,fresh_non_memory_directional_consistent_phase3bj_surrogate,1622250ee7457817ff20f435,phase3bj_large_1min_006811,30,16,16,False,True,pure_fresh_cross,amount|close,0.04423728096,-0.04423728096,1,-0.0001091520115,1,"CSRank(Div(ZScore(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001))),Add(Abs(ZScore(Div(Mean($amount,3),Add(Abs(Mean($amount,60)),0.000001)))),0.000001)))"
