book,cluster_count,retention_vs_j0,median_turnover,p90_turnover,capacity_proxy_median,amount_20d_median,limit_suspension_loss_proxy,max_raw_share,source_lane_top_share,mean_pairwise_cluster_corr,max_pairwise_cluster_corr,equal_cost_adjusted_proxy,equal_book_ir_proxy,equal_max_cluster_weight,equal_top_cluster_contribution,inverse_turnover_cost_adjusted_proxy,inverse_turnover_book_ir_proxy,inverse_turnover_max_cluster_weight,inverse_turnover_top_cluster_contribution,liquidity_adjusted_cost_adjusted_proxy,liquidity_adjusted_book_ir_proxy,liquidity_adjusted_max_cluster_weight,liquidity_adjusted_top_cluster_contribution,amount_q,capacity_q,gate_mode,limit_max,susp_max,pass_gate,near_best,local_to_best
J4_relaxed_a0.0_c0.1_and_l0.25,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.1,and,0.25,0.01,True,False,True
J4_relaxed_a0.0_c0.1_and_l0.3,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.1,and,0.3,0.01,True,False,False
J4_relaxed_a0.0_c0.15_and_l0.2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.15,and,0.2,0.01,True,False,False
J4_relaxed_a0.0_c0.15_and_l0.25,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.15,and,0.25,0.01,True,False,False
J4_relaxed_a0.0_c0.15_and_l0.3,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.15,and,0.3,0.01,True,False,False
J4_relaxed_a0.0_c0.2_and_l0.2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.2,and,0.2,0.01,True,False,False
J4_relaxed_a0.0_c0.2_and_l0.25,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.2,and,0.25,0.01,True,False,False
J4_relaxed_a0.0_c0.2_and_l0.3,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.2,and,0.3,0.01,True,False,False
J4_relaxed_a0.0_c0.25_and_l0.2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.25,and,0.2,0.01,True,False,False
J4_relaxed_a0.0_c0.25_and_l0.25,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.25,and,0.25,0.01,True,False,False
J4_relaxed_a0.0_c0.25_and_l0.3,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.25,and,0.3,0.01,True,False,False
J4_relaxed_a0.05_c0.0_and_l0.2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.05,0.0,and,0.2,0.01,True,False,True
J4_relaxed_a0.05_c0.0_and_l0.25,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.05,0.0,and,0.25,0.01,True,False,True
J4_relaxed_a0.05_c0.0_and_l0.3,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.05,0.0,and,0.3,0.01,True,False,False
J4_relaxed_a0.1_c0.0_and_l0.2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.1,0.0,and,0.2,0.01,True,False,True
J4_relaxed_a0.1_c0.0_and_l0.25,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.1,0.0,and,0.25,0.01,True,False,True
J4_relaxed_a0.1_c0.0_and_l0.3,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.1,0.0,and,0.3,0.01,True,False,False
J4_relaxed_a0.15_c0.0_and_l0.2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.15,0.0,and,0.2,0.01,True,False,False
J4_relaxed_a0.15_c0.0_and_l0.25,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.15,0.0,and,0.25,0.01,True,False,False
J4_relaxed_a0.15_c0.0_and_l0.3,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.15,0.0,and,0.3,0.01,True,False,False
J4_relaxed_a0.2_c0.0_and_l0.2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.2,0.0,and,0.2,0.01,True,False,False
J4_relaxed_a0.2_c0.0_and_l0.25,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.2,0.0,and,0.25,0.01,True,False,False
J4_relaxed_a0.2_c0.0_and_l0.3,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.2,0.0,and,0.3,0.01,True,False,False
J4_relaxed_a0.25_c0.0_and_l0.2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.25,0.0,and,0.2,0.01,True,False,False
J4_relaxed_a0.25_c0.0_and_l0.25,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.25,0.0,and,0.25,0.01,True,False,False
J4_relaxed_a0.25_c0.0_and_l0.3,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.25,0.0,and,0.3,0.01,True,False,False
J4_relaxed_a0.05_c0.05_and_l0.2,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,,,1.840207,1.840207,0.045455,0.092079,2.055906,2.055906,0.140941,0.183914,2.100618,2.100618,0.16696,0.21323,0.05,0.05,and,0.2,0.01,True,True,True
J4_relaxed_a0.05_c0.05_and_l0.25,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,,,1.840207,1.840207,0.045455,0.092079,2.055906,2.055906,0.140941,0.183914,2.100618,2.100618,0.16696,0.21323,0.05,0.05,and,0.25,0.01,True,True,True
J4_relaxed_a0.05_c0.05_and_l0.3,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,,,1.840207,1.840207,0.045455,0.092079,2.055906,2.055906,0.140941,0.183914,2.100618,2.100618,0.16696,0.21323,0.05,0.05,and,0.3,0.01,True,True,False
J4_relaxed_a0.05_c0.1_and_l0.2,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,,,1.840207,1.840207,0.045455,0.092079,2.055906,2.055906,0.140941,0.183914,2.100618,2.100618,0.16696,0.21323,0.05,0.1,and,0.2,0.01,True,True,True
J4_relaxed_a0.05_c0.1_and_l0.25,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,,,1.840207,1.840207,0.045455,0.092079,2.055906,2.055906,0.140941,0.183914,2.100618,2.100618,0.16696,0.21323,0.05,0.1,and,0.25,0.01,True,True,True
J4_relaxed_a0.05_c0.1_and_l0.3,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,,,1.840207,1.840207,0.045455,0.092079,2.055906,2.055906,0.140941,0.183914,2.100618,2.100618,0.16696,0.21323,0.05,0.1,and,0.3,0.01,True,True,False
J4_relaxed_a0.1_c0.05_and_l0.2,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,,,1.840207,1.840207,0.045455,0.092079,2.055906,2.055906,0.140941,0.183914,2.100618,2.100618,0.16696,0.21323,0.1,0.05,and,0.2,0.01,True,True,True
J4_relaxed_a0.1_c0.05_and_l0.25,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,,,1.840207,1.840207,0.045455,0.092079,2.055906,2.055906,0.140941,0.183914,2.100618,2.100618,0.16696,0.21323,0.1,0.05,and,0.25,0.01,True,True,True
J4_relaxed_a0.1_c0.05_and_l0.3,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,,,1.840207,1.840207,0.045455,0.092079,2.055906,2.055906,0.140941,0.183914,2.100618,2.100618,0.16696,0.21323,0.1,0.05,and,0.3,0.01,True,True,False
J4_relaxed_a0.1_c0.1_and_l0.2,21,0.617647,0.170802,0.256782,24771722.56582,1124588403.2,0.026135,0.137931,0.571429,,,1.761269,1.761269,0.047619,0.100787,2.027777,2.027777,0.14369,0.190103,2.088592,2.088592,0.168397,0.216303,0.1,0.1,and,0.2,0.01,True,False,True
J4_relaxed_a0.1_c0.1_and_l0.25,21,0.617647,0.170802,0.256782,24771722.56582,1124588403.2,0.026135,0.137931,0.571429,,,1.761269,1.761269,0.047619,0.100787,2.027777,2.027777,0.14369,0.190103,2.088592,2.088592,0.168397,0.216303,0.1,0.1,and,0.25,0.01,True,False,True
J4_relaxed_a0.1_c0.1_and_l0.3,21,0.617647,0.170802,0.256782,24771722.56582,1124588403.2,0.026135,0.137931,0.571429,,,1.761269,1.761269,0.047619,0.100787,2.027777,2.027777,0.14369,0.190103,2.088592,2.088592,0.168397,0.216303,0.1,0.1,and,0.3,0.01,True,False,False
J4_relaxed_a0.1_c0.0_or_l0.2,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,,,1.796273,1.796273,0.05,0.103764,2.050518,2.050518,0.147071,0.192417,2.098216,2.098216,0.169975,0.217328,0.1,0.0,or,0.2,0.01,True,False,False
J4_relaxed_a0.1_c0.0_or_l0.25,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,,,1.796273,1.796273,0.05,0.103764,2.050518,2.050518,0.147071,0.192417,2.098216,2.098216,0.169975,0.217328,0.1,0.0,or,0.25,0.01,True,False,False
J4_relaxed_a0.1_c0.0_or_l0.3,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,,,1.796273,1.796273,0.05,0.103764,2.050518,2.050518,0.147071,0.192417,2.098216,2.098216,0.169975,0.217328,0.1,0.0,or,0.3,0.01,True,False,False
J4_relaxed_a0.1_c0.15_and_l0.2,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,,,1.796273,1.796273,0.05,0.103764,2.050518,2.050518,0.147071,0.192417,2.098216,2.098216,0.169975,0.217328,0.1,0.15,and,0.2,0.01,True,False,False
J4_relaxed_a0.1_c0.15_and_l0.25,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,,,1.796273,1.796273,0.05,0.103764,2.050518,2.050518,0.147071,0.192417,2.098216,2.098216,0.169975,0.217328,0.1,0.15,and,0.25,0.01,True,False,False
J4_relaxed_a0.1_c0.15_and_l0.3,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,,,1.796273,1.796273,0.05,0.103764,2.050518,2.050518,0.147071,0.192417,2.098216,2.098216,0.169975,0.217328,0.1,0.15,and,0.3,0.01,True,False,False
J4_relaxed_a0.1_c0.2_and_l0.2,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,,,1.796273,1.796273,0.05,0.103764,2.050518,2.050518,0.147071,0.192417,2.098216,2.098216,0.169975,0.217328,0.1,0.2,and,0.2,0.01,True,False,False
J4_relaxed_a0.1_c0.2_and_l0.25,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,,,1.796273,1.796273,0.05,0.103764,2.050518,2.050518,0.147071,0.192417,2.098216,2.098216,0.169975,0.217328,0.1,0.2,and,0.25,0.01,True,False,False
J4_relaxed_a0.1_c0.2_and_l0.3,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,,,1.796273,1.796273,0.05,0.103764,2.050518,2.050518,0.147071,0.192417,2.098216,2.098216,0.169975,0.217328,0.1,0.2,and,0.3,0.01,True,False,False
J4_relaxed_a0.1_c0.25_and_l0.2,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,,,1.796273,1.796273,0.05,0.103764,2.050518,2.050518,0.147071,0.192417,2.098216,2.098216,0.169975,0.217328,0.1,0.25,and,0.2,0.01,True,False,False
J4_relaxed_a0.1_c0.25_and_l0.25,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,,,1.796273,1.796273,0.05,0.103764,2.050518,2.050518,0.147071,0.192417,2.098216,2.098216,0.169975,0.217328,0.1,0.25,and,0.25,0.01,True,False,False
J4_relaxed_a0.1_c0.25_and_l0.3,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,,,1.796273,1.796273,0.05,0.103764,2.050518,2.050518,0.147071,0.192417,2.098216,2.098216,0.169975,0.217328,0.1,0.25,and,0.3,0.01,True,False,False
J4_relaxed_a0.0_c0.1_or_l0.2,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,,,1.714014,1.714014,0.05,0.108744,1.999761,1.999761,0.149622,0.200724,2.073803,2.073803,0.172428,0.223061,0.0,0.1,or,0.2,0.01,True,False,False
J4_relaxed_a0.0_c0.1_or_l0.25,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,,,1.714014,1.714014,0.05,0.108744,1.999761,1.999761,0.149622,0.200724,2.073803,2.073803,0.172428,0.223061,0.0,0.1,or,0.25,0.01,True,False,False
J4_relaxed_a0.0_c0.1_or_l0.3,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,,,1.714014,1.714014,0.05,0.108744,1.999761,1.999761,0.149622,0.200724,2.073803,2.073803,0.172428,0.223061,0.0,0.1,or,0.3,0.01,True,False,False
J4_relaxed_a0.15_c0.1_and_l0.2,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,,,1.714014,1.714014,0.05,0.108744,1.999761,1.999761,0.149622,0.200724,2.073803,2.073803,0.172428,0.223061,0.15,0.1,and,0.2,0.01,True,False,False
J4_relaxed_a0.15_c0.1_and_l0.25,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,,,1.714014,1.714014,0.05,0.108744,1.999761,1.999761,0.149622,0.200724,2.073803,2.073803,0.172428,0.223061,0.15,0.1,and,0.25,0.01,True,False,False
J4_relaxed_a0.15_c0.1_and_l0.3,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,,,1.714014,1.714014,0.05,0.108744,1.999761,1.999761,0.149622,0.200724,2.073803,2.073803,0.172428,0.223061,0.15,0.1,and,0.3,0.01,True,False,False
J4_relaxed_a0.2_c0.1_and_l0.2,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,,,1.714014,1.714014,0.05,0.108744,1.999761,1.999761,0.149622,0.200724,2.073803,2.073803,0.172428,0.223061,0.2,0.1,and,0.2,0.01,True,False,False
J4_relaxed_a0.2_c0.1_and_l0.25,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,,,1.714014,1.714014,0.05,0.108744,1.999761,1.999761,0.149622,0.200724,2.073803,2.073803,0.172428,0.223061,0.2,0.1,and,0.25,0.01,True,False,False
J4_relaxed_a0.2_c0.1_and_l0.3,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,,,1.714014,1.714014,0.05,0.108744,1.999761,1.999761,0.149622,0.200724,2.073803,2.073803,0.172428,0.223061,0.2,0.1,and,0.3,0.01,True,False,False
J4_relaxed_a0.25_c0.1_and_l0.2,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,,,1.714014,1.714014,0.05,0.108744,1.999761,1.999761,0.149622,0.200724,2.073803,2.073803,0.172428,0.223061,0.25,0.1,and,0.2,0.01,True,False,False
J4_relaxed_a0.25_c0.1_and_l0.25,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,,,1.714014,1.714014,0.05,0.108744,1.999761,1.999761,0.149622,0.200724,2.073803,2.073803,0.172428,0.223061,0.25,0.1,and,0.25,0.01,True,False,False
J4_relaxed_a0.25_c0.1_and_l0.3,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,,,1.714014,1.714014,0.05,0.108744,1.999761,1.999761,0.149622,0.200724,2.073803,2.073803,0.172428,0.223061,0.25,0.1,and,0.3,0.01,True,False,False
J4_relaxed_a0.0_c0.15_or_l0.2,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.0,0.15,or,0.2,0.01,True,False,False
J4_relaxed_a0.0_c0.15_or_l0.25,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.0,0.15,or,0.25,0.01,True,False,False
J4_relaxed_a0.0_c0.15_or_l0.3,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.0,0.15,or,0.3,0.01,True,False,False
J4_relaxed_a0.05_c0.1_or_l0.2,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.05,0.1,or,0.2,0.01,True,False,False
J4_relaxed_a0.05_c0.1_or_l0.25,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.05,0.1,or,0.25,0.01,True,False,False
J4_relaxed_a0.05_c0.1_or_l0.3,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.05,0.1,or,0.3,0.01,True,False,False
J4_relaxed_a0.05_c0.15_or_l0.2,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.05,0.15,or,0.2,0.01,True,False,False
J4_relaxed_a0.05_c0.15_or_l0.25,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.05,0.15,or,0.25,0.01,True,False,False
J4_relaxed_a0.05_c0.15_or_l0.3,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.05,0.15,or,0.3,0.01,True,False,False
J4_relaxed_a0.1_c0.05_or_l0.2,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.1,0.05,or,0.2,0.01,True,False,False
J4_relaxed_a0.1_c0.05_or_l0.25,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.1,0.05,or,0.25,0.01,True,False,False
J4_relaxed_a0.1_c0.05_or_l0.3,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.1,0.05,or,0.3,0.01,True,False,False
J4_relaxed_a0.1_c0.1_or_l0.2,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,,,1.748373,1.748373,0.052632,0.112218,2.022777,2.022777,0.153291,0.203306,2.083518,2.083518,0.174083,0.22415,0.1,0.1,or,0.2,0.01,True,False,False
