candidate_id,factor_lane,diagnostic_role,input_families,input_sources,pool_priority_score,source_quota_group,expression
phase3aa_event_0431_cn_integrated_v1_minute_early_amount_share_00011,minute_early_amount_share,minute_flow_pressure,minute_flow_liquidity,minute_panel_v2,1.01,cn_integrated_feature_layer:minute_flow_pressure:none,"CSRank(Div($m1_first30_amount,Add(Abs($m1_amount_day),0.000001)))"
phase3aa_event_0432_cn_integrated_v1_minute_early_volume_share_00012,minute_early_volume_share,minute_flow_pressure,minute_flow_liquidity,minute_panel_v2,1.01,cn_integrated_feature_layer:minute_flow_pressure:none,"CSRank(Div($m1_first30_vol,Add(Abs($m1_vol_day),0.000001)))"
phase3aa_event_0433_cn_integrated_v1_minute_vwap_pressure_00013,minute_vwap_pressure,minute_price_pressure,minute_vwap_pressure,minute_panel_v2,0.95,cn_integrated_feature_layer:minute_price_pressure:none,CSRank($m1_first30_vwap_return_vs_open)
phase3aa_event_0434_cn_integrated_v1_minute_last_vs_vwap_pressure_00014,minute_last_vs_vwap_pressure,minute_price_pressure,minute_return_pressure|minute_vwap_pressure,minute_panel_v2,0.95,cn_integrated_feature_layer:minute_price_pressure:none,"CSRank(Sub($m1_first30_last_return_vs_open,$m1_first30_vwap_return_vs_open))"
phase3aa_event_0435_cn_integrated_v1_minute_early_range_00015,minute_early_range,minute_volatility_pressure,minute_range_volatility,minute_panel_v2,0.95,cn_integrated_feature_layer:minute_volatility_pressure:none,CSRank($m1_first30_range)
phase3aa_event_0436_cn_integrated_v1_minute_frontloaded_amount_00016,minute_frontloaded_amount,minute_flow_pressure,minute_flow_liquidity,minute_panel_v2,1.01,cn_integrated_feature_layer:minute_flow_pressure:none,"CSRank(Div($m1_first5_amount,Add(Abs($m1_first30_amount),0.000001)))"
phase3aa_event_0437_cn_integrated_v1_minute_early_reversal_pressure_00017,minute_early_reversal_pressure,minute_price_pressure,minute_vwap_pressure,minute_panel_v2,0.95,cn_integrated_feature_layer:minute_price_pressure:none,"CSRank(Sub($m1_first5_vwap_return_vs_open,$m1_first30_vwap_return_vs_open))"
phase3aa_event_0438_cn_integrated_v1_rzrq_balance_normalized_flow_00018,rzrq_balance_normalized_flow,leverage_flow,rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:leverage_flow:none,"CSRank(Div($ctx_rzrq_rzmre,Add(Abs($ctx_rzrq_rzye),0.000001)))"
phase3aa_event_0439_cn_integrated_v1_rzrq_balance_normalized_flow_00019,rzrq_balance_normalized_flow,leverage_flow,rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:leverage_flow:none,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($ctx_rzrq_rzye),0.000001)))"
phase3aa_event_0440_cn_integrated_v1_rzrq_balance_normalized_flow_00020,rzrq_balance_normalized_flow,leverage_flow,rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:leverage_flow:none,"CSRank(Div($ctx_rzrq_rzjme,Add(Abs($ctx_rzrq_rzrqye),0.000001)))"
phase3aa_event_0441_cn_integrated_v1_rzrq_balance_normalized_flow_00021,rzrq_balance_normalized_flow,leverage_flow,rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:leverage_flow:none,"CSRank(Div($ctx_rzrq_rqmcl,Add(Abs($ctx_rzrq_rqye),0.000001)))"
phase3aa_event_0442_cn_integrated_v1_rzrq_balance_normalized_flow_00022,rzrq_balance_normalized_flow,leverage_flow,rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:leverage_flow:none,"CSRank(Div($ctx_rzrq_rqchl,Add(Abs($ctx_rzrq_rqye),0.000001)))"
phase3aa_event_0443_cn_integrated_v1_rzrq_balance_normalized_flow_00023,rzrq_balance_normalized_flow,leverage_flow,rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:leverage_flow:none,"CSRank(Div($ctx_rzrq_rqjmg,Add(Abs($ctx_rzrq_rqye),0.000001)))"
phase3aa_event_0444_cn_integrated_v1_rzrq_balance_normalized_flow_00024,rzrq_balance_normalized_flow,leverage_flow,rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:leverage_flow:none,"CSRank(Div($ctx_rzrq_rzmre3d,Add(Abs($ctx_rzrq_rzye),0.000001)))"
phase3aa_event_0445_cn_integrated_v1_rzrq_balance_normalized_flow_00025,rzrq_balance_normalized_flow,leverage_flow,rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:leverage_flow:none,"CSRank(Div($ctx_rzrq_rzmre5d,Add(Abs($ctx_rzrq_rzye),0.000001)))"
phase3aa_event_0446_cn_integrated_v1_rzrq_balance_normalized_flow_00026,rzrq_balance_normalized_flow,leverage_flow,rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:leverage_flow:none,"CSRank(Div($ctx_rzrq_rzjme3d,Add(Abs($ctx_rzrq_rzrqye),0.000001)))"
phase3aa_event_0447_cn_integrated_v1_rzrq_balance_normalized_flow_00027,rzrq_balance_normalized_flow,leverage_flow,rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:leverage_flow:none,"CSRank(Div($ctx_rzrq_rqjmg3d,Add(Abs($ctx_rzrq_rqye),0.000001)))"
phase3aa_event_0448_cn_integrated_v1_rzrq_financing_net_flow_00028,rzrq_financing_net_flow,leverage_flow,rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:leverage_flow:none,"CSRank(Sub($ctx_rzrq_rzmre,$ctx_rzrq_rzche))"
phase3aa_event_0449_cn_integrated_v1_rzrq_short_net_flow_00029,rzrq_short_net_flow,leverage_flow,rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:leverage_flow:none,"CSRank(Sub($ctx_rzrq_rqmcl,$ctx_rzrq_rqchl))"
phase3aa_event_0450_cn_integrated_v1_fundamental_quality_direct_00030,fundamental_quality_direct,fundamental_quality,fundamental_balance_risk,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_quality:none,CSRank($ctx_fund_bs_cash_to_assets)
phase3aa_event_0451_cn_integrated_v1_fundamental_quality_direct_zrank_00031,fundamental_quality_direct_zrank,fundamental_quality,fundamental_balance_risk,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_quality:none,CSRank(ZScore($ctx_fund_bs_cash_to_assets))
phase3aa_event_0452_cn_integrated_v1_fundamental_quality_direct_00032,fundamental_quality_direct,fundamental_quality,fundamental_income_quality,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_quality:none,CSRank($ctx_fund_ps_netprofit_margin)
phase3aa_event_0453_cn_integrated_v1_fundamental_quality_direct_zrank_00033,fundamental_quality_direct_zrank,fundamental_quality,fundamental_income_quality,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_quality:none,CSRank(ZScore($ctx_fund_ps_netprofit_margin))
phase3aa_event_0454_cn_integrated_v1_fundamental_quality_direct_00034,fundamental_quality_direct,fundamental_quality,fundamental_income_quality,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_quality:none,CSRank($ctx_fund_ps_operate_profit_margin)
phase3aa_event_0455_cn_integrated_v1_fundamental_quality_direct_zrank_00035,fundamental_quality_direct_zrank,fundamental_quality,fundamental_income_quality,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_quality:none,CSRank(ZScore($ctx_fund_ps_operate_profit_margin))
phase3aa_event_0456_cn_integrated_v1_fundamental_quality_direct_00036,fundamental_quality_direct,fundamental_quality,fundamental_cashflow_quality,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_quality:none,CSRank($ctx_fund_cf_operate_cash_to_netprofit)
phase3aa_event_0457_cn_integrated_v1_fundamental_quality_direct_zrank_00037,fundamental_quality_direct_zrank,fundamental_quality,fundamental_cashflow_quality,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_quality:none,CSRank(ZScore($ctx_fund_cf_operate_cash_to_netprofit))
phase3aa_event_0458_cn_integrated_v1_fundamental_quality_direct_00038,fundamental_quality_direct,fundamental_quality,fundamental_income_quality,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_quality:none,CSRank($ctx_fund_ps_research_to_income)
phase3aa_event_0459_cn_integrated_v1_fundamental_quality_direct_zrank_00039,fundamental_quality_direct_zrank,fundamental_quality,fundamental_income_quality,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_quality:none,CSRank(ZScore($ctx_fund_ps_research_to_income))
phase3aa_event_0460_cn_integrated_v1_fundamental_risk_inverse_00040,fundamental_risk_inverse,fundamental_risk_control,fundamental_balance_risk,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_risk_control:none,CSRank(Neg($ctx_fund_bs_debt_to_assets))
phase3aa_event_0461_cn_integrated_v1_fundamental_risk_inverse_00041,fundamental_risk_inverse,fundamental_risk_control,fundamental_balance_risk,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_risk_control:none,CSRank(Neg($ctx_fund_bs_goodwill_to_assets))
phase3aa_event_0462_cn_integrated_v1_fundamental_risk_inverse_00042,fundamental_risk_inverse,fundamental_risk_control,fundamental_balance_risk,nonminute_pit_context_panel_v1,1.0,cn_integrated_feature_layer:fundamental_risk_control:none,CSRank(Neg($ctx_fund_bs_inventory_to_assets))
phase3aa_event_0463_cn_integrated_v1_holder_structure_direct_00043,holder_structure_direct,holder_structure,holder_structure,nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:holder_structure:none,CSRank($ctx_holder_holder_num_change)
phase3aa_event_0464_cn_integrated_v1_holder_dispersion_inverse_00044,holder_dispersion_inverse,holder_structure,holder_structure,nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:holder_structure:none,CSRank(Neg($ctx_holder_holder_num_change))
phase3aa_event_0465_cn_integrated_v1_holder_structure_direct_00045,holder_structure_direct,holder_structure,holder_structure,nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:holder_structure:none,CSRank($ctx_holder_holder_num_ratio)
phase3aa_event_0466_cn_integrated_v1_holder_dispersion_inverse_00046,holder_dispersion_inverse,holder_structure,holder_structure,nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:holder_structure:none,CSRank(Neg($ctx_holder_holder_num_ratio))
phase3aa_event_0467_cn_integrated_v1_holder_structure_direct_00047,holder_structure_direct,holder_structure,holder_structure,nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:holder_structure:none,CSRank($ctx_holder_interval_chrate)
phase3aa_event_0468_cn_integrated_v1_holder_dispersion_inverse_00048,holder_dispersion_inverse,holder_structure,holder_structure,nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:holder_structure:none,CSRank(Neg($ctx_holder_interval_chrate))
phase3aa_event_0469_cn_integrated_v1_holder_structure_direct_00049,holder_structure_direct,holder_structure,holder_structure,nonminute_pit_context_panel_v1,0.98,cn_integrated_feature_layer:holder_structure:none,CSRank($ctx_holder_avg_market_cap)
phase3aa_event_0470_cn_integrated_v1_holder_structure_direct_00050,holder_structure_direct,holder_structure,holder_structure,nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:holder_structure:none,CSRank($ctx_holder_avg_hold_num)
phase3aa_event_0471_cn_integrated_v1_market_regime_x_signal_00051,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_flow_liquidity,minute_panel_v2|nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_dt),ZScore($m1_first15_amount)))"
phase3aa_event_0472_cn_integrated_v1_market_regime_x_signal_00052,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_flow_liquidity,minute_panel_v2|nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_dt),ZScore($m1_first5_amount)))"
phase3aa_event_0473_cn_integrated_v1_market_regime_x_signal_00053,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_vwap_pressure,minute_panel_v2|nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_dt),ZScore($m1_first5_vwap_return_vs_open)))"
phase3aa_event_0474_cn_integrated_v1_market_regime_x_signal_00054,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_return_pressure,minute_panel_v2|nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_dt),ZScore($m1_open_gap_vs_preclose)))"
phase3aa_event_0475_cn_integrated_v1_market_regime_x_signal_00055,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_dt),ZScore($ctx_rzrq_rqjmg3d)))"
phase3aa_event_0476_cn_integrated_v1_market_regime_x_signal_00056,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_dt),ZScore($ctx_rzrq_rzjme3d)))"
phase3aa_event_0477_cn_integrated_v1_market_regime_x_signal_00057,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_dt),ZScore($ctx_rzrq_rzmre3d)))"
phase3aa_event_0478_cn_integrated_v1_market_regime_x_signal_00058,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_flow_liquidity,minute_panel_v2|nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrcs),ZScore($m1_first15_amount)))"
phase3aa_event_0479_cn_integrated_v1_market_regime_x_signal_00059,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_flow_liquidity,minute_panel_v2|nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrcs),ZScore($m1_first5_amount)))"
phase3aa_event_0480_cn_integrated_v1_market_regime_x_signal_00060,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_vwap_pressure,minute_panel_v2|nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrcs),ZScore($m1_first5_vwap_return_vs_open)))"
phase3aa_event_0481_cn_integrated_v1_market_regime_x_signal_00061,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_return_pressure,minute_panel_v2|nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrcs),ZScore($m1_open_gap_vs_preclose)))"
phase3aa_event_0482_cn_integrated_v1_market_regime_x_signal_00062,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrcs),ZScore($ctx_rzrq_rqjmg3d)))"
phase3aa_event_0483_cn_integrated_v1_market_regime_x_signal_00063,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrcs),ZScore($ctx_rzrq_rzjme3d)))"
phase3aa_event_0484_cn_integrated_v1_market_regime_x_signal_00064,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrcs),ZScore($ctx_rzrq_rzmre3d)))"
phase3aa_event_0485_cn_integrated_v1_market_regime_x_signal_00065,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_flow_liquidity,minute_panel_v2|nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrtj),ZScore($m1_first15_amount)))"
phase3aa_event_0486_cn_integrated_v1_market_regime_x_signal_00066,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_flow_liquidity,minute_panel_v2|nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrtj),ZScore($m1_first5_amount)))"
phase3aa_event_0487_cn_integrated_v1_market_regime_x_signal_00067,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_vwap_pressure,minute_panel_v2|nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrtj),ZScore($m1_first5_vwap_return_vs_open)))"
phase3aa_event_0488_cn_integrated_v1_market_regime_x_signal_00068,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_return_pressure,minute_panel_v2|nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrtj),ZScore($m1_open_gap_vs_preclose)))"
phase3aa_event_0489_cn_integrated_v1_market_regime_x_signal_00069,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrtj),ZScore($ctx_rzrq_rqjmg3d)))"
phase3aa_event_0490_cn_integrated_v1_market_regime_x_signal_00070,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrtj),ZScore($ctx_rzrq_rzjme3d)))"
phase3aa_event_0491_cn_integrated_v1_market_regime_x_signal_00071,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_q_zrtj),ZScore($ctx_rzrq_rzmre3d)))"
phase3aa_event_0492_cn_integrated_v1_market_regime_x_signal_00072,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_flow_liquidity,minute_panel_v2|nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_qscln),ZScore($m1_first15_amount)))"
phase3aa_event_0493_cn_integrated_v1_market_regime_x_signal_00073,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_flow_liquidity,minute_panel_v2|nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_qscln),ZScore($m1_first5_amount)))"
phase3aa_event_0494_cn_integrated_v1_market_regime_x_signal_00074,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_vwap_pressure,minute_panel_v2|nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_qscln),ZScore($m1_first5_vwap_return_vs_open)))"
phase3aa_event_0495_cn_integrated_v1_market_regime_x_signal_00075,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_return_pressure,minute_panel_v2|nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_qscln),ZScore($m1_open_gap_vs_preclose)))"
phase3aa_event_0496_cn_integrated_v1_market_regime_x_signal_00076,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_qscln),ZScore($ctx_rzrq_rqjmg3d)))"
phase3aa_event_0497_cn_integrated_v1_market_regime_x_signal_00077,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_qscln),ZScore($ctx_rzrq_rzjme3d)))"
phase3aa_event_0498_cn_integrated_v1_market_regime_x_signal_00078,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_qscln),ZScore($ctx_rzrq_rzmre3d)))"
phase3aa_event_0499_cn_integrated_v1_market_regime_x_signal_00079,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_flow_liquidity,minute_panel_v2|nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_s_zrcs),ZScore($m1_first15_amount)))"
phase3aa_event_0500_cn_integrated_v1_market_regime_x_signal_00080,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_flow_liquidity,minute_panel_v2|nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_s_zrcs),ZScore($m1_first5_amount)))"
phase3aa_event_0501_cn_integrated_v1_market_regime_x_signal_00081,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_vwap_pressure,minute_panel_v2|nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_s_zrcs),ZScore($m1_first5_vwap_return_vs_open)))"
phase3aa_event_0502_cn_integrated_v1_market_regime_x_signal_00082,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_return_pressure,minute_panel_v2|nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_s_zrcs),ZScore($m1_open_gap_vs_preclose)))"
phase3aa_event_0503_cn_integrated_v1_market_regime_x_signal_00083,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_s_zrcs),ZScore($ctx_rzrq_rqjmg3d)))"
phase3aa_event_0504_cn_integrated_v1_market_regime_x_signal_00084,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_s_zrcs),ZScore($ctx_rzrq_rzjme3d)))"
phase3aa_event_0505_cn_integrated_v1_market_regime_x_signal_00085,market_regime_x_signal,regime_interaction,market_breadth_regime|rzrq_flow_leverage,nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_s_zrcs),ZScore($ctx_rzrq_rzmre3d)))"
phase3aa_event_0506_cn_integrated_v1_market_regime_x_signal_00086,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_flow_liquidity,minute_panel_v2|nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_s_zrtj),ZScore($m1_first15_amount)))"
phase3aa_event_0507_cn_integrated_v1_market_regime_x_signal_00087,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_flow_liquidity,minute_panel_v2|nonminute_pit_context_panel_v1,1.01,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_s_zrtj),ZScore($m1_first5_amount)))"
phase3aa_event_0508_cn_integrated_v1_market_regime_x_signal_00088,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_vwap_pressure,minute_panel_v2|nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_s_zrtj),ZScore($m1_first5_vwap_return_vs_open)))"
phase3aa_event_0509_cn_integrated_v1_market_regime_x_signal_00089,market_regime_x_signal,regime_interaction,market_breadth_regime|minute_return_pressure,minute_panel_v2|nonminute_pit_context_panel_v1,0.95,cn_integrated_feature_layer:regime_interaction:none,"CSRank(Mul(ZScore($ctx_mkt_updown_s_zrtj),ZScore($m1_open_gap_vs_preclose)))"
