expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision,open_direction,abs_aligned_ic_mean,positive_horizon_count,phase3bo_blocker_flags,phase3bo_decision
6c03cf8d44602e7ee2a219bf,,,opening_range_location,amount|m1_first30_amount|m1_first30_range|open,"CSRank(Mul(ZScore(Div($m1_first30_amount,Add(Abs(Mean($amount,3)),0.000001))),ZScore(Div($m1_first30_range,Add(Abs($open),0.000001)))))",5,4,0.01653740745,0.06577624424,0.5441176471,6.699277323e-05,0.0006434196857,0.5441176471,0.01874055956,0.018682638,0.5826078032,1924,45322,51736,1,0,0.01653740745,6.699277323e-05,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.01653740745,0,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
88e934efaf171f4b3bd6aeff,,,opening_range_location,amount|m1_first15_amount|m1_first15_range|open,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs(Mean($amount,3)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",5,4,0.01590475386,0.06222777271,0.5540540541,2.428654971e-05,0.0006096794342,0.5540540541,0.01633906546,0.01847703115,0.5919426983,1924,49181,51736,1,0,0.01590475386,2.428654971e-05,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.01590475386,0,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
7c7af5510f2d0dcda2d54342,,,opening_amount_pressure_orthogonal,amount|m1_first5_amount|m1_first5_vol|volume,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,2)),0.000001))),ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,2)),0.000001)))))",30,4,0.01584603643,0.07818273065,0.5743243243,-0.0001045122501,0.001886305832,0.5540540541,0.01283480439,0.02910023811,0.7820552539,1924,49181,51736,1,0,0.01584603643,-0.0001045122501,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.01584603643,0,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
b45a7cb5349b2aba05ac8e0b,,,opening_range_location,amount|m1_first15_amount|m1_first15_range|open,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs(Mean($amount,5)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",5,4,0.01583265451,0.05361868519,0.5878378378,3.922150394e-05,0.000565008181,0.5608108108,0.01495707658,0.01114898898,0.6602909349,1924,49181,51736,1,0,0.01583265451,3.922150394e-05,,bl_signal_materialized_pass,long_top,0.01583265451,0,signal_corr_abs_ge_0.75|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
3fdaa761915f9807f6d87577,,,opening_amount_pressure_orthogonal,amount|m1_first30_amount|m1_first30_vol|volume,"CSRank(Sub(ZScore(Div($m1_first30_amount,Add(Abs(Mean($amount,2)),0.000001))),ZScore(Div($m1_first30_vol,Add(Abs(Mean($volume,2)),0.000001)))))",30,4,0.01520330723,0.07292221378,0.5661764706,4.710675633e-05,0.001816866277,0.5735294118,0.01036900825,0.0273653543,0.7860142207,1924,45322,51736,1,0,0.01520330723,4.710675633e-05,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.01520330723,0,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
75c132e9e3a72cbd514f640a,,,opening_range_location,amount|m1_first5_amount|m1_first5_range|open,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,3)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",5,4,0.01452780644,0.06118592929,0.5608108108,4.512652321e-05,0.0005969995386,0.5608108108,0.0160241113,0.01772080089,0.5812371365,1924,49181,51736,1,0,0.01452780644,4.512652321e-05,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.01452780644,0,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
fe988de4441e0bacb95d7cbf,,,opening_range_location,amount|m1_first5_amount|m1_first5_range|open,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,5)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",5,4,0.01452063552,0.05562610392,0.5810810811,-7.434329271e-06,0.0005775505695,0.5540540541,0.01513856094,0.01187780309,0.6412799091,1924,49181,51736,1,0,0.01452063552,-7.434329271e-06,,bl_signal_materialized_pass,long_top,0.01452063552,0,signal_corr_abs_ge_0.75|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
4281c59718294fa9cb080c42,,,opening_range_location,amount|m1_first30_amount|m1_first30_range|open,"CSRank(Mul(ZScore(Div($m1_first30_amount,Add(Abs(Mean($amount,5)),0.000001))),ZScore(Div($m1_first30_range,Add(Abs($open),0.000001)))))",5,4,0.01370801428,0.05565211591,0.6029411765,3.29928877e-06,0.0006028523993,0.5073529412,0.01185362162,0.008200455386,0.6630056424,1924,45322,51736,1,0,0.01370801428,3.29928877e-06,,bl_signal_materialized_pass,long_top,0.01370801428,0,signal_corr_abs_ge_0.75|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
6f2a065720dd7f8168b5de8a,,,amount_volume_flow,amount|volume,"CSRank(Sub(ZScore(Delta($amount,3)),ZScore(Delta($volume,3))))",30,4,-0.01099899539,0.06092862965,0.4473684211,-0.0005221801078,0.00170269766,0.4671052632,0.002635796207,-0.009008669618,0.7235772605,1934,50464,51736,1,0,-0.01099899539,-0.0005221801078,primary_direction_not_reproduced,bl_signal_materialized_watch,short_top,0.01099899539,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
75d93af7e8ac4fdc7ba23938,,,amount_volume_flow,amount|volume,"CSRank(Sub(ZScore(Delta($amount,2)),ZScore(Delta($volume,2))))",30,4,-0.009843788528,0.0607534348,0.4539473684,-0.0005167650362,0.001615006704,0.4539473684,-0.005050005666,-0.003659208418,0.7220044264,1934,50464,51736,1,0,-0.009843788528,-0.0005167650362,primary_direction_not_reproduced,bl_signal_materialized_watch,short_top,0.009843788528,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
