field,coverage,nonnull_rows,total_rows,unique_nonnull,mean,std,is_sparse_event_field,coverage_threshold,min_event_nonnull_rows,pass_value_gate,reason
ctx_hfq_volume_shares_y,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_holder_change_shares,0.8420929,831992,988005,3063,9244188.918586958,287542620.757786,False,0.001,,True,pass
ctx_holder_close_price,0.84046032,830379,988005,7240,25.76045577983066,42.8979394600645,False,0.001,,True,pass
ctx_rzrq_rzyezb,0.59593626,588788,988005,576480,4.2339716120276565,2.5108038095390426,False,0.001,,True,pass
ctx_rzrq_spj,0.59593626,588788,988005,22590,31.94684108711454,52.66681615825581,False,0.001,,True,pass
ctx_rzrq_zdf,0.58379462,576792,988005,119643,0.12229452939707905,3.7358557442455673,False,0.001,,True,pass
evt_limit_fengdan_money_last_by_0930,0.00088259,872,988005,810,386852028.5504587,543518207.5686936,True,0.0005,50,True,pass
evt_limit_fengdan_money_last_by_0935,0.00254857,2518,988005,2409,224576544.95035744,360826425.09477735,True,0.0005,50,True,pass
evt_limit_fengdan_money_last_by_1000,0.00511333,5052,988005,4888,172791121.29136977,277566978.78390425,True,0.0005,50,True,pass
evt_limit_fengdan_money_last_by_1130,0.00788255,7788,988005,7563,154517829.90703645,249883970.98864558,True,0.0005,50,True,pass
evt_limit_fengdan_money_last_by_1430,0.01015177,10030,988005,9710,141779556.78614157,228961400.31636328,True,0.0005,50,True,pass
evt_limit_fengdan_rate_last_by_0930,0.00088259,872,988005,478,14.285860091743125,109.26944654199858,True,0.0005,50,True,pass
evt_limit_fengdan_rate_last_by_0935,0.00254857,2518,988005,506,5.169050833995233,64.6244479250629,True,0.0005,50,True,pass
evt_limit_fengdan_rate_last_by_1000,0.00511333,5052,988005,507,2.681866587490102,45.68680521114887,True,0.0005,50,True,pass
evt_limit_fengdan_rate_last_by_1130,0.00788255,7788,988005,510,1.79889573703133,36.81520555036177,True,0.0005,50,True,pass
final_float_market_cap_source,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
final_total_market_cap_source,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
float_share_source,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
m1_pct_chg_first,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
m1_pre_close,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_nums_DT_at_0930,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_nums_DT_at_0935,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_nums_DT_at_1000,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_nums_DT_at_1130,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_nums_ZTZB_at_0930,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_nums_ZTZB_at_0935,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_nums_ZTZB_at_1000,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_nums_ZTZB_at_1130,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_open_board_count_at_0930,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_open_board_count_at_0935,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_open_board_count_at_1000,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_open_board_count_at_1130,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
mkt_uplimit_count_at_0930,0.0,0,988005,0,,,True,0.0005,50,False,zero_nonnull
mkt_uplimit_count_at_0935,0.0,0,988005,0,,,True,0.0005,50,False,zero_nonnull
mkt_uplimit_count_at_1000,0.0,0,988005,0,,,True,0.0005,50,False,zero_nonnull
mkt_uplimit_count_at_1130,0.0,0,988005,0,,,True,0.0005,50,False,zero_nonnull
sector_source,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
tdxgp_total_market_cap_source,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
