field_name,field_family,field_role,selector_allowed,pit_rule
ctx_fund_bs_total_noncurrent_assets,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_total_noncurrent_liab,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_cf_end_cce,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_cf_netcash_finance,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_cf_netcash_invest,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_cf_netcash_operate,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_cf_netprofit,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_cf_operate_cash_to_netprofit,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_cf_total_operate_inflow,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_cf_total_operate_outflow,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_basic_eps,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_deduct_parent_netprofit,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_finance_expense,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_manage_expense,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_netprofit,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_netprofit_margin,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_operate_cost,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_operate_income,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_operate_profit,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_operate_profit_margin,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_parent_netprofit,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_research_expense,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_research_to_income,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_sale_expense,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_total_operate_cost,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_total_operate_income,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_ps_total_profit,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_holder_avg_hold_num,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_holder_avg_market_cap,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_holder_change_shares,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_holder_close_price,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_holder_holder_num,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_holder_holder_num_change,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_holder_holder_num_ratio,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_holder_interval_chrate,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_holder_pre_holder_num,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_holder_total_a_shares,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_holder_total_market_cap,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_mkt_updown_dt,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_q_zrcs,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_q_zrtj,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_qscln,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_s_zrcs,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_s_zrtj,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_sjdt,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_sjzt,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_stdt,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_stzt,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_szjs,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_szln,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_xdjs,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_zt,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_mkt_updown_zt_dt_ratio,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_fin_balance_gr,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqchl,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqchl10d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqchl3d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqchl5d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqjmg,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqjmg10d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqjmg3d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqjmg5d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqmcl,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqmcl10d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqmcl3d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqmcl5d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rqye,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzche,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzche10d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzche3d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzche5d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzjme,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzjme10d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzjme3d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzjme5d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzmre,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzmre10d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzmre3d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzmre5d,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzrqye,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzye,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_rzyezb,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_spj,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
ctx_rzrq_zdf,lagged_daily,lagged_context,true_lagged_only,source date plus next trading day
date,key,key,false_key_only,not a feature
meta_billboard_available_date,availability_metadata,metadata,false_metadata_only,audit only; not selector input
meta_fund_bs_available_date,availability_metadata,metadata,false_metadata_only,audit only; not selector input
meta_fund_cf_available_date,availability_metadata,metadata,false_metadata_only,audit only; not selector input
meta_fund_ps_available_date,availability_metadata,metadata,false_metadata_only,audit only; not selector input
meta_holder_available_date,availability_metadata,metadata,false_metadata_only,audit only; not selector input
meta_rzrq_available_date,availability_metadata,metadata,false_metadata_only,audit only; not selector input
meta_updown_available_date,availability_metadata,metadata,false_metadata_only,audit only; not selector input
year,key,key,false_key_only,not a feature
