scope,vector_cluster_id,member_count,top_replay_cluster,top_replay_cluster_count,purity
phase3e,vec_091,1,not_clustered_non_metric,1,1.0
phase3e,vec_092,1,cluster_093,1,1.0
phase3e,vec_093,1,not_clustered_non_metric,1,1.0
phase3e,vec_094,1,not_clustered_non_metric,1,1.0
phase3e,vec_095,1,not_clustered_non_metric,1,1.0
phase3e,vec_096,1,not_clustered_non_metric,1,1.0
phase3e,vec_097,1,not_clustered_non_metric,1,1.0
phase3e,vec_098,1,not_clustered_non_metric,1,1.0
phase3e,vec_099,1,cluster_067,1,1.0
phase3e,vec_100,1,cluster_071,1,1.0
phase3e,vec_101,1,not_clustered_non_metric,1,1.0
phase3e,vec_102,1,not_clustered_non_metric,1,1.0
phase3e,vec_103,1,not_clustered_non_metric,1,1.0
phase3e,vec_104,4,cluster_075,4,1.0
phase3e,vec_105,2,cluster_022,2,1.0
phase3e,vec_106,2,cluster_046,2,1.0
phase3e,vec_107,1,cluster_041,1,1.0
phase3e,vec_108,23,cluster_001,17,0.73913
phase3e,vec_109,4,cluster_070,3,0.75
phase3e,vec_110,1,not_clustered_non_metric,1,1.0
phase3e,vec_111,1,not_clustered_non_metric,1,1.0
phase3e,vec_112,1,cluster_016,1,1.0
phase3e,vec_113,2,cluster_055,2,1.0
phase3e,vec_114,1,not_clustered_non_metric,1,1.0
phase3e,vec_115,4,cluster_035,4,1.0
phase3e,vec_116,2,not_clustered_non_metric,2,1.0
phase3e,vec_117,3,cluster_059,3,1.0
phase3e,vec_118,3,not_clustered_non_metric,2,0.666667
phase3e,vec_119,2,cluster_073,2,1.0
phase3e,vec_120,3,cluster_076,3,1.0
phase3e,vec_121,1,not_clustered_non_metric,1,1.0
phase3e,vec_122,1,not_clustered_non_metric,1,1.0
phase3e,vec_123,1,not_clustered_non_metric,1,1.0
phase3e,vec_124,1,not_clustered_non_metric,1,1.0
phase3e,vec_125,1,not_clustered_non_metric,1,1.0
phase3e,vec_126,1,cluster_087,1,1.0
phase3e,vec_127,1,not_clustered_non_metric,1,1.0
phase3e,vec_128,1,cluster_011,1,1.0
phase3e,vec_129,2,not_clustered_non_metric,2,1.0
phase3e,vec_130,1,cluster_040,1,1.0
phase3e,vec_131,1,cluster_053,1,1.0
phase3e,vec_132,1,not_clustered_non_metric,1,1.0
phase3e,vec_133,1,cluster_048,1,1.0
phase3e,vec_134,1,cluster_049,1,1.0
phase3e,vec_135,1,cluster_066,1,1.0
phase3e,vec_136,4,not_clustered_non_metric,3,0.75
phase3e,vec_137,2,not_clustered_non_metric,2,1.0
phase3e,vec_138,1,cluster_039,1,1.0
phase3e,vec_139,1,cluster_065,1,1.0
phase3e,vec_140,1,cluster_060,1,1.0
phase3e,vec_141,2,cluster_025,2,1.0
phase3e,vec_142,2,cluster_054,2,1.0
phase3e,vec_143,1,not_clustered_non_metric,1,1.0
phase3e,vec_144,2,not_clustered_non_metric,2,1.0
phase3e,vec_145,1,not_clustered_non_metric,1,1.0
phase3e,vec_146,1,not_clustered_non_metric,1,1.0
phase3e,vec_147,1,not_clustered_non_metric,1,1.0
phase3e,vec_148,1,not_clustered_non_metric,1,1.0
phase3e,vec_149,1,cluster_044,1,1.0
phase3e,vec_150,1,not_clustered_non_metric,1,1.0
phase3e,vec_151,1,cluster_020,1,1.0
phase3e,vec_152,1,cluster_023,1,1.0
phase3e,vec_153,1,cluster_031,1,1.0
phase3e,vec_154,1,cluster_072,1,1.0
phase3e,vec_155,1,not_clustered_non_metric,1,1.0
phase3e,vec_156,1,not_clustered_non_metric,1,1.0
phase3e,vec_157,2,cluster_091,2,1.0
phase3e,vec_158,1,cluster_061,1,1.0
phase3e,vec_159,1,cluster_051,1,1.0
phase3e,vec_160,1,not_clustered_non_metric,1,1.0
phase3e,vec_161,1,cluster_052,1,1.0
phase3e,vec_162,1,not_clustered_non_metric,1,1.0
phase3e,vec_163,1,cluster_069,1,1.0
phase3e,vec_164,1,cluster_074,1,1.0
phase3e,vec_165,1,not_clustered_non_metric,1,1.0
phase3e,vec_166,1,not_clustered_non_metric,1,1.0
phase3e,vec_167,1,not_clustered_non_metric,1,1.0
phase3e,vec_168,2,cluster_038,1,0.5
phase3e,vec_169,1,not_clustered_non_metric,1,1.0
phase3e,vec_170,1,cluster_078,1,1.0
phase3e,vec_171,1,cluster_068,1,1.0
phase3e,vec_172,1,not_clustered_non_metric,1,1.0
phase3e,vec_173,1,not_clustered_non_metric,1,1.0
phase3e,vec_174,1,not_clustered_non_metric,1,1.0
phase3e,vec_175,2,cluster_094,2,1.0
phase3e,vec_176,2,cluster_095,2,1.0
phase3e,vec_177,2,cluster_096,2,1.0
phase3e,vec_178,2,cluster_098,2,1.0
phase3e,vec_179,2,cluster_100,2,1.0
phase3e,vec_180,2,cluster_036,2,1.0
phase3e,vec_181,2,cluster_101,2,1.0
phase3e,vec_182,2,cluster_102,2,1.0
phase3e,vec_183,2,cluster_103,2,1.0
phase3e,vec_184,2,cluster_104,2,1.0
phase3e,vec_185,2,cluster_105,2,1.0
phase3e,vec_186,2,cluster_106,2,1.0
phase3e,vec_187,2,cluster_107,2,1.0
phase3e,vec_188,2,cluster_108,2,1.0
phase3e,vec_189,2,cluster_110,2,1.0
phase3e,vec_190,2,cluster_111,2,1.0
phase3e,vec_191,1,cluster_112,1,1.0
phase3e,vec_192,1,cluster_113,1,1.0
phase3e,vec_193,1,cluster_114,1,1.0
phase3e,vec_194,1,cluster_115,1,1.0
phase3e,vec_195,1,cluster_116,1,1.0
phase3e,vec_196,1,cluster_117,1,1.0
phase3e,vec_197,1,cluster_118,1,1.0
phase3e,vec_198,1,cluster_119,1,1.0
phase3e,vec_199,1,cluster_120,1,1.0
phase3e,vec_200,1,cluster_121,1,1.0
phase3e,vec_201,1,cluster_122,1,1.0
phase3e,vec_202,1,cluster_123,1,1.0
phase3e,vec_203,1,cluster_124,1,1.0
phase3e,vec_204,1,cluster_125,1,1.0
phase3e,vec_205,1,cluster_126,1,1.0
phase3e,vec_206,1,cluster_127,1,1.0
phase3e,vec_207,1,cluster_128,1,1.0
phase3e,vec_208,1,cluster_129,1,1.0
phase3e,vec_209,1,cluster_130,1,1.0
phase3e,vec_210,1,cluster_131,1,1.0
phase3e,vec_211,1,cluster_132,1,1.0
phase3e,vec_212,1,cluster_133,1,1.0
phase3e,vec_213,1,cluster_134,1,1.0
phase3e,vec_214,1,cluster_136,1,1.0
phase3e,vec_215,1,cluster_139,1,1.0
phase3e,vec_216,1,cluster_140,1,1.0
phase3e,vec_217,1,cluster_141,1,1.0
phase3e,vec_218,1,cluster_143,1,1.0
phase3e,vec_219,1,cluster_144,1,1.0
phase3e,vec_220,1,cluster_145,1,1.0
phase3e,vec_221,1,cluster_146,1,1.0
phase3e,vec_222,1,cluster_147,1,1.0
phase3e,vec_223,1,cluster_148,1,1.0
phase3e,vec_224,1,cluster_149,1,1.0
phase3e,vec_225,1,cluster_150,1,1.0
phase3e,vec_226,1,cluster_151,1,1.0
phase3e,vec_227,1,cluster_152,1,1.0
phase3e,vec_228,1,cluster_153,1,1.0
phase3e,vec_229,1,cluster_154,1,1.0
phase3f,vec_001,5,cluster_002,5,1.0
phase3f,vec_002,49,cluster_003,46,0.938776
phase3f,vec_003,2,not_clustered_non_metric,1,0.5
phase3f,vec_004,1,not_clustered_non_metric,1,1.0
phase3f,vec_005,3,cluster_012,3,1.0
phase3f,vec_006,1,not_clustered_non_metric,1,1.0
phase3f,vec_007,3,cluster_004,3,1.0
phase3f,vec_008,1,not_clustered_non_metric,1,1.0
phase3f,vec_009,1,not_clustered_non_metric,1,1.0
phase3f,vec_010,1,not_clustered_non_metric,1,1.0
phase3f,vec_011,4,cluster_008,4,1.0
phase3f,vec_012,1,cluster_001,1,1.0
phase3f,vec_013,1,cluster_005,1,1.0
phase3f,vec_014,3,not_clustered_non_metric,3,1.0
phase3f,vec_015,3,cluster_006,3,1.0
phase3f,vec_016,1,cluster_011,1,1.0
phase3f,vec_017,1,not_clustered_non_metric,1,1.0
phase3f,vec_018,1,not_clustered_non_metric,1,1.0
phase3f,vec_019,3,not_clustered_non_metric,3,1.0
phase3f,vec_020,5,cluster_007,5,1.0
phase3f,vec_021,2,not_clustered_non_metric,2,1.0
phase3f,vec_022,1,cluster_009,1,1.0
phase3f,vec_023,1,cluster_010,1,1.0
phase3f,vec_024,1,not_clustered_non_metric,1,1.0
phase3f,vec_025,1,not_clustered_non_metric,1,1.0
phase3f,vec_026,1,not_clustered_non_metric,1,1.0
phase3f,vec_027,1,not_clustered_non_metric,1,1.0
phase3f,vec_028,3,cluster_013,3,1.0
phase3f,vec_029,2,cluster_014,2,1.0
phase3f,vec_030,2,cluster_015,2,1.0
phase3f,vec_031,2,cluster_016,2,1.0
phase3f,vec_032,2,cluster_017,2,1.0
phase3f,vec_033,2,cluster_018,2,1.0
phase3f,vec_034,2,cluster_019,2,1.0
phase3f,vec_035,2,cluster_020,2,1.0
phase3f,vec_036,2,cluster_021,2,1.0
phase3f,vec_037,2,cluster_022,2,1.0
phase3f,vec_038,2,cluster_023,2,1.0
phase3f,vec_039,2,cluster_024,2,1.0
phase3f,vec_040,2,cluster_025,2,1.0
phase3f,vec_041,2,cluster_026,2,1.0
phase3f,vec_042,2,cluster_027,2,1.0
phase3f,vec_043,2,cluster_028,2,1.0
phase3f,vec_044,2,cluster_029,2,1.0
phase3f,vec_045,2,cluster_030,2,1.0
phase3f,vec_046,2,cluster_031,2,1.0
phase3f,vec_047,3,cluster_032,3,1.0
phase3f,vec_048,2,cluster_033,2,1.0
phase3f,vec_049,2,cluster_034,2,1.0
phase3f,vec_050,2,cluster_035,2,1.0
phase3f,vec_051,2,cluster_036,2,1.0
phase3f,vec_052,2,cluster_037,2,1.0
phase3f,vec_053,2,cluster_038,2,1.0
phase3f,vec_054,2,cluster_039,2,1.0
phase3f,vec_055,2,cluster_040,2,1.0
phase3f,vec_056,2,cluster_041,2,1.0
phase3f,vec_057,2,cluster_042,2,1.0
phase3f,vec_058,2,cluster_043,2,1.0
phase3f,vec_059,2,cluster_044,2,1.0
phase3f,vec_060,2,cluster_045,2,1.0
phase3f,vec_061,2,cluster_046,2,1.0
phase3f,vec_062,2,cluster_047,2,1.0
phase3f,vec_063,1,cluster_048,1,1.0
phase3f,vec_064,1,cluster_049,1,1.0
phase3f,vec_065,1,cluster_050,1,1.0
phase3f,vec_066,1,cluster_051,1,1.0
phase3f,vec_067,1,cluster_052,1,1.0
phase3f,vec_068,2,cluster_053,1,0.5
phase3f,vec_069,1,cluster_054,1,1.0
phase3f,vec_070,1,cluster_055,1,1.0
phase3f,vec_071,1,cluster_056,1,1.0
phase3f,vec_072,2,cluster_057,2,1.0
phase3f,vec_073,1,cluster_058,1,1.0
phase3f,vec_074,1,cluster_059,1,1.0
phase3f,vec_075,2,cluster_060,1,0.5
phase3f,vec_076,1,cluster_061,1,1.0
phase3f,vec_077,1,cluster_062,1,1.0
phase3f,vec_078,1,cluster_063,1,1.0
phase3f,vec_079,1,cluster_065,1,1.0
phase3f,vec_080,1,cluster_066,1,1.0
phase3f,vec_081,2,cluster_003,1,0.5
phase3f,vec_082,1,cluster_067,1,1.0
phase3f,vec_083,1,cluster_068,1,1.0
phase3f,vec_084,1,cluster_069,1,1.0
phase3f,vec_085,1,cluster_070,1,1.0
phase3f,vec_086,1,cluster_071,1,1.0
phase3f,vec_087,1,cluster_072,1,1.0
phase3f,vec_088,1,cluster_074,1,1.0
phase3f,vec_089,1,cluster_075,1,1.0
phase3f,vec_090,1,cluster_076,1,1.0
phase3f,vec_091,1,cluster_077,1,1.0
phase3f,vec_092,1,cluster_078,1,1.0
phase3f,vec_093,1,cluster_079,1,1.0
phase3f,vec_094,1,cluster_080,1,1.0
phase3f,vec_095,1,cluster_081,1,1.0
phase3f,vec_096,1,cluster_082,1,1.0
phase3f,vec_097,1,cluster_083,1,1.0
phase3f,vec_098,1,cluster_084,1,1.0
phase3f,vec_099,1,cluster_085,1,1.0
phase3f,vec_100,1,cluster_086,1,1.0
phase3f,vec_101,1,cluster_087,1,1.0
phase3f,vec_102,1,cluster_088,1,1.0
phase3f,vec_103,1,cluster_089,1,1.0
phase3f,vec_104,1,cluster_090,1,1.0
phase3f,vec_105,1,cluster_091,1,1.0
phase3f,vec_106,1,cluster_092,1,1.0
phase3f,vec_107,1,cluster_093,1,1.0
phase3f,vec_108,1,cluster_094,1,1.0
phase3f,vec_109,1,cluster_095,1,1.0
phase3f,vec_110,1,cluster_096,1,1.0
phase3f,vec_111,1,cluster_097,1,1.0
phase3f,vec_112,1,cluster_098,1,1.0
phase3f,vec_113,1,cluster_099,1,1.0
phase3f,vec_114,1,cluster_100,1,1.0
phase3f,vec_115,1,cluster_101,1,1.0
phase3f,vec_116,1,cluster_102,1,1.0
phase3f,vec_117,1,cluster_103,1,1.0
phase3f,vec_118,1,cluster_104,1,1.0
phase3f,vec_119,1,cluster_105,1,1.0
phase3f,vec_120,1,cluster_106,1,1.0
phase3f,vec_121,1,cluster_107,1,1.0
phase3f,vec_122,1,cluster_108,1,1.0
phase3f,vec_123,1,cluster_109,1,1.0
phase3f,vec_124,1,cluster_110,1,1.0
phase3f,vec_125,1,cluster_111,1,1.0
phase3f,vec_126,1,cluster_112,1,1.0
phase3f,vec_127,1,cluster_113,1,1.0
phase3f,vec_128,1,cluster_114,1,1.0
phase3f,vec_129,1,cluster_115,1,1.0
phase3f,vec_130,1,cluster_116,1,1.0
phase3f,vec_131,1,cluster_117,1,1.0
phase3f,vec_132,1,cluster_118,1,1.0
phase3f,vec_133,1,cluster_120,1,1.0
phase3f,vec_134,1,cluster_121,1,1.0
phase3f,vec_135,1,cluster_122,1,1.0
phase3f,vec_136,1,cluster_123,1,1.0
phase3f,vec_137,1,cluster_124,1,1.0
phase3f,vec_138,1,cluster_125,1,1.0
phase3f,vec_139,1,cluster_127,1,1.0
phase3f,vec_140,1,cluster_128,1,1.0
phase3f,vec_141,1,cluster_129,1,1.0
phase3f,vec_142,1,cluster_130,1,1.0
phase3f,vec_143,1,cluster_131,1,1.0
