field,count,integration_lane,preserve
evt_limit_fengdan_rate_last_by_0935,8,event_state_observable_time_adapter,True
evt_limit_fengdan_rate_last_by_1000,8,event_state_observable_time_adapter,True
evt_limit_fengdan_rate_last_by_1130,8,event_state_observable_time_adapter,True
ctx_sent_max_lb_num,7,lagged_sentiment_market_context_sidecar,True
ctx_sent_zb_num,7,lagged_sentiment_market_context_sidecar,True
ctx_sent_damian_num,7,lagged_sentiment_market_context_sidecar,True
evt_uplimit_auction_pre1max_ratio,7,event_state_observable_time_adapter,True
ctx_ths_hot_rank,7,lagged_sentiment_market_context_sidecar,True
ctx_ths_hot_rank_diff,7,lagged_sentiment_market_context_sidecar,True
ctx_rzrq_rqjmg,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rqjmg10d,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rqjmg3d,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rqjmg5d,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rqmcl,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rqmcl10d,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rqmcl3d,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rqmcl5d,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rqye,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rzche,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rzche10d,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rzche3d,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rzche5d,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rzjme,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rzjme10d,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rzjme3d,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rzjme5d,6,lagged_rzrq_context_sidecar,True
ctx_rzrq_rzmre,6,lagged_rzrq_context_sidecar,True
evt_uplimit_amount,6,event_state_observable_time_adapter,True
m1_amount_day,5,minute_derived_missing_materialization,True
ctx_zls_evt_amount_lag1,5,lagged_sentiment_market_context_sidecar,True
ctx_zls_uplimit_num_lag1,5,lagged_sentiment_market_context_sidecar,True
ctx_zls_zb_num_lag1,5,lagged_sentiment_market_context_sidecar,True
ctx_fund_bs_debt_to_assets,4,lagged_fundamental_context_sidecar,True
ctx_fund_bs_goodwill_to_assets,4,lagged_fundamental_context_sidecar,True
ctx_fund_bs_inventory_to_assets,4,lagged_fundamental_context_sidecar,True
ctx_holder_avg_market_cap,4,lagged_holder_context_sidecar,True
ctx_holder_holder_num,4,lagged_holder_context_sidecar,True
ctx_holder_holder_num_change,4,lagged_holder_context_sidecar,True
ctx_holder_holder_num_ratio,4,lagged_holder_context_sidecar,True
ctx_holder_interval_chrate,4,lagged_holder_context_sidecar,True
ctx_holder_pre_holder_num,4,lagged_holder_context_sidecar,True
ctx_mkt_updown_dt,4,lagged_sentiment_market_context_sidecar,True
ctx_mkt_updown_q_zrcs,4,lagged_sentiment_market_context_sidecar,True
ctx_mkt_updown_q_zrtj,4,lagged_sentiment_market_context_sidecar,True
ctx_mkt_updown_s_zrcs,4,lagged_sentiment_market_context_sidecar,True
ctx_mkt_updown_s_zrtj,4,lagged_sentiment_market_context_sidecar,True
ctx_mkt_updown_sjdt,4,lagged_sentiment_market_context_sidecar,True
ctx_mkt_updown_sjzt,4,lagged_sentiment_market_context_sidecar,True
ctx_mkt_updown_stdt,4,lagged_sentiment_market_context_sidecar,True
ctx_mkt_updown_stzt,4,lagged_sentiment_market_context_sidecar,True
ctx_mkt_updown_szjs,4,lagged_sentiment_market_context_sidecar,True
ctx_mkt_updown_xdjs,4,lagged_sentiment_market_context_sidecar,True
ctx_mkt_updown_zt,4,lagged_sentiment_market_context_sidecar,True
ctx_sent_down_num,4,lagged_sentiment_market_context_sidecar,True
ctx_sent_up_num,4,lagged_sentiment_market_context_sidecar,True
ctx_zls_evt_fd_close_lag1,4,lagged_sentiment_market_context_sidecar,True
ctx_billboard_change_rate,4,lagged_billboard_context_sidecar,True
ctx_holder_close_price,4,lagged_holder_context_sidecar,True
ctx_fund_cf_end_cce,4,lagged_fundamental_context_sidecar,True
ctx_fund_cf_netcash_finance,4,lagged_fundamental_context_sidecar,True
ctx_fund_cf_netcash_invest,4,lagged_fundamental_context_sidecar,True
ctx_fund_cf_total_operate_inflow,4,lagged_fundamental_context_sidecar,True
ctx_fund_cf_total_operate_outflow,4,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_liabilities,3,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_monetaryfunds,3,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_goodwill,3,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_inventory,3,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_current_assets,3,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_current_liab,3,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_equity,3,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_fixed_asset,3,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_intangible_asset,3,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_netprofit,3,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_parent_netprofit,3,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_operate_profit,3,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_total_profit,3,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_operate_cost,3,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_sale_expense,3,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_manage_expense,3,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_research_expense,3,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_finance_expense,3,lagged_fundamental_context_sidecar,True
ctx_sent_lb_2_num,3,lagged_sentiment_market_context_sidecar,True
ctx_sent_lb_3_num,3,lagged_sentiment_market_context_sidecar,True
evt_uplimit_auction_buy,3,event_state_observable_time_adapter,True
evt_uplimit_auction_offer,3,event_state_observable_time_adapter,True
evt_uplimit_auction_money,3,event_state_observable_time_adapter,True
evt_uplimit_auction_turnover,3,event_state_observable_time_adapter,True
ctx_ths_hot_circulation_value,3,lagged_sentiment_market_context_sidecar,True
ctx_ths_hot_last_pct,3,lagged_sentiment_market_context_sidecar,True
ctx_zls_evt_auction_money_lag1,3,lagged_sentiment_market_context_sidecar,True
ctx_zls_evt_auction_turnover_lag1,3,lagged_sentiment_market_context_sidecar,True
ctx_zls_evt_fd_max_lag1,3,lagged_sentiment_market_context_sidecar,True
ctx_zls_evt_up_limit_keep_times_lag1,3,lagged_sentiment_market_context_sidecar,True
ctx_zls_lb_2_num_lag1,3,lagged_sentiment_market_context_sidecar,True
ctx_zls_max_lb_num_lag1,3,lagged_sentiment_market_context_sidecar,True
ctx_zls_downlimit_num_lag1,3,lagged_sentiment_market_context_sidecar,True
ctx_zls_lb_3_num_lag1,3,lagged_sentiment_market_context_sidecar,True
ctx_zls_lb_h_num_lag1,3,lagged_sentiment_market_context_sidecar,True
ctx_zls_rank_lag1,3,lagged_sentiment_market_context_sidecar,True
ctx_fulla_ps_total_operate_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_operate_profit_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_netprofit_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_parent_netprofit_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_assets_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_liabilities_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_goodwill_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_inventory_yoy,2,lagged_fundamental_context_sidecar,True
ctx_sent_tiandi_num,2,lagged_sentiment_market_context_sidecar,True
ctx_sent_ditian_num,2,lagged_sentiment_market_context_sidecar,True
ctx_fulla_bs_accounts_payable,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_accounts_rece,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_advance_receivables,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_asset_balance,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_bond_payable,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_capital_reserve,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_cip,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_contract_asset,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_contract_liab,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_creditor_invest,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_current_asset_balance,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_current_liab_balance,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_defer_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_defer_tax_asset,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_defer_tax_liab,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_derive_finasset,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_derive_finliab,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_develop_expense,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_dividend_payable,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_dividend_rece,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_equity_balance,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_finance_rece,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_interest_payable,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_interest_rece,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_invest_realestate,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_lease_liab,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_liab_balance,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_long_equity_invest,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_long_loan,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_long_payable,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_long_prepaid_expense,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_long_rece,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_long_staffsalary_payable,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_minority_equity,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_noncurrent_asset_1year,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_noncurrent_asset_balance,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_noncurrent_liab_1year,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_noncurrent_liab_balance,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_note_accounts_payable,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_note_accounts_rece,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_note_payable,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_note_rece,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_compre_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_current_asset,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_current_liab,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_equity_invest,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_equity_tool,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_noncurrent_asset,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_noncurrent_finasset,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_noncurrent_liab,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_parent_equity_balance,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_predict_liab,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_prepayment,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_productive_biology_asset,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_share_capital,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_short_loan,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_special_reserve,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_staff_salary_payable,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_surplus_reserve,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_tax_payable,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_liab_equity,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_noncurrent_assets,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_noncurrent_liab,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_other_payable,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_other_rece,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_parent_equity,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_trade_finasset_notfvtpl,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_trade_finliab_notfvtpl,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_treasury_shares,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_unassign_rpofit,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_useright_asset,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_accounts_payable_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_accounts_rece_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_advance_receivables_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_bond_payable_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_capital_reserve_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_cip_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_contract_asset_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_contract_liab_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_defer_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_defer_tax_asset_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_defer_tax_liab_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_develop_expense_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_dividend_payable_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_dividend_rece_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_finance_rece_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_fixed_asset_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_intangible_asset_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_invest_realestate_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_lease_liab_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_long_equity_invest_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_long_loan_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_long_payable_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_long_prepaid_expense_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_long_rece_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_long_staffsalary_payable_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_minority_equity_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_monetaryfunds_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_noncurrent_asset_1year_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_noncurrent_liab_1year_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_note_accounts_payable_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_note_accounts_rece_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_note_payable_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_note_rece_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_compre_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_current_asset_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_current_liab_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_equity_invest_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_equity_tool_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_noncurrent_asset_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_noncurrent_finasset_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_other_noncurrent_liab_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_predict_liab_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_prepayment_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_share_capital_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_short_loan_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_special_reserve_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_staff_salary_payable_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_surplus_reserve_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_tax_payable_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_current_assets_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_current_liab_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_equity_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_liab_equity_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_noncurrent_assets_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_noncurrent_liab_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_other_payable_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_other_rece_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_total_parent_equity_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_trade_finasset_notfvtpl_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_treasury_shares_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_unassign_rpofit_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_bs_useright_asset_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_operate_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_operate_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_total_operate_cost,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_total_operate_cost_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_operate_cost_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_research_expense_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_operate_tax_add,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_operate_tax_add_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_sale_expense_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_manage_expense_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_finance_expense_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_fe_interest_expense,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_fe_interest_expense_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_fe_interest_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_fe_interest_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_fairvalue_change_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_fairvalue_change_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_invest_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_invest_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_invest_joint_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_invest_joint_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_asset_disposal_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_asset_disposal_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_asset_impairment_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_asset_impairment_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_credit_impairment_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_credit_impairment_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_other_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_other_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_operate_profit_balance,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_nonbusiness_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_nonbusiness_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_nonbusiness_expense,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_nonbusiness_expense_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_total_profit_balance,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_total_profit_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_income_tax,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_income_tax_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_continued_netprofit,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_continued_netprofit_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_minority_interest,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_minority_interest_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_deduct_parent_netprofit,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_deduct_parent_netprofit_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_basic_eps,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_basic_eps_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_diluted_eps,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_diluted_eps_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_other_compre_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_other_compre_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_parent_oci,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_parent_oci_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_minority_oci,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_minority_oci_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_unable_oci,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_unable_oci_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_otherright_fairvalue_change,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_otherright_fairvalue_change_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_able_oci,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_able_oci_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_rightlaw_able_oci,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_rightlaw_able_oci_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_cashflow_hedge_valid,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_convert_diff,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_convert_diff_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_total_compre_income,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_total_compre_income_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_parent_tci,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_parent_tci_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_minority_tci,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_minority_tci_yoy,2,lagged_fundamental_context_sidecar,True
ctx_fulla_ps_acf_end_income,2,lagged_fundamental_context_sidecar,True
ctx_sent_gt5_num,2,lagged_sentiment_market_context_sidecar,True
ctx_sent_second_lb_num,2,lagged_sentiment_market_context_sidecar,True
ctx_sent_mian_num,2,lagged_sentiment_market_context_sidecar,True
ctx_sent_fb_num,2,lagged_sentiment_market_context_sidecar,True
ctx_sent_bigleg_num,2,lagged_sentiment_market_context_sidecar,True
ctx_sent_uplimit_n_num,2,lagged_sentiment_market_context_sidecar,True
ctx_sent_lt5_num,2,lagged_sentiment_market_context_sidecar,True
ctx_sent_lb_h_num,2,lagged_sentiment_market_context_sidecar,True
ctx_ths_hot_last_price,2,lagged_sentiment_market_context_sidecar,True
ctx_zls_lbgd_lag1,2,lagged_sentiment_market_context_sidecar,True
