file,line,patterns,text
src\our_system_phase2\runtime\cn_minute_feature_alignment_audit.py,215,stock_1min,"manifest_path = minute_root / ""stock_1min_2026_manifest.csv"""
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,30,phase2_stock_tdx_official;tdx_official,"""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"""
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,32,cn_minute_feature_panel,"DEFAULT_OUTPUT = Path(""runtime/minute_feature_panels/cn_minute_feature_panel_v1_20260601"")"
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,230,stock_1min,"manifest = _manifest_rows(minute_root / ""stock_1min_2026_manifest.csv"", start_date.replace(""-"", """"), end_date.replace(""-"", """"), limit_days)"
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,267,cn_minute_feature_panel,"panel_path = output_root / ""cn_minute_feature_panel_v1_2026_available.parquet"""
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,269,cn_minute_feature_panel,"_write_csv(output_root / ""cn_minute_feature_panel_v1_manifest.csv"", manifest_rows)"
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,294,cn_minute_feature_panel,"_write_csv(output_root / ""cn_minute_feature_panel_v1_contract.csv"", feature_contract)"
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,310,cn_minute_feature_panel,"""manifest"": str(output_root / ""cn_minute_feature_panel_v1_manifest.csv""),"
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,311,cn_minute_feature_panel,"""contract"": str(output_root / ""cn_minute_feature_panel_v1_contract.csv""),"
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,312,cn_minute_feature_panel,"""json"": str(output_root / ""cn_minute_feature_panel_v1_report.json""),"
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,313,cn_minute_feature_panel,"""markdown"": str(output_root / ""CN_MINUTE_FEATURE_PANEL_V1_REPORT_2026-06-01.md""),"
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,316,cn_minute_feature_panel,"write_json_artifact(output_root / ""cn_minute_feature_panel_v1_report.json"", summary)"
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,333,cn_minute_feature_panel,"(output_root / ""CN_MINUTE_FEATURE_PANEL_V1_REPORT_2026-06-01.md"").write_text(""\n"".join(lines) + ""\n"", encoding=""utf-8"")"
src\our_system_phase2\runtime\cn_minute_feature_panel_builder.py,334,cn_minute_feature_panel,"Path(""reports/CN_MINUTE_FEATURE_PANEL_V1_DECISION_2026-06-01.md"").write_text("
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_builder.py,5,stock_1min,"- 2023-2025 stock_1min_2023_2025_symbol_parquet_v2, symbol parquet layout."
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_builder.py,6,stock_1min,"- 2026 stock_1min_2026_parquet_by_date, date parquet layout."
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_builder.py,33,stock_1min,"DEFAULT_SYMBOL_MINUTE_ROOT = DATA_ROOT / ""stock_1min_2023_2025_symbol_parquet_v2"""
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_builder.py,34,stock_1min,"DEFAULT_2026_MINUTE_ROOT = DATA_ROOT / ""stock_1min_2026_parquet_by_date"""
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_builder.py,38,phase2_stock_tdx_official;tdx_official,"""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"""
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_builder.py,40,cn_minute_feature_panel,"DEFAULT_OUTPUT = Path(""runtime/minute_feature_panels/cn_minute_feature_panel_v2_20260602"")"
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_builder.py,41,cn_minute_feature_panel,"DEFAULT_CONTEXT_CACHE = Path(""runtime/minute_feature_panels/cn_minute_feature_panel_v2_20260602_daily_context_cache"")"
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_builder.py,617,cn_minute_feature_panel,"_write_csv(output_root / ""cn_minute_feature_panel_v2_contract.csv"", _feature_contract(sample_cols))"
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_builder.py,631,cn_minute_feature_panel,"""schema_version"": ""cn_minute_feature_panel_v2_20260602"","
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_builder.py,651,cn_minute_feature_panel,"(output_root / f""CN_MINUTE_FEATURE_PANEL_V2_SHARD_REPORT_2026-06-02_shard{symbol_shard_index:02d}of{symbol_shard_count:02d}.md"").write_text("
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_final_qa.py,21,cn_minute_feature_panel,"DEFAULT_PANEL_ROOT = Path(""runtime/minute_feature_panels/cn_minute_feature_panel_v2_20260602_full"")"
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_final_qa.py,22,cn_minute_feature_panel,"DEFAULT_REPORT_ROOT = Path(""reports/cn_minute_feature_panel_v2_20260602_final_qa"")"
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_final_qa.py,205,cn_minute_feature_panel,"write_json_artifact(report_root / ""cn_minute_feature_panel_v2_final_qa.json"", summary)"
src\our_system_phase2\runtime\cn_minute_feature_panel_v2_final_qa.py,226,cn_minute_feature_panel,"(report_root / ""CN_MINUTE_FEATURE_PANEL_V2_FINAL_QA_2026-06-02.md"").write_text("
src\our_system_phase2\runtime\cn_minute_feature_signal_scan.py,17,cn_minute_feature_panel,"DEFAULT_PANEL = Path(""runtime/minute_feature_panels/cn_minute_feature_panel_v1_20260601/cn_minute_feature_panel_v1_2026_available.parquet"")"
src\our_system_phase2\runtime\cn_minute_limit_event_alignment_panel.py,16,cn_minute_feature_panel,"DEFAULT_PANEL = Path(""runtime/minute_feature_panels/cn_minute_feature_panel_v1_20260601/cn_minute_feature_panel_v1_2026_available.parquet"")"
src\our_system_phase2\runtime\cn_nonminute_field_integration_registry.py,282,stock_1min,# Keep one schema row per parquet table path; do not include stock_1min roots.
src\our_system_phase2\runtime\cn_nonminute_field_integration_registry.py,295,stock_1min,"if ""stock_1min"" in rel.lower():"
src\our_system_phase2\runtime\cn_nonminute_field_integration_registry.py,357,cn_minute_feature_panel;stock_1min,"""stock_1min"": ""excluded; handled by cn_minute_feature_panel_v2"","
src\our_system_phase2\runtime\cn_nonminute_pit_context_panel_v1.py,32,cn_minute_feature_panel,"DEFAULT_MINUTE_PANEL = Path(""runtime/minute_feature_panels/cn_minute_feature_panel_v2_20260602_full_retry1"")"
src\our_system_phase2\runtime\cn_nonminute_system_integration_audit.py,19,cn_minute_feature_panel,"DEFAULT_MINUTE_PANEL = Path(""runtime/minute_feature_panels/cn_minute_feature_panel_v2_20260602_full_retry1"")"
src\our_system_phase2\runtime\cn_phase3ad_build_augmented_panel_v1.py,19,phase2_stock_tdx_official;tdx_official,"r""G:\Project_V7_Rotation\data\company_phase2_panels\phase2_stock_tdx_official_20250806_to_20260410_cn_integrated_v2_all_fields_local.parquet"""
src\our_system_phase2\runtime\cn_phase3ad_build_augmented_panel_v1.py,23,phase2_stock_tdx_official;tdx_official,"r""G:\Project_V7_Rotation\data\company_phase2_panels\phase2_stock_tdx_official_20250806_to_20260410_cn_integrated_v2_phase3ad_newdata_v1_20260603.parquet"""
src\our_system_phase2\runtime\cn_phase3ad_hfq_valuation_sidecar_v1.py,18,phase2_stock_tdx_official;tdx_official,"r""G:\Project_V7_Rotation\data\company_phase2_panels\phase2_stock_tdx_official_20250806_to_20260410_cn_integrated_v2_all_fields_local.parquet"""
src\our_system_phase2\runtime\cn_public_enrichment_global_field_route_v1.py,43,stock_1min,"""stock_1min_2023_2025"","
src\our_system_phase2\runtime\cn_public_enrichment_global_field_route_v1.py,46,stock_1min,"/ ""stock_1min_2023_2025_symbol_parquet"","
src\our_system_phase2\runtime\cn_public_enrichment_global_field_route_v1.py,50,stock_1min,"""stock_1min_2026"","
src\our_system_phase2\runtime\cn_public_enrichment_global_field_route_v1.py,53,stock_1min,"/ ""stock_1min_2026_parquet_by_date"","
src\our_system_phase2\runtime\cn_public_enrichment_global_field_route_v1.py,169,stock_1min,"if ""stock_1min"" in text:"
src\our_system_phase2\runtime\cn_public_enrichment_global_field_route_v1.py,170,stock_1min,"return ""stock_1min"""
src\our_system_phase2\runtime\cn_public_enrichment_global_field_route_v1.py,224,stock_1min,"if grain == ""stock_1min"":"
src\our_system_phase2\runtime\cn_public_enrichment_global_field_route_v1.py,673,stock_1min,"""stock_1min"": ""observed-window only"","
src\our_system_phase2\runtime\cn_signal_vector_event_field_smoke.py,15,phase2_stock_tdx_official;tdx_official,"DEFAULT_DATASET = Path(""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_augmented_v1_20260531.parquet"")"
src\our_system_phase2\runtime\cn_underutilized_field_batched_selector_smoke.py,16,phase2_stock_tdx_official;tdx_official,"DEFAULT_DATASET = Path(""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"")"
src\our_system_phase2\runtime\cn_underutilized_field_book_marginal_audit.py,42,phase2_stock_tdx_official;tdx_official,"""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"""
src\our_system_phase2\runtime\cn_underutilized_field_book_readiness_audit.py,26,phase2_stock_tdx_official;tdx_official,"""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"""
src\our_system_phase2\runtime\cn_underutilized_field_factor_pack_v1.py,19,phase2_stock_tdx_official;tdx_official,"DEFAULT_PANEL = Path(""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"")"
src\our_system_phase2\runtime\cn_underutilized_field_family_smoke.py,19,phase2_stock_tdx_official;tdx_official,"DEFAULT_DATASET = Path(""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"")"
src\our_system_phase2\runtime\cn_underutilized_field_global_cluster_integration.py,24,phase2_stock_tdx_official;tdx_official,"""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"""
src\our_system_phase2\runtime\cn_underutilized_field_minute_execution_calibration.py,31,phase2_stock_tdx_official;tdx_official,"""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"""
src\our_system_phase2\runtime\cn_underutilized_field_minute_execution_calibration.py,37,stock_1min,"r""G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2026_manifest.csv"""
src\our_system_phase2\runtime\cn_underutilized_field_registry_recluster.py,27,phase2_stock_tdx_official;tdx_official,"""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"""
src\our_system_phase2\runtime\cn_workspace_key_artifact_manifest.py,71,phase2_stock_tdx_official;tdx_official,"""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"","
src\our_system_phase2\runtime\cn_zzshare_limit_sentiment_field_availability_gate.py,18,phase2_stock_tdx_official;tdx_official,"r""D:\HermesWorker\data\phase2_stock_tdx_official_20250806_to_20260410_cn_integrated_zzshare_selected_v1.parquet"""
src\our_system_phase2\runtime\cn_zzshare_limit_sentiment_joined_panel_v1.py,16,phase2_stock_tdx_official;tdx_official,"r""D:\HermesWorker\data\phase2_stock_tdx_official_20250806_to_20260410_cn_integrated_selected_v1.parquet"""
src\our_system_phase2\runtime\cn_zzshare_limit_sentiment_joined_panel_v1.py,22,phase2_stock_tdx_official;tdx_official,"r""D:\HermesWorker\data\phase2_stock_tdx_official_20250806_to_20260410_cn_integrated_zzshare_selected_v1.parquet"""
src\our_system_phase2\runtime\phase3ab_candidate_deep_validation.py,35,phase3n_stock_tdx_official;tdx_official,"DEFAULT_DATASET = Path(r""G:\Project_V7_Rotation\scripts\data\phase3n_stock_tdx_official_20200101_to_20260508_maxopt.parquet"")"
src\our_system_phase2\runtime\phase3ab_candidate_deep_validation.py,36,phase2_stock_tdx_official;tdx_official,"FALLBACK_DATASET = Path(r""G:\Project_V7_Rotation\scripts\data\phase2_stock_tdx_official_20250806_to_20260508_maxopt.parquet"")"
src\our_system_phase2\runtime\phase3ae_bounded_repair_placebo_pack_v1.py,23,phase3ae_bounded_repair_joined_panel,"""runtime/phase3ae_bounded_repair_selector_only_v1_20260604/phase3ae_bounded_repair_joined_panel_v1.parquet"""
src\our_system_phase2\runtime\phase3ae_bounded_repair_placebo_replay_prep_v1.py,21,phase3ae_bounded_repair_joined_panel,"""runtime/phase3ae_bounded_repair_selector_only_v1_20260604/phase3ae_bounded_repair_joined_panel_v1.parquet"""
src\our_system_phase2\runtime\phase3ae_bounded_repair_placebo_replay_prep_v1.py,115,phase3ae_bounded_repair_joined_panel,"placebo_panel = output_root / ""phase3ae_bounded_repair_joined_panel_with_placebo_v1.parquet"""
src\our_system_phase2\runtime\phase3ae_bounded_repair_selector_only_gate_v1.py,29,cn_minute_feature_panel,"Path(""runtime/minute_feature_panels/cn_minute_feature_panel_v2_20260602_full_retry1""),"
src\our_system_phase2\runtime\phase3ae_bounded_repair_selector_only_gate_v1.py,515,phase3ae_bounded_repair_joined_panel,"joined_panel_path = output_root / ""phase3ae_bounded_repair_joined_panel_v1.parquet"""
src\our_system_phase2\runtime\phase3ae_bounded_repair_selector_only_gate_v1.py,516,phase3ae_bounded_repair_joined_panel,"joined_report_path = report_root / ""phase3ae_bounded_repair_joined_panel_report.json"""
src\our_system_phase2\runtime\phase3af_membership_control_prep_v1.py,23,phase3ae_bounded_repair_joined_panel,"""runtime/phase3ae_bounded_repair_replay_canary_v1_20260604/phase3ae_bounded_repair_joined_panel_with_placebo_v1.parquet"""
src\our_system_phase2\runtime\phase3am_factor_pack_sanitizer.py,32,phase3ae_bounded_repair_joined_panel,"""phase3ae_bounded_repair_joined_panel_v1.parquet"""
src\our_system_phase2\runtime\phase3am_field_integration_strict_audit.py,22,phase3ae_bounded_repair_joined_panel,"""phase3ae_bounded_repair_joined_panel_v1.parquet"""
src\our_system_phase2\runtime\phase3an_build_replay_slim_panel.py,21,phase3an_daily_sentiment_joined_panel,"DEFAULT_PANEL = Path(""runtime/phase3an_daily_sentiment_joined_panel_20260609/phase3an_daily_sentiment_joined_panel.parquet"")"
src\our_system_phase2\runtime\phase3an_daily_sentiment_panel_join.py,21,phase3ae_bounded_repair_joined_panel,"""phase3ae_bounded_repair_joined_panel_v1.parquet"""
src\our_system_phase2\runtime\phase3an_daily_sentiment_panel_join.py,24,phase3an_daily_sentiment_joined_panel,"DEFAULT_OUTPUT_ROOT = Path(""runtime/phase3an_daily_sentiment_joined_panel_20260609"")"
src\our_system_phase2\runtime\phase3an_daily_sentiment_panel_join.py,25,phase3an_daily_sentiment_joined_panel,"DEFAULT_REPORT_ROOT = Path(""reports/phase3an_daily_sentiment_joined_panel_20260609"")"
src\our_system_phase2\runtime\phase3an_daily_sentiment_panel_join.py,26,phase3an_daily_sentiment_joined_panel,"OUTPUT_NAME = ""phase3an_daily_sentiment_joined_panel.parquet"""
src\our_system_phase2\runtime\phase3an_daily_sentiment_panel_join.py,127,phase3an_daily_sentiment_joined_panel,"_write_json(report_root / ""phase3an_daily_sentiment_joined_panel_report.json"", summary)"
src\our_system_phase2\runtime\phase3an_daily_sentiment_panel_join.py,146,phase3an_daily_sentiment_joined_panel,"(report_root / ""PHASE3AN_DAILY_SENTIMENT_JOINED_PANEL_20260609.md"").write_text(""\n"".join(lines), encoding=""utf-8"")"
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,29,stock_1min,"r""\stock_1min_2023_2025_symbol_parquet_v2\year=2023\code=000001.SZ\part.parquet"""
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,33,stock_1min,"r""\stock_1min_2026_parquet_by_date\date=20260105.parquet"""
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,50,phase2_stock_tdx_official;tdx_official,"""path"": r""G:\Project_V7_Rotation\data\company_phase2_panels\phase2_stock_tdx_official_20250806_to_20260410_cn_integrated_v2_phase3ad_newdata_v1_20260603.parquet"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,55,phase3ae_bounded_repair_joined_panel,"""path"": ""runtime/phase3ae_bounded_repair_selector_only_v1_20260604/phase3ae_bounded_repair_joined_panel_v1.parquet"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,60,phase3an_daily_sentiment_joined_panel,"""path"": ""runtime/phase3an_daily_sentiment_joined_panel_20260609/phase3an_daily_sentiment_joined_panel.parquet"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,65,cn_minute_feature_panel,"""path"": ""runtime/minute_feature_panels/cn_minute_feature_panel_v2_20260602_full_retry1"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,155,tdx_official,"""tdx_official"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,156,phase2_stock_tdx_official;tdx_official,"""phase2_stock_tdx_official"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,157,phase3n_stock_tdx_official;tdx_official,"""phase3n_stock_tdx_official"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,198,phase2_stock_tdx_official;tdx_official,"""phase2_stock_tdx_official"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,199,phase3n_stock_tdx_official;tdx_official,"""phase3n_stock_tdx_official"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,200,tdx_official,"""tdx_official"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,201,phase3ae_bounded_repair_joined_panel,"""phase3ae_bounded_repair_joined_panel"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,202,phase3an_daily_sentiment_joined_panel,"""phase3an_daily_sentiment_joined_panel"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,203,cn_minute_feature_panel,"""cn_minute_feature_panel"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,204,stock_1min,"""stock_1min"","
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,267,phase2_stock_tdx_official;phase3n_stock_tdx_official;tdx_official,"if any(token in row[""patterns""] for token in (""phase2_stock_tdx_official"", ""phase3n_stock_tdx_official"", ""tdx_official""))"
src\our_system_phase2\runtime\phase3ap_data_lineage_granularity_audit.py,299,phase3ae_bounded_repair_joined_panel,"""reason"": ""launcher scripts point at phase3ae_bounded_repair_joined_panel_v1.parquet"","
src\our_system_phase2\runtime\phase3j_j2_j4_relaxed_comparison.py,243,phase2_stock_tdx_official;tdx_official,"parser.add_argument(""--dataset-path"", type=Path, default=Path(r""G:\Project_V7_Rotation\scripts\data\phase2_stock_tdx_official_20250806_to_20260508_maxopt.parquet""))"
src\our_system_phase2\runtime\phase3j_liquidity_capacity_preflight.py,479,phase2_stock_tdx_official;tdx_official,"parser.add_argument(""--dataset-path"", type=Path, default=Path(r""G:\Project_V7_Rotation\scripts\data\phase2_stock_tdx_official_20250806_to_20260508_maxopt.parquet""))"
src\our_system_phase2\runtime\phase3k_b_locked_filter_generalization.py,347,phase2_stock_tdx_official;tdx_official,"parser.add_argument(""--dataset-path"", type=Path, default=Path(r""G:\Project_V7_Rotation\scripts\data\phase2_stock_tdx_official_20250806_to_20260508_maxopt.parquet""))"
src\our_system_phase2\runtime\phase3n_locked_long_history_validation.py,34,phase3n_stock_tdx_official;tdx_official,"DEFAULT_DATASET = Path(r""G:\Project_V7_Rotation\scripts\data\phase3n_stock_tdx_official_20200101_to_20260508_maxopt.parquet"")"
src\our_system_phase2\runtime\phase3o2_regime_gated_portfolio_replay.py,23,phase3n_stock_tdx_official;tdx_official,"DEFAULT_DATASET = Path(r""G:\Project_V7_Rotation\scripts\data\phase3n_stock_tdx_official_20200101_to_20260508_maxopt.parquet"")"
src\our_system_phase2\runtime\phase3o3_regime_gate_robustness_audit.py,23,phase3n_stock_tdx_official;tdx_official,"DEFAULT_DATASET = Path(r""G:\Project_V7_Rotation\scripts\data\phase3n_stock_tdx_official_20200101_to_20260508_maxopt.parquet"")"
src\our_system_phase2\runtime\phase3o4_regime_weighted_book.py,24,phase3n_stock_tdx_official;tdx_official,"DEFAULT_DATASET = Path(r""G:\Project_V7_Rotation\scripts\data\phase3n_stock_tdx_official_20200101_to_20260508_maxopt.parquet"")"
src\our_system_phase2\runtime\phase3o5_locked_regime_forward_export.py,33,phase3n_stock_tdx_official;tdx_official,"DEFAULT_DATASET = Path(r""G:\Project_V7_Rotation\scripts\data\phase3n_stock_tdx_official_20200101_to_20260508_maxopt.parquet"")"
src\our_system_phase2\runtime\phase3o6_active_return_sanity_audit.py,23,phase3n_stock_tdx_official;tdx_official,"r""G:\Project_V7_Rotation\scripts\data\phase3n_stock_tdx_official_20200101_to_20260508_maxopt.parquet"""
src\our_system_phase2\runtime\phase3o_regime_conditioned_oos.py,23,phase3n_stock_tdx_official;tdx_official,"DEFAULT_DATASET = Path(r""G:\Project_V7_Rotation\scripts\data\phase3n_stock_tdx_official_20200101_to_20260508_maxopt.parquet"")"
src\our_system_phase2\runtime\phase3p_gate_failure_monitor.py,24,phase3n_stock_tdx_official;tdx_official,"DEFAULT_DATASET = Path(r""G:\Project_V7_Rotation\scripts\data\phase3n_stock_tdx_official_20200101_to_20260508_maxopt.parquet"")"
