candidate_uid,cluster_id,source_scope,source_phase,representative_expression,canonical_expression,representative_candidate_id,source_lane,field_families,operator_families,retained_by_j2,retained_by_j4_relaxed,new_vs_149_proxy,known_vs_149_reason,max_corr_to_149_registry_proxy,p90_turnover,median_turnover,cost_adjusted_score,capacity_proxy,median_amount_20d,limit_hit_rate,suspension_rate,raw_pass_count,deployable_count,champion_score,grade,discovery_strength_component,book_readiness_component,cost_proxy_component,turnover_component,capacity_component,novelty_corr_component,feasibility_component,penalties,proof_gaps,champion_decision,merged_duplicate_candidate_uids,duplicate_candidate_count,champion_rank,legacy_cluster_id
phase3j_locked:cluster_001,cluster_001,phase3j_locked_book,Phase3J,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21))))),ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21))))))))","CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21))))),ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21))))))))",fgv2-repair-nonlinearize-bd95d707df,formula_gen_v2_repair_expansion,cap|flow,CSRank|Mul|Sign|Std|ZScore,True,True,False,existing_locked_phase3j_book,,0.100297,0.100297,3.727779,124777879.490625,3951710086.4,0.031753,0.0,1,1,71.657696,B,0.543389,1.0,0.745556,1.0,1.0,0.55,0.735392,known_simple_or_overcrowded_family,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_001,1,11,
phase3k_b_fresh:s47_cluster_003,s47_cluster_003,kb_fresh_g2,Phase3K-B,"CSRank(Mean($close,34))","CSRank(Mean($close,34))",stockpit-cem_adaptive_grammar-7291def7e7cd,r0_cem_led,price,CSRank|Mean,True,True,True,,0.736928,0.032797,0.032797,4.30643,32814617.294922,1004955465.6,0.009133,0.0,1,1,71.490217,B,0.607041,1.0,0.861286,1.0,0.628039,0.463072,0.923892,known_simple_or_overcrowded_family,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s47_cluster_003,1,12,
phase3k_b_fresh:s49_cluster_008,s49_cluster_008,kb_fresh_g2,Phase3K-B,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-7a09229418,formula_gen_v2_repair_expansion,price,Abs|CSRank|Delta|Mean|Mul|Neg|ZScore,True,True,True,,0.623762,0.098279,0.098279,3.080926,25480245.859375,1184123244.8,0.01699,0.0,1,1,71.480887,A,0.472235,1.0,0.616185,1.0,0.543595,0.576238,0.858417,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s49_cluster_008,1,13,
phase3k_b_fresh:s48_cluster_008,s48_cluster_008,kb_fresh_g2,Phase3K-B,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($amount),21))))","CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($amount),21))))",stockpit-cem_adaptive_grammar-4fde4ef92cac,r0_cem_led,flow|price,Abs|CSRank|Mean|Mul|ZScore,True,True,True,,0.693453,0.051814,0.051814,2.384678,69497058.628125,2892976825.6,0.015559,0.0,1,1,70.846588,A,0.395648,1.0,0.476936,1.0,0.878532,0.506547,0.870342,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s48_cluster_008,1,14,
phase3k_b_fresh:s47_cluster_005,s47_cluster_005,kb_fresh_g2,Phase3K-B,"CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))","CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))",agnostic-freeform-22b7d5012645,agnostic_freeform_ast,price,Abs|CSRank|Delta|Mean|Mul|Sign|Std|ZScore,True,True,False,signal_collision_ge_0p80,0.805202,0.189713,0.149075,3.481296,25906560.293555,1203994803.2,0.019149,0.0,2,2,70.295767,A,0.649609,1.0,0.696259,0.697049,0.549134,0.3,0.840425,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s47_cluster_005,1,15,
phase3k_b_fresh:s50_cluster_003,s50_cluster_003,kb_fresh_g2,Phase3K-B,"CSRank(Std($close,21))","CSRank(Std($close,21))",stockpit-cem_adaptive_grammar-1cbda2aca086,r0_cem_led,price,CSRank|Std,True,True,False,signal_collision_ge_0p80,0.89444,0.082567,0.0691,4.186631,22952094.072168,1126885824.0,0.023786,0.0,2,2,69.989021,B,0.727196,1.0,0.837326,1.0,0.508714,0.3,0.801783,known_simple_or_overcrowded_family,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s50_cluster_003,1,16,
phase3k_b_fresh:s49_cluster_005,s49_cluster_005,kb_fresh_g2,Phase3K-B,"CSRank(Mul(CSRank(Mul(ZScore($amount),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(CSRank(Mul(ZScore($amount),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-0685fb9878,formula_gen_v2_repair_expansion,flow|price,Abs|CSRank|Delta|Mean|Mul|ZScore,True,True,True,,0.725805,0.227858,0.227858,3.568546,35105354.828125,1850587257.6,0.018957,0.0,1,1,69.79916,B,0.525873,1.0,0.713709,0.646189,0.650564,0.474195,0.842025,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s49_cluster_005,1,17,
phase3j_locked:cluster_004,cluster_004,phase3j_locked_book,Phase3J,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))),ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))))))","CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))),ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))))))",fgv2-repair-nonlinearize-0723c50412,formula_gen_v2_repair_expansion,flow|price,CSRank|Mul|Sign|Std|ZScore,True,True,False,existing_locked_phase3j_book,,0.219893,0.212161,2.788897,48305024.689453,2776555488.0,0.037455,0.0,2,2,68.839473,B,0.573445,1.0,0.557779,0.656809,0.75711,0.55,0.687875,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_004,1,18,
phase3j_locked:cluster_016,cluster_016,phase3j_locked_book,Phase3J,"CSRank(Sub(ZScore($high),ZScore($final_float_market_cap)))","CSRank(Sub(ZScore($high),ZScore($final_float_market_cap)))",agnostic-freeform-1d4ce7648018,agnostic_freeform_ast,cap|price,CSRank|Sub|ZScore,True,True,False,existing_locked_phase3j_book,,0.061503,0.061503,2.629757,20861176.640332,764548987.2,0.01039,0.0,1,1,68.193751,B,0.422607,1.0,0.525951,1.0,0.476829,0.55,0.913417,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_016,1,19,
registry149:registry_112,registry_112,registry_149,Phase3E,"CSRank(Mul(ZScore(Mean(Abs(Delta($final_float_market_cap,1)),5)),Mul(ZScore(Mean($final_total_market_cap,34)),ZScore($high))))","CSRank(Mul(ZScore(Mean(Abs(Delta($final_float_market_cap,1)),5)),Mul(ZScore(Mean($final_total_market_cap,34)),ZScore($high))))",agnostic-freeform-ca14e40fcc83,agnostic_freeform_ast,$final_float_market_cap|$final_total_market_cap|$high,Abs|CSRank|Delta|Mean|Mul|ZScore,False,False,False,registry_member,,0.069145,0.08291,6.029984,,,,,1,1,68.073333,B,0.683333,0.28,1.0,1.0,0.3,0.55,1.0,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited|daily_book_readiness_metrics_incomplete,KEEP_AS_GRADE_B_RESERVE,registry149:registry_112,1,20,cluster_031
phase3k_b_fresh:s47_cluster_014,s47_cluster_014,kb_fresh_g2,Phase3K-B,"CSRank(Mul(ZScore(Mean(Abs($close),2)),ZScore(Mean(Abs($close),2))))","CSRank(Mul(ZScore(Mean(Abs($close),2)),ZScore(Mean(Abs($close),2))))",stockpit-cem_adaptive_grammar-8a87f4aaef59,r0_cem_led,price,Abs|CSRank|Mean|Mul|ZScore,True,True,True,,0.366275,0.209031,0.209031,2.326107,31418563.935742,993775180.8,0.00904,0.0,1,1,67.094236,B,0.389205,1.0,0.465221,0.671292,0.613526,1.0,0.924667,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s47_cluster_014,1,21,
phase3k_b_fresh:s50_cluster_002,s50_cluster_002,kb_fresh_g2,Phase3K-B,"CSRank(Mul(ZScore(Mean(Abs(Delta($close,1)),34)),Mul(CSRank(Mom($high,3)),Sign($high))))","CSRank(Mul(ZScore(Mean(Abs(Delta($close,1)),34)),Mul(CSRank(Mom($high,3)),Sign($high))))",agnostic-freeform-d8d81c076e68,agnostic_freeform_ast,price,Abs|CSRank|Delta|Mean|Mom|Mul|Sign|ZScore,False,False,True,,0.013452,0.390044,0.390044,16.47198,23085495.5625,1001465521.6,0.021173,0.0,1,1,66.25866,B,0.683333,0.45,1.0,0.314934,0.510649,1.0,0.823558,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s50_cluster_002,1,22,
phase3k_b_fresh:s47_cluster_012,s47_cluster_012,kb_fresh_g2,Phase3K-B,"CSRank(Mul(CSRank(Std($volume,5)),Mul(CSRank(Std($final_total_market_cap,34)),ZScore(Std($high,8)))))","CSRank(Mul(CSRank(Std($volume,5)),Mul(CSRank(Std($final_total_market_cap,34)),ZScore(Std($high,8)))))",agnostic-freeform-760af8442693,agnostic_freeform_ast,flow|price|size_capital,CSRank|Mul|Std|ZScore,True,True,True,,0.686416,0.157326,0.157326,2.932785,32417481.550781,1773272662.4,0.034479,0.0,1,1,66.249711,B,0.45594,1.0,0.586557,0.740232,0.623974,0.513584,0.712675,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s47_cluster_012,1,23,
phase3k_b_fresh:s47_cluster_002,s47_cluster_002,kb_fresh_g2,Phase3K-B,"CSRank(Mul(CSRank($amount),Mul(Sign($high),CSRank($high))))","CSRank(Mul(CSRank($amount),Mul(Sign($high),CSRank($high))))",agnostic-freeform-661bf0512b87,agnostic_freeform_ast,flow|price,CSRank|Mul|Sign,True,True,False,signal_collision_ge_0p80,0.815404,0.202809,0.200469,2.234978,59230204.139648,2504710809.6,0.01868,0.0,2,2,65.892194,B,0.512514,1.0,0.446996,0.679588,0.825172,0.3,0.844333,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s47_cluster_002,1,24,
phase3j_locked:cluster_005,cluster_005,phase3j_locked_book,Phase3J,"CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5))))","CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5))))",stockpit-cem_adaptive_grammar-676b542e60d5,r0_cem_led,cap|price,CSRank|Mul|Std|ZScore,True,True,False,existing_locked_phase3j_book,,0.186745,0.186745,2.183766,66173875.644141,2403395172.8,0.032379,0.0,1,1,64.481207,B,0.373548,1.0,0.436753,0.701007,0.862176,0.55,0.730175,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_005,1,25,
phase3k_b_fresh:s48_cluster_003,s48_cluster_003,kb_fresh_g2,Phase3K-B,"Neg(CSRank(CSResidual(CSRank(Std($volume,5)),CSRank(Std($amount,8)))))","Neg(CSRank(CSResidual(CSRank(Std($volume,5)),CSRank(Std($amount,8)))))",stockpit-cem_adaptive_grammar-3b02c95c596e,r0_cem_led,flow,CSRank|CSResidual|Neg|Std,False,False,False,signal_collision_ge_0p80,0.889001,0.293238,0.221495,4.244284,11826138.031836,399454962.4,0.011655,0.0,4,4,64.448216,B,0.916871,0.45,0.848857,0.559016,0.287367,0.3,0.902875,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s48_cluster_003,1,26,
phase3j_locked:cluster_035,cluster_035,phase3j_locked_book,Phase3J,"CSRank(Mean($amount,34))","CSRank(Mean($amount,34))",stockpit-cem_adaptive_grammar-41ecb6ef65e0,r0_cem_led,flow,CSRank|Mean,True,True,False,existing_locked_phase3j_book,,0.057486,0.057486,1.193926,90645992.81875,4441117113.6,0.031503,0.0,1,1,64.027174,B,0.264665,1.0,0.238785,1.0,0.967217,0.55,0.737475,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_035|phase3k_b_fresh:s47_cluster_026|phase3k_b_fresh:s48_cluster_022,3,27,
phase3j_locked:cluster_013,cluster_013,phase3j_locked_book,Phase3J,"CSRank(Mul(ZScore(Std($turnover_rate,8)),Mul(ZScore(Mean($open,2)),CSRank(Std($close,13)))))","CSRank(Mul(ZScore(Std($turnover_rate,8)),Mul(ZScore(Mean($open,2)),CSRank(Std($close,13)))))",agnostic-freeform-d65a41303a90,agnostic_freeform_ast,flow|price,CSRank|Mean|Mul|Std|ZScore,True,True,False,existing_locked_phase3j_book,,0.148873,0.148873,2.706367,6941141.851562,619661531.6,0.02629,0.0,1,1,63.186979,B,0.431034,1.0,0.541273,1.0,0.109499,0.55,0.780917,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_013,1,28,
phase3j_locked:cluster_003,cluster_003,phase3j_locked_book,Phase3J,"Neg(CSRank(CSResidual(CSRank(Std($volume,5)),CSRank(Std($amount,21)))))","Neg(CSRank(CSResidual(CSRank(Std($volume,5)),CSRank(Std($amount,21)))))",stockpit-cem_adaptive_grammar-f09950e9b57c,r0_cem_led,flow,CSRank|CSResidual|Neg|Std,True,True,False,existing_locked_phase3j_book,,0.302583,0.302583,3.497901,8286721.671289,346951725.6,0.010552,0.0,1,1,61.956733,B,0.518102,1.0,0.69958,0.446126,0.168645,0.55,0.912067,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_003,1,29,
phase3j_locked:cluster_027,cluster_027,phase3j_locked_book,Phase3J,"CSRank(CSResidual(ZScore(Mean($vwap,3)),CSRank(Std($high,21))))","CSRank(CSResidual(ZScore(Mean($vwap,3)),CSRank(Std($high,21))))",agnostic-freeform-b7072be998d8,agnostic_freeform_ast,price,CSRank|CSResidual|Mean|Std|ZScore,True,True,False,existing_locked_phase3j_book,,0.08501,0.08501,1.064067,32125730.722461,1019296236.8,0.009658,0.0,1,1,60.546628,B,0.250381,1.0,0.212813,1.0,0.620956,0.55,0.919517,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_027,1,30,
