cluster_id,candidate_uid,in_l2_daily_proxy_book,grade,daily_proxy_pass,proof_status_before_deep_tests,audit_decision,representative_expression,source_lane,source_phase,field_count,operator_count,field_list,operator_list,p90_turnover,cost_adjusted_score,capacity_proxy,new_vs_149_proxy,subperiod_stability_status,regime_stability_status,sign_flip_placebo_status,low_order_ablation_status,minute_execution_capacity_status,missing_tests,required_next_action
cluster_001,phase3j_locked:cluster_001,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21))))),ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21))))))))",formula_gen_v2_repair_expansion,Phase3J,2,5,$amount|$final_float_market_cap,CSRank|Mul|Sign|Std|ZScore,0.100297,3.727779,124777879.491,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s53_cluster_001,phase3k_b_fresh:s53_cluster_001,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mean($low,34))",agnostic_freeform_ast,Phase3K-B,1,2,$low,CSRank|Mean,0.052267,3.835719,32905658.172,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s53_cluster_002,phase3k_b_fresh:s53_cluster_002,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Add(Sign(Mom($final_total_market_cap,34)),CSRank(Mean(Abs(Delta($open,1)),34))))",agnostic_freeform_ast,Phase3K-B,2,7,$final_total_market_cap|$open,Abs|Add|CSRank|Delta|Mean|Mom|Sign,0.143169,3.181867,22877982.36,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_031,phase3j_locked:cluster_031,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),ZScore(Mean(Abs(Delta($close,1)),20))))",formula_gen_v2_repair_expansion,Phase3J,2,8,$close|$final_total_market_cap,Abs|CSRank|CSResidual|Delta|Log|Mean|Mul|ZScore,0.103397,3.074003,23895134.563,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s54_cluster_002,phase3k_b_fresh:s54_cluster_002,False,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Std($low,34)),Mul(Sign($turnover_rate),Sign(Mean($low,34)))))",r0_cem_led,Phase3K-B,2,6,$low|$turnover_rate,CSRank|Mean|Mul|Sign|Std|ZScore,0.060015,3.763897,25044245.443,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_004,phase3j_locked:cluster_004,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))),ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))))))",formula_gen_v2_repair_expansion,Phase3J,2,5,$amount|$close,CSRank|Mul|Sign|Std|ZScore,0.219893,2.788897,48305024.689,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s51_cluster_001,phase3k_b_fresh:s51_cluster_001,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank($amount),CSRank(Mean($close,13))))",agnostic_freeform_ast,Phase3K-B,2,3,$amount|$close,CSRank|Mean|Mul,0.195914,2.207932,61038750.603,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_016,phase3j_locked:cluster_016,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Sub(ZScore($high),ZScore($final_float_market_cap)))",agnostic_freeform_ast,Phase3J,2,3,$final_float_market_cap|$high,CSRank|Sub|ZScore,0.061503,2.629757,20861176.64,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
registry_112,registry149:registry_112,False,B,False,HOLD_DAILY_PROXY_RISK,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean(Abs(Delta($final_float_market_cap,1)),5)),Mul(ZScore(Mean($final_total_market_cap,34)),ZScore($high))))",agnostic_freeform_ast,Phase3E,3,6,$final_float_market_cap|$final_total_market_cap|$high,Abs|CSRank|Delta|Mean|Mul|ZScore,0.069145,6.029984,,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s51_cluster_005,phase3k_b_fresh:s51_cluster_005,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean(Abs($final_float_market_cap),8)),ZScore(Mean(Abs($close),2))))",r0_cem_led,Phase3K-B,2,5,$close|$final_float_market_cap,Abs|CSRank|Mean|Mul|ZScore,0.036741,2.732301,114899314.978,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s52_cluster_002,phase3k_b_fresh:s52_cluster_002,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean(Abs($amount),8)),ZScore(Mean(Abs($close),21))))",r0_cem_led,Phase3K-B,2,5,$amount|$close,Abs|CSRank|Mean|Mul|ZScore,0.1414,2.96599,69546080.957,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s51_cluster_011,phase3k_b_fresh:s51_cluster_011,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank(Mean($final_total_market_cap,8)),CSRank(Delta($low,34))))",agnostic_freeform_ast,Phase3K-B,2,4,$final_total_market_cap|$low,CSRank|Delta|Mean|Mul,0.144215,1.065551,67648509.122,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s54_cluster_005,phase3k_b_fresh:s54_cluster_005,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Sign(Mean(Abs(Delta($amount,1)),2)),Mul(ZScore(Mean($high,3)),ZScore(Delta($final_total_market_cap,34)))))",agnostic_freeform_ast,Phase3K-B,3,7,$amount|$final_total_market_cap|$high,Abs|CSRank|Delta|Mean|Mul|Sign|ZScore,0.139171,1.105188,57611127.09,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s54_cluster_010,phase3k_b_fresh:s54_cluster_010,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank(Mul(ZScore(CSRank(Mean(Abs($ret),8))),ZScore(CSRank($close)))),ZScore(Mean(Abs(Delta($close,1)),20))))",formula_gen_v2_repair_expansion,Phase3K-B,2,6,$close|$ret,Abs|CSRank|Delta|Mean|Mul|ZScore,0.132702,2.435467,21990144.124,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s53_cluster_004,phase3k_b_fresh:s53_cluster_004,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean($close,2)),ZScore(Mean($final_float_market_cap,2))))",r0_cem_led,Phase3K-B,2,4,$close|$final_float_market_cap,CSRank|Mean|Mul|ZScore,0.037819,2.517883,114204507.063,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_005,phase3j_locked:cluster_005,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5))))",r0_cem_led,Phase3J,2,4,$close|$final_float_market_cap,CSRank|Mul|Std|ZScore,0.186745,2.183766,66173875.644,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_035,phase3j_locked:cluster_035,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mean($amount,34))",r0_cem_led,Phase3J,1,2,$amount,CSRank|Mean,0.057486,1.193926,90645992.819,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s51_cluster_006,phase3k_b_fresh:s51_cluster_006,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Std($open,34)),Mul(CSRank(Mean(Abs(Delta($low,1)),3)),ZScore(Std($final_float_market_cap,13)))))",agnostic_freeform_ast,Phase3K-B,3,7,$final_float_market_cap|$low|$open,Abs|CSRank|Delta|Mean|Mul|Std|ZScore,0.120017,0.803214,66178692.158,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s52_cluster_030,phase3k_b_fresh:s52_cluster_030,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"Neg(CSRank(Mul(ZScore(Mean(Abs($final_float_market_cap),21)),ZScore(Mean(Abs($final_float_market_cap),8)))))",r0_cem_led,Phase3K-B,1,6,$final_float_market_cap,Abs|CSRank|Mean|Mul|Neg|ZScore,0.047298,1.714116,18203547.141,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_003,phase3j_locked:cluster_003,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"Neg(CSRank(CSResidual(CSRank(Std($volume,5)),CSRank(Std($amount,21)))))",r0_cem_led,Phase3J,2,4,$amount|$volume,CSRank|CSResidual|Neg|Std,0.302583,3.497901,8286721.671,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
