selection_index,candidate_id,source_lane,source_generator,status,field_count,fields,field_sources,missing_after_join,blocked_fields,expression
21,phase3aa_event_0135_cn_integrated_v1_minute_direct_rank_zrank_00135,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,m1_first15_range,m1_first15_range:minute_panel,,,CSRank(ZScore($m1_first15_range))
22,phase3aa_event_0163_cn_integrated_v1_minute_direct_rank_zrank_00163,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,m1_first5_range,m1_first5_range:minute_panel,,,CSRank(ZScore($m1_first5_range))
23,phase3aa_event_0149_cn_integrated_v1_minute_direct_rank_zrank_00149,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,m1_first30_range,m1_first30_range:minute_panel,,,CSRank(ZScore($m1_first30_range))
24,fgv2-repair-nonlinearize-720a70b84f,legacy_unknown,,join_executable,2,close|final_float_market_cap,close:base_replay|final_float_market_cap:base_replay,,,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($close,5)),ZScore(Std($final_float_market_cap,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($close,5)),ZScore(Std($final_float_market_cap,2))))),ZScore(CSRank(Mul(ZScore(Std($close,5)),ZScore(Std($final_float_market_cap,2))))))))"
25,phase3aa_event_0049_cn_integrated_v1_holder_structure_direct_00049,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_holder_avg_market_cap,ctx_holder_avg_market_cap:nonminute_panel,,,CSRank($ctx_holder_avg_market_cap)
26,agnostic-freeform-0b97263ee18f,legacy_unknown,,join_executable,3,vwap|high|final_float_market_cap,vwap:derivable|high:base_replay|final_float_market_cap:base_replay,,,"CSRank(Mul(CSRank(Std($vwap,13)),Corr($high,$final_float_market_cap,5)))"
27,fgv2-repair-add_confirmation-a2ebaeae10,legacy_unknown,,join_executable,2,close|amount,close:base_replay|amount:base_replay,,,"CSRank(Mul(CSRank(Mean(Abs($close),8)),Sign(Delta($amount,1))))"
28,phase3aa_event_0146_cn_integrated_v1_minute_direct_rank_zrank_00146,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,m1_first30_last_return_vs_open,m1_first30_last_return_vs_open:minute_panel,,,CSRank(ZScore($m1_first30_last_return_vs_open))
29,phase3aa_event_0152_cn_integrated_v1_minute_direct_rank_00152,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,m1_first30_vwap,m1_first30_vwap:minute_panel,,,CSRank($m1_first30_vwap)
30,phase3aa_event_0159_cn_integrated_v1_minute_direct_rank_00159,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,m1_first5_last_return_vs_open,m1_first5_last_return_vs_open:minute_panel,,,CSRank($m1_first5_last_return_vs_open)
31,phase3aa_event_0161_cn_integrated_v1_minute_direct_rank_00161,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,m1_first5_low,m1_first5_low:minute_panel,,,CSRank($m1_first5_low)
32,phase3aa_event_0147_cn_integrated_v1_minute_direct_rank_00147,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,m1_first30_low,m1_first30_low:minute_panel,,,CSRank($m1_first30_low)
33,phase3aa_event_0157_cn_integrated_v1_minute_direct_rank_00157,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,m1_first5_high,m1_first5_high:minute_panel,,,CSRank($m1_first5_high)
34,phase3aa_event_0129_cn_integrated_v1_minute_direct_rank_00129,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,m1_first15_high,m1_first15_high:minute_panel,,,CSRank($m1_first15_high)
35,phase3aa_event_0133_cn_integrated_v1_minute_direct_rank_00133,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,m1_first15_low,m1_first15_low:minute_panel,,,CSRank($m1_first15_low)
36,phase3aa_event_0123_cn_integrated_v1_minute_direct_rank_00123,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,m1_day_high,m1_day_high:minute_panel,,,CSRank($m1_day_high)
37,phase3repair-failure_detail-operator_sanitize-b2b84bc3ef72,legacy_unknown,,join_executable,1,amount,amount:base_replay,,,"CSRank(Sub(Mean($amount,6),Mean($amount,3)))"
38,agnostic-freeform-f58db5f7c1ae,legacy_unknown,,join_executable,2,high|amount,high:base_replay|amount:base_replay,,,"CSRank(CSResidual(ZScore(Mean($high,2)),ZScore(Std($amount,3))))"
39,fgv2-repair-add_state_gate-7a09229418,legacy_unknown,,join_executable,1,close,close:base_replay,,,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))"
40,agnostic-freeform-a89759d3657a,legacy_unknown,,join_executable,2,high|vwap,high:base_replay|vwap:derivable,,,"CSRank(Mul(ZScore(Mean(Abs(Delta($high,1)),13)),Mul(ZScore($vwap),CSRank(Mean($vwap,8)))))"
41,stockpit-cem_adaptive_grammar-8b93b582ec12,legacy_unknown,,join_executable,2,final_float_market_cap|close,final_float_market_cap:base_replay|close:base_replay,,,"CSRank(Mul(ZScore($final_float_market_cap),ZScore($close)))"
42,fgv2-repair-add_confirmation-bdafbf08d5,legacy_unknown,,join_executable,2,close|amount,close:base_replay|amount:base_replay,,,"CSRank(Mul(Neg(Neg(CSRank($close))),Sign(Delta($amount,1))))"
43,phase3repair-failure_detail-duplicate_escape-3b6fda3fc699,legacy_unknown,,join_executable,1,high,high:base_replay,,,"CSRank(Mul(ZScore(Mean($high,3)),ZScore(Delta($high,6))))"
44,phase3repair-failure_detail-operator_sanitize-8fb17dfd7ee6,legacy_unknown,,join_executable,1,close,close:base_replay,,,"CSRank(Sub(Mean($close,8),Mean($close,5)))"
45,phase3repair-failure_detail-operator_sanitize-2b72dd1e1855,legacy_unknown,,join_executable,1,close,close:base_replay,,,"CSRank(Sub(Mean($close,6),Mean($close,3)))"
46,stockpit-cem_adaptive_grammar-098c6066c092,legacy_unknown,,join_executable,2,close|final_float_market_cap,close:base_replay|final_float_market_cap:base_replay,,,"CSRank(Mul(ZScore(Std($close,5)),ZScore(Std($final_float_market_cap,2))))"
47,phase3repair-failure_detail-duplicate_escape-962c2202831a,legacy_unknown,,join_executable,1,close,close:base_replay,,,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Delta($close,11))))"
48,stockpit-cem_adaptive_grammar-6542d470d51e,legacy_unknown,,join_executable,2,close|final_float_market_cap,close:base_replay|final_float_market_cap:base_replay,,,"CSRank(CSResidual(CSRank(Mean($close,5)),CSRank(Mean($final_float_market_cap,8))))"
49,phase3repair-failure_detail-operator_sanitize-92247745ff4a,legacy_unknown,,join_executable,1,close,close:base_replay,,,"CSRank(Mean(Abs(Delta($close,1)),3))"
50,phase3repair-failure_detail-duplicate_escape-342328343b5c,legacy_unknown,,join_executable,1,close,close:base_replay,,,"CSRank(Mean($close,3))"
51,stockpit-cem_adaptive_grammar-fc08bbc3ff5f,legacy_unknown,,join_executable,1,close,close:base_replay,,,"CSRank(Mean(Abs($close),8))"
52,phase3aa_event_0040_cn_integrated_v1_fundamental_risk_inverse_00040,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_fund_bs_debt_to_assets,ctx_fund_bs_debt_to_assets:nonminute_panel,,,CSRank(Neg($ctx_fund_bs_debt_to_assets))
53,phase3aa_event_0186_cn_integrated_v1_rzrq_direct_rank_00186,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rqmcl3d,ctx_rzrq_rqmcl3d:nonminute_panel,,,CSRank($ctx_rzrq_rqmcl3d)
54,phase3aa_event_0184_cn_integrated_v1_rzrq_direct_rank_00184,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rqmcl10d,ctx_rzrq_rqmcl10d:nonminute_panel,,,CSRank($ctx_rzrq_rqmcl10d)
55,phase3aa_event_0198_cn_integrated_v1_rzrq_direct_rank_00198,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rzche5d,ctx_rzrq_rzche5d:nonminute_panel,,,CSRank($ctx_rzrq_rzche5d)
56,phase3aa_event_0194_cn_integrated_v1_rzrq_direct_rank_00194,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rzche10d,ctx_rzrq_rzche10d:nonminute_panel,,,CSRank($ctx_rzrq_rzche10d)
57,phase3aa_event_0192_cn_integrated_v1_rzrq_direct_rank_00192,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rzche,ctx_rzrq_rzche:nonminute_panel,,,CSRank($ctx_rzrq_rzche)
58,phase3aa_event_0036_cn_integrated_v1_fundamental_quality_direct_00036,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_fund_cf_operate_cash_to_netprofit,ctx_fund_cf_operate_cash_to_netprofit:nonminute_panel,,,CSRank($ctx_fund_cf_operate_cash_to_netprofit)
59,phase3aa_event_0034_cn_integrated_v1_fundamental_quality_direct_00034,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_fund_ps_operate_profit_margin,ctx_fund_ps_operate_profit_margin:nonminute_panel,,,CSRank($ctx_fund_ps_operate_profit_margin)
60,phase3aa_event_0032_cn_integrated_v1_fundamental_quality_direct_00032,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_fund_ps_netprofit_margin,ctx_fund_ps_netprofit_margin:nonminute_panel,,,CSRank($ctx_fund_ps_netprofit_margin)
61,phase3aa_event_0030_cn_integrated_v1_fundamental_quality_direct_00030,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_fund_bs_cash_to_assets,ctx_fund_bs_cash_to_assets:nonminute_panel,,,CSRank($ctx_fund_bs_cash_to_assets)
62,phase3aa_event_0038_cn_integrated_v1_fundamental_quality_direct_00038,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_fund_ps_research_to_income,ctx_fund_ps_research_to_income:nonminute_panel,,,CSRank($ctx_fund_ps_research_to_income)
63,phase3aa_event_0195_cn_integrated_v1_rzrq_direct_rank_zrank_00195,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rzche10d,ctx_rzrq_rzche10d:nonminute_panel,,,CSRank(ZScore($ctx_rzrq_rzche10d))
