variant,clusters,cluster_count,gate,weight_mode,lookback,max_weight,shrink_to_equal,active_days,active_day_ratio,days,mean_daily,ann_simple,ann_compound,sharpe,sortino,hit_rate,max_drawdown,total_return
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R6_at_least_2_of_vol_trend_liq,walk_forward,120,0.3,0.5,43,0.551282,78,0.00280517,0.706903,1.025697,3.652391,5.063514,0.333333,-0.05553492,0.237078
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R0_no_gate,walk_forward,60,0.3,0.5,78,1.0,78,0.0021046,0.53036,0.698597,2.075922,3.823143,0.538462,-0.10580152,0.166395
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R3_liquidity_low,walk_forward,60,0.3,0.5,38,0.487179,78,0.0029931,0.754262,1.123648,4.393668,5.556985,0.307692,-0.0346796,0.256832
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R5_vol_or_trendlow_or_liqlow,walk_forward,60,0.3,0.5,52,0.666667,78,0.00291357,0.73422,1.081632,3.688974,6.657711,0.371795,-0.04654956,0.247138
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R6_at_least_2_of_vol_trend_liq,walk_forward,60,0.3,0.5,43,0.551282,78,0.00251813,0.634569,0.884706,3.532185,5.242682,0.320513,-0.05176347,0.21072
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R0_no_gate,walk_forward,90,0.3,0.5,78,1.0,78,0.00220758,0.556311,0.743157,2.156993,3.98853,0.551282,-0.10868211,0.175559
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R3_liquidity_low,walk_forward,90,0.3,0.5,38,0.487179,78,0.0031022,0.781753,1.182658,4.351566,5.168211,0.320513,-0.04234575,0.266992
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R5_vol_or_trendlow_or_liqlow,walk_forward,90,0.3,0.5,52,0.666667,78,0.00303742,0.765431,1.147427,3.700164,6.391828,0.384615,-0.05337325,0.258592
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R6_at_least_2_of_vol_trend_liq,walk_forward,90,0.3,0.5,43,0.551282,78,0.00265603,0.66932,0.951177,3.551405,5.041644,0.333333,-0.05983807,0.223167
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R0_no_gate,walk_forward,120,0.3,0.5,78,1.0,78,0.00236422,0.595782,0.813175,2.371106,4.35297,0.551282,-0.10093224,0.190608
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R3_liquidity_low,walk_forward,120,0.3,0.5,38,0.487179,78,0.00320159,0.806801,1.237842,4.463512,5.29192,0.320513,-0.03701894,0.276751
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R5_vol_or_trendlow_or_liqlow,walk_forward,120,0.3,0.5,52,0.666667,78,0.00314236,0.791874,1.20479,3.89218,6.498523,0.384615,-0.04691783,0.269182
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R6_at_least_2_of_vol_trend_liq,walk_forward,120,0.3,0.5,43,0.551282,78,0.00282536,0.711991,1.035999,3.804191,5.301825,0.333333,-0.04944215,0.239487
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R0_no_gate,walk_forward,60,0.3,0.5,78,1.0,78,0.00182771,0.460583,0.584332,1.919804,3.909584,0.551282,-0.10068266,0.142886
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R3_liquidity_low,walk_forward,60,0.3,0.5,38,0.487179,78,0.00288285,0.726479,1.065627,4.554802,7.091956,0.320513,-0.02401279,0.246878
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R5_vol_or_trendlow_or_liqlow,walk_forward,60,0.3,0.5,52,0.666667,78,0.00268783,0.677333,0.966832,3.62209,7.803654,0.384615,-0.03333024,0.226306
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R6_at_least_2_of_vol_trend_liq,walk_forward,60,0.3,0.5,43,0.551282,78,0.00240834,0.606901,0.833398,3.621589,6.683958,0.333333,-0.03995232,0.201198
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R0_no_gate,walk_forward,90,0.3,0.5,78,1.0,78,0.00193015,0.486397,0.625683,1.993839,3.982829,0.551282,-0.10717996,0.151695
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R3_liquidity_low,walk_forward,90,0.3,0.5,38,0.487179,78,0.00304341,0.76694,1.15066,4.511792,5.997035,0.320513,-0.03007583,0.261876
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R5_vol_or_trendlow_or_liqlow,walk_forward,90,0.3,0.5,52,0.666667,78,0.00285436,0.719298,1.05089,3.668708,6.867647,0.384615,-0.03845823,0.241633
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R6_at_least_2_of_vol_trend_liq,walk_forward,90,0.3,0.5,43,0.551282,78,0.00263329,0.663589,0.940057,3.719962,5.934256,0.333333,-0.04699162,0.221707
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R0_no_gate,walk_forward,120,0.3,0.5,78,1.0,78,0.00207142,0.521999,0.684483,2.239667,4.366715,0.538462,-0.09662627,0.165367
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R3_liquidity_low,walk_forward,120,0.3,0.5,38,0.487179,78,0.00300579,0.757458,1.130426,4.53865,6.412526,0.320513,-0.02952443,0.25839
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R5_vol_or_trendlow_or_liqlow,walk_forward,120,0.3,0.5,52,0.666667,78,0.00290778,0.732761,1.078606,3.904059,7.163294,0.384615,-0.03784307,0.247417
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R6_at_least_2_of_vol_trend_liq,walk_forward,120,0.3,0.5,43,0.551282,78,0.00270539,0.681758,0.975531,3.992462,6.307254,0.333333,-0.0380321,0.229081
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R0_no_gate,walk_forward,60,0.3,0.5,78,1.0,78,0.00213404,0.537779,0.711219,2.147266,4.056306,0.551282,-0.10057655,0.169534
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R3_liquidity_low,walk_forward,60,0.3,0.5,38,0.487179,78,0.00302907,0.763326,1.142927,4.494618,5.78512,0.320513,-0.03038465,0.260476
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R5_vol_or_trendlow_or_liqlow,walk_forward,60,0.3,0.5,52,0.666667,78,0.00291155,0.73371,1.080574,3.732806,6.901404,0.384615,-0.04395177,0.247129
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R6_at_least_2_of_vol_trend_liq,walk_forward,60,0.3,0.5,43,0.551282,78,0.00253296,0.638305,0.891742,3.58392,5.483949,0.333333,-0.04934098,0.212221
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R0_no_gate,walk_forward,90,0.3,0.5,78,1.0,78,0.00222702,0.56121,0.751699,2.197584,4.173249,0.564103,-0.10544901,0.177579
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R3_liquidity_low,walk_forward,90,0.3,0.5,38,0.487179,78,0.00311327,0.784543,1.188737,4.380025,5.292813,0.333333,-0.04048133,0.268122
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R5_vol_or_trendlow_or_liqlow,walk_forward,90,0.3,0.5,52,0.666667,78,0.00303474,0.764754,1.145979,3.713426,6.58345,0.397436,-0.0525867,0.258404
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R6_at_least_2_of_vol_trend_liq,walk_forward,90,0.3,0.5,43,0.551282,78,0.0026583,0.669891,0.952289,3.559693,5.201513,0.346154,-0.0590265,0.223404
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R0_no_gate,walk_forward,120,0.3,0.5,78,1.0,78,0.00238808,0.601797,0.824086,2.432815,4.696238,0.576923,-0.09514591,0.193182
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R3_liquidity_low,walk_forward,120,0.3,0.5,38,0.487179,78,0.0031976,0.805795,1.235599,4.495288,5.603248,0.346154,-0.03465216,0.276462
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R5_vol_or_trendlow_or_liqlow,walk_forward,120,0.3,0.5,52,0.666667,78,0.00312931,0.788586,1.197576,3.911173,6.921268,0.410256,-0.04539747,0.26804
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R6_at_least_2_of_vol_trend_liq,walk_forward,120,0.3,0.5,43,0.551282,78,0.00281764,0.710045,1.032053,3.819234,5.660122,0.358974,-0.04780689,0.238832
