name,cluster_count,retention_vs_j0,median_turnover,p90_turnover,capacity_proxy_median,amount_20d_median,limit_suspension_loss_proxy,max_raw_share,source_lane_top_share,equal_cost_adjusted_score,amount_q,capacity_q,gate_mode,limit_max,susp_max,pass_gate
J4_relaxed_a0.25_c0.1_and_l0.3,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,1.714014,0.25,0.1,and,0.3,0.01,True
J4_relaxed_a0.0_c0.15_or_l0.2,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.0,0.15,or,0.2,0.01,True
J4_relaxed_a0.0_c0.15_or_l0.25,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.0,0.15,or,0.25,0.01,True
J4_relaxed_a0.0_c0.15_or_l0.3,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.0,0.15,or,0.3,0.01,True
J4_relaxed_a0.05_c0.1_or_l0.2,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.05,0.1,or,0.2,0.01,True
J4_relaxed_a0.05_c0.1_or_l0.25,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.05,0.1,or,0.25,0.01,True
J4_relaxed_a0.05_c0.1_or_l0.3,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.05,0.1,or,0.3,0.01,True
J4_relaxed_a0.05_c0.15_or_l0.2,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.05,0.15,or,0.2,0.01,True
J4_relaxed_a0.05_c0.15_or_l0.25,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.05,0.15,or,0.25,0.01,True
J4_relaxed_a0.05_c0.15_or_l0.3,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.05,0.15,or,0.3,0.01,True
J4_relaxed_a0.1_c0.05_or_l0.2,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.1,0.05,or,0.2,0.01,True
J4_relaxed_a0.1_c0.05_or_l0.25,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.1,0.05,or,0.25,0.01,True
J4_relaxed_a0.1_c0.05_or_l0.3,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.1,0.05,or,0.3,0.01,True
J4_relaxed_a0.1_c0.1_or_l0.2,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.1,0.1,or,0.2,0.01,True
J4_relaxed_a0.1_c0.1_or_l0.25,19,0.558824,0.170802,0.257744,26582522.4,1128118777.6,0.024867,0.148148,0.526316,1.748373,0.1,0.1,or,0.25,0.01,True
