variant,status,clusters,cluster_count,gate,window,active_days,active_day_ratio,days,mean_daily,ann_simple,ann_compound,sharpe,sortino,hit_rate,max_drawdown,total_return
X2_official_6_plus_003,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R0_no_gate,recent_2025h2_2026,204,1.0,204,0.00163363,0.411675,0.508837,1.628288,2.628953,0.54902,-0.14530039,0.359533
X2_official_6_plus_003,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R0_no_gate,all_history_2020_2026,1525,1.0,1525,-0.00076394,-0.192513,-0.175177,-0.893809,-1.353887,0.474754,-0.83062966,-0.729155
X2_official_6_plus_003,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R3_liquidity_low,oos_2026,38,0.487179,78,0.00319152,0.804262,1.232187,4.600898,5.871958,0.320513,-0.03557461,0.276165
X2_official_6_plus_003,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R3_liquidity_low,recent_2025h2_2026,80,0.392157,204,0.00159181,0.401137,0.493045,2.645055,3.209177,0.230392,-0.06356721,0.370582
X2_official_6_plus_003,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R3_liquidity_low,all_history_2020_2026,790,0.518033,1525,-0.00012656,-0.031893,-0.031392,-0.227177,-0.263935,0.243934,-0.50989114,-0.223251
X2_official_6_plus_003,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R5_vol_or_trendlow_or_liqlow,oos_2026,52,0.666667,78,0.00313935,0.791117,1.203128,3.933869,7.199791,0.384615,-0.04481682,0.269071
X2_official_6_plus_003,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R5_vol_or_trendlow_or_liqlow,recent_2025h2_2026,125,0.612745,204,0.00198458,0.500114,0.648093,2.547814,3.739341,0.348039,-0.07240106,0.475451
X2_official_6_plus_003,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R5_vol_or_trendlow_or_liqlow,all_history_2020_2026,1282,0.840656,1525,-0.00061284,-0.154436,-0.143142,-0.804968,-1.120744,0.39541,-0.77749525,-0.648845
X2_official_6_plus_003,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R6_at_least_2_of_vol_trend_liq,oos_2026,43,0.551282,78,0.00279565,0.704504,1.020856,3.859625,5.847291,0.333333,-0.04907499,0.23695
X2_official_6_plus_003,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R6_at_least_2_of_vol_trend_liq,recent_2025h2_2026,77,0.377451,204,0.00155475,0.391798,0.479189,2.394626,2.525125,0.220588,-0.07211989,0.358191
X2_official_6_plus_003,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R6_at_least_2_of_vol_trend_liq,all_history_2020_2026,826,0.541639,1525,3.852e-05,0.009706,0.009753,0.065765,0.07764,0.268197,-0.41226486,-0.007124
X3_official_6_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R0_no_gate,oos_2026,78,1.0,78,0.00215281,0.542509,0.719315,2.260691,4.438803,0.512821,-0.09786446,0.172186
X3_official_6_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R0_no_gate,recent_2025h2_2026,204,1.0,204,0.0015051,0.379284,0.460822,1.582093,2.569481,0.534314,-0.13835742,0.327867
X3_official_6_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R0_no_gate,all_history_2020_2026,1525,1.0,1525,-0.00056464,-0.14229,-0.132665,-0.699914,-1.059783,0.476721,-0.7709582,-0.62719
X3_official_6_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R3_liquidity_low,oos_2026,38,0.487179,78,0.00307167,0.77406,1.165981,4.600731,6.134402,0.294872,-0.02990281,0.264765
X3_official_6_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R3_liquidity_low,recent_2025h2_2026,80,0.392157,204,0.0014805,0.373085,0.451807,2.572222,3.146095,0.22549,-0.05844488,0.34091
X3_official_6_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R3_liquidity_low,all_history_2020_2026,790,0.518033,1525,-2.882e-05,-0.007262,-0.007235,-0.053826,-0.063142,0.251803,-0.46842243,-0.094233
X3_official_6_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R5_vol_or_trendlow_or_liqlow,oos_2026,52,0.666667,78,0.00294843,0.743005,1.099947,3.833085,6.976988,0.358974,-0.03851379,0.250918
X3_official_6_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R5_vol_or_trendlow_or_liqlow,recent_2025h2_2026,125,0.612745,204,0.00181746,0.457999,0.580251,2.452254,3.605369,0.338235,-0.07219658,0.428177
X3_official_6_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R5_vol_or_trendlow_or_liqlow,all_history_2020_2026,1282,0.840656,1525,-0.00044235,-0.111473,-0.105507,-0.607698,-0.847104,0.400656,-0.71220494,-0.540107
X3_official_6_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R6_at_least_2_of_vol_trend_liq,oos_2026,43,0.551282,78,0.00269847,0.680016,0.972102,3.870404,6.053715,0.307692,-0.04328902,0.228098
X3_official_6_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R6_at_least_2_of_vol_trend_liq,recent_2025h2_2026,77,0.377451,204,0.00141549,0.356702,0.42825,2.269406,2.456203,0.205882,-0.07272442,0.321301
X3_official_6_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,5,R6_at_least_2_of_vol_trend_liq,all_history_2020_2026,826,0.541639,1525,0.00010939,0.027566,0.027948,0.19459,0.232986,0.269508,-0.37799768,0.111982
X4_official_6_plus_003_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R0_no_gate,oos_2026,78,1.0,78,0.00236814,0.596772,0.814966,2.423617,4.763073,0.551282,-0.0952235,0.191435
X4_official_6_plus_003_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R0_no_gate,recent_2025h2_2026,204,1.0,204,0.00166678,0.420029,0.521473,1.719161,2.797335,0.553922,-0.13466306,0.371097
X4_official_6_plus_003_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R0_no_gate,all_history_2020_2026,1525,1.0,1525,-0.00052444,-0.132158,-0.123828,-0.640994,-0.983233,0.477377,-0.75671783,-0.605
X4_official_6_plus_003_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R3_liquidity_low,oos_2026,38,0.487179,78,0.00319375,0.804825,1.233439,4.654946,6.009817,0.320513,-0.03200173,0.276518
X4_official_6_plus_003_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R3_liquidity_low,recent_2025h2_2026,80,0.392157,204,0.00156805,0.395148,0.484145,2.662354,3.265051,0.235294,-0.0585146,0.364497
X4_official_6_plus_003_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R3_liquidity_low,all_history_2020_2026,790,0.518033,1525,-2.333e-05,-0.00588,-0.005863,-0.042804,-0.05084,0.249836,-0.47285009,-0.088465
X4_official_6_plus_003_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R5_vol_or_trendlow_or_liqlow,oos_2026,52,0.666667,78,0.003118,0.785737,1.191343,3.957584,7.268331,0.384615,-0.04254272,0.267166
X4_official_6_plus_003_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R5_vol_or_trendlow_or_liqlow,recent_2025h2_2026,125,0.612745,204,0.00196176,0.494363,0.63866,2.582137,3.841017,0.352941,-0.07312486,0.469721
X4_official_6_plus_003_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R5_vol_or_trendlow_or_liqlow,all_history_2020_2026,1282,0.840656,1525,-0.00041216,-0.103865,-0.098673,-0.556483,-0.78433,0.400656,-0.70066296,-0.520142
X4_official_6_plus_003_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R6_at_least_2_of_vol_trend_liq,oos_2026,43,0.551282,78,0.00278916,0.702868,1.017561,3.885428,5.969975,0.333333,-0.04665385,0.236439
X4_official_6_plus_003_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R6_at_least_2_of_vol_trend_liq,recent_2025h2_2026,77,0.377451,204,0.00149131,0.375811,0.455764,2.335873,2.491827,0.215686,-0.07267106,0.341233
X4_official_6_plus_003_minus_002,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,6,R6_at_least_2_of_vol_trend_liq,all_history_2020_2026,826,0.541639,1525,0.00011366,0.028642,0.029054,0.198772,0.238474,0.268197,-0.38578348,0.116898
X5_oracle_005_003_004,oracle_diagnostic_only,cluster_005|cluster_003|cluster_004,3,R0_no_gate,oos_2026,78,1.0,78,0.00253851,0.639705,0.894385,2.759306,5.596472,0.551282,-0.07887692,0.208627
X5_oracle_005_003_004,oracle_diagnostic_only,cluster_005|cluster_003|cluster_004,3,R0_no_gate,recent_2025h2_2026,204,1.0,204,0.00183566,0.462587,0.587504,2.03276,3.346796,0.54902,-0.1190031,0.423639
X5_oracle_005_003_004,oracle_diagnostic_only,cluster_005|cluster_003|cluster_004,3,R0_no_gate,all_history_2020_2026,1525,1.0,1525,-0.00034824,-0.087756,-0.084029,-0.450466,-0.689063,0.47541,-0.69135213,-0.475945
X5_oracle_005_003_004,oracle_diagnostic_only,cluster_005|cluster_003|cluster_004,3,R3_liquidity_low,oos_2026,38,0.487179,78,0.0030684,0.773237,1.164205,4.638039,6.486723,0.307692,-0.02564761,0.264549
X5_oracle_005_003_004,oracle_diagnostic_only,cluster_005|cluster_003|cluster_004,3,R3_liquidity_low,recent_2025h2_2026,80,0.392157,204,0.00151721,0.382338,0.465282,2.695339,3.420069,0.220588,-0.05127914,0.351481
X5_oracle_005_003_004,oracle_diagnostic_only,cluster_005|cluster_003|cluster_004,3,R3_liquidity_low,all_history_2020_2026,790,0.518033,1525,5.977e-05,0.015062,0.015176,0.116709,0.14115,0.251148,-0.39793923,0.041685
X5_oracle_005_003_004,oracle_diagnostic_only,cluster_005|cluster_003|cluster_004,3,R5_vol_or_trendlow_or_liqlow,oos_2026,52,0.666667,78,0.00299519,0.754787,1.12476,4.02354,7.693675,0.371795,-0.03519963,0.25594
X5_oracle_005_003_004,oracle_diagnostic_only,cluster_005|cluster_003|cluster_004,3,R5_vol_or_trendlow_or_liqlow,recent_2025h2_2026,125,0.612745,204,0.00192552,0.485231,0.623793,2.673229,3.949496,0.338235,-0.07258404,0.46109
X5_oracle_005_003_004,oracle_diagnostic_only,cluster_005|cluster_003|cluster_004,3,R5_vol_or_trendlow_or_liqlow,all_history_2020_2026,1282,0.840656,1525,-0.00025546,-0.064375,-0.062354,-0.367836,-0.528093,0.398689,-0.62114594,-0.382662
X5_oracle_005_003_004,oracle_diagnostic_only,cluster_005|cluster_003|cluster_004,3,R6_at_least_2_of_vol_trend_liq,oos_2026,43,0.551282,78,0.00274254,0.691119,0.99406,4.007723,6.525981,0.320513,-0.03544008,0.232533
X5_oracle_005_003_004,oracle_diagnostic_only,cluster_005|cluster_003|cluster_004,3,R6_at_least_2_of_vol_trend_liq,recent_2025h2_2026,77,0.377451,204,0.00147031,0.370519,0.448092,2.41158,2.587594,0.210784,-0.06917831,0.336732
X5_oracle_005_003_004,oracle_diagnostic_only,cluster_005|cluster_003|cluster_004,3,R6_at_least_2_of_vol_trend_liq,all_history_2020_2026,826,0.541639,1525,0.00014904,0.037557,0.038268,0.274141,0.334144,0.266885,-0.34520934,0.185976
