field_name,formula_reference_count,materialized,nonnull_rows,nonnull_rate,unique_nonnull
m1_first30_low,4,True,308884,0.87966805,574
m1_first30_range,4,True,308884,0.87966805,1233
m1_first30_vol,4,True,308884,0.87966805,1452
m1_first30_vwap,4,True,308884,0.87966805,1457
m1_first30_vwap_return_vs_open,4,True,308884,0.87966805,1453
m1_first5_amount,4,True,345309,0.98340249,1457
ctx_mkt_updown_dt,4,True,349691,0.99588195,52
ctx_mkt_updown_q_zrcs,4,True,349691,0.99588195,242
ctx_mkt_updown_q_zrtj,4,True,349691,0.99588195,242
ctx_mkt_updown_s_zrcs,4,True,349691,0.99588195,242
ctx_mkt_updown_s_zrtj,4,True,349691,0.99588195,242
ctx_mkt_updown_sjdt,4,True,349691,0.99588195,37
ctx_mkt_updown_sjzt,4,True,349691,0.99588195,75
ctx_mkt_updown_stdt,4,True,349691,0.99588195,27
ctx_mkt_updown_stzt,4,True,349691,0.99588195,34
ctx_mkt_updown_szjs,4,True,349691,0.99588195,238
ctx_mkt_updown_xdjs,4,True,349691,0.99588195,238
ctx_mkt_updown_zt,4,True,349691,0.99588195,82
ctx_sent_down_num,4,True,351137,1.0,238
ctx_sent_up_num,4,True,351137,1.0,236
ctx_zls_evt_fd_close_lag1,4,True,0,0.0,0
ctx_billboard_change_rate,4,True,349691,0.99588195,20
ctx_holder_close_price,4,True,349691,0.99588195,72
ctx_fund_cf_end_cce,4,True,292815,0.83390528,24
ctx_fund_cf_netcash_finance,4,True,292815,0.83390528,24
ctx_fund_cf_netcash_invest,4,True,292815,0.83390528,24
ctx_fund_cf_total_operate_inflow,4,True,292815,0.83390528,24
ctx_fund_cf_total_operate_outflow,4,True,292815,0.83390528,24
ctx_fulla_bs_total_liabilities,3,True,292815,0.83390528,24
ctx_fulla_bs_monetaryfunds,3,True,292815,0.83390528,24
ctx_fulla_bs_goodwill,3,True,204127,0.5813315,10
ctx_fulla_bs_inventory,3,True,234252,0.66712423,19
ctx_fulla_bs_total_current_assets,3,True,234252,0.66712423,19
ctx_fulla_bs_total_current_liab,3,True,234252,0.66712423,19
ctx_fulla_bs_total_equity,3,True,292815,0.83390528,24
ctx_fulla_bs_fixed_asset,3,True,292815,0.83390528,24
ctx_fulla_bs_intangible_asset,3,True,234252,0.66712423,20
ctx_fulla_ps_netprofit,3,True,292815,0.83390528,24
ctx_fulla_ps_parent_netprofit,3,True,292815,0.83390528,24
ctx_fulla_ps_operate_profit,3,True,292815,0.83390528,24
ctx_fulla_ps_total_profit,3,True,292815,0.83390528,24
ctx_fulla_ps_operate_cost,3,True,234252,0.66712423,19
ctx_fulla_ps_sale_expense,3,True,292815,0.83390528,24
ctx_fulla_ps_manage_expense,3,True,292815,0.83390528,24
ctx_fulla_ps_research_expense,3,True,127730,0.36376115,11
ctx_fulla_ps_finance_expense,3,True,234252,0.66712423,19
ctx_sent_lb_2_num,3,True,351137,1.0,19
ctx_sent_lb_3_num,3,True,351137,1.0,12
evt_uplimit_auction_buy,3,False,0,0.0,0
evt_uplimit_auction_offer,3,False,0,0.0,0
evt_uplimit_auction_money,3,False,0,0.0,0
evt_uplimit_auction_turnover,3,False,0,0.0,0
ctx_ths_hot_circulation_value,3,True,117126,0.33356211,5
ctx_ths_hot_last_pct,3,True,117126,0.33356211,5
ctx_zls_evt_auction_money_lag1,3,True,58322,0.16609472,1
ctx_zls_evt_auction_turnover_lag1,3,True,116885,0.33287577,2
ctx_zls_evt_fd_max_lag1,3,True,0,0.0,0
ctx_zls_evt_up_limit_keep_times_lag1,3,True,116885,0.33287577,1
ctx_zls_lb_2_num_lag1,3,True,351137,1.0,19
ctx_zls_max_lb_num_lag1,3,True,351137,1.0,9
ctx_zls_downlimit_num_lag1,3,True,351137,1.0,42
ctx_zls_lb_3_num_lag1,3,True,351137,1.0,12
ctx_zls_lb_h_num_lag1,3,True,351137,1.0,10
ctx_zls_rank_lag1,3,True,117126,0.33356211,4
ctx_fulla_ps_total_operate_income_yoy,2,True,234252,0.66712423,19
ctx_fulla_ps_operate_profit_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_netprofit_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_parent_netprofit_yoy,2,True,292815,0.83390528,24
ctx_fulla_bs_total_assets_yoy,2,True,292815,0.83390528,24
ctx_fulla_bs_total_liabilities_yoy,2,True,292815,0.83390528,24
ctx_fulla_bs_goodwill_yoy,2,True,186052,0.52985587,9
ctx_fulla_bs_inventory_yoy,2,True,234252,0.66712423,19
ctx_sent_tiandi_num,2,True,351137,1.0,2
ctx_sent_ditian_num,2,True,351137,1.0,5
ctx_fulla_bs_accounts_payable,2,True,234252,0.66712423,19
ctx_fulla_bs_accounts_rece,2,True,234252,0.66712423,19
ctx_fulla_bs_advance_receivables,2,True,157614,0.44886754,13
ctx_fulla_bs_asset_balance,2,True,292815,0.83390528,1
ctx_fulla_bs_bond_payable,2,True,175689,0.50034317,14
ctx_fulla_bs_capital_reserve,2,True,292815,0.83390528,15
ctx_fulla_bs_cip,2,True,175689,0.50034317,14
ctx_fulla_bs_contract_asset,2,True,117126,0.33356211,10
ctx_fulla_bs_contract_liab,2,True,234252,0.66712423,19
ctx_fulla_bs_creditor_invest,2,True,58563,0.16678106,5
ctx_fulla_bs_current_asset_balance,2,True,234252,0.66712423,1
ctx_fulla_bs_current_liab_balance,2,True,234252,0.66712423,1
ctx_fulla_bs_defer_income,2,True,58563,0.16678106,5
ctx_fulla_bs_defer_tax_asset,2,True,292815,0.83390528,24
ctx_fulla_bs_defer_tax_liab,2,True,225094,0.64104324,18
ctx_fulla_bs_derive_finasset,2,True,58563,0.16678106,5
ctx_fulla_bs_derive_finliab,2,True,103148,0.29375429,9
ctx_fulla_bs_develop_expense,2,True,30366,0.08647907,3
ctx_fulla_bs_dividend_payable,2,True,175689,0.50034317,9
ctx_fulla_bs_dividend_rece,2,True,80494,0.22923816,7
ctx_fulla_bs_equity_balance,2,True,292815,0.83390528,1
ctx_fulla_bs_finance_rece,2,True,58563,0.16678106,5
ctx_fulla_bs_interest_payable,2,True,76638,0.21825669,6
ctx_fulla_bs_interest_rece,2,True,37596,0.10706932,2
ctx_fulla_bs_invest_realestate,2,True,234252,0.66712423,19
ctx_fulla_bs_lease_liab,2,True,292815,0.83390528,24
ctx_fulla_bs_liab_balance,2,True,292815,0.83390528,1
ctx_fulla_bs_long_equity_invest,2,True,117126,0.33356211,10
ctx_fulla_bs_long_loan,2,True,175689,0.50034317,14
ctx_fulla_bs_long_payable,2,True,58563,0.16678106,5
ctx_fulla_bs_long_prepaid_expense,2,True,234252,0.66712423,19
ctx_fulla_bs_long_rece,2,True,58563,0.16678106,5
ctx_fulla_bs_long_staffsalary_payable,2,True,0,0.0,0
ctx_fulla_bs_minority_equity,2,True,234252,0.66712423,19
ctx_fulla_bs_noncurrent_asset_1year,2,True,0,0.0,0
ctx_fulla_bs_noncurrent_asset_balance,2,True,234252,0.66712423,1
ctx_fulla_bs_noncurrent_liab_1year,2,True,234252,0.66712423,19
ctx_fulla_bs_noncurrent_liab_balance,2,True,234252,0.66712423,1
ctx_fulla_bs_note_accounts_payable,2,True,234252,0.66712423,19
ctx_fulla_bs_note_accounts_rece,2,True,234252,0.66712423,19
ctx_fulla_bs_note_payable,2,True,79289,0.22580645,6
ctx_fulla_bs_note_rece,2,True,117126,0.33356211,10
ctx_fulla_bs_other_compre_income,2,True,234252,0.66712423,17
ctx_fulla_bs_other_current_asset,2,True,234252,0.66712423,19
ctx_fulla_bs_other_current_liab,2,True,234252,0.66712423,19
ctx_fulla_bs_other_equity_invest,2,True,234252,0.66712423,17
ctx_fulla_bs_other_equity_tool,2,True,58563,0.16678106,3
ctx_fulla_bs_other_noncurrent_asset,2,True,135201,0.38503775,11
ctx_fulla_bs_other_noncurrent_finasset,2,True,58563,0.16678106,5
ctx_fulla_bs_other_noncurrent_liab,2,True,117126,0.33356211,9
ctx_fulla_bs_parent_equity_balance,2,True,292815,0.83390528,1
ctx_fulla_bs_predict_liab,2,True,252327,0.71859986,18
ctx_fulla_bs_prepayment,2,True,234252,0.66712423,19
ctx_fulla_bs_productive_biology_asset,2,True,58563,0.16678106,5
ctx_fulla_bs_share_capital,2,True,292815,0.83390528,5
ctx_fulla_bs_short_loan,2,True,175689,0.50034317,15
ctx_fulla_bs_special_reserve,2,True,58563,0.16678106,5
ctx_fulla_bs_staff_salary_payable,2,True,292815,0.83390528,24
ctx_fulla_bs_surplus_reserve,2,True,292815,0.83390528,5
ctx_fulla_bs_tax_payable,2,True,292815,0.83390528,24
ctx_fulla_bs_total_liab_equity,2,True,292815,0.83390528,24
ctx_fulla_bs_total_noncurrent_assets,2,True,234252,0.66712423,19
ctx_fulla_bs_total_noncurrent_liab,2,True,234252,0.66712423,19
ctx_fulla_bs_total_other_payable,2,True,234252,0.66712423,19
ctx_fulla_bs_total_other_rece,2,True,234252,0.66712423,19
ctx_fulla_bs_total_parent_equity,2,True,292815,0.83390528,24
ctx_fulla_bs_trade_finasset_notfvtpl,2,True,234252,0.66712423,15
ctx_fulla_bs_trade_finliab_notfvtpl,2,True,58563,0.16678106,5
ctx_fulla_bs_treasury_shares,2,True,37596,0.10706932,1
ctx_fulla_bs_unassign_rpofit,2,True,292815,0.83390528,24
ctx_fulla_bs_useright_asset,2,True,292815,0.83390528,24
ctx_fulla_bs_accounts_payable_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_accounts_rece_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_advance_receivables_yoy,2,True,117849,0.33562114,10
ctx_fulla_bs_bond_payable_yoy,2,True,175689,0.50034317,14
ctx_fulla_bs_capital_reserve_yoy,2,True,292815,0.83390528,14
ctx_fulla_bs_cip_yoy,2,True,157614,0.44886754,13
ctx_fulla_bs_contract_asset_yoy,2,True,117126,0.33356211,10
ctx_fulla_bs_contract_liab_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_defer_income_yoy,2,True,58563,0.16678106,5
ctx_fulla_bs_defer_tax_asset_yoy,2,True,292815,0.83390528,24
ctx_fulla_bs_defer_tax_liab_yoy,2,True,207019,0.5895676,17
ctx_fulla_bs_develop_expense_yoy,2,True,0,0.0,0
ctx_fulla_bs_dividend_payable_yoy,2,True,125561,0.35758408,6
ctx_fulla_bs_dividend_rece_yoy,2,True,29161,0.08304736,2
ctx_fulla_bs_finance_rece_yoy,2,True,58563,0.16678106,5
ctx_fulla_bs_fixed_asset_yoy,2,True,292815,0.83390528,24
ctx_fulla_bs_intangible_asset_yoy,2,True,234252,0.66712423,20
ctx_fulla_bs_invest_realestate_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_lease_liab_yoy,2,True,292815,0.83390528,24
ctx_fulla_bs_long_equity_invest_yoy,2,True,117126,0.33356211,10
ctx_fulla_bs_long_loan_yoy,2,True,175689,0.50034317,14
ctx_fulla_bs_long_payable_yoy,2,True,58563,0.16678106,5
ctx_fulla_bs_long_prepaid_expense_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_long_rece_yoy,2,True,58563,0.16678106,5
ctx_fulla_bs_long_staffsalary_payable_yoy,2,True,0,0.0,0
ctx_fulla_bs_minority_equity_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_monetaryfunds_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_noncurrent_asset_1year_yoy,2,True,0,0.0,0
ctx_fulla_bs_noncurrent_liab_1year_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_note_accounts_payable_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_note_accounts_rece_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_note_payable_yoy,2,True,58563,0.16678106,5
ctx_fulla_bs_note_rece_yoy,2,True,117126,0.33356211,10
ctx_fulla_bs_other_compre_income_yoy,2,True,234252,0.66712423,17
ctx_fulla_bs_other_current_asset_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_other_current_liab_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_other_equity_invest_yoy,2,True,234252,0.66712423,17
ctx_fulla_bs_other_equity_tool_yoy,2,True,58563,0.16678106,3
ctx_fulla_bs_other_noncurrent_asset_yoy,2,True,135201,0.38503775,11
ctx_fulla_bs_other_noncurrent_finasset_yoy,2,True,58563,0.16678106,5
ctx_fulla_bs_other_noncurrent_liab_yoy,2,True,117126,0.33356211,10
ctx_fulla_bs_predict_liab_yoy,2,True,234252,0.66712423,17
ctx_fulla_bs_prepayment_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_share_capital_yoy,2,True,292815,0.83390528,1
ctx_fulla_bs_short_loan_yoy,2,True,175689,0.50034317,15
ctx_fulla_bs_special_reserve_yoy,2,True,58563,0.16678106,5
ctx_fulla_bs_staff_salary_payable_yoy,2,True,292815,0.83390528,24
ctx_fulla_bs_surplus_reserve_yoy,2,True,292815,0.83390528,2
ctx_fulla_bs_tax_payable_yoy,2,True,292815,0.83390528,24
ctx_fulla_bs_total_current_assets_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_total_current_liab_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_total_equity_yoy,2,True,292815,0.83390528,24
ctx_fulla_bs_total_liab_equity_yoy,2,True,292815,0.83390528,24
ctx_fulla_bs_total_noncurrent_assets_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_total_noncurrent_liab_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_total_other_payable_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_total_other_rece_yoy,2,True,234252,0.66712423,19
ctx_fulla_bs_total_parent_equity_yoy,2,True,292815,0.83390528,24
ctx_fulla_bs_trade_finasset_notfvtpl_yoy,2,True,195451,0.5566232,14
ctx_fulla_bs_treasury_shares_yoy,2,True,37596,0.10706932,1
ctx_fulla_bs_unassign_rpofit_yoy,2,True,292815,0.83390528,24
ctx_fulla_bs_useright_asset_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_operate_income,2,True,292815,0.83390528,24
ctx_fulla_ps_operate_income_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_total_operate_cost,2,True,292815,0.83390528,24
ctx_fulla_ps_total_operate_cost_yoy,2,True,234252,0.66712423,19
ctx_fulla_ps_operate_cost_yoy,2,True,234252,0.66712423,19
ctx_fulla_ps_research_expense_yoy,2,True,117126,0.33356211,10
ctx_fulla_ps_operate_tax_add,2,True,292815,0.83390528,24
ctx_fulla_ps_operate_tax_add_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_sale_expense_yoy,2,True,234252,0.66712423,19
ctx_fulla_ps_manage_expense_yoy,2,True,234252,0.66712423,19
ctx_fulla_ps_finance_expense_yoy,2,True,234252,0.66712423,19
ctx_fulla_ps_fe_interest_expense,2,True,234252,0.66712423,19
ctx_fulla_ps_fe_interest_expense_yoy,2,True,234252,0.66712423,19
ctx_fulla_ps_fe_interest_income,2,True,234252,0.66712423,19
ctx_fulla_ps_fe_interest_income_yoy,2,True,234252,0.66712423,19
ctx_fulla_ps_fairvalue_change_income,2,True,175689,0.50034317,14
ctx_fulla_ps_fairvalue_change_income_yoy,2,True,175689,0.50034317,14
ctx_fulla_ps_invest_income,2,True,292815,0.83390528,24
ctx_fulla_ps_invest_income_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_invest_joint_income,2,True,155927,0.44406314,12
ctx_fulla_ps_invest_joint_income_yoy,2,True,155927,0.44406314,12
ctx_fulla_ps_asset_disposal_income,2,True,273053,0.77762526,22
ctx_fulla_ps_asset_disposal_income_yoy,2,True,253050,0.72065889,21
ctx_fulla_ps_asset_impairment_income,2,True,156891,0.44680851,13
ctx_fulla_ps_asset_impairment_income_yoy,2,True,124838,0.35552505,11
ctx_fulla_ps_credit_impairment_income,2,True,292815,0.83390528,24
ctx_fulla_ps_credit_impairment_income_yoy,2,True,234252,0.66712423,19
ctx_fulla_ps_other_income,2,True,216177,0.61564859,18
ctx_fulla_ps_other_income_yoy,2,True,196415,0.55936857,16
ctx_fulla_ps_operate_profit_balance,2,True,234252,0.66712423,1
ctx_fulla_ps_nonbusiness_income,2,True,292815,0.83390528,24
ctx_fulla_ps_nonbusiness_income_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_nonbusiness_expense,2,True,292815,0.83390528,24
ctx_fulla_ps_nonbusiness_expense_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_total_profit_balance,2,True,292815,0.83390528,1
ctx_fulla_ps_total_profit_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_income_tax,2,True,292815,0.83390528,24
ctx_fulla_ps_income_tax_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_continued_netprofit,2,True,292815,0.83390528,24
ctx_fulla_ps_continued_netprofit_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_minority_interest,2,True,234252,0.66712423,19
ctx_fulla_ps_minority_interest_yoy,2,True,234252,0.66712423,19
ctx_fulla_ps_deduct_parent_netprofit,2,True,292815,0.83390528,24
ctx_fulla_ps_deduct_parent_netprofit_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_basic_eps,2,True,292815,0.83390528,24
ctx_fulla_ps_basic_eps_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_diluted_eps,2,True,292815,0.83390528,24
ctx_fulla_ps_diluted_eps_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_other_compre_income,2,True,176412,0.5024022,16
ctx_fulla_ps_other_compre_income_yoy,2,True,176412,0.5024022,16
ctx_fulla_ps_parent_oci,2,True,176412,0.5024022,16
ctx_fulla_ps_parent_oci_yoy,2,True,176412,0.5024022,16
ctx_fulla_ps_minority_oci,2,True,58563,0.16678106,5
ctx_fulla_ps_minority_oci_yoy,2,True,58563,0.16678106,5
ctx_fulla_ps_unable_oci,2,True,139780,0.39807824,13
ctx_fulla_ps_unable_oci_yoy,2,True,119536,0.34042553,12
ctx_fulla_ps_otherright_fairvalue_change,2,True,139057,0.39601922,12
ctx_fulla_ps_otherright_fairvalue_change_yoy,2,True,118813,0.33836651,11
ctx_fulla_ps_able_oci,2,True,175689,0.50034317,15
ctx_fulla_ps_able_oci_yoy,2,True,175689,0.50034317,15
ctx_fulla_ps_rightlaw_able_oci,2,True,58563,0.16678106,4
ctx_fulla_ps_rightlaw_able_oci_yoy,2,True,39765,0.1132464,3
ctx_fulla_ps_cashflow_hedge_valid,2,True,18798,0.05353466,2
ctx_fulla_ps_convert_diff,2,True,164603,0.46877145,13
ctx_fulla_ps_convert_diff_yoy,2,True,153035,0.43582704,13
ctx_fulla_ps_total_compre_income,2,True,292815,0.83390528,24
ctx_fulla_ps_total_compre_income_yoy,2,True,292815,0.83390528,24
ctx_fulla_ps_parent_tci,2,True,234252,0.66712423,19
ctx_fulla_ps_parent_tci_yoy,2,True,234252,0.66712423,19
ctx_fulla_ps_minority_tci,2,True,234252,0.66712423,19
ctx_fulla_ps_minority_tci_yoy,2,True,234252,0.66712423,19
ctx_fulla_ps_acf_end_income,2,True,37837,0.10775566,4
ctx_sent_gt5_num,2,True,351137,1.0,157
ctx_sent_second_lb_num,2,True,351137,1.0,7
ctx_sent_mian_num,2,True,351137,1.0,14
ctx_sent_fb_num,2,True,351137,1.0,7
ctx_sent_bigleg_num,2,True,351137,1.0,14
ctx_sent_uplimit_n_num,2,True,351137,1.0,69
ctx_sent_lt5_num,2,True,351137,1.0,143
ctx_sent_lb_h_num,2,True,351137,1.0,10
ctx_ths_hot_last_price,2,True,117126,0.33356211,5
ctx_zls_lbgd_lag1,2,True,4338,0.01235415,3
ctx_zls_strong_lag1,2,True,4338,0.01235415,3
ctx_zls_ztjs_lag1,2,True,4338,0.01235415,3
ctx_zls_circulation_value_lag1,2,True,117126,0.33356211,5
evt_limit_fengdan_money_last_by_1430,2,True,558,0.00158912,18
ctx_zls_evt_auction_offer_lag1,1,True,0,0.0,0
ctx_zls_down_num_lag1,1,True,351137,1.0,238
ctx_zls_up_num_lag1,1,True,351137,1.0,236
ctx_zls_rank_diff_lag1,1,True,117126,0.33356211,5
ctx_zls_last_pct_lag1,1,True,117126,0.33356211,5
