panel_field,source_group,dataset,route,field_family,nonnull_count,nonnull_rate,unique_nonnull_count
ctx_fulla_bs_minority_equity,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,656461,0.76410062,12902
ctx_fulla_bs_monetaryfunds,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,808912,0.94154894,16032
ctx_fulla_bs_noncurrent_asset_1year,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,228139,0.26554685,3910
ctx_fulla_bs_noncurrent_asset_balance,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808599,0.94118462,8
ctx_fulla_bs_noncurrent_asset_other,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,1416,0.00164818,29
ctx_fulla_bs_noncurrent_liab_1year,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,756458,0.88049408,14737
ctx_fulla_bs_noncurrent_liab_balance,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,807176,0.93952829,6
ctx_fulla_bs_noncurrent_liab_other,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,2524,0.00293786,46
ctx_fulla_bs_note_accounts_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,808474,0.94103912,16024
ctx_fulla_bs_note_accounts_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,807132,0.93947708,16001
ctx_fulla_bs_note_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,560718,0.65265868,10472
ctx_fulla_bs_note_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,598682,0.69684762,11522
ctx_fulla_bs_oil_gas_asset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,21984,0.02558871,53
ctx_fulla_bs_other_compre_income,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,601188,0.69976453,10692
ctx_fulla_bs_other_creditor_invest,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,38345,0.04463241,378
ctx_fulla_bs_other_current_asset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,802696,0.93431371,15885
ctx_fulla_bs_other_current_liab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,773511,0.90034325,15222
ctx_fulla_bs_other_equity_invest,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,404244,0.47052771,4696
ctx_fulla_bs_other_equity_other,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
ctx_fulla_bs_other_equity_tool,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,104598,0.12174889,1453
ctx_fulla_bs_other_noncurrent_asset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,727286,0.84653876,13913
ctx_fulla_bs_other_noncurrent_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,324447,0.37764643,4096
ctx_fulla_bs_other_noncurrent_liab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,139283,0.16212117,1943
ctx_fulla_bs_other_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,271,0.00031544,7
ctx_fulla_bs_other_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,217,0.00025258,5
ctx_fulla_bs_parent_equity_balance,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,808912,0.94154894,9
ctx_fulla_bs_parent_equity_other,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,38,4.423e-05,1
ctx_fulla_bs_perpetual_bond,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,30255,0.0352159,178
ctx_fulla_bs_perpetual_bond_paybale,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,17721,0.0206267,3
ctx_fulla_bs_predict_current_liab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,708,0.00082409,19
ctx_fulla_bs_predict_liab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,338174,0.39362424,5685
ctx_fulla_bs_preferred_shares,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,capacity_size,17456,0.02031825,6
ctx_fulla_bs_preferred_shares_paybale,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,capacity_size,18234,0.02122382,9
ctx_fulla_bs_premium_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,16720,0.01946157,11
ctx_fulla_bs_prepayment,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,807423,0.93981579,16002
ctx_fulla_bs_productive_biology_asset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,43742,0.05091436,476
ctx_fulla_bs_project_material,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,16,1.862e-05,1
ctx_fulla_bs_rc_reserve_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,16393,0.01908095,4
ctx_fulla_bs_reinsure_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,16358,0.01904021,4
ctx_fulla_bs_reinsure_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,16393,0.01908095,4
ctx_fulla_bs_sell_repo_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,18365,0.0213763,57
ctx_fulla_bs_settle_excess_reserve,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,18748,0.0218221,49
ctx_fulla_bs_share_capital,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,capacity_size,808903,0.94153847,7162
ctx_fulla_bs_short_bond_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
ctx_fulla_bs_short_fin_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,815,0.00094864,21
ctx_fulla_bs_short_loan,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,645873,0.75177651,11699
ctx_fulla_bs_special_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,90,0.00010476,2
ctx_fulla_bs_special_reserve,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,280178,0.32611866,5160
ctx_fulla_bs_staff_salary_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,807477,0.93987864,15991
ctx_fulla_bs_subsidy_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
ctx_fulla_bs_surplus_reserve,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,796995,0.92767792,5621
ctx_fulla_bs_tax_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,808894,0.94152799,16031
ctx_fulla_bs_total_assets,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808912,0.94154894,16032
ctx_fulla_bs_total_current_assets,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808599,0.94118462,16026
ctx_fulla_bs_total_current_liab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808599,0.94118462,16026
ctx_fulla_bs_total_equity,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,808912,0.94154894,16032
ctx_fulla_bs_total_liab_equity,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808912,0.94154894,16032
ctx_fulla_bs_total_liabilities,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808912,0.94154894,16032
ctx_fulla_bs_total_noncurrent_assets,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808599,0.94118462,16026
ctx_fulla_bs_total_noncurrent_liab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,807176,0.93952829,15964
ctx_fulla_bs_total_other_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,808423,0.94097976,16006
ctx_fulla_bs_total_other_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,808200,0.94072019,16012
ctx_fulla_bs_total_parent_equity,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,808912,0.94154894,16032
ctx_fulla_bs_trade_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_trade_finasset_notfvtpl,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,534470,0.62210681,9385
ctx_fulla_bs_trade_finliab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_trade_finliab_notfvtpl,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,81595,0.0949741,1120
ctx_fulla_bs_treasury_shares,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,capacity_size,375097,0.43660149,4306
ctx_fulla_bs_unassign_rpofit,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,808903,0.94153847,16031
ctx_fulla_bs_unconfirm_invest_loss,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
ctx_fulla_bs_useright_asset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,736419,0.8571693,14514
ctx_fulla_bs_accept_deposit_interbank_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,4679,0.00544621,106
ctx_fulla_bs_accounts_payable_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,799219,0.93026658,15856
ctx_fulla_bs_accounts_rece_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,797000,0.92768374,15813
ctx_fulla_bs_accrued_expense_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_advance_receivables_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,231452,0.26940308,4423
ctx_fulla_bs_agent_trade_security_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,1773,0.00206372,35
ctx_fulla_bs_agent_underwrite_security_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,39,4.539e-05,1
ctx_fulla_bs_amortize_cost_finasset_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_amortize_cost_finliab_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_amortize_cost_ncfinasset_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_amortize_cost_ncfinliab_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_appoint_fvtpl_finasset_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_appoint_fvtpl_finliab_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_asset_balance_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,2694,0.00313573,3
ctx_fulla_bs_asset_other_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,161,0.0001874,3
ctx_fulla_bs_assign_cash_dividend_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_available_sale_finasset_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_bond_payable_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,96444,0.11225788,1900
ctx_fulla_bs_borrow_fund_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,2304,0.00268179,49
ctx_fulla_bs_buy_resale_finasset_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,3625,0.00421939,75
ctx_fulla_bs_capital_reserve_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,capacity_size,796584,0.92719952,11181
ctx_fulla_bs_cip_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,678098,0.78928543,13343
ctx_fulla_bs_consumptive_biological_asset_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_contract_asset_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,289871,0.33740102,5597
ctx_fulla_bs_contract_liab_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,790816,0.92048575,15680
ctx_fulla_bs_convert_diff_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
ctx_fulla_bs_creditor_invest_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,41466,0.04826516,791
ctx_fulla_bs_current_asset_balance_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,2008,0.00233725,7
ctx_fulla_bs_current_asset_other_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,3558,0.0041414,80
ctx_fulla_bs_current_liab_balance_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,1776,0.00206721,5
ctx_fulla_bs_current_liab_other_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,899,0.00104641,23
ctx_fulla_bs_defer_income_1year_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_defer_income_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,680376,0.79193695,13222
ctx_fulla_bs_defer_tax_asset_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,776363,0.9036629,15228
ctx_fulla_bs_defer_tax_liab_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,632660,0.73639698,12192
ctx_fulla_bs_derive_finasset_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,28409,0.03306721,560
ctx_fulla_bs_derive_finliab_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,26030,0.03029813,550
ctx_fulla_bs_develop_expense_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,137529,0.16007957,2669
ctx_fulla_bs_div_holdsale_asset_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_div_holdsale_liab_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_dividend_payable_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,holder_corporate_action,179529,0.20896629,2347
ctx_fulla_bs_dividend_rece_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,holder_corporate_action,49417,0.05751988,738
ctx_fulla_bs_equity_balance_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,1294,0.00150618,3
ctx_fulla_bs_equity_other_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
ctx_fulla_bs_export_refund_rece_yoy,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
