true_candidate_id,true_expression,coverage_candidate_id,coverage_expression,shuffled_candidate_id,shuffled_expression,input_fields
phase3aa_event_0192_phase3ae_brepair_v1_00290,"CSRank(Delta($ctx_billboard_billboard_deal_amt,10))",phase3ae_placebo_coverage_mask_00041_phase3aa_event_0192_phase3ae_brepair_v1_00290,"CSRank(Delta($plcov_ctx_billboard_billboard_deal_amt_8a6fc0e2,10))",phase3ae_placebo_shuffled_value_00042_phase3aa_event_0192_phase3ae_brepair_v1_00290,"CSRank(Delta($plshuf_ctx_billboard_billboard_deal_amt_8a6fc0e2,10))",ctx_billboard_billboard_deal_amt
phase3aa_event_0138_phase3ae_brepair_v1_00216,"CSRank(Delta($ctx_billboard_turnoverrate,5))",phase3ae_placebo_coverage_mask_00043_phase3aa_event_0138_phase3ae_brepair_v1_00216,"CSRank(Delta($plcov_ctx_billboard_turnoverrate_4e2fe941,5))",phase3ae_placebo_shuffled_value_00044_phase3aa_event_0138_phase3ae_brepair_v1_00216,"CSRank(Delta($plshuf_ctx_billboard_turnoverrate_4e2fe941,5))",ctx_billboard_turnoverrate
phase3aa_event_0167_phase3ae_brepair_v1_00245,"CSRank(Mean($ctx_rzrq_zdf,3))",phase3ae_placebo_coverage_mask_00045_phase3aa_event_0167_phase3ae_brepair_v1_00245,"CSRank(Mean($plcov_ctx_rzrq_zdf_780fd255,3))",phase3ae_placebo_shuffled_value_00046_phase3aa_event_0167_phase3ae_brepair_v1_00245,"CSRank(Mean($plshuf_ctx_rzrq_zdf_780fd255,3))",ctx_rzrq_zdf
phase3aa_event_0113_phase3ae_brepair_v1_00191,"CSRank(Log(Add(Abs($ctx_billboard_billboard_net_amt),1)))",phase3ae_placebo_coverage_mask_00047_phase3aa_event_0113_phase3ae_brepair_v1_00191,"CSRank(Log(Add(Abs($plcov_ctx_billboard_billboard_net_amt_0ef5aab1),1)))",phase3ae_placebo_shuffled_value_00048_phase3aa_event_0113_phase3ae_brepair_v1_00191,"CSRank(Log(Add(Abs($plshuf_ctx_billboard_billboard_net_amt_0ef5aab1),1)))",ctx_billboard_billboard_net_amt
phase3aa_event_0134_phase3ae_brepair_v1_00212,CSRank(ZScore($ctx_billboard_turnoverrate)),phase3ae_placebo_coverage_mask_00049_phase3aa_event_0134_phase3ae_brepair_v1_00212,CSRank(ZScore($plcov_ctx_billboard_turnoverrate_4e2fe941)),phase3ae_placebo_shuffled_value_00050_phase3aa_event_0134_phase3ae_brepair_v1_00212,CSRank(ZScore($plshuf_ctx_billboard_turnoverrate_4e2fe941)),ctx_billboard_turnoverrate
phase3aa_event_0172_phase3ae_brepair_v1_00250,"CSRank(Delta($ctx_rzrq_zdf,10))",phase3ae_placebo_coverage_mask_00051_phase3aa_event_0172_phase3ae_brepair_v1_00250,"CSRank(Delta($plcov_ctx_rzrq_zdf_780fd255,10))",phase3ae_placebo_shuffled_value_00052_phase3aa_event_0172_phase3ae_brepair_v1_00250,"CSRank(Delta($plshuf_ctx_rzrq_zdf_780fd255,10))",ctx_rzrq_zdf
phase3aa_event_0170_phase3ae_brepair_v1_00248,"CSRank(Delta($ctx_rzrq_zdf,5))",phase3ae_placebo_coverage_mask_00053_phase3aa_event_0170_phase3ae_brepair_v1_00248,"CSRank(Delta($plcov_ctx_rzrq_zdf_780fd255,5))",phase3ae_placebo_shuffled_value_00054_phase3aa_event_0170_phase3ae_brepair_v1_00248,"CSRank(Delta($plshuf_ctx_rzrq_zdf_780fd255,5))",ctx_rzrq_zdf
phase3aa_event_0120_phase3ae_brepair_v1_00198,"CSRank(Delta($ctx_billboard_billboard_net_amt,10))",phase3ae_placebo_coverage_mask_00055_phase3aa_event_0120_phase3ae_brepair_v1_00198,"CSRank(Delta($plcov_ctx_billboard_billboard_net_amt_0ef5aab1,10))",phase3ae_placebo_shuffled_value_00056_phase3aa_event_0120_phase3ae_brepair_v1_00198,"CSRank(Delta($plshuf_ctx_billboard_billboard_net_amt_0ef5aab1,10))",ctx_billboard_billboard_net_amt
phase3aa_event_0163_phase3ae_brepair_v1_00241,CSRank($ctx_rzrq_zdf),phase3ae_placebo_coverage_mask_00057_phase3aa_event_0163_phase3ae_brepair_v1_00241,CSRank($plcov_ctx_rzrq_zdf_780fd255),phase3ae_placebo_shuffled_value_00058_phase3aa_event_0163_phase3ae_brepair_v1_00241,CSRank($plshuf_ctx_rzrq_zdf_780fd255),ctx_rzrq_zdf
phase3aa_event_0160_phase3ae_brepair_v1_00238,"CSRank(Delta($ctx_rzrq_spj,5))",phase3ae_placebo_coverage_mask_00059_phase3aa_event_0160_phase3ae_brepair_v1_00238,"CSRank(Delta($plcov_ctx_rzrq_spj_bdcd6f28,5))",phase3ae_placebo_shuffled_value_00060_phase3aa_event_0160_phase3ae_brepair_v1_00238,"CSRank(Delta($plshuf_ctx_rzrq_spj_bdcd6f28,5))",ctx_rzrq_spj
phase3aa_event_0136_phase3ae_brepair_v1_00214,"CSRank(Delta($ctx_billboard_turnoverrate,3))",phase3ae_placebo_coverage_mask_00061_phase3aa_event_0136_phase3ae_brepair_v1_00214,"CSRank(Delta($plcov_ctx_billboard_turnoverrate_4e2fe941,3))",phase3ae_placebo_shuffled_value_00062_phase3aa_event_0136_phase3ae_brepair_v1_00214,"CSRank(Delta($plshuf_ctx_billboard_turnoverrate_4e2fe941,3))",ctx_billboard_turnoverrate
