deployable_jaccard,deployable_left,deployable_overlap,deployable_right,deployable_union,left_seed,non_gap_cluster_overlap,non_gap_cluster_union,right_seed
0.4,10,6,11,15,Phase3H_H0_G0_stable::s36_h0,8,22,Phase3H_H0_G0_stable::s35_h0
1.0,10,10,10,10,Phase3H_H0_G0_stable::s36_h0,13,13,Phase3H_H0_G0_stable::s36_h0
0.157895,10,3,12,19,Phase3H_H0_G0_stable::s36_h0,3,25,Phase3H_H1_G2_signal_vector_control::s33_h1
0.222222,10,4,12,18,Phase3H_H0_G0_stable::s36_h0,5,26,Phase3H_H1_G2_signal_vector_control::s34_h1
0.1875,10,3,9,16,Phase3H_H0_G0_stable::s36_h0,4,24,Phase3H_H1_G2_signal_vector_control::s35_h1
0.466667,10,7,12,15,Phase3H_H0_G0_stable::s36_h0,9,22,Phase3H_H1_G2_signal_vector_control::s36_h1
0.157895,10,3,12,19,Phase3H_H0_G0_stable::s36_h0,3,24,Phase3H_H2_G2_turnover_calibrated::s33_h2
0.235294,10,4,11,17,Phase3H_H0_G0_stable::s36_h0,5,24,Phase3H_H2_G2_turnover_calibrated::s34_h2
0.1875,10,3,9,16,Phase3H_H0_G0_stable::s36_h0,4,24,Phase3H_H2_G2_turnover_calibrated::s35_h2
0.466667,10,7,12,15,Phase3H_H0_G0_stable::s36_h0,9,21,Phase3H_H2_G2_turnover_calibrated::s36_h2
0.5,12,9,15,18,Phase3H_H1_G2_signal_vector_control::s33_h1,11,22,Phase3H_H0_G0_stable::s33_h0
0.166667,12,3,9,18,Phase3H_H1_G2_signal_vector_control::s33_h1,4,24,Phase3H_H0_G0_stable::s34_h0
0.15,12,3,11,20,Phase3H_H1_G2_signal_vector_control::s33_h1,3,29,Phase3H_H0_G0_stable::s35_h0
0.157895,12,3,10,19,Phase3H_H1_G2_signal_vector_control::s33_h1,3,25,Phase3H_H0_G0_stable::s36_h0
1.0,12,12,12,12,Phase3H_H1_G2_signal_vector_control::s33_h1,15,15,Phase3H_H1_G2_signal_vector_control::s33_h1
0.263158,12,5,12,19,Phase3H_H1_G2_signal_vector_control::s33_h1,6,27,Phase3H_H1_G2_signal_vector_control::s34_h1
0.105263,12,2,9,19,Phase3H_H1_G2_signal_vector_control::s33_h1,3,27,Phase3H_H1_G2_signal_vector_control::s35_h1
0.142857,12,3,12,21,Phase3H_H1_G2_signal_vector_control::s33_h1,4,29,Phase3H_H1_G2_signal_vector_control::s36_h1
0.846154,12,11,12,13,Phase3H_H1_G2_signal_vector_control::s33_h1,13,16,Phase3H_H2_G2_turnover_calibrated::s33_h2
0.210526,12,4,11,19,Phase3H_H1_G2_signal_vector_control::s33_h1,5,26,Phase3H_H2_G2_turnover_calibrated::s34_h2
0.105263,12,2,9,19,Phase3H_H1_G2_signal_vector_control::s33_h1,3,27,Phase3H_H2_G2_turnover_calibrated::s35_h2
0.142857,12,3,12,21,Phase3H_H1_G2_signal_vector_control::s33_h1,3,29,Phase3H_H2_G2_turnover_calibrated::s36_h2
0.227273,12,5,15,22,Phase3H_H1_G2_signal_vector_control::s34_h1,7,29,Phase3H_H0_G0_stable::s33_h0
0.75,12,9,9,12,Phase3H_H1_G2_signal_vector_control::s34_h1,12,19,Phase3H_H0_G0_stable::s34_h0
0.15,12,3,11,20,Phase3H_H1_G2_signal_vector_control::s34_h1,4,31,Phase3H_H0_G0_stable::s35_h0
0.222222,12,4,10,18,Phase3H_H1_G2_signal_vector_control::s34_h1,5,26,Phase3H_H0_G0_stable::s36_h0
0.263158,12,5,12,19,Phase3H_H1_G2_signal_vector_control::s34_h1,6,27,Phase3H_H1_G2_signal_vector_control::s33_h1
1.0,12,12,12,12,Phase3H_H1_G2_signal_vector_control::s34_h1,18,18,Phase3H_H1_G2_signal_vector_control::s34_h1
0.105263,12,2,9,19,Phase3H_H1_G2_signal_vector_control::s34_h1,3,30,Phase3H_H1_G2_signal_vector_control::s35_h1
0.142857,12,3,12,21,Phase3H_H1_G2_signal_vector_control::s34_h1,4,32,Phase3H_H1_G2_signal_vector_control::s36_h1
0.263158,12,5,12,19,Phase3H_H1_G2_signal_vector_control::s34_h1,5,27,Phase3H_H2_G2_turnover_calibrated::s33_h2
0.916667,12,11,11,12,Phase3H_H1_G2_signal_vector_control::s34_h1,16,18,Phase3H_H2_G2_turnover_calibrated::s34_h2
0.105263,12,2,9,19,Phase3H_H1_G2_signal_vector_control::s34_h1,3,30,Phase3H_H2_G2_turnover_calibrated::s35_h2
0.142857,12,3,12,21,Phase3H_H1_G2_signal_vector_control::s34_h1,3,32,Phase3H_H2_G2_turnover_calibrated::s36_h2
0.090909,9,2,15,22,Phase3H_H1_G2_signal_vector_control::s35_h1,4,29,Phase3H_H0_G0_stable::s33_h0
0.058824,9,1,9,17,Phase3H_H1_G2_signal_vector_control::s35_h1,2,26,Phase3H_H0_G0_stable::s34_h0
0.428571,9,6,11,14,Phase3H_H1_G2_signal_vector_control::s35_h1,10,22,Phase3H_H0_G0_stable::s35_h0
0.1875,9,3,10,16,Phase3H_H1_G2_signal_vector_control::s35_h1,4,24,Phase3H_H0_G0_stable::s36_h0
0.105263,9,2,12,19,Phase3H_H1_G2_signal_vector_control::s35_h1,3,27,Phase3H_H1_G2_signal_vector_control::s33_h1
0.105263,9,2,12,19,Phase3H_H1_G2_signal_vector_control::s35_h1,3,30,Phase3H_H1_G2_signal_vector_control::s34_h1
1.0,9,9,9,9,Phase3H_H1_G2_signal_vector_control::s35_h1,15,15,Phase3H_H1_G2_signal_vector_control::s35_h1
0.166667,9,3,12,18,Phase3H_H1_G2_signal_vector_control::s35_h1,6,27,Phase3H_H1_G2_signal_vector_control::s36_h1
0.166667,9,3,12,18,Phase3H_H1_G2_signal_vector_control::s35_h1,3,26,Phase3H_H2_G2_turnover_calibrated::s33_h2
0.111111,9,2,11,18,Phase3H_H1_G2_signal_vector_control::s35_h1,3,28,Phase3H_H2_G2_turnover_calibrated::s34_h2
1.0,9,9,9,9,Phase3H_H1_G2_signal_vector_control::s35_h1,15,15,Phase3H_H2_G2_turnover_calibrated::s35_h2
0.166667,9,3,12,18,Phase3H_H1_G2_signal_vector_control::s35_h1,5,27,Phase3H_H2_G2_turnover_calibrated::s36_h2
0.227273,12,5,15,22,Phase3H_H1_G2_signal_vector_control::s36_h1,6,30,Phase3H_H0_G0_stable::s33_h0
0.105263,12,2,9,19,Phase3H_H1_G2_signal_vector_control::s36_h1,3,28,Phase3H_H0_G0_stable::s34_h0
0.15,12,3,11,20,Phase3H_H1_G2_signal_vector_control::s36_h1,5,30,Phase3H_H0_G0_stable::s35_h0
0.466667,12,7,10,15,Phase3H_H1_G2_signal_vector_control::s36_h1,9,22,Phase3H_H0_G0_stable::s36_h0
0.142857,12,3,12,21,Phase3H_H1_G2_signal_vector_control::s36_h1,4,29,Phase3H_H1_G2_signal_vector_control::s33_h1
0.142857,12,3,12,21,Phase3H_H1_G2_signal_vector_control::s36_h1,4,32,Phase3H_H1_G2_signal_vector_control::s34_h1
0.166667,12,3,9,18,Phase3H_H1_G2_signal_vector_control::s36_h1,6,27,Phase3H_H1_G2_signal_vector_control::s35_h1
1.0,12,12,12,12,Phase3H_H1_G2_signal_vector_control::s36_h1,18,18,Phase3H_H1_G2_signal_vector_control::s36_h1
0.142857,12,3,12,21,Phase3H_H1_G2_signal_vector_control::s36_h1,3,29,Phase3H_H2_G2_turnover_calibrated::s33_h2
0.15,12,3,11,20,Phase3H_H1_G2_signal_vector_control::s36_h1,4,30,Phase3H_H2_G2_turnover_calibrated::s34_h2
0.166667,12,3,9,18,Phase3H_H1_G2_signal_vector_control::s36_h1,6,27,Phase3H_H2_G2_turnover_calibrated::s35_h2
1.0,12,12,12,12,Phase3H_H1_G2_signal_vector_control::s36_h1,17,18,Phase3H_H2_G2_turnover_calibrated::s36_h2
0.421053,12,8,15,19,Phase3H_H2_G2_turnover_calibrated::s33_h2,9,23,Phase3H_H0_G0_stable::s33_h0
0.166667,12,3,9,18,Phase3H_H2_G2_turnover_calibrated::s33_h2,3,24,Phase3H_H0_G0_stable::s34_h0
0.210526,12,4,11,19,Phase3H_H2_G2_turnover_calibrated::s33_h2,4,27,Phase3H_H0_G0_stable::s35_h0
0.157895,12,3,10,19,Phase3H_H2_G2_turnover_calibrated::s33_h2,3,24,Phase3H_H0_G0_stable::s36_h0
0.846154,12,11,12,13,Phase3H_H2_G2_turnover_calibrated::s33_h2,13,16,Phase3H_H1_G2_signal_vector_control::s33_h1
0.263158,12,5,12,19,Phase3H_H2_G2_turnover_calibrated::s33_h2,5,27,Phase3H_H1_G2_signal_vector_control::s34_h1
0.166667,12,3,9,18,Phase3H_H2_G2_turnover_calibrated::s33_h2,3,26,Phase3H_H1_G2_signal_vector_control::s35_h1
0.142857,12,3,12,21,Phase3H_H2_G2_turnover_calibrated::s33_h2,3,29,Phase3H_H1_G2_signal_vector_control::s36_h1
1.0,12,12,12,12,Phase3H_H2_G2_turnover_calibrated::s33_h2,14,14,Phase3H_H2_G2_turnover_calibrated::s33_h2
0.210526,12,4,11,19,Phase3H_H2_G2_turnover_calibrated::s33_h2,4,26,Phase3H_H2_G2_turnover_calibrated::s34_h2
0.166667,12,3,9,18,Phase3H_H2_G2_turnover_calibrated::s33_h2,3,26,Phase3H_H2_G2_turnover_calibrated::s35_h2
0.142857,12,3,12,21,Phase3H_H2_G2_turnover_calibrated::s33_h2,3,28,Phase3H_H2_G2_turnover_calibrated::s36_h2
0.181818,11,4,15,22,Phase3H_H2_G2_turnover_calibrated::s34_h2,6,28,Phase3H_H0_G0_stable::s33_h0
0.818182,11,9,9,11,Phase3H_H2_G2_turnover_calibrated::s34_h2,12,17,Phase3H_H0_G0_stable::s34_h0
0.157895,11,3,11,19,Phase3H_H2_G2_turnover_calibrated::s34_h2,4,29,Phase3H_H0_G0_stable::s35_h0
0.235294,11,4,10,17,Phase3H_H2_G2_turnover_calibrated::s34_h2,5,24,Phase3H_H0_G0_stable::s36_h0
0.210526,11,4,12,19,Phase3H_H2_G2_turnover_calibrated::s34_h2,5,26,Phase3H_H1_G2_signal_vector_control::s33_h1
0.916667,11,11,12,12,Phase3H_H2_G2_turnover_calibrated::s34_h2,16,18,Phase3H_H1_G2_signal_vector_control::s34_h1
0.111111,11,2,9,18,Phase3H_H2_G2_turnover_calibrated::s34_h2,3,28,Phase3H_H1_G2_signal_vector_control::s35_h1
0.15,11,3,12,20,Phase3H_H2_G2_turnover_calibrated::s34_h2,4,30,Phase3H_H1_G2_signal_vector_control::s36_h1
0.210526,11,4,12,19,Phase3H_H2_G2_turnover_calibrated::s34_h2,4,26,Phase3H_H2_G2_turnover_calibrated::s33_h2
1.0,11,11,11,11,Phase3H_H2_G2_turnover_calibrated::s34_h2,16,16,Phase3H_H2_G2_turnover_calibrated::s34_h2
0.111111,11,2,9,18,Phase3H_H2_G2_turnover_calibrated::s34_h2,3,28,Phase3H_H2_G2_turnover_calibrated::s35_h2
0.15,11,3,12,20,Phase3H_H2_G2_turnover_calibrated::s34_h2,3,30,Phase3H_H2_G2_turnover_calibrated::s36_h2
0.090909,9,2,15,22,Phase3H_H2_G2_turnover_calibrated::s35_h2,4,29,Phase3H_H0_G0_stable::s33_h0
0.058824,9,1,9,17,Phase3H_H2_G2_turnover_calibrated::s35_h2,2,26,Phase3H_H0_G0_stable::s34_h0
0.428571,9,6,11,14,Phase3H_H2_G2_turnover_calibrated::s35_h2,10,22,Phase3H_H0_G0_stable::s35_h0
0.1875,9,3,10,16,Phase3H_H2_G2_turnover_calibrated::s35_h2,4,24,Phase3H_H0_G0_stable::s36_h0
0.105263,9,2,12,19,Phase3H_H2_G2_turnover_calibrated::s35_h2,3,27,Phase3H_H1_G2_signal_vector_control::s33_h1
0.105263,9,2,12,19,Phase3H_H2_G2_turnover_calibrated::s35_h2,3,30,Phase3H_H1_G2_signal_vector_control::s34_h1
1.0,9,9,9,9,Phase3H_H2_G2_turnover_calibrated::s35_h2,15,15,Phase3H_H1_G2_signal_vector_control::s35_h1
0.166667,9,3,12,18,Phase3H_H2_G2_turnover_calibrated::s35_h2,6,27,Phase3H_H1_G2_signal_vector_control::s36_h1
0.166667,9,3,12,18,Phase3H_H2_G2_turnover_calibrated::s35_h2,3,26,Phase3H_H2_G2_turnover_calibrated::s33_h2
0.111111,9,2,11,18,Phase3H_H2_G2_turnover_calibrated::s35_h2,3,28,Phase3H_H2_G2_turnover_calibrated::s34_h2
1.0,9,9,9,9,Phase3H_H2_G2_turnover_calibrated::s35_h2,15,15,Phase3H_H2_G2_turnover_calibrated::s35_h2
0.166667,9,3,12,18,Phase3H_H2_G2_turnover_calibrated::s35_h2,5,27,Phase3H_H2_G2_turnover_calibrated::s36_h2
0.227273,12,5,15,22,Phase3H_H2_G2_turnover_calibrated::s36_h2,5,30,Phase3H_H0_G0_stable::s33_h0
0.105263,12,2,9,19,Phase3H_H2_G2_turnover_calibrated::s36_h2,2,28,Phase3H_H0_G0_stable::s34_h0
0.15,12,3,11,20,Phase3H_H2_G2_turnover_calibrated::s36_h2,5,29,Phase3H_H0_G0_stable::s35_h0
0.466667,12,7,10,15,Phase3H_H2_G2_turnover_calibrated::s36_h2,9,21,Phase3H_H0_G0_stable::s36_h0
0.142857,12,3,12,21,Phase3H_H2_G2_turnover_calibrated::s36_h2,3,29,Phase3H_H1_G2_signal_vector_control::s33_h1
0.142857,12,3,12,21,Phase3H_H2_G2_turnover_calibrated::s36_h2,3,32,Phase3H_H1_G2_signal_vector_control::s34_h1
0.166667,12,3,9,18,Phase3H_H2_G2_turnover_calibrated::s36_h2,5,27,Phase3H_H1_G2_signal_vector_control::s35_h1
1.0,12,12,12,12,Phase3H_H2_G2_turnover_calibrated::s36_h2,17,18,Phase3H_H1_G2_signal_vector_control::s36_h1
0.142857,12,3,12,21,Phase3H_H2_G2_turnover_calibrated::s36_h2,3,28,Phase3H_H2_G2_turnover_calibrated::s33_h2
0.15,12,3,11,20,Phase3H_H2_G2_turnover_calibrated::s36_h2,3,30,Phase3H_H2_G2_turnover_calibrated::s34_h2
0.166667,12,3,9,18,Phase3H_H2_G2_turnover_calibrated::s36_h2,5,27,Phase3H_H2_G2_turnover_calibrated::s35_h2
1.0,12,12,12,12,Phase3H_H2_G2_turnover_calibrated::s36_h2,17,17,Phase3H_H2_G2_turnover_calibrated::s36_h2
