signal_cluster_id,candidate_id,rank,abs_corr,registry_entry_id,legacy_cluster_id,registry_source,registry_source_lane,registry_expression
cluster_029,phase3aa_event_1202_cn_research_v2_fundamental_risk_inverse_0033,3,0.047192,registry_081,phase3c_cluster_093,phase3D_cumulative_previous_103,r0_cem_led,"Neg(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($volume,5)))))"
cluster_031,phase3aa_event_1205_cn_research_v2_fundamental_risk_inverse_0036,1,0.069401,registry_122,cluster_053,phase3E_new_vs_phase3D_31,agnostic_freeform_ast,"CSRank(Mul(ZScore($turnover_rate),Mul(Sign(Std($final_float_market_cap,8)),ZScore(Mean($open,5)))))"
cluster_031,phase3aa_event_1205_cn_research_v2_fundamental_risk_inverse_0036,2,0.064452,registry_046,phase3c_cluster_010,phase3D_cumulative_previous_103,formula_gen_v2_defined,"CSRank(Sub(ZScore(Mean($amount,20)),ZScore(Mean($amount,2))))"
cluster_031,phase3aa_event_1205_cn_research_v2_fundamental_risk_inverse_0036,3,0.059085,registry_104,cluster_004,phase3E_new_vs_phase3D_31,agnostic_freeform_ast,"CSRank(Mul(ZScore(Std($open,3)),ZScore(Mean(Abs(Delta($amount,1)),34))))"
cluster_038,phase3aa_event_1209_cn_research_v2_fundamental_size_residual_0040,1,0.052428,registry_057,phase3c_cluster_030,phase3D_cumulative_previous_103,agnostic_freeform_ast,"CSRank(Sub(ZScore(Std($final_total_market_cap,13)),ZScore(Mean(Abs(Delta($final_total_market_cap,1)),2))))"
cluster_038,phase3aa_event_1209_cn_research_v2_fundamental_size_residual_0040,2,0.041615,registry_089,phase3d_cluster_015,phase3D_cumulative_previous_103,,"CSRank(CSResidual(ZScore(Std($high,8)),CSRank($amount)))"
cluster_038,phase3aa_event_1209_cn_research_v2_fundamental_size_residual_0040,3,0.038902,registry_094,phase3d_cluster_029,phase3D_cumulative_previous_103,,"CSRank(Mul(ZScore(Mean($high,2)),Corr(Mean($vwap,3),Delta($amount,13),13)))"
cluster_039,phase3aa_event_1212_cn_research_v2_fundamental_size_residual_0043,1,0.070544,registry_049,phase3c_cluster_014,phase3D_cumulative_previous_103,agnostic_freeform_ast,"CSRank(Sub(ZScore($vwap),ZScore($turnover_rate)))"
cluster_039,phase3aa_event_1212_cn_research_v2_fundamental_size_residual_0043,2,0.059098,registry_026,cluster_032,phase3D_cumulative_previous_103,r0_cem_led,"CSRank(Mul(ZScore(Delta($final_float_market_cap,34)),ZScore(Delta($close,21))))"
cluster_039,phase3aa_event_1212_cn_research_v2_fundamental_size_residual_0043,3,0.059071,registry_095,phase3d_cluster_030,phase3D_cumulative_previous_103,,"Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($close,21)))))"
cluster_070,phase3aa_event_0358_cn_underutil_v1_capacity_residual_activity_0124,1,0.835079,registry_147,cluster_147,phase3H_new_vs_phase3E_15,r0_cem_led,"CSRank(CSResidual(CSRank(Mean(Abs($volume),5)),CSRank(Mean(Abs($close),21))))"
cluster_070,phase3aa_event_0358_cn_underutil_v1_capacity_residual_activity_0124,2,0.670553,registry_083,phase3d_cluster_004,phase3D_cumulative_previous_103,,"CSRank(Mul(CSRank(Mean(Abs(Delta($low,1)),34)),Mul(CSRank(Mean(Abs(Delta($final_float_market_cap,1)),13)),Sign($final_total_market_cap))))"
cluster_070,phase3aa_event_0358_cn_underutil_v1_capacity_residual_activity_0124,3,0.65848,registry_117,cluster_043,phase3E_new_vs_phase3D_31,agnostic_freeform_ast,"CSRank(CSResidual(CSRank(Std($final_total_market_cap,21)),ZScore(Std($volume,2))))"
cluster_084,phase3aa_event_0288_cn_flow_liq_v1_fundamental_x_flow_0288,1,0.095402,registry_040,cluster_054,phase3D_cumulative_previous_103,r0_cem_led,"Neg(CSRank(Mul(ZScore(Std($volume,34)),ZScore(Std($final_float_market_cap,8)))))"
cluster_084,phase3aa_event_0288_cn_flow_liq_v1_fundamental_x_flow_0288,2,0.080652,registry_081,phase3c_cluster_093,phase3D_cumulative_previous_103,r0_cem_led,"Neg(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($volume,5)))))"
cluster_084,phase3aa_event_0288_cn_flow_liq_v1_fundamental_x_flow_0288,3,0.072411,registry_129,cluster_065,phase3E_new_vs_phase3D_31,agnostic_freeform_ast,"CSRank(Sub(CSRank(Mean(Abs(Delta($final_total_market_cap,1)),8)),ZScore($volume)))"
cluster_086,phase3aa_event_0468_cn_underutil_v1_fundamental_x_activity_0298,1,0.052572,registry_057,phase3c_cluster_030,phase3D_cumulative_previous_103,agnostic_freeform_ast,"CSRank(Sub(ZScore(Std($final_total_market_cap,13)),ZScore(Mean(Abs(Delta($final_total_market_cap,1)),2))))"
cluster_086,phase3aa_event_0468_cn_underutil_v1_fundamental_x_activity_0298,2,0.044672,registry_019,cluster_024,phase3D_cumulative_previous_103,r0_cem_led,"CSRank(Mul(ZScore(Mean($close,34)),ZScore(Mean($close,8))))"
cluster_086,phase3aa_event_0468_cn_underutil_v1_fundamental_x_activity_0298,3,0.040232,registry_131,cluster_067,phase3E_new_vs_phase3D_31,agnostic_freeform_ast,"CSRank(Mul(Sign(Mom($high,34)),Mul(Sign(Delta($open,13)),CSRank(Mean(Abs(Delta($final_total_market_cap,1)),34)))))"
cluster_088,phase3aa_event_0439_cn_underutil_v1_fundamental_x_activity_0264,1,0.081113,registry_049,phase3c_cluster_014,phase3D_cumulative_previous_103,agnostic_freeform_ast,"CSRank(Sub(ZScore($vwap),ZScore($turnover_rate)))"
cluster_088,phase3aa_event_0439_cn_underutil_v1_fundamental_x_activity_0264,2,0.079018,registry_040,cluster_054,phase3D_cumulative_previous_103,r0_cem_led,"Neg(CSRank(Mul(ZScore(Std($volume,34)),ZScore(Std($final_float_market_cap,8)))))"
cluster_088,phase3aa_event_0439_cn_underutil_v1_fundamental_x_activity_0264,3,0.076904,registry_129,cluster_065,phase3E_new_vs_phase3D_31,agnostic_freeform_ast,"CSRank(Sub(CSRank(Mean(Abs(Delta($final_total_market_cap,1)),8)),ZScore($volume)))"
cluster_089,phase3aa_event_0501_cn_underutil_v1_fundamental_x_activity_0333,1,0.061327,registry_020,cluster_025,phase3D_cumulative_previous_103,r0_cem_led,"Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($final_float_market_cap,2)))))"
cluster_089,phase3aa_event_0501_cn_underutil_v1_fundamental_x_activity_0333,2,0.06037,registry_081,phase3c_cluster_093,phase3D_cumulative_previous_103,r0_cem_led,"Neg(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($volume,5)))))"
cluster_089,phase3aa_event_0501_cn_underutil_v1_fundamental_x_activity_0333,3,0.056379,registry_098,phase3d_cluster_039,phase3D_cumulative_previous_103,,"CSRank(Mul(ZScore(Mom($close,60)),Mul(Mean(Mul(Sign(Delta($vwap,1)),Sign(Delta($turnover_rate,1))),20),ZScore(Mean(Abs(Delta($close,1)),60)))))"
cluster_090,phase3aa_event_0464_cn_underutil_v1_fundamental_x_activity_0294,1,0.038844,registry_113,cluster_034,phase3E_new_vs_phase3D_31,agnostic_freeform_ast,"CSRank(Mul(ZScore(Mean($low,2)),Corr(Std($open,21),Delay(Mean($high,21),1),5)))"
cluster_090,phase3aa_event_0464_cn_underutil_v1_fundamental_x_activity_0294,2,0.036502,registry_011,cluster_016,phase3D_cumulative_previous_103,r0_cem_led,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($amount,21)))))"
cluster_090,phase3aa_event_0464_cn_underutil_v1_fundamental_x_activity_0294,3,0.035839,registry_112,cluster_031,phase3E_new_vs_phase3D_31,agnostic_freeform_ast,"CSRank(Mul(ZScore(Mean(Abs(Delta($final_float_market_cap,1)),5)),Mul(ZScore(Mean($final_total_market_cap,34)),ZScore($high))))"
cluster_091,phase3aa_event_0294_cn_flow_liq_v1_fundamental_x_flow_0294,1,0.071708,registry_102,phase3d_cluster_052,phase3D_cumulative_previous_103,,"CSRank(Mul(CSRank(Mom($turnover_rate,3)),Mul(ZScore(Delta($vwap,34)),ZScore(Mean(Abs(Delta($close,1)),5)))))"
cluster_091,phase3aa_event_0294_cn_flow_liq_v1_fundamental_x_flow_0294,2,0.071213,registry_095,phase3d_cluster_030,phase3D_cumulative_previous_103,,"Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($close,21)))))"
cluster_091,phase3aa_event_0294_cn_flow_liq_v1_fundamental_x_flow_0294,3,0.067968,registry_057,phase3c_cluster_030,phase3D_cumulative_previous_103,agnostic_freeform_ast,"CSRank(Sub(ZScore(Std($final_total_market_cap,13)),ZScore(Mean(Abs(Delta($final_total_market_cap,1)),2))))"
