source_file,candidate_id,source_generator,source_lane,selection_rank,expression,fields
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3aa_event_0208_cn_integrated_v1_rzrq_direct_rank_00208,,cn_integrated_feature_layer,,CSRank($ctx_rzrq_rzmre),ctx_rzrq_rzmre
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3aa_event_0200_cn_integrated_v1_rzrq_direct_rank_00200,,cn_integrated_feature_layer,,CSRank($ctx_rzrq_rzjme),ctx_rzrq_rzjme
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3aa_event_0036_cn_integrated_v1_fundamental_quality_direct_00036,,cn_integrated_feature_layer,,CSRank($ctx_fund_cf_operate_cash_to_netprofit),ctx_fund_cf_operate_cash_to_netprofit
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3aa_event_0038_cn_integrated_v1_fundamental_quality_direct_00038,,cn_integrated_feature_layer,,CSRank($ctx_fund_ps_research_to_income),ctx_fund_ps_research_to_income
reports\cn_phase3ad_hfq_valuation_selector_only_canary_v1_20260603\hfq_valuation_selected_candidates.csv,phase3aa_event_0001_phase3ad_hfqval_valuation_low_pe_0001,,,14,CSRank($ctx_hfq_inv_pe_ttm_lag1),ctx_hfq_inv_pe_ttm_lag1
reports\cn_phase3ad_hfq_valuation_selector_only_canary_v1_20260603\hfq_valuation_selected_candidates.csv,phase3aa_event_0010_phase3ad_hfqval_valuation_low_pb_x_liquidity_0010,,,15,"CSRank(Mul($ctx_hfq_inv_pb_lag1,CSRank($ctx_hfq_turnover_ratio_lag1)))",ctx_hfq_inv_pb_lag1|ctx_hfq_turnover_ratio_lag1
reports\cn_phase3ad_hfq_valuation_selector_only_canary_v1_20260603\hfq_valuation_selected_candidates.csv,phase3aa_event_0004_phase3ad_hfqval_valuation_low_pe_raw_0004,,,17,CSRank(Neg($ctx_hfq_pe_ttm_lag1)),ctx_hfq_pe_ttm_lag1
reports\cn_phase3ad_hfq_valuation_selector_only_canary_v1_20260603\hfq_valuation_selected_candidates.csv,phase3aa_event_0011_phase3ad_hfqval_valuation_low_ps_x_float_size_0011,,,18,"CSRank(Div($ctx_hfq_inv_ps_ttm_lag1,Add(Abs(Log(Add($ctx_hfq_float_market_cap_yuan_lag1,1))),0.000001)))",ctx_hfq_float_market_cap_yuan_lag1|ctx_hfq_inv_ps_ttm_lag1
reports\cn_phase3ad_hfq_valuation_selector_only_canary_v1_20260603\hfq_valuation_selected_candidates.csv,phase3aa_event_0002_phase3ad_hfqval_valuation_low_pb_0002,,,19,CSRank($ctx_hfq_inv_pb_lag1),ctx_hfq_inv_pb_lag1
reports\cn_phase3ad_hfq_valuation_selector_only_canary_v1_20260603\hfq_valuation_selected_candidates.csv,phase3aa_event_0007_phase3ad_hfqval_liquidity_volume_ratio_0007,,,20,CSRank($ctx_hfq_volume_ratio_lag1),ctx_hfq_volume_ratio_lag1
reports\cn_phase3ad_hfq_valuation_selector_only_canary_v1_20260603\hfq_valuation_selected_candidates.csv,phase3aa_event_0008_phase3ad_hfqval_liquidity_turnover_ratio_0008,,,21,CSRank($ctx_hfq_turnover_ratio_lag1),ctx_hfq_turnover_ratio_lag1
reports\cn_phase3ad_hfq_valuation_selector_only_canary_v1_20260603\hfq_valuation_selected_candidates.csv,phase3aa_event_0003_phase3ad_hfqval_valuation_low_ps_0003,,,22,CSRank($ctx_hfq_inv_ps_ttm_lag1),ctx_hfq_inv_ps_ttm_lag1
reports\cn_phase3ad_hfq_valuation_selector_only_canary_v1_20260603\hfq_valuation_selected_candidates.csv,phase3aa_event_0012_phase3ad_hfqval_valuation_pb_size_adjusted_0012,,,23,"CSRank(Div($ctx_hfq_inv_pb_lag1,Add(Abs(Log(Add($ctx_hfq_float_market_cap_yuan_lag1,1))),0.000001)))",ctx_hfq_float_market_cap_yuan_lag1|ctx_hfq_inv_pb_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0040_cn_zls_v1_zls_ladder_to_limit_ratio_00040,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,"CSRank(Div(Add($ctx_zls_lb_2_num_lag1,$ctx_zls_lb_3_num_lag1),Add(Abs($ctx_zls_uplimit_num_lag1),0.000001)))",ctx_zls_lb_2_num_lag1|ctx_zls_lb_3_num_lag1|ctx_zls_uplimit_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0033_cn_zls_v1_zls_sentiment_direct_zrank_00033,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_lbgd_lag1)),ctx_zls_lbgd_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0014_cn_zls_v1_zls_max_seal_to_amount_00014,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,"CSRank(Div($evt_zls_fd_max,Add(Abs($evt_zls_amount),0.000001)))",evt_zls_amount|evt_zls_fd_max
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0048_cn_zls_v1_zls_hot_rank_inverse_00048,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(Neg($ctx_zls_rank_lag1)),ctx_zls_rank_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0009_cn_zls_v1_zls_event_direct_00009,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank($evt_zls_fd_max),evt_zls_fd_max
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0011_cn_zls_v1_zls_event_direct_00011,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank($evt_zls_up_limit_keep_times),evt_zls_up_limit_keep_times
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0029_cn_zls_v1_zls_sentiment_direct_zrank_00029,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_uplimit_num_lag1)),ctx_zls_uplimit_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0021_cn_zls_v1_zls_sentiment_direct_zrank_00021,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_max_lb_num_lag1)),ctx_zls_max_lb_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0027_cn_zls_v1_zls_sentiment_direct_zrank_00027,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_lb_h_num_lag1)),ctx_zls_lb_h_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0010_cn_zls_v1_zls_event_direct_zrank_00010,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($evt_zls_fd_max)),evt_zls_fd_max
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0035_cn_zls_v1_zls_sentiment_direct_zrank_00035,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_strong_lag1)),ctx_zls_strong_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0031_cn_zls_v1_zls_sentiment_direct_zrank_00031,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_zb_num_lag1)),ctx_zls_zb_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0025_cn_zls_v1_zls_sentiment_direct_zrank_00025,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_lb_3_num_lag1)),ctx_zls_lb_3_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0037_cn_zls_v1_zls_sentiment_direct_zrank_00037,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_ztjs_lag1)),ctx_zls_ztjs_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0012_cn_zls_v1_zls_event_direct_zrank_00012,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($evt_zls_up_limit_keep_times)),evt_zls_up_limit_keep_times
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0019_cn_zls_v1_zls_sentiment_direct_zrank_00019,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_lb_2_num_lag1)),ctx_zls_lb_2_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0023_cn_zls_v1_zls_sentiment_direct_zrank_00023,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_downlimit_num_lag1)),ctx_zls_downlimit_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0015_cn_zls_v1_zls_auction_money_to_offer_00015,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,"CSRank(Div($evt_zls_auction_money,Add(Abs($evt_zls_auction_offer),0.000001)))",evt_zls_auction_money|evt_zls_auction_offer
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0047_cn_zls_v1_zls_hot_rank_direct_00047,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank($ctx_zls_last_pct_lag1),ctx_zls_last_pct_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0005_cn_zls_v1_zls_event_direct_00005,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank($evt_zls_auction_turnover),evt_zls_auction_turnover
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0013_cn_zls_v1_zls_seal_to_amount_00013,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,"CSRank(Div($evt_zls_fd_close,Add(Abs($evt_zls_amount),0.000001)))",evt_zls_amount|evt_zls_fd_close
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0016_cn_zls_v1_zls_auction_turnover_to_amount_00016,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,"CSRank(Div($evt_zls_auction_turnover,Add(Abs($evt_zls_amount),0.000001)))",evt_zls_amount|evt_zls_auction_turnover
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0002_cn_zls_v1_zls_event_direct_zrank_00002,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($evt_zls_amount)),evt_zls_amount
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0008_cn_zls_v1_zls_event_direct_zrank_00008,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($evt_zls_fd_close)),evt_zls_fd_close
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0003_cn_zls_v1_zls_event_direct_00003,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank($evt_zls_auction_money),evt_zls_auction_money
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0007_cn_zls_v1_zls_event_direct_00007,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank($evt_zls_fd_close),evt_zls_fd_close
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_20260602\zzshare_selected_candidates.csv,phase3aa_event_0001_cn_zls_v1_zls_event_direct_00001,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank($evt_zls_amount),evt_zls_amount
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0039_cn_zls_v1_zls_open_board_rate_00039,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,"CSRank(Div($ctx_zls_zb_num_lag1,Add(Abs($ctx_zls_uplimit_num_lag1),0.000001)))",ctx_zls_uplimit_num_lag1|ctx_zls_zb_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0027_cn_zls_v1_zls_sentiment_direct_zrank_00027,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_lb_h_num_lag1)),ctx_zls_lb_h_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0048_cn_zls_v1_zls_hot_rank_inverse_00048,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(Neg($ctx_zls_rank_lag1)),ctx_zls_rank_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0011_cn_zls_v1_zls_event_direct_00011,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank($ctx_zls_evt_up_limit_keep_times_lag1),ctx_zls_evt_up_limit_keep_times_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0009_cn_zls_v1_zls_event_direct_00009,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank($ctx_zls_evt_fd_max_lag1),ctx_zls_evt_fd_max_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0029_cn_zls_v1_zls_sentiment_direct_zrank_00029,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_uplimit_num_lag1)),ctx_zls_uplimit_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0014_cn_zls_v1_zls_max_seal_to_amount_00014,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,"CSRank(Div($ctx_zls_evt_fd_max_lag1,Add(Abs($ctx_zls_evt_amount_lag1),0.000001)))",ctx_zls_evt_amount_lag1|ctx_zls_evt_fd_max_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0033_cn_zls_v1_zls_sentiment_direct_zrank_00033,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_lbgd_lag1)),ctx_zls_lbgd_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0025_cn_zls_v1_zls_sentiment_direct_zrank_00025,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_lb_3_num_lag1)),ctx_zls_lb_3_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0035_cn_zls_v1_zls_sentiment_direct_zrank_00035,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_strong_lag1)),ctx_zls_strong_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0031_cn_zls_v1_zls_sentiment_direct_zrank_00031,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_zb_num_lag1)),ctx_zls_zb_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0023_cn_zls_v1_zls_sentiment_direct_zrank_00023,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_downlimit_num_lag1)),ctx_zls_downlimit_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0037_cn_zls_v1_zls_sentiment_direct_zrank_00037,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_ztjs_lag1)),ctx_zls_ztjs_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0012_cn_zls_v1_zls_event_direct_zrank_00012,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_evt_up_limit_keep_times_lag1)),ctx_zls_evt_up_limit_keep_times_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0010_cn_zls_v1_zls_event_direct_zrank_00010,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_evt_fd_max_lag1)),ctx_zls_evt_fd_max_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0019_cn_zls_v1_zls_sentiment_direct_zrank_00019,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_lb_2_num_lag1)),ctx_zls_lb_2_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0021_cn_zls_v1_zls_sentiment_direct_zrank_00021,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_max_lb_num_lag1)),ctx_zls_max_lb_num_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0015_cn_zls_v1_zls_auction_money_to_offer_00015,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,"CSRank(Div($ctx_zls_evt_auction_money_lag1,Add(Abs($ctx_zls_evt_auction_offer_lag1),0.000001)))",ctx_zls_evt_auction_money_lag1|ctx_zls_evt_auction_offer_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0047_cn_zls_v1_zls_hot_rank_direct_00047,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank($ctx_zls_last_pct_lag1),ctx_zls_last_pct_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0005_cn_zls_v1_zls_event_direct_00005,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank($ctx_zls_evt_auction_turnover_lag1),ctx_zls_evt_auction_turnover_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0013_cn_zls_v1_zls_seal_to_amount_00013,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,"CSRank(Div($ctx_zls_evt_fd_close_lag1,Add(Abs($ctx_zls_evt_amount_lag1),0.000001)))",ctx_zls_evt_amount_lag1|ctx_zls_evt_fd_close_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0016_cn_zls_v1_zls_auction_turnover_to_amount_00016,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,"CSRank(Div($ctx_zls_evt_auction_turnover_lag1,Add(Abs($ctx_zls_evt_amount_lag1),0.000001)))",ctx_zls_evt_amount_lag1|ctx_zls_evt_auction_turnover_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0004_cn_zls_v1_zls_event_direct_zrank_00004,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_evt_auction_money_lag1)),ctx_zls_evt_auction_money_lag1
reports\cn_zzshare_limit_sentiment_selector_only_gate_v1_lag1_alias_20260602\zzshare_selected_candidates.csv,phase3aa_event_0008_cn_zls_v1_zls_event_direct_zrank_00008,cn_zzshare_limit_sentiment_factor_pack_v1,cn_zzshare_limit_sentiment_feature_layer,,CSRank(ZScore($ctx_zls_evt_fd_close_lag1)),ctx_zls_evt_fd_close_lag1
