candidate_id,expression,factor_lane,source_lane,source_generator,search_memory_key,expression_hash,parent_candidate_ids,parent_factor_lanes,field_list,note,fresh_search_intent,x0_r3_role
phase3ba_focused_minute_expansion_00690,"CSRank(Mul(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),Mul(ZScore(Neg(CSRank(Div(Mean($amount,90),Add(Abs(Mean($float_share,90)),0.000001))))),ZScore(CSRank(CSResidual(ZScore($m1_first30_range),ZScore($volume)))))))",ba_triple_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:490ceb3cc9967a4e17793094,490ceb3cc9967a4e17793094,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00317|phase3azb_opening_window_corrected_00144,ay_old_family_minute_neg|ax_inverse_capacity_flow_level|azb_opening_flow_residual,amount|float_share|m1_first30_range|volume|vwap,old-family x capacity-flow x opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00691,"CSRank(Add(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Mean($amount,90),Add(Abs(Mean($float_share,90)),0.000001)))))),ZScore(CSRank(CSResidual(ZScore($m1_first30_range),ZScore($m1_first30_vol))))))",ba_triple_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:dc0a66eb8ea9341cb55e6d82,dc0a66eb8ea9341cb55e6d82,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00317|phase3azb_opening_window_corrected_00135,ay_old_family_minute_neg|ax_inverse_capacity_flow_level|azb_opening_flow_residual,amount|float_share|m1_first30_range|m1_first30_vol|vwap,old-family plus capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00692,"CSRank(Mul(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),Mul(ZScore(Neg(CSRank(Div(Mean($amount,90),Add(Abs(Mean($float_share,90)),0.000001))))),ZScore(CSRank(CSResidual(ZScore($m1_first30_range),ZScore($m1_first30_vol)))))))",ba_triple_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:70ed5d26ad4058669f2cf88e,70ed5d26ad4058669f2cf88e,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00317|phase3azb_opening_window_corrected_00135,ay_old_family_minute_neg|ax_inverse_capacity_flow_level|azb_opening_flow_residual,amount|float_share|m1_first30_range|m1_first30_vol|vwap,old-family x capacity-flow x opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00693,"CSRank(Add(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($float_share,12)),0.000001)))))),ZScore(CSRank($m1_first30_amount))))",ba_triple_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:e3c5e0119d771899ce333ebc,e3c5e0119d771899ce333ebc,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00279|phase3azb_opening_window_corrected_00105,ay_old_family_minute_neg|ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first30_amount|vwap,old-family plus capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00694,"CSRank(Mul(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),Mul(ZScore(Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($float_share,12)),0.000001))))),ZScore(CSRank($m1_first30_amount)))))",ba_triple_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:759a1765b63f1fa8ff2d08fb,759a1765b63f1fa8ff2d08fb,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00279|phase3azb_opening_window_corrected_00105,ay_old_family_minute_neg|ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first30_amount|vwap,old-family x capacity-flow x opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00695,"CSRank(Add(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($float_share,12)),0.000001)))))),ZScore(Neg(CSRank($m1_first30_amount)))))",ba_triple_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:8630c783eceb7eec4996939d,8630c783eceb7eec4996939d,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00279|phase3azb_opening_window_corrected_00106,ay_old_family_minute_neg|ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first30_amount|vwap,old-family plus capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00696,"CSRank(Mul(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),Mul(ZScore(Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($float_share,12)),0.000001))))),ZScore(Neg(CSRank($m1_first30_amount))))))",ba_triple_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:a58ee7916482f4b070df12bb,a58ee7916482f4b070df12bb,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00279|phase3azb_opening_window_corrected_00106,ay_old_family_minute_neg|ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first30_amount|vwap,old-family x capacity-flow x opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00697,"CSRank(Add(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($float_share,12)),0.000001)))))),ZScore(CSRank($m1_first15_amount))))",ba_triple_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:9ea4092f4c34a30fd76c764e,9ea4092f4c34a30fd76c764e,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00279|phase3azb_opening_window_corrected_00057,ay_old_family_minute_neg|ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first15_amount|vwap,old-family plus capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00698,"CSRank(Mul(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),Mul(ZScore(Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($float_share,12)),0.000001))))),ZScore(CSRank($m1_first15_amount)))))",ba_triple_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:501ed52091aa54ca6b506c4b,501ed52091aa54ca6b506c4b,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00279|phase3azb_opening_window_corrected_00057,ay_old_family_minute_neg|ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first15_amount|vwap,old-family x capacity-flow x opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00699,"CSRank(Add(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($float_share,12)),0.000001)))))),ZScore(Neg(CSRank($m1_first15_amount)))))",ba_triple_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:19092bccfedd4758f32484a9,19092bccfedd4758f32484a9,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00279|phase3azb_opening_window_corrected_00058,ay_old_family_minute_neg|ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first15_amount|vwap,old-family plus capacity-flow plus opening-window,True,read_only_research_candidate
