cluster_id,deployable_rows,known_or_new_vs_134,source_lanes,source_generators,median_turnover,p90_turnover,median_long_sortino,representative_candidate_id,representative_expression
cluster_020,1,new,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.391989,0.391989,1.089695,agnostic-freeform-e4ab618059c8,"CSRank(Mul(ZScore(Mean(Abs(Delta($vwap,1)),13)),Corr(Delta($amount,21),Delay($close,1),5)))"
cluster_021,1,new,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.127749,0.127749,0.512765,agnostic-freeform-7ec86bf35fbd,"CSRank(Mul(CSRank(Std($final_total_market_cap,13)),Mul(CSRank($final_total_market_cap),ZScore(Std($final_total_market_cap,21)))))"
cluster_022,1,known,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.068622,0.068622,1.394745,agnostic-freeform-f578baddce54,"CSRank(Mul(ZScore(Std($vwap,34)),Mul(CSRank($high),Sign(Mean($final_float_market_cap,21)))))"
cluster_023,1,known,formula_gen_v2_repair_expansion:1,formula_gen_v2_repair_expansion:1,0.03167,0.03167,1.048891,fgv2-repair-nonlinearize-69d3d3bbf5,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close))))),Mul(ZScore(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close)))),ZScore(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close)))))))"
cluster_024,5,known,formula_gen_v2_repair_expansion:5,formula_gen_v2_repair_expansion:5,0.081835,0.133096,1.446549,fgv2-repair-add_state_gate-0f901f8a17,"CSRank(Mul(CSRank(CSResidual(CSRank(Mean(Abs($close),8)),CSRank(Mean(Abs($volume),2)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
cluster_025,2,new,agnostic_freeform_ast:2,agnostic_freeform_ast:2,0.176155,0.240355,1.143525,agnostic-freeform-96b7cdc28100,"CSRank(Add(ZScore(Mean($close,34)),CSRank(Delta($final_total_market_cap,21))))"
cluster_026,1,new,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.10336,0.10336,1.291597,agnostic-freeform-a89759d3657a,"CSRank(Mul(ZScore(Mean(Abs(Delta($high,1)),13)),Mul(ZScore($vwap),CSRank(Mean($vwap,8)))))"
cluster_028,1,new,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.154218,0.154218,1.070938,agnostic-freeform-16b6c661391f,"CSRank(CSResidual(ZScore(Delta($low,34)),ZScore(Mean($turnover_rate,3))))"
cluster_029,1,known,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.065116,0.065116,1.421324,agnostic-freeform-551385e7478d,"CSRank(Mul(CSRank(Std($high,34)),Mul(ZScore($vwap),Sign(Std($high,13)))))"
cluster_031,1,known,r0_cem_led:1,cem_adaptive_grammar:1,0.656271,0.656271,0.915074,stockpit-cem_adaptive_grammar-28727a9d41fa,"Neg(CSRank(Mul(ZScore(Delta($final_float_market_cap,2)),ZScore(Delta($amount,5)))))"
cluster_034,1,new,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.376419,0.376419,0.801616,agnostic-freeform-e372c7319500,"CSRank(Mul(CSRank($open),CSRank(Delta($high,2))))"
cluster_038,1,new,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.412346,0.412346,0.960076,agnostic-freeform-c22dd26ab358,"CSRank(Mul(ZScore(Mean($vwap,13)),Corr(Mom($high,21),$volume,5)))"
cluster_039,1,new,ast_failure_aware_repair:1,ast_failure_aware_repair:1,0.162536,0.162536,0.528352,phase3repair-failure_detail-duplicate_escape-066245d90aa4,"CSRank(Mul(ZScore(Mean($final_total_market_cap,34)),ZScore(Delta($final_total_market_cap,17))))"
cluster_040,1,known,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.33097,0.33097,0.572545,agnostic-freeform-9de5455f46d3,"CSRank(Mul(ZScore(Delta($final_total_market_cap,21)),Mul(ZScore(Delta($high,21)),Sign(Mean($low,3)))))"
cluster_041,3,known,formula_gen_v2_repair_expansion:2;r0_cem_led:1,formula_gen_v2_repair_expansion:2;cem_adaptive_grammar:1,0.071967,0.17239,1.111918,fgv2-repair-nonlinearize-9b1a06eada,"CSRank(Mul(Sign(ZScore(Neg(CSRank(Std($volume,34))))),Mul(ZScore(Neg(CSRank(Std($volume,34)))),ZScore(Neg(CSRank(Std($volume,34)))))))"
cluster_044,1,known,ast_failure_aware_repair:1,ast_failure_aware_repair:1,0.163381,0.163381,0.791147,phase3repair-failure_detail-duplicate_escape-e8fd32a0b1dd,"CSRank(Delta($close,34))"
cluster_045,1,new,ast_failure_aware_repair:1,ast_failure_aware_repair:1,0.035276,0.035276,0.508237,phase3repair-failure_detail-duplicate_escape-1e2334bec6a5,"CSRank(Mean($amount,34))"
cluster_046,1,new,r0_cem_led:1,cem_adaptive_grammar:1,0.61568,0.61568,0.725861,stockpit-cem_adaptive_grammar-5d96a5aa6e5c,"CSRank(CSResidual(CSRank(Mom($close,8)),CSRank(Mom($final_float_market_cap,8))))"
cluster_049,1,new,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.255658,0.255658,0.621509,agnostic-freeform-1dcf28148787,"CSRank(CSResidual(ZScore(Delta($vwap,13)),CSRank(Delta($low,3))))"
cluster_051,2,known,agnostic_freeform_ast:1;r0_cem_led:1,agnostic_freeform_ast:1;cem_adaptive_grammar:1,0.188017,0.202953,0.847312,agnostic-freeform-c8d24a10ea7a,"CSRank(Mul(CSRank($vwap),Mul(Sign(Mom($open,21)),Sign(Std($final_float_market_cap,3)))))"
