expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision,source_generator,source_lane,policy_score,note,open_direction,abs_aligned_ic_mean,positive_horizon_count,phase3bp_blocker_flags,phase3bp_decision
65d057dd0a31d241360c112f,phase3bp_02155,,rx_interaction::rx_range_location::rx_range_location::product,close|high|low|open,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",1,6,0.06913781874,0.07676976428,0.8715277778,6.39546184e-05,0.0002949813584,0.5138888889,-0.001674278315,-0.05365284734,0.7659905622,1969,94914,96822,1,0,0.06913781874,6.39546184e-05,,bl_signal_materialized_pass,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.10446955,rx interaction bar_loc_shift_30 x range_vol_30 product,long_top,0.06913781874,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
bba764a326c86816b61e06cc,phase3bp_01139,,rx_interaction::rx_range_location::rx_range_location::product,close|high|low|open,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",1,6,0.06870081953,0.07660901038,0.8715277778,5.963251729e-05,0.0002952704613,0.5347222222,-0.002467736554,-0.06263767367,0.7742058441,1969,94914,96822,1,0,0.06870081953,5.963251729e-05,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.099386,rx interaction bar_loc_shift_8 x range_vol_30 product,long_top,0.06870081953,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
33de1a530fa113fd5ddc0be8,phase3bp_02123,,rx_interaction::rx_range_location::rx_range_location::product,close|high|low|open,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",1,6,0.05357360129,0.06761994164,0.8402777778,6.702484675e-05,0.0003007604639,0.5451388889,-0.004098363727,-0.0415180418,0.7709309148,1972,94914,96822,1,0,0.05357360129,6.702484675e-05,,bl_signal_materialized_pass,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.099386,rx interaction bar_loc_shift_30 x range_vol_8 product,long_top,0.05357360129,3,,bp_followup_priority
96241c9ea92182ee1e03d696,phase3bp_02066,,rx_interaction::rx_intraday_return::rx_range_location::spread,high|intraday_ret_from_open|low|open,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",1,6,-0.04565846052,0.07014611747,0.2673611111,-0.0002003662735,0.0003623786267,0.3020833333,0.008992659325,0.1410872402,0.6915500475,1970,94914,96822,1,0,-0.04565846052,-0.0002003662735,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.11018878,rx interaction intraday_delta_30 x range_vol_30 spread,short_top,0.04565846052,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
c4b961b5fee67547ee7ddc07,phase3bp_02072,,rx_interaction::rx_intraday_return::rx_volatility_state::spread,intraday_ret_from_open|ret_1m,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std($ret_1m,30))))",1,6,-0.04545075862,0.06926223267,0.2708333333,-0.0001941935343,0.0003766390206,0.2986111111,0.006087600974,0.1347047202,0.6652087659,1964,94914,96822,1,0,-0.04545075862,-0.0001941935343,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.21794529,rx interaction intraday_delta_30 x ret_vol_30 spread,short_top,0.04545075862,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
0dfd18625965a70e3c21811d,phase3bp_00103,,rx_range_location::rank,high|low|open,"CSRank(ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30)))",15,6,-0.04025082145,0.09018866897,0.3506944444,-1.774400708e-05,0.001362396848,0.4826388889,-0.03874170761,-0.03850782143,0.5686735406,1958,94914,96822,1,0,-0.04025082145,-1.774400708e-05,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.08859175,rx atom transform range_vol_30,short_top,0.04025082145,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
8e811f788bb0815ae37b04c2,phase3bp_00104,,rx_range_location::inverted,high|low|open,"Neg(CSRank(ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",15,6,0.04025082145,0.09018866897,0.6493055556,1.358979536e-05,0.001353592259,0.5138888889,0.03874170761,0.03850782143,0.5681941943,1958,94914,96822,1,0,0.04025082145,1.358979536e-05,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.08841012,rx atom transform range_vol_30,long_top,0.04025082145,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
c8c8b8320280a3c955f2acf3,phase3bp_02067,,rx_interaction::rx_intraday_return::rx_flow_amount_volume::product,amount|intraday_ret_from_open,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Delta($amount,30))))",30,6,-0.03447508339,0.06876535178,0.3229166667,-0.0003165559368,0.001590884857,0.4270833333,-0.003823476983,-0.01233965626,0.7627883269,1959,94914,96822,1,0,-0.03447508339,-0.0003165559368,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.10571908,rx interaction intraday_delta_30 x amount_delta_30 product,short_top,0.03447508339,3,signal_corr_abs_ge_0.75,bp_watch_or_reject
355d7a25aa37575ec755b662,phase3bp_01145,,rx_interaction::rx_range_location::rx_volatility_state::product,close|high|low|ret_1m,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))),ZScore(Std($ret_1m,30))))",1,6,0.03284216731,0.06079856787,0.6979166667,-0.0001313911953,0.0003484042583,0.2881944444,0.0001547939657,-0.01175193303,0.7640048778,1968,94914,96822,1,0,0.03284216731,-0.0001313911953,,bl_signal_materialized_pass,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.10661978,rx interaction bar_loc_shift_8 x ret_vol_30 product,long_top,0.03284216731,1,signal_corr_abs_ge_0.75|too_few_positive_horizons,bp_watch_or_reject
c2b29287cab2ac7a03de3f50,phase3bp_02161,,rx_interaction::rx_range_location::rx_volatility_state::product,close|high|low|ret_1m,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Std($ret_1m,30))))",1,6,0.03197315397,0.06145787166,0.6909722222,-0.0001431738367,0.0003608822509,0.2847222222,0.0005353618047,-0.003456949189,0.7539747289,1970,94914,96822,1,0,0.03197315397,-0.0001431738367,,bl_signal_materialized_pass,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.11170333,rx interaction bar_loc_shift_30 x ret_vol_30 product,long_top,0.03197315397,1,signal_corr_abs_ge_0.75|too_few_positive_horizons,bp_watch_or_reject
