date,return,liquidity_ratio_lag1,pit_regime_label,window
2022-09-15,0.00137584,0.881162,limit_density_high,historical_2020_2024
2022-09-16,0.00166135,0.878696,limit_density_high,historical_2020_2024
2022-09-19,-0.03462139,0.877601,limit_density_high,historical_2020_2024
2022-09-20,0.01052226,0.867212,limit_density_high,historical_2020_2024
2022-09-21,0.00039742,0.859385,limit_density_high,historical_2020_2024
2022-09-22,0.04264138,0.852309,limit_density_high,historical_2020_2024
2022-09-23,-0.00058916,0.840079,limit_density_high,historical_2020_2024
2022-09-26,-0.01050307,0.832775,limit_density_high,historical_2020_2024
2022-09-27,0.01807705,0.827639,limit_density_high,historical_2020_2024
2022-09-28,-0.02397605,0.829297,limit_density_high,historical_2020_2024
2022-09-29,-0.0275241,0.831065,limit_density_high,historical_2020_2024
2022-09-30,-0.00419328,0.817283,limit_density_high,historical_2020_2024
2022-10-10,0.00966265,0.814305,limit_density_high,historical_2020_2024
2022-10-11,-0.00210041,0.818334,limit_density_high,historical_2020_2024
2022-10-12,0.01324135,0.816797,limit_density_high,historical_2020_2024
2022-10-13,-0.00960832,0.81461,limit_density_high,historical_2020_2024
2022-10-14,-0.00122526,0.813264,limit_density_high,historical_2020_2024
2022-10-17,-0.00547583,0.826474,limit_density_high,historical_2020_2024
2022-10-18,0.00719123,0.833397,limit_density_high,historical_2020_2024
2022-10-19,-0.00145251,0.836971,limit_density_high,historical_2020_2024
2022-10-20,0.00278176,0.842234,limit_density_high,historical_2020_2024
2022-10-21,0.00517114,0.835574,limit_density_high,historical_2020_2024
2022-10-24,0.00720087,0.831158,limit_density_high,historical_2020_2024
2022-10-25,-0.01753039,0.846019,limit_density_high,historical_2020_2024
2022-10-26,0.00783562,0.85559,limit_density_high,historical_2020_2024
2022-10-27,-0.00261362,0.871241,limit_density_high,historical_2020_2024
2022-10-28,0.00900547,0.88866,limit_density_high,historical_2020_2024
2022-10-31,0.01011773,0.90626,limit_density_high,historical_2020_2024
2022-11-01,0.01489546,0.922438,limit_density_high,historical_2020_2024
2022-11-02,0.0081864,0.943739,limit_density_high,historical_2020_2024
2022-11-03,-0.01466633,0.971722,limit_density_high,historical_2020_2024
2022-12-26,-0.00119214,0.983314,limit_density_high,historical_2020_2024
2022-12-27,0.00414268,0.976076,limit_density_high,historical_2020_2024
2022-12-28,-0.00816462,0.954279,limit_density_high,historical_2020_2024
2022-12-29,-0.00376102,0.93717,limit_density_high,historical_2020_2024
2022-12-30,-0.0137234,0.908094,limit_density_high,historical_2020_2024
2023-01-03,0.02265957,0.894276,limit_density_high,historical_2020_2024
2023-01-04,0.01583294,0.874532,limit_density_high,historical_2020_2024
2023-01-05,0.00209559,0.856946,limit_density_high,historical_2020_2024
2023-01-06,0.00848092,0.850466,limit_density_high,historical_2020_2024
2023-01-09,-0.0072619,0.850483,limit_density_high,historical_2020_2024
2023-01-10,-0.00183504,0.841065,limit_density_high,historical_2020_2024
2023-01-11,0.00024752,0.834069,limit_density_high,historical_2020_2024
2023-01-12,0.01238799,0.833214,limit_density_high,historical_2020_2024
2023-01-13,0.00683048,0.828289,limit_density_high,historical_2020_2024
2023-01-16,-0.00498146,0.82974,limit_density_high,historical_2020_2024
2023-01-17,0.00406031,0.8442,limit_density_high,historical_2020_2024
2023-01-18,-0.00700431,0.84756,limit_density_high,historical_2020_2024
2023-01-19,-0.00054613,0.851145,limit_density_high,historical_2020_2024
2023-01-20,-0.03093541,0.86612,limit_density_high,historical_2020_2024
2023-01-30,-0.00038311,0.878567,limit_density_high,historical_2020_2024
2023-01-31,0.00785159,0.911593,limit_density_high,historical_2020_2024
2023-02-01,-0.00224521,0.931239,limit_density_high,historical_2020_2024
2023-02-02,-0.00507081,0.955151,limit_density_high,historical_2020_2024
2023-02-03,-0.01144647,0.979729,limit_density_high,historical_2020_2024
2023-05-26,0.00600502,0.970216,limit_density_high,historical_2020_2024
2023-05-29,-0.01135195,0.948335,limit_density_high,historical_2020_2024
2023-05-30,0.00068109,0.9317,limit_density_high,historical_2020_2024
2023-05-31,-0.00299835,0.922859,limit_density_high,historical_2020_2024
2023-06-01,-0.00847531,0.909615,limit_density_high,historical_2020_2024
2023-06-02,-0.00331263,0.894186,limit_density_high,historical_2020_2024
2023-06-05,-0.00731739,0.885206,limit_density_high,historical_2020_2024
2023-06-06,-0.01233165,0.867897,limit_density_high,historical_2020_2024
2023-06-07,0.0100031,0.844058,limit_density_high,historical_2020_2024
2023-06-08,0.00346679,0.82816,limit_density_high,historical_2020_2024
2023-06-09,0.01002295,0.823034,limit_density_high,historical_2020_2024
2023-06-12,0.0067491,0.827398,limit_density_high,historical_2020_2024
